drug_impact	dose	impact_category	assay	avg_precision	no_of_replicates	matching_score
tubulin inhibitor	1.11 uM	MOA	Cell Painting	0.149953176644889	8	0.10136753869467127
xiap inhibitor	1.11 uM	MOA	Cell Painting	0.681818181818182	3	0.23679435655426992
hdac inhibitor	0.12 uM	MOA	Cell Painting	0.0589107071877028	13	0.04439865079986818
hmgcr inhibitor	10 uM	MOA	Cell Painting	0.0296268765110141	5	0.0495621730644855
microtubule inhibitor	1.11 uM	MOA	Cell Painting	0.0242637208453812	3	0.029150626204889833
pi3k inhibitor	10 uM	MOA	Cell Painting	0.0398593818095445	7	0.04761859745777398
aromatase inhibitor	3.33 uM	MOA	Cell Painting	0.0517073512386131	3	0.13972026456139594
microtubule inhibitor	0.37 uM	MOA	Cell Painting	0.0920142602495544	3	0.026294844082993624
adenosine receptor antagonist	1.11 uM	MOA	Cell Painting	0.00363916569719153	4	8.94583260279724e-4
egfr inhibitor	10 uM	MOA	Cell Painting	0.0554197953594088	13	0.12122376088002812
dopamine receptor antagonist|serotonin receptor antagonist	10 uM	MOA	Cell Painting	0.0766732946613456	9	0.04975950410698836
dopamine receptor antagonist|serotonin receptor antagonist	0.04 uM	MOA	Cell Painting	0.0460406836032337	9	-0.004271014123936502
dopamine receptor antagonist|serotonin receptor antagonist	3.33 uM	MOA	Cell Painting	0.0692052207704776	9	0.02764991523683695
mtor inhibitor|pi3k inhibitor	0.04 uM	MOA	Cell Painting	0.0497670401049662	4	0.0779713813717694
dopamine receptor antagonist|serotonin receptor antagonist	0.37 uM	MOA	Cell Painting	0.0473283870891608	9	0.008475057341957762
dna polymerase inhibitor	3.33 uM	MOA	Cell Painting	0.00182010389204626	3	-0.03605647222561616
dopamine receptor antagonist|serotonin receptor antagonist	0.12 uM	MOA	Cell Painting	0.0482502820848135	9	0.01801473453050567
dopamine receptor antagonist	10 uM	MOA	Cell Painting	0.0759585252368283	19	0.04939263403638751
dopamine receptor antagonist|serotonin receptor antagonist	1.11 uM	MOA	Cell Painting	0.0500479554577959	9	0.011427841375754543
alk tyrosine kinase receptor inhibitor	3.33 uM	MOA	Cell Painting	0.0105376313629932	3	0.10646183680339674
dna inhibitor	3.33 uM	MOA	Cell Painting	0.0159909285763969	5	0.021875809816109582
cyclooxygenase inhibitor|prostanoid receptor antagonist	0.12 uM	MOA	Cell Painting	0.0456912726534911	4	0.02264842068430893
cyclooxygenase inhibitor|prostanoid receptor antagonist	0.37 uM	MOA	Cell Painting	0.0502849835780865	4	0.0044748442947482306
cyclooxygenase inhibitor|prostanoid receptor antagonist	3.33 uM	MOA	Cell Painting	0.0417207472317133	4	8.78788985418032e-4
serotonin receptor agonist|serotonin receptor antagonist	0.37 uM	MOA	Cell Painting	0.0374436673915038	3	0.026709040304276926
serotonin receptor agonist|serotonin receptor antagonist	0.04 uM	MOA	Cell Painting	0.0427218084139402	3	0.007557213768043629
serotonin receptor agonist|serotonin receptor antagonist	1.11 uM	MOA	Cell Painting	0.0503704199404384	3	0.03455800309914472
prostanoid receptor agonist	10 uM	MOA	Cell Painting	0.00863965559596952	3	0.04836067714620764
egfr inhibitor	3.33 uM	MOA	Cell Painting	0.142688729857482	13	0.1302955749488086
serotonin receptor agonist|serotonin receptor antagonist	10 uM	MOA	Cell Painting	0.048001445156011	3	0.10465151294048217
aromatase inhibitor	0.37 uM	MOA	Cell Painting	0.0738939227314537	3	0.22193795219854284
cyclooxygenase inhibitor|prostanoid receptor antagonist	10 uM	MOA	Cell Painting	0.0392542769629544	4	-0.04395359517895368
cyclooxygenase inhibitor|prostanoid receptor antagonist	1.11 uM	MOA	Cell Painting	0.0403983085109836	4	-0.00984756247037
pi3k inhibitor	3.33 uM	MOA	Cell Painting	0.0360888408066451	7	0.03010766296535572
dopamine receptor antagonist	3.33 uM	MOA	Cell Painting	0.0425126501033502	19	0.01808917997718743
adrenergic receptor antagonist	1.11 uM	MOA	Cell Painting	0.0327443041175842	31	0.006356362262147955
adrenergic receptor antagonist	0.37 uM	MOA	Cell Painting	0.0345774923077802	31	0.009023008927191614
cyclooxygenase inhibitor	0.12 uM	MOA	Cell Painting	0.0319670972046537	27	0.010191237151493292
serotonin receptor agonist|serotonin receptor antagonist	3.33 uM	MOA	Cell Painting	0.043189723973857	3	0.06493828753369112
adrenergic receptor antagonist	3.33 uM	MOA	Cell Painting	0.0339492376626251	31	0.005774187425717837
cyclooxygenase inhibitor	0.37 uM	MOA	Cell Painting	0.0307216089560697	27	0.00400335097682829
dna polymerase inhibitor	10 uM	MOA	Cell Painting	0.00284313850795233	3	0.02592736056070796
cyclooxygenase inhibitor|prostanoid receptor antagonist	0.04 uM	MOA	Cell Painting	0.0480786130566374	4	0.0017120524339023706
adrenergic receptor antagonist	10 uM	MOA	Cell Painting	0.0355733814108854	31	0.017612812912331202
cyclooxygenase inhibitor	3.33 uM	MOA	Cell Painting	0.0296153327371648	27	4.176112750408031e-4
dopamine receptor antagonist	0.04 uM	MOA	Cell Painting	0.0289800192721989	19	0.013710181290233398
cyclooxygenase inhibitor	1.11 uM	MOA	Cell Painting	0.0302423214200622	27	0.0026671893922145143
dopamine receptor antagonist	0.37 uM	MOA	Cell Painting	0.0308200007333156	19	0.006587048682550403
cyclooxygenase inhibitor	10 uM	MOA	Cell Painting	0.0293456702662929	27	0.008501636504501696
hdac inhibitor	0.04 uM	MOA	Cell Painting	0.0236892424236777	13	0.011561508952758679
serotonin receptor agonist|serotonin receptor antagonist	0.12 uM	MOA	Cell Painting	0.0482102826757882	3	0.04960464545757134
adrenergic receptor antagonist	0.12 uM	MOA	Cell Painting	0.0335474054970529	31	0.009110430087823206
adrenergic receptor antagonist	0.04 uM	MOA	Cell Painting	0.0369368245748569	31	0.011885553217579345
dopamine receptor antagonist	1.11 uM	MOA	Cell Painting	0.0291742689763308	19	0.005111161255271804
cyclooxygenase inhibitor	0.04 uM	MOA	Cell Painting	0.0307153614210844	27	0.0017630000888233886
tubulin inhibitor	0.12 uM	MOA	Cell Painting	0.0550268031924564	8	0.03941576045631294
dopamine receptor antagonist	0.12 uM	MOA	Cell Painting	0.0302925895401224	19	-0.001498395727189042
phosphodiesterase inhibitor	0.37 uM	MOA	Cell Painting	0.0293691063267355	28	0.0075949142362407
phosphodiesterase inhibitor	1.11 uM	MOA	Cell Painting	0.0310311933896925	28	0.010289807960808386
phosphodiesterase inhibitor	0.04 uM	MOA	Cell Painting	0.0306353642279919	28	0.007999917226326574
nucleoside reverse transcriptase inhibitor	3.33 uM	MOA	Cell Painting	0.00441680897721297	4	0.006697956327044831
phosphodiesterase inhibitor	3.33 uM	MOA	Cell Painting	0.0316942259225795	28	0.010500959998663968
prostanoid receptor antagonist	0.04 uM	MOA	Cell Painting	0.00828896087543132	3	-0.04396586988148156
phosphodiesterase inhibitor	10 uM	MOA	Cell Painting	0.033441471910131	28	0.01871649584188156
histamine receptor antagonist	0.37 uM	MOA	Cell Painting	0.0250821310264686	24	0.007205776210441034
histamine receptor antagonist	0.12 uM	MOA	Cell Painting	0.0236833356201671	24	0.007805857062870054
acat inhibitor	3.33 uM	MOA	Cell Painting	0.00542229621132913	3	-0.10149004542821634
phosphodiesterase inhibitor	0.12 uM	MOA	Cell Painting	0.0317711257348072	28	0.013802077576337054
serotonin receptor antagonist	10 uM	MOA	Cell Painting	0.0379514683724926	12	0.04626586417665666
matrix metalloprotease inhibitor	10 uM	MOA	Cell Painting	0.0217839196307003	3	0.11287040724138471
serotonin receptor antagonist	0.37 uM	MOA	Cell Painting	0.028638074977061	12	0.00201953063253399
pi3k inhibitor	1.11 uM	MOA	Cell Painting	0.0261875662663041	7	0.011255625206844075
acetylcholine receptor antagonist	1.11 uM	MOA	Cell Painting	0.0204828250423488	21	0.004113574532043903
sterol demethylase inhibitor	3.33 uM	MOA	Cell Painting	0.00679932116445477	7	0.003776430138688478
histamine receptor antagonist	10 uM	MOA	Cell Painting	0.02686482474101	24	0.016887986405726328
serotonin receptor antagonist	0.04 uM	MOA	Cell Painting	0.0312120848651786	12	0.005230060789545676
serotonin receptor antagonist	1.11 uM	MOA	Cell Painting	0.0284179467822809	12	0.01045527046947995
histamine receptor antagonist	1.11 uM	MOA	Cell Painting	0.0218379380737668	24	0.004465699060325722
serotonin receptor antagonist	3.33 uM	MOA	Cell Painting	0.0317848392442534	12	0.006649004513709474
sigma receptor antagonist	0.12 uM	MOA	Cell Painting	0.003736084081586	3	-0.010967947113299086
adrenergic receptor agonist	3.33 uM	MOA	Cell Painting	0.0216545748180382	20	0.0060439453744752375
acat inhibitor	1.11 uM	MOA	Cell Painting	0.00269078063429828	3	-0.0804719433714995
rho associated kinase inhibitor	10 uM	MOA	Cell Painting	0.00732502174307839	6	0.06518040052846241
mdm inhibitor	0.37 uM	MOA	Cell Painting	0.338659538082975	3	0.02200121990528871
egfr inhibitor	1.11 uM	MOA	Cell Painting	0.109993454903488	13	0.13165772448661728
acetylcholine receptor antagonist	10 uM	MOA	Cell Painting	0.02460469729127	21	0.02600397434062479
egfr inhibitor	0.37 uM	MOA	Cell Painting	0.109413547914436	13	0.12803826486715608
adrenergic receptor agonist	0.37 uM	MOA	Cell Painting	0.0223685649721633	20	0.007998582908235224
histamine receptor antagonist	3.33 uM	MOA	Cell Painting	0.0242482927895582	24	0.005990784191788863
adrenergic receptor agonist	0.12 uM	MOA	Cell Painting	0.0196911524909934	20	0.002574939720989639
fungal squalene epoxidase inhibitor	10 uM	MOA	Cell Painting	0.00944202102456435	3	-0.02199970452512478
serotonin receptor antagonist	0.12 uM	MOA	Cell Painting	0.0252331077332231	12	0.0035545129942511308
acetylcholine receptor antagonist	0.37 uM	MOA	Cell Painting	0.022154113491326	21	0.00583613483125941
adrenergic receptor agonist	10 uM	MOA	Cell Painting	0.0209616894139389	20	0.008378001810730645
acetylcholine receptor antagonist	3.33 uM	MOA	Cell Painting	0.0207509080871882	21	0.0018287949872760776
acetylcholine receptor antagonist	0.12 uM	MOA	Cell Painting	0.021619333322239	21	0.013668237501608511
cannabinoid receptor agonist	0.37 uM	MOA	Cell Painting	0.00493552556967179	3	0.03589192572751055
histamine receptor antagonist	0.04 uM	MOA	Cell Painting	0.0235517070501117	24	0.004609950831646434
gamma secretase inhibitor	0.37 uM	MOA	Cell Painting	0.0152852346626875	7	0.03137577930367552
microtubule inhibitor	3.33 uM	MOA	Cell Painting	0.010127817137874	3	0.056338532564118644
adrenergic receptor agonist	1.11 uM	MOA	Cell Painting	0.0221587151550015	20	0.003154966055726471
acetylcholine receptor antagonist	0.04 uM	MOA	Cell Painting	0.0237152605179158	21	0.01926218300767919
calcium channel blocker	10 uM	MOA	Cell Painting	0.0235082697156265	15	0.03409558425633424
pi3k inhibitor	0.37 uM	MOA	Cell Painting	0.0133274101830688	7	-0.003100818295225414
cannabinoid receptor agonist	0.04 uM	MOA	Cell Painting	0.00286663738810237	3	0.00494214238960245
sigma receptor antagonist	1.11 uM	MOA	Cell Painting	0.00571925717276477	3	0.008739271579235184
adrenergic receptor agonist	0.04 uM	MOA	Cell Painting	0.0201154527260864	20	0.0050159376071951586
gamma secretase inhibitor	10 uM	MOA	Cell Painting	0.0128273201319135	7	0.06947029335258507
cdk inhibitor	0.37 uM	MOA	Cell Painting	0.0796573639164041	7	0.14559085895485752
egfr inhibitor	0.12 uM	MOA	Cell Painting	0.0663952849096087	13	0.10843464893653823
gamma secretase inhibitor	3.33 uM	MOA	Cell Painting	0.0224279585388594	7	0.0751515696075187
alk tyrosine kinase receptor inhibitor	10 uM	MOA	Cell Painting	0.00782953299161313	3	0.1249325894935218
angiotensin receptor antagonist	0.12 uM	MOA	Cell Painting	0.00263691863806404	4	-0.01192826869646108
bacterial dna gyrase inhibitor	0.37 uM	MOA	Cell Painting	0.0128388185500316	11	0.009629354330941229
calcium channel blocker	0.04 uM	MOA	Cell Painting	0.0135408867690277	15	-5.641048459745336e-4
bacterial dna gyrase inhibitor	0.04 uM	MOA	Cell Painting	0.0110830049125325	11	0.01103833297440241
sigma receptor antagonist	0.04 uM	MOA	Cell Painting	0.00290313062684165	3	0.019860174685243776
gamma secretase inhibitor	1.11 uM	MOA	Cell Painting	0.0167104807358438	7	0.050055473909842586
sodium channel blocker	0.04 uM	MOA	Cell Painting	0.0120135264001911	11	0.007823638702414114
nitric oxide synthase inhibitor	10 uM	MOA	Cell Painting	0.00394399444885633	4	-0.004449834098443051
serotonin receptor agonist	0.37 uM	MOA	Cell Painting	0.0128393839842807	12	6.136390055224718e-4
calcium channel blocker	3.33 uM	MOA	Cell Painting	0.0204001727352997	15	0.023505009428523575
rho associated kinase inhibitor	1.11 uM	MOA	Cell Painting	0.0283821703933104	6	0.027524734303150177
bacterial dna gyrase inhibitor	1.11 uM	MOA	Cell Painting	0.0126742528787443	11	0.020449032478093952
ppar receptor agonist|insulin sensitizer	0.12 uM	MOA	Cell Painting	0.0176127830202354	3	0.052359911918408227
calcium channel blocker	1.11 uM	MOA	Cell Painting	0.0176386625963352	15	0.014952917101996446
sodium channel blocker	10 uM	MOA	Cell Painting	0.0124463044630304	11	0.018871193305394184
progesterone receptor agonist	3.33 uM	MOA	Cell Painting	0.0168103827463021	7	0.06676430643153139
vegfr inhibitor	10 uM	MOA	Cell Painting	0.0201519576040467	4	0.06232541889323869
rho associated kinase inhibitor	0.04 uM	MOA	Cell Painting	0.00763446175684108	6	0.033773123223632934
serotonin reuptake inhibitor	0.04 uM	MOA	Cell Painting	0.00330821454210589	4	0.012625668027435142
bacterial cell wall synthesis inhibitor	0.12 uM	MOA	Cell Painting	0.0147466576439166	14	7.836360066157877e-4
bacterial dna gyrase inhibitor	0.12 uM	MOA	Cell Painting	0.0128755875037641	11	0.002880721731251867
gaba receptor agonist	1.11 uM	MOA	Cell Painting	0.00259403372243839	3	0.004900552011069509
bacterial cell wall synthesis inhibitor	10 uM	MOA	Cell Painting	0.0158195909925398	14	0.026447421218431865
sodium channel blocker	1.11 uM	MOA	Cell Painting	0.0104978968491563	11	0.004393529337698099
microtubule inhibitor	0.12 uM	MOA	Cell Painting	0.117805484423175	3	0.07395537108133231
tachykinin antagonist	0.04 uM	MOA	Cell Painting	0.00916255960298749	6	0.027084427959567323
bacterial cell wall synthesis inhibitor	0.37 uM	MOA	Cell Painting	0.01359291492579	14	-0.0012579902178932144
microtubule inhibitor	10 uM	MOA	Cell Painting	0.00760314287653659	3	0.02853102228935584
calcium channel blocker	0.37 uM	MOA	Cell Painting	0.0162006283958508	15	0.016355981798261397
adenosine receptor agonist	10 uM	MOA	Cell Painting	0.0024682255414962	3	0.010341219232296849
serotonin receptor agonist	0.04 uM	MOA	Cell Painting	0.013290429262699	12	0.0044449632247989925
serotonin receptor agonist	10 uM	MOA	Cell Painting	0.013924112424847	12	0.006519054388011246
ppar receptor agonist	0.37 uM	MOA	Cell Painting	0.00609440548586751	3	8.502394132386879e-5
serotonin receptor agonist	3.33 uM	MOA	Cell Painting	0.0122018248615387	12	-0.005574086033830939
rna polymerase inhibitor	0.12 uM	MOA	Cell Painting	0.0132099206685436	7	0.021337385157429094
aromatase inhibitor	0.04 uM	MOA	Cell Painting	0.230672133783566	3	0.07616831167092399
sterol demethylase inhibitor	10 uM	MOA	Cell Painting	0.0196812234186123	7	0.02089809096430934
prostanoid receptor agonist	1.11 uM	MOA	Cell Painting	0.0234190873725757	3	0.06496448788906382
calcium channel blocker	0.12 uM	MOA	Cell Painting	0.0127117722849948	15	-0.003119600673337827
tubulin inhibitor	0.04 uM	MOA	Cell Painting	0.0359584199148546	8	0.024847294200385166
sodium channel blocker	0.12 uM	MOA	Cell Painting	0.0147752191030568	11	0.008714371629934058
raf inhibitor	10 uM	MOA	Cell Painting	0.0081550359300626	5	0.012392739838761144
serotonin receptor agonist	1.11 uM	MOA	Cell Painting	0.0129894078019387	12	0.013444101206658388
sodium channel blocker	3.33 uM	MOA	Cell Painting	0.0134297209512619	11	0.011900570047136327
nucleoside reverse transcriptase inhibitor	0.04 uM	MOA	Cell Painting	0.00554656713129168	4	0.03496877866370612
pi3k inhibitor	0.12 uM	MOA	Cell Painting	0.0112650935857119	7	-0.022786382351160185
vitamin d receptor agonist	1.11 uM	MOA	Cell Painting	0.0335716395729028	5	0.0851189560168148
bacterial dna gyrase inhibitor	3.33 uM	MOA	Cell Painting	0.0120401026222937	11	0.004686199872204572
bacterial cell wall synthesis inhibitor	3.33 uM	MOA	Cell Painting	0.0133690253851928	14	-5.288581874951482e-4
hcv inhibitor	10 uM	MOA	Cell Painting	0.00902858634154658	7	0.05479664673898017
t-type calcium channel blocker	10 uM	MOA	Cell Painting	0.00352195786112345	3	0.05786675847156603
serotonin receptor agonist	0.12 uM	MOA	Cell Painting	0.0130296286150458	12	0.004452638454201262
sodium channel blocker	0.37 uM	MOA	Cell Painting	0.010517592194376	11	0.008503174400068047
potassium channel blocker	0.04 uM	MOA	Cell Painting	0.00354045276749716	4	-0.010366752422887622
calcitonin antagonist	0.04 uM	MOA	Cell Painting	0.00305534852006513	3	0.03451345561258935
vitamin d receptor agonist	10 uM	MOA	Cell Painting	0.0532965777234923	5	0.1618853015836741
retinoid receptor agonist	10 uM	MOA	Cell Painting	0.0314643005386921	6	0.07952019312952502
progesterone receptor agonist	10 uM	MOA	Cell Painting	0.0159149627674879	7	0.07049064284468985
egfr inhibitor	0.04 uM	MOA	Cell Painting	0.0360400463947645	13	0.06073401259360432
bacterial cell wall synthesis inhibitor	0.04 uM	MOA	Cell Painting	0.014979103119011	14	0.008101778622211226
tachykinin antagonist	0.12 uM	MOA	Cell Painting	0.00569414516397859	6	0.004840835102686566
fgfr inhibitor|vegfr inhibitor	0.04 uM	MOA	Cell Painting	0.0101945938242611	3	-0.01766182125941162
bacterial cell wall synthesis inhibitor	1.11 uM	MOA	Cell Painting	0.0144526873001525	14	0.010413335200641066
p38 mapk inhibitor	1.11 uM	MOA	Cell Painting	0.113437872887601	6	0.11025151411155866
pi3k inhibitor	0.04 uM	MOA	Cell Painting	0.0141329340861938	7	0.01211031430707503
dopamine receptor agonist	0.12 uM	MOA	Cell Painting	0.00926884701023605	9	-0.005176413370368144
cc chemokine receptor antagonist	0.04 uM	MOA	Cell Painting	0.00648344934756974	7	3.7888178986534746e-4
dopamine receptor agonist	3.33 uM	MOA	Cell Painting	0.008954871615105	9	1.2691680461350292e-4
rho associated kinase inhibitor	0.37 uM	MOA	Cell Painting	0.0126881870815587	6	0.01915057136167725
rho associated kinase inhibitor	0.12 uM	MOA	Cell Painting	0.00425829127776204	6	-0.0012029208477313258
ppar receptor agonist|insulin sensitizer	10 uM	MOA	Cell Painting	0.0153792878325235	3	0.1861853684363781
acetylcholine receptor agonist	1.11 uM	MOA	Cell Painting	0.00891807105992981	8	2.75850052199572e-4
progesterone receptor agonist	1.11 uM	MOA	Cell Painting	0.00967458929846411	7	0.021806628208777788
dna methyltransferase inhibitor	10 uM	MOA	Cell Painting	0.00893093358857829	3	0.09624379967798553
dna inhibitor	10 uM	MOA	Cell Painting	0.110655364533009	5	0.024848374065538092
bacterial 30s ribosomal subunit inhibitor	0.04 uM	MOA	Cell Painting	0.00453408851188798	5	-0.016825354842652844
bacterial dna gyrase inhibitor	10 uM	MOA	Cell Painting	0.0174871106267602	11	0.04159872374755771
prostanoid receptor antagonist	0.12 uM	MOA	Cell Painting	0.00840717052331597	3	-0.018765832090550327
leukotriene receptor antagonist	1.11 uM	MOA	Cell Painting	0.00284192747840535	4	-0.0275349537209083
adenosine receptor antagonist	0.04 uM	MOA	Cell Painting	0.00509312454527988	4	0.0017039192367026192
androgen receptor modulator	10 uM	MOA	Cell Painting	0.0041595599886322	3	0.06186349451413379
vegfr inhibitor	3.33 uM	MOA	Cell Painting	0.0126009636896289	4	0.022516870429509058
dna methyltransferase inhibitor	0.37 uM	MOA	Cell Painting	0.0671513321680174	3	0.15350532132809375
opioid receptor antagonist	3.33 uM	MOA	Cell Painting	0.00676365553634382	4	-0.02065729824332577
angiotensin receptor antagonist	0.37 uM	MOA	Cell Painting	0.00410062566555648	4	0.0029736922987490307
calcineurin inhibitor	1.11 uM	MOA	Cell Painting	0.0384935926400517	3	0.10379610582659379
prostanoid receptor antagonist	1.11 uM	MOA	Cell Painting	0.00728832093002472	3	-0.045819123935141634
vitamin d receptor agonist	3.33 uM	MOA	Cell Painting	0.0533297397531079	5	0.11928249473066979
prostanoid receptor agonist	3.33 uM	MOA	Cell Painting	0.021805638701911	3	0.03672559334278031
opioid receptor antagonist	0.12 uM	MOA	Cell Painting	0.00642439381474984	4	0.016070799878540102
dopamine receptor agonist	10 uM	MOA	Cell Painting	0.00976928427801384	9	9.92079786201259e-4
glucosidase inhibitor	1.11 uM	MOA	Cell Painting	0.00282248916007959	3	-0.008011609573091952
angiotensin converting enzyme inhibitor	10 uM	MOA	Cell Painting	0.00864009805324321	8	0.0019817849294583418
nitric oxide synthase inhibitor	3.33 uM	MOA	Cell Painting	0.00328588542091771	4	-0.0022686884324865635
