moa,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,moa_size
calmodulin antagonist,0.426,0.908,0.783,0.866,0.431,0.27,2
cannabinoid receptor agonist,0.942,0.965,0.991,0.967,0.16,0.998,3
cannabinoid receptor antagonist,0.864,0.457,0.78,0.257,0.002,0.807,2
cannabinoid receptor inverse agonist,0.666,0.978,0.877,0.758,0.252,0.491,2
carbonic anhydrase inhibitor,0.297,0.727,0.849,0.961,0.401,0.575,5
carnitine palmitoyltransferase inhibitor,0.035,0.097,0.617,0.108,0.121,0.303,2
cathepsin inhibitor,0.008,0.001,0.312,0.906,0.983,0.957,2
cc chemokine receptor antagonist,0.357,0.401,0.694,0.753,0.275,0.664,7
cck receptor antagonist,0.843,0.794,0.312,0.69,0.704,0.732,4
cdk inhibitor,0.855,0.942,0.145,0.001,0.0,0.001,7
cftr channel agonist,0.409,0.207,0.525,0.543,0.894,0.606,2
chelating agent,0.166,0.237,0.617,0.623,0.112,0.904,4
cholesterol inhibitor,0.778,0.418,0.301,0.76,0.382,0.373,3
coagulation factor inhibitor,0.194,0.014,0.257,0.984,0.206,0.993,4
cyclooxygenase inhibitor,0.656,0.613,0.427,0.212,0.855,0.749,30
cyclooxygenase inhibitor|prostanoid receptor antagonist,0.394,0.59,0.219,0.456,0.471,0.962,4
cytochrome p450 inhibitor,0.897,0.964,0.928,0.97,0.673,0.366,2
diacylglycerol o acyltransferase inhibitor,0.007,0.001,0.099,0.125,0.015,0.038,2
dihydrofolate reductase inhibitor,0.523,0.523,0.632,0.258,0.343,0.79,4
dihydroorotate dehydrogenase inhibitor,0.217,0.026,0.772,0.654,0.158,0.436,2
dipeptidyl peptidase inhibitor,0.784,0.367,0.592,0.511,0.611,0.612,4
diuretic,0.751,0.896,0.981,0.768,0.563,0.905,3
dna alkylating agent,0.794,0.91,0.491,0.158,0.765,0.275,2
dna alkylating drug,0.053,0.112,0.698,0.795,0.444,0.47,2
dna directed dna polymerase inhibitor,0.695,0.422,0.301,0.356,0.157,0.301,3
dna inhibitor,0.499,0.692,0.92,0.91,0.516,0.4,6
dna methyltransferase inhibitor,0.257,0.366,0.076,0.175,0.239,0.112,3
dna polymerase inhibitor,0.712,0.866,0.657,0.934,0.295,0.175,3
dna synthesis inhibitor,0.355,0.363,0.312,0.53,0.648,0.879,7
dopamine receptor agonist,0.454,0.364,0.164,0.179,0.108,0.262,9
dopamine receptor antagonist,0.05,0.06,0.303,0.054,0.085,0.009,20
dopamine receptor antagonist|serotonin receptor antagonist,0.845,0.192,0.944,0.913,0.433,0.455,9
dopamine reuptake inhibitor,0.535,0.515,0.519,0.125,0.457,0.166,2
dopamine uptake inhibitor,0.768,0.282,0.121,0.431,0.216,0.355,2
egfr inhibitor,0.335,0.002,0.0,0.0,0.0,0.0,13
elastase inhibitor,0.45,0.975,0.11,0.086,0.514,0.661,2
endothelin receptor antagonist,0.197,0.298,0.309,0.412,0.18,0.171,4
estrogen receptor agonist,0.324,0.459,0.769,0.708,0.959,0.699,6
estrogen receptor antagonist,0.239,0.163,0.021,0.018,0.027,0.095,2
estrogen receptor antagonist|selective estrogen receptor modulator (serm),0.504,0.212,0.155,0.295,0.503,0.121,2
farnesyltransferase inhibitor,0.627,0.984,0.666,0.233,0.284,0.391,3
fatty acid synthase inhibitor,0.137,0.031,0.06,0.125,0.257,0.323,2
fgfr inhibitor|vegfr inhibitor,0.225,0.205,0.998,0.26,0.417,0.881,3
focal adhesion kinase inhibitor,0.637,0.701,0.537,0.193,0.282,0.991,2
free radical scavenger,0.109,0.558,0.216,0.006,0.112,0.031,4
fungal squalene epoxidase inhibitor,0.236,0.737,0.389,0.735,0.948,0.259,4
gaba receptor agonist,0.486,0.278,0.212,0.007,0.806,0.263,3
gaba receptor antagonist,0.287,0.246,0.545,0.235,0.422,0.132,2
gaba receptor modulator,0.933,0.9,0.93,0.268,0.622,0.543,4
gamma secretase inhibitor,0.409,0.679,0.017,0.065,0.02,0.017,7
glucocorticoid receptor agonist,0.0,0.0,0.0,0.0,0.0,0.0,14
"glucose-dependent insulinotropic receptor (gdir, gpr119) agonists",0.376,0.218,0.431,0.285,0.458,0.497,2
glucosidase inhibitor,0.115,0.531,0.219,0.349,0.013,0.277,4
glutamate receptor agonist,0.533,0.805,0.041,0.044,0.944,0.44,4
glutamate receptor antagonist,0.24,0.332,0.368,0.772,0.664,0.839,5
glutamate receptor modulator,0.828,0.584,0.074,0.534,0.742,0.679,3
gonadotropin releasing factor hormone receptor agonist,0.31,0.126,0.125,0.636,0.06,0.295,2
growth hormone secretagogue receptor agonist,0.987,0.858,0.584,0.075,0.289,0.356,2
hcv inhibitor,0.408,0.03,0.489,0.466,0.731,0.014,8
hdac inhibitor,0.155,0.005,0.0,0.0,0.0,0.0,13
histamine receptor agonist,0.424,0.011,0.126,0.256,0.1,0.329,2
histamine receptor antagonist,0.398,0.148,0.101,0.312,0.306,0.135,24
histamine receptor modulator,0.264,0.507,0.597,0.893,0.648,0.892,2
hiv integrase inhibitor,0.019,0.634,0.9,0.85,0.729,0.098,3
hiv protease inhibitor,0.978,0.37,0.166,0.925,0.331,0.299,6
hmgcr inhibitor,0.509,0.508,0.564,0.78,0.844,0.493,6
hsp inhibitor,0.024,0.392,0.0,0.0,0.0,0.0,5
immunostimulant,0.242,0.332,0.06,0.106,0.232,0.484,2
immunosuppressant,0.254,0.938,0.759,0.668,0.044,0.375,2
inosine monophosphate dehydrogenase inhibitor,0.72,0.883,0.099,0.564,0.492,0.0,2
insulin secretagogue,0.345,0.21,0.067,0.075,0.265,0.624,4
insulin sensitizer,0.096,0.754,0.338,0.645,0.068,0.275,2
integrin antagonist,0.405,0.24,0.737,0.749,0.899,0.533,5
isocitrate dehydrogenase inhibitor,0.538,0.552,0.062,0.848,0.651,0.766,2
jak inhibitor,0.952,0.851,0.59,0.159,0.362,0.583,5
jnk inhibitor,0.508,0.303,0.034,0.175,0.995,0.184,2
leukotriene inhibitor,0.411,0.352,0.11,0.656,0.826,0.149,2
leukotriene receptor antagonist,0.278,0.616,0.267,0.706,0.581,0.42,5
lipase inhibitor,0.409,0.221,0.781,0.436,0.603,0.265,2
lipoxygenase inhibitor,0.447,0.275,0.43,0.291,0.66,0.671,3
matrix metalloprotease inhibitor,0.852,0.87,0.453,0.905,0.385,0.109,3
mdm inhibitor,0.912,0.636,0.46,0.005,0.0,0.0,3
mek inhibitor,0.001,0.0,0.0,0.0,0.0,0.0,8
membrane integrity inhibitor,0.048,0.796,0.578,0.482,0.131,0.123,2
membrane permeability inhibitor,0.196,0.713,0.331,0.28,0.19,0.694,2
microtubule inhibitor,0.466,0.537,0.19,0.372,0.511,0.075,4
mineralocorticoid receptor antagonist,0.914,0.921,0.856,0.68,0.795,0.267,3
monoamine oxidase inhibitor,0.685,0.123,0.11,0.34,0.474,0.257,6
mtor inhibitor,0.0,0.0,0.0,0.0,0.0,0.0,6
mtor inhibitor|pi3k inhibitor,0.231,0.044,0.016,0.0,0.0,0.0,4
mucolytic agent,0.725,0.975,0.39,0.271,0.591,0.563,3
neurotrophic agent,0.085,0.782,0.6,0.461,0.754,0.867,3
nfkb pathway inhibitor,0.122,0.56,0.521,0.62,0.695,0.464,5
nitric oxide donor,0.521,0.971,0.956,0.323,0.439,0.698,2
nitric oxide stimulant,0.995,0.951,0.872,0.818,0.202,0.571,2
nitric oxide synthase inhibitor,0.443,0.862,0.513,0.871,0.412,0.065,4
non-nucleoside reverse transcriptase inhibitor,0.707,0.668,0.868,0.124,0.806,0.155,4
norepinephrine reputake inhibitor|tricyclic antidepressant,0.009,0.305,0.014,0.011,0.984,0.047,2
nucleoside reverse transcriptase inhibitor,0.143,0.989,0.233,0.112,0.841,0.932,4
o6-alkylguanine-dna alkyltransferase inhibitor,0.508,0.404,0.171,0.599,0.889,0.278,2
opioid receptor agonist,0.578,0.245,0.019,0.694,0.719,0.172,3
opioid receptor agonist|opioid receptor antagonist,0.93,0.855,0.358,0.971,0.275,0.375,2
opioid receptor antagonist,0.115,0.112,0.204,0.816,0.372,0.455,4
orexin receptor antagonist,0.511,0.535,0.335,0.125,0.436,0.896,2
oxidative stress inducer,0.828,0.408,0.497,0.287,0.529,0.311,2
p38 mapk inhibitor,0.108,0.019,0.045,0.018,0.007,0.015,6
parp inhibitor,0.624,0.093,0.641,0.758,0.725,0.888,5
pdgfr tyrosine kinase receptor inhibitor|vegfr inhibitor,0.566,0.288,0.312,0.305,0.075,0.516,2
phosphodiesterase inhibitor,0.204,0.305,0.399,0.41,0.338,0.545,32
pi3k inhibitor,0.539,0.346,0.125,0.215,0.884,0.059,7
pim kinase inhibitor,0.31,0.575,0.763,0.927,0.653,0.683,2
pkc activator,0.0,0.001,0.0,0.001,0.002,0.001,2
pkc inhibitor,0.903,0.052,0.631,0.36,0.644,0.167,5
platelet activating factor receptor antagonist,0.972,0.877,0.048,0.52,0.931,0.14,2
plk inhibitor,0.001,0.0,0.0,0.0,0.0,0.0,4
potassium channel activator,0.882,0.847,0.653,0.471,0.813,0.53,6
potassium channel blocker,0.014,0.623,0.216,0.988,0.48,0.35,6
ppar receptor agonist,0.097,0.234,0.563,0.026,0.616,0.18,4
ppar receptor agonist|insulin sensitizer,0.726,0.64,0.878,0.159,0.278,0.094,3
progesterone receptor agonist,0.642,0.635,0.455,0.126,0.266,0.029,7
progesterone receptor antagonist,0.436,0.633,0.704,0.736,0.282,0.085,2
progestogen hormone,0.077,0.004,0.2,0.08,0.132,0.233,2
prostanoid receptor agonist,0.892,0.496,0.433,0.912,0.076,0.006,4
prostanoid receptor antagonist,0.084,0.11,0.54,0.427,0.14,0.933,4
protein synthesis inhibitor,0.381,0.097,0.975,0.975,0.781,0.909,6
protein synthesis stimulant,0.304,0.654,0.139,0.595,0.6,0.561,3
purine antagonist,0.671,0.375,0.491,0.081,0.004,0.0,2
purinergic receptor antagonist,0.695,0.47,0.012,0.689,0.887,0.467,3
raf inhibitor,0.153,0.182,0.226,0.361,0.473,0.527,5
retinoid receptor agonist,0.077,0.099,0.041,0.027,0.073,0.02,7
reverse transcriptase inhibitor,0.292,0.151,0.689,0.575,0.686,0.538,3
rho associated kinase inhibitor,0.932,0.872,0.551,0.212,0.458,0.234,6
ribonucleoside reductase inhibitor,0.859,0.846,0.547,0.768,0.439,0.873,2
ribonucleotide reductase inhibitor,0.92,0.438,0.833,0.862,0.804,0.884,2
rna polymerase inhibitor,0.255,0.447,0.163,0.562,0.601,0.502,8
rna synthesis inhibitor,0.896,0.268,0.716,0.832,0.24,0.884,2
selective serotonin reuptake inhibitor (ssri),0.951,0.891,0.735,0.559,0.832,0.134,4
serotonin receptor agonist,0.896,0.965,0.165,0.516,0.505,0.974,12
serotonin receptor agonist|serotonin receptor antagonist,0.079,0.216,0.853,0.049,0.077,0.372,3
serotonin receptor antagonist,0.42,0.276,0.091,0.09,0.198,0.144,14
serotonin reuptake inhibitor,0.163,0.928,0.463,0.468,0.274,0.184,5
sigma receptor antagonist,1.0,0.852,0.526,0.149,0.995,0.473,3
sodium channel blocker,0.032,0.352,0.077,0.003,0.038,0.322,11
sodium/glucose cotransporter inhibitor,0.933,0.234,0.049,0.09,0.436,0.731,2
sodium/potassium/chloride transporter inhibitor,0.278,0.069,0.775,0.194,0.877,0.173,2
sterol demethylase inhibitor,0.159,0.716,0.393,0.345,0.099,0.271,7
sulfonylurea,0.909,0.405,0.297,0.042,0.12,0.079,2
t-type calcium channel blocker,0.723,0.924,0.266,0.601,0.075,0.122,3
tachykinin antagonist,0.546,0.746,0.054,0.371,0.09,0.328,6
tgf beta receptor inhibitor,0.217,0.715,0.508,0.208,0.128,0.274,3
thrombin inhibitor,0.692,0.592,0.937,0.565,0.923,0.303,2
thromboxane receptor antagonist,0.5,0.712,0.707,0.458,0.922,0.955,2
thromboxane synthase inhibitor,0.961,0.245,0.51,0.241,0.152,0.022,2
thymidylate synthase inhibitor,0.214,0.546,0.344,0.766,0.687,0.567,2
thyrotropin releasing hormone receptor agonist,0.838,0.636,0.361,0.664,0.228,0.23,2
topoisomerase inhibitor,0.891,0.712,0.12,0.07,0.003,0.0,15
tricyclic antidepressant,0.65,0.704,0.265,0.2,0.495,0.295,2
trpv antagonist,0.492,0.874,0.847,0.541,0.415,0.64,2
tubulin inhibitor,0.022,0.537,0.948,0.152,0.0,0.0,8
tumor necrosis factor release inhibitor,0.815,0.516,0.197,0.784,0.563,0.453,2
tyrosinase inhibitor,0.283,0.441,0.32,0.059,0.225,0.269,2
tyrosine kinase inhibitor,0.312,0.629,0.166,0.912,0.962,0.887,4
vasopressin receptor antagonist,0.372,0.595,0.389,0.48,0.149,0.617,4
vegfr inhibitor,0.775,0.749,0.529,0.849,0.077,0.0,4
vesicular monoamine transporter inhibitor,0.174,0.668,0.129,0.196,0.32,0.415,2
vitamin d receptor agonist,0.387,0.173,0.032,0.298,0.329,0.037,6
xanthine oxidase inhibitor,0.271,0.635,0.128,0.39,0.182,0.591,4
xiap inhibitor,0.275,0.305,0.007,0.005,0.008,0.015,3
