compound	no_of_compounds	well	dose_recode	median_score	p_value
almorexant	5	K24	1	0.0987037445028826	0.076
altanserin	4	C18	1	0.0490707484194245	0.079
altrenogest	5	L06	1	0.209038477317295	0.0
altretamine	5	K24	1	0.1395633384489448	0.027
alvespimycin	5	A24	1	0.6044326899467896	0.0
alvimopan	5	P24	1	0.5434549105252775	0.118
alvocidib	5	B24	1	0.1724687862706212	0.001
am-24	5	I24	1	0.0543246635253709	0.079
amantadine	5	E24	1	0.1117094826994045	0.006
ambrisentan	2	I06	1	-0.0001519409689981	0.565
ambroxol	5	B24	1	0.1225331709659689	0.004
amd11070	2	M06	1	0.0320785375851837	0.405
amg-208	5	E12	1	0.0295518538593358	0.111
amg-232	5	J24	1	0.0453388834260844	0.173
amg-517	5	P06	1	0.1058636216468962	0.0
amikacin	5	P06	1	0.0521337455590915	0.039
amiloride	5	I12	1	0.0133785767267027	0.246
aminocaproic-acid	5	J12	1	0.018206863932895	0.164
aminoglutethimide	5	B18	1	0.0747171918404356	0.0
aminoguanidine	5	A12	1	0.0667324531469777	0.008
aminolevulinic-acid	5	H12	1	0.0425211307220216	0.01
aminosalicylic-acid	5	B12	1	0.0543838065282789	0.004
amiodarone	5	K18	1	0.038471676748852	0.033
amiprilose	5	I24	1	0.0528457068175979	0.091
amitifadine	5	E18	1	0.0303817034293152	0.162
amlexanox	5	E12	1	-0.0067169069955744	0.851
amlodipine	5	H12	1	0.0367404448913568	0.026
ammonium-glycyrrhizinate	5	O18	1	0.1284815481523941	0.0
amonafide	5	C18	1	0.031551670610223	0.226
amoxapine	4	I18	1	0.104244170683162	0.0
ampalex	5	A18	1	0.0221035755914634	0.39
amrinone	5	L12	1	0.010472811950466	0.384
amsacrine	5	D12	1	0.5390526114218643	0.0
amtolmetin-guacil	5	K06	1	0.0087271112585953	0.478
amuvatinib	5	M18	1	0.0626099804425481	0.002
anamorelin	4	E24	1	0.0565067905572046	0.251
anandamide	2	K18	1	-9.34702073893404e-05	0.593
andrographolide	5	N24	1	0.1524289851040733	0.0
anecortave-acetate	5	G24	1	0.0931912441176275	0.001
anidulafungin	5	J12	1	-0.0007357042312592	0.574
aniracetam	5	D24	1	0.0216451198367483	0.751
anisodamine	5	N06	1	0.0592757405301039	0.001
ap26113	5	B18	1	0.097643483691374	0.0
apafant	5	I06	1	-0.0049681956072299	0.784
apd668	5	L24	1	0.0833961320395548	0.008
aphidicolin	5	M06	1	0.2698931887214066	0.0
api-001	5	H18	1	0.0268541531137761	0.078
apixaban	5	P12	1	0.0997497335119889	0.001
apocynin	5	P24	1	0.2734921730455401	0.819
apremilast	5	D06	1	0.0147225381420159	0.276
aprepitant	5	K06	1	0.0403387148542399	0.028
arbutin	5	B18	1	0.0407670948102715	0.061
argatroban	5	J24	1	0.0528795963794513	0.088
arglabin	5	D18	1	0.0453814588725273	0.022
aripiprazole	5	F24	1	0.1293686979346491	0.0
arofylline	5	I12	1	0.0017780061038234	0.554
arry-334543	5	D12	1	0.0576620596184408	0.0
artesunate	5	M18	1	0.077832116833713	0.002
asa-404	5	G12	1	0.0357441061843831	0.036
asc-j9	5	P12	1	0.1129952681829792	0.0
asenapine	5	I18	1	0.0103884158951295	0.634
aspirin	5	O24	1	0.0714386472649466	0.059
at13387	5	F06	1	0.6110070818248381	0.0
ataluren	5	I06	1	0.0672478662940251	0.001
atenolol	5	B18	1	0.0217184082179722	0.318
atipamezole	2	F18	1	0.045806201199498	0.179
atn-161	4	D06	1	0.0334672526426985	0.077
atomoxetine	5	E12	1	0.0449389295936085	0.018
atorvastatin	5	H06	1	0.0188864448583931	0.244
atracurium	5	J24	1	0.1048834639369062	0.001
atrasentan	5	D24	1	0.0879592202993097	0.008
av-608	5	G24	1	0.0611178927020339	0.066
avagacestat	5	J06	1	0.0345191410029688	0.071
avanafil	5	L18	1	0.0100746562491312	0.449
avasimibe	5	B12	1	0.0429429803292084	0.031
avl-292	5	A24	1	0.0776923791984431	0.027
avn-944	5	A18	1	0.0592752352164952	0.043
azacitidine	5	L18	1	0.1107767775414633	0.0
azathioprine	5	F24	1	0.0880124304312781	0.012
azd1208	5	G06	1	0.0566822202631716	0.003
azd1480	5	L24	1	0.1436603185653315	0.0
azd1981	5	B18	1	0.0290689112883123	0.176
azd2014	5	H06	1	0.0806703612355301	0.0
azd3514	5	D24	1	0.1109192156136862	0.001
azd4547	5	B24	1	0.0694870644963889	0.123
azd5363	5	N12	1	0.0398358870340359	0.026
azd7545	5	B12	1	0.0362643771695528	0.063
azd7687	5	L18	1	0.013872538240442	0.366
azd7762	5	P12	1	0.0946670504598068	0.001
azd8931	5	M06	1	0.0742255162303927	0.009
azd9668	5	L24	1	0.058419776408139	0.084
azelaic-acid	5	F18	1	0.0282119856476929	0.137
azelastine	5	E12	1	0.0095360483720743	0.503
balaglitazone	4	B12	1	-0.0025707257485158	0.765
balapiravir	5	M18	1	0.082236909792103	0.002
balicatib	5	P24	1	0.6604762660656649	0.003
balsalazide	2	J12	1	0.0078254017431987	0.458
bambuterol	5	I24	1	0.0826369561900578	0.001
bardoxolone-methyl	5	H18	1	0.4954633456999762	0.0
basimglurant	5	E12	1	0.0225561830468206	0.221
batimastat	5	A24	1	0.136021625510449	0.0
bavisant	5	O18	1	0.0117439176691055	0.58
bay-87-2243	5	H06	1	0.2628050024516752	0.0
bazedoxifene	5	H12	1	0.0373456023889402	0.025
bci-540	5	I12	1	0.0169706449902236	0.185
beclomethasone-dipropionate	5	O18	1	0.482074761168526	0.0
belinostat	5	L24	1	0.1378039268654969	0.0
bemegride	5	N12	1	0.0683702857563536	0.0
benazepril	5	M18	1	0.036768807975206	0.057
bendamustine	5	J06	1	0.0278993239024119	0.132
bendroflumethiazide	5	O18	1	0.0227167943208173	0.323
benzbromarone	5	P24	1	0.4649009988738964	0.35
benzthiazide	5	E24	1	0.1086115876940247	0.008
benzydamine	5	J06	1	0.0479694153392675	0.01
benzylpenicillin	5	L24	1	0.1803631419143661	0.0
bepotastine	5	C06	1	0.0490432527615877	0.004
berberine	5	L18	1	0.0145536268816648	0.352
betahistine	5	J24	1	0.0669947491154651	0.015
betulinic-acid	2	B18	1	0.0405355342805308	0.294
bevirimat-dimeglumine	5	G24	1	0.1062920906391049	0.0
bexarotene	5	A18	1	0.1541413374965315	0.004
bezafibrate	5	K18	1	0.0697230608959301	0.0
bicalutamide	5	E06	1	0.0071933504198917	0.536
bifemelane	5	A18	1	0.1161342471626195	0.005
bifonazole	5	F06	1	0.0317131664631916	0.058
bimatoprost	5	J24	1	0.071721900967139	0.01
bindarit	5	O18	1	0.0754291121504414	0.001
biperiden	4	C12	1	0.026992874520081	0.187
birinapant	5	H24	1	0.1158022260834693	0.0
bisindolylmaleimide	5	B18	1	0.0506389249174862	0.018
bisoprolol	5	F18	1	0.0349279778068345	0.064
bitopertin	5	I12	1	0.0322741866020859	0.031
blonanserin	5	C12	1	0.0545577385345275	0.002
bms-599626	5	K24	1	0.0276269270040343	0.72
bms-707035	5	O24	1	0.1400161660420496	0.001
bms-927711	5	A18	1	0.0043882917080812	0.769
bopindolol	5	M24	1	0.276742234712687	0.267
bortezomib	5	D18	1	0.4563415978026296	0.0
bosentan	5	E06	1	0.0236144888705485	0.192
bosutinib	5	N24	1	0.1279255392676305	0.0
brequinar	5	K24	1	0.1586472607522129	0.019
bretazenil	5	N18	1	-0.0067925446890492	0.887
brexpiprazole	4	F06	1	0.0005768868078407	0.601
brivanib	5	C06	1	0.026427022919559	0.109
brivudine	5	H18	1	0.0558703648016472	0.001
bromocriptine	5	H12	1	0.0255355082681209	0.099
broxuridine	5	M24	1	0.3735212313899211	0.062
bruceantin	5	O12	1	0.6231579245244048	0.0
bts-54505	5	C12	1	0.0098523364375159	0.538
bucladesine	5	P24	1	0.5296987729914686	0.156
budipine	5	P12	1	0.0761716423967433	0.006
bumetanide	5	M12	1	0.0430880666702993	0.015
bupivacaine	4	G12	1	-0.0006541241792479	0.663
bupropion	5	F06	1	0.0520183287235536	0.005
buspirone	5	L06	1	0.0248854964516807	0.163
butoconazole	5	E24	1	0.0660407611999673	0.115
butorphanol-(+)-tartrate	2	L18	1	0.0120939134332123	0.479
bvd-523	5	D18	1	0.0611635226292642	0.003
cabazitaxel	5	J24	1	0.552364189122346	0.0
cabergoline	5	P24	1	0.6752844993402755	0.002
cabozantinib	5	C06	1	0.0249087641620562	0.13
caffeine	4	L12	1	0.0337520120484592	0.059
calcitriol	5	I18	1	0.062773003748576	0.002
camicinal	5	M12	1	0.0356488983449676	0.039
camptothecin	2	D12	1	0.3889442724476196	0.0
canagliflozin	5	M12	1	0.0181636930358364	0.218
candesartan	5	I24	1	0.0636869000004172	0.023
canertinib	5	B12	1	0.1259113305316601	0.0
canrenoic-acid	5	L18	1	0.0343372603645627	0.068
capecitabine	5	K18	1	0.0120147364610764	0.423
capsaicin	5	P18	1	0.0596289281251037	0.014
carbachol	5	E18	1	0.0488695767539814	0.024
carbamazepine	5	N06	1	0.0446089406839787	0.023
carbenoxolone	5	F06	1	0.0511273061260367	0.005
carbimazole	5	E06	1	0.010596437130992	0.439
carglumic-acid	5	N24	1	0.1437092301823164	0.0
cariprazine	5	J24	1	0.0844301320265301	0.002
carisoprodol	5	N24	1	0.1001027725274895	0.0
carprofen	5	I18	1	0.0646897000248314	0.002
carvedilol	5	N12	1	0.0425992466228468	0.02
cb-10-277-(free-acid)	5	N12	1	0.1030176759249711	0.0
cc-401	5	D24	1	0.0502265965760083	0.213
cc-930	5	J06	1	0.0231699266398434	0.219
cediranib	5	F24	1	0.0758745872258254	0.035
cefdinir	5	B18	1	0.0088608180232804	0.622
cefepime	5	A18	1	0.148881033462738	0.004
cefoperazone	4	I24	1	0.0785900884894426	0.011
cefotetan	5	N24	1	0.0783646617659713	0.005
cefozopran	5	L24	1	0.0978153503010181	0.001
celecoxib	4	L18	1	0.0419254909867642	0.05
cep-37440	5	O12	1	0.0019852972644631	0.653
cepharanthine	5	D24	1	0.0983586167465094	0.005
cgp12177	2	H06	1	-0.0204736378257226	0.754
chlorambucil	5	D24	1	0.0521003675460796	0.186
chlormezanone	5	O24	1	0.0359182207861115	0.514
chloroxine	5	I12	1	0.0423768622878849	0.008
chlorphenamine	5	D06	1	0.0124528329851905	0.34
chlorpromazine	5	G12	1	-0.0017690025438173	0.752
chlorpropamide	5	A18	1	0.2199400484817556	0.0
chlortalidone	5	O12	1	0.0489670768541011	0.011
cholic-acid	2	M18	1	0.0284848673987741	0.363
choline-alfoscerate	5	J24	1	0.0784572406880342	0.002
cianidanol	5	J12	1	0.041522155049917	0.005
ciclesonide	5	M06	1	0.4903201871091144	0.0
ciglitazone	5	D18	1	0.0370881058180258	0.055
cilengitide	5	C18	1	0.0577690083807549	0.017
cilomilast	2	F06	1	-0.0076637534721219	0.626
cilostazol	5	L18	1	0.0964317764373368	0.0
cimetidine	5	O18	1	0.043831519335233	0.048
cinaciguat	5	P24	1	0.6237326740954583	0.012
cinepazide	5	L18	1	0.1484155795314545	0.0
cinnarizine	5	N06	1	0.031837920310187	0.118
cinoxacin	5	K18	1	0.1040154588578495	0.0
ciprofloxacin	5	C18	1	0.0332473155090607	0.204
cisapride	5	F06	1	0.0732221958778833	0.0
citalopram	5	C18	1	0.0135261326080137	0.619
cladribine	5	K06	1	-0.0050333910226732	0.777
clarithromycin	5	H12	1	0.0568389429550352	0.001
clenbuterol	5	H06	1	-0.0054519843135239	0.793
climbazole	5	A12	1	0.0387525146550741	0.172
clinafloxacin	5	G12	1	0.0113071519614516	0.409
clindamycin	5	F06	1	0.1611983774443955	0.0
clinofibrate	5	G24	1	0.0474166661462092	0.226
clioquinol	5	H06	1	0.0102337098672458	0.426
clobetasol	5	D18	1	0.4848129981784414	0.0
clofarabine	5	I24	1	0.1398809299838409	0.0
clofazimine	5	D06	1	0.0425592178713822	0.011
clofibric-acid	5	A24	1	0.0879334204957569	0.008
clofoctol	4	L24	1	0.0867036867281623	0.017
clomethiazole	5	O12	1	0.0453386335011929	0.017
clomifene	5	E24	1	0.0616072765229161	0.152
clonazepam	2	D24	1	-0.0362756470862564	0.944
clonidine	5	B24	1	0.0613267008056994	0.21
clotrimazole	5	B24	1	0.1476493122062049	0.001
clozapine	2	A12	1	0.0930911526850696	0.07
co-102862	5	H18	1	0.0738109907101956	0.0
cobimetinib	4	O24	1	0.0811589165927992	0.045
colchicine	4	A24	1	0.2759023533323478	0.0
colforsin-daproate	5	D06	1	0.0439538195354885	0.01
combretastatin-a-4	5	O12	1	0.4217859129403569	0.0
conivaptan	2	A18	1	0.0396185095673949	0.324
cordycepin	5	L12	1	0.0123880299323619	0.336
cp-945,598	5	F24	1	0.0820826914685788	0.017
cpi-1189	5	N18	1	0.0289605762697486	0.168
cpi-613	5	K18	1	0.0220178520847074	0.204
cromoglicic-acid	5	L18	1	0.0228429842870156	0.183
ct-7758	5	P12	1	0.1558270189710909	0.0
cts-1027	5	P24	1	0.417245791275233	0.495
curcumin	5	N18	1	0.0614545217301493	0.003
cx-4945	5	C12	1	0.0350715389875601	0.071
cx-5461	5	D18	1	0.0885645927841095	0.0
cx516	5	B12	1	0.0160986238831304	0.388
cyanocobalamin	5	P24	1	0.4576551233761927	0.369
cyclizine	5	P12	1	0.0403487483062538	0.279
cyclobenzaprine	2	L12	1	-0.0341858999920465	0.829
cyclosporin-a	5	N06	1	0.4196020883104542	0.0
cyproheptadine	5	H18	1	0.0317503985352376	0.035
cyproterone-acetate	5	H12	1	0.0454366085364593	0.007
cytarabine	5	M12	1	0.0172440255959053	0.232
cytisine	5	A12	1	0.1164990867638451	0.0
d-serine	5	M12	1	0.0106257764840916	0.383
dabigatran-etexilate	5	F18	1	0.0167847779450686	0.337
dabrafenib	5	I24	1	0.1431819726634055	0.0
dacarbazine	5	N06	1	0.0390586589941079	0.057
dacinostat	5	E18	1	0.6220518169780006	0.0
dacomitinib	5	F24	1	0.175062940243311	0.0
danazol	5	A24	1	0.1011686255910583	0.004
danegaptide	5	N12	1	0.0458845538726423	0.008
dantrolene	5	C06	1	0.0041142281179066	0.567
danusertib	5	A12	1	0.1172594530990244	0.0
dapagliflozin	5	F18	1	0.0229457245091506	0.218
dapivirine	5	E06	1	0.1058977592571183	0.0
dapsone	5	F06	1	0.0648979283141998	0.0
darifenacin	5	F24	1	0.0671730655658582	0.087
darunavir	5	D18	1	0.0170209165838576	0.391
dasabuvir	4	M06	1	0.0140647131710624	0.528
dasatinib	5	L18	1	0.370226342246598	0.0
dazoxiben	5	G06	1	0.0517055766488414	0.005
decitabine	5	B24	1	0.2124590066412429	0.0
defactinib	2	N24	1	-0.0132093289356575	0.868
deferasirox	5	M24	1	0.2049858329175207	0.539
deferiprone	5	K06	1	0.0446569340741676	0.009
deforolimus	5	E24	1	0.5067268389980322	0.0
dehydroepiandrosterone	5	E12	1	0.0395786365489167	0.038
delanzomib	5	L06	1	0.5895331328918912	0.0
delivert	5	D18	1	0.024895890646834	0.233
deoxycholic-acid	5	P06	1	0.0932782427944535	0.0
dequalinium	5	M06	1	0.1422438363613041	0.0
desmopressin-acetate	5	L24	1	0.0628585615843901	0.056
dexamethasone	5	F06	1	0.3735441271994871	0.0
dexamethasone	5	N06	1	0.3735441271994871	0.0
dexfenfluramine	5	I12	1	0.0470096306284602	0.004
dexloxiglumide	5	P06	1	0.0463507882345962	0.07
dexniguldipine	2	O24	1	0.0251748585341767	0.584
dextromethorphan	5	G12	1	0.0391795246542636	0.027
diacerein	5	F24	1	0.0332878607619864	0.595
diazepam	5	E18	1	0.0819118020109845	0.0
diazoxide	5	P24	1	0.6277673557742061	0.01
diclofenac	5	C12	1	0.0145718058030761	0.41
diclofensine	5	M18	1	0.0820521379209839	0.002
dicloxacillin	5	H06	1	0.0103576215395393	0.425
dicoumarol	5	G24	1	0.0804316672591832	0.01
dideoxyadenosine	5	K18	1	0.0757823184194147	0.0
dienogest	5	J06	1	0.0335981963903919	0.074
diethylcarbamazine	5	C12	1	0.0403184411715422	0.037
diethylstilbestrol	5	C18	1	0.0326700652864295	0.212
diflunisal	5	G12	1	0.0530135541817162	0.006
dihydroergocristine	5	O18	1	0.0014830989952433	0.794
dihydroergotamine	5	N24	1	0.090898641741754	0.0
dilazep	5	N24	1	0.14765782320186	0.0
diltiazem	5	F18	1	0.0471777560904101	0.01
dimesna	5	O12	1	0.0520758755534936	0.007
dimethyl-fumarate	5	A12	1	0.068866572409535	0.007
diminazene-aceturate	5	C12	1	0.0389880833349088	0.043
dinaciclib	5	J06	1	0.3704117872296961	0.0
dinoprost	5	A12	1	0.1033146375557828	0.0
diosmin	5	E18	1	0.0074113829575192	0.653
diphenidol	4	H12	1	0.0243479860772578	0.16
dipraglurant	5	I18	1	0.0500032550623167	0.017
dipyridamole	5	P18	1	0.0723950626782863	0.003
disopyramide	5	M24	1	0.0594095138843695	0.953
disulfiram	5	E24	1	0.1271194805502324	0.005
dmp-777	5	L12	1	0.0212798141986368	0.176
docetaxel	5	H18	1	0.6110356221358966	0.0
dofequidar	5	N06	1	0.0820114340370185	0.0
dolutegravir	5	P12	1	0.1247924254139892	0.0
donepezil	5	L12	1	0.0321974920775544	0.048
donitriptan	5	I18	1	0.0504643706283709	0.017
dopamine	2	O12	1	0.0566012238399771	0.14
doramapimod	5	C06	1	0.121137021152115	0.0
dorzolamide	5	K18	1	0.0100436798044066	0.474
doxapram	5	F06	1	0.0241429626905598	0.122
doxazosin	5	H12	1	0.0658834785214241	0.0
doxepin	5	N06	1	0.063922218484239	0.001
doxifluridine	5	H24	1	0.0842068905185848	0.003
doxofylline	5	J12	1	0.0218877748910025	0.106
doxorubicin	5	L24	1	0.4564813567982915	0.0
doxycycline-hyclate	5	D12	1	0.0202152263739503	0.14
dpcpx	4	I06	1	0.0868916256839792	0.0
dpi-201106	5	H24	1	0.0459725446645974	0.235
dronedarone	5	G06	1	0.0048093484272732	0.588
droperidol	5	J06	1	0.0071111248635063	0.604
drospirenone	4	E12	1	-0.0004575175549238	0.69
du-728	5	E12	1	0.0392727998850717	0.039
duloxetine	5	L18	1	-0.0010354350795222	0.717
dutasteride	5	L06	1	0.0332168255458368	0.072
e-2012	5	O18	1	0.0225299898391557	0.327
ebselen	5	L24	1	0.0940215433395652	0.004
econazole	5	D18	1	0.0694132613605506	0.0
edoxaban	5	K24	1	0.071329664198014	0.164
edoxudine	5	E24	1	0.1291972056063828	0.005
efaproxiral	2	B12	1	-0.0651587724971638	0.966
efavirenz	2	G24	1	0.0044427560320498	0.724
eflornithine	5	L24	1	0.0845154994945214	0.008
elesclomol	5	O18	1	0.3221403643884929	0.0
ellagic-acid	5	P18	1	0.0890128558030202	0.001
emd-1214063	5	P12	1	0.0514921257712151	0.108
emd-53998	5	L06	1	0.0428401440673721	0.033
emedastine	5	M18	1	0.0889961071160449	0.002
emtricitabine	5	O24	1	0.0671109310040648	0.082
enalapril	5	H06	1	0.0480787113752796	0.006
enoxacin	5	L24	1	0.0984015455524491	0.001
entecavir	5	C06	1	0.0360872087455658	0.037
entinostat	5	A24	1	0.1016148658661714	0.004
enzalutamide	5	I24	1	0.1041031517958053	0.0
enzastaurin	5	P06	1	-0.0102944435938478	0.971
eperezolid	5	H12	1	0.0340059596959115	0.036
epinastine	5	M12	1	0.0066816017220801	0.489
epinephrine	5	E06	1	0.0231700378790676	0.196
epirizole	2	E24	1	-0.0001677174376525	0.824
epirubicin	5	E12	1	0.6873581362044643	0.0
epitiostanol	4	J24	1	0.184109482449544	0.0
epothilone-b	5	C12	1	0.6411329015284315	0.0
equol	5	L06	1	0.0715000905393153	0.002
ercalcitriol	5	J24	1	0.0683533641666575	0.013
erlotinib	5	G06	1	0.0658395566045448	0.0
erteberel	5	B24	1	0.0788191909575514	0.057
erythromycin	5	G12	1	0.0168692279410549	0.293
erythromycin	5	C12	1	0.0168692279410549	0.354
escitalopram	5	H24	1	0.0407597950967932	0.333
esmolol	5	M18	1	0.0047419650041085	0.703
estramustine	5	H12	1	0.0288369367127313	0.068
estramustine-phosphate	4	A12	1	0.0468056975517245	0.124
estriol	5	P18	1	0.0992437517589505	0.0
estrone	2	C18	1	-0.0089522241339379	0.737
etacrynic-acid	5	H12	1	0.0312688160956915	0.049
etanidazole	5	K18	1	0.0438259636677114	0.021
etazolate	5	J06	1	0.0339665341231337	0.073
ethinyl-estradiol	4	K06	1	0.0436567813880579	0.036
ethylenediaminetetraacetic-acid	5	B12	1	0.0930527637540625	0.0
etizolam	5	D12	1	0.0470128214201983	0.001
etodolac	5	J06	1	0.0294060319219695	0.111
etofylline-clofibrate	5	N18	1	0.0457026128551147	0.03
etomidate	5	O18	1	0.0544883375774232	0.01
etomoxir	5	E18	1	0.0267082061172962	0.214
etoposide	5	P24	1	0.6585799405048725	0.003
etoricoxib	5	K06	1	0.0803809851674156	0.0
etravirine	5	I12	1	0.0366396251020349	0.015
eugenol	5	M06	1	0.045313414731414	0.081
everolimus	5	H06	1	0.634966773221763	0.0
evp-6124	5	M06	1	0.0409626295048651	0.107
exalamide	5	C12	1	0.0216246132629894	0.245
exemestane	5	A24	1	0.1147938853418064	0.001
exherin	5	H18	1	0.0154266122855089	0.273
fadrozole	5	N18	1	0.0643435461707826	0.003
famciclovir	5	B24	1	0.0886755313049915	0.028
famotidine	4	D24	1	0.0338163947239774	0.5
faropenem	5	M06	1	0.3130623082344989	0.0
fasudil	5	L06	1	0.0368668229387786	0.054
favipiravir	5	B24	1	0.0738121092978298	0.088
fdcyd	5	P06	1	0.7990547923232119	0.0
febuxostat	5	I18	1	0.0463202860308489	0.026
felbinac	5	P18	1	0.0292018775516704	0.305
felodipine	5	G12	1	0.0305270599811027	0.073
fenobam	5	O18	1	0.0652422059091677	0.003
fenoterol	5	I06	1	0.030320317808668	0.093
fenticonazole	5	N24	1	0.0424957465531823	0.266
fexofenadine	5	L12	1	0.0225726196865916	0.15
fiacitabine	5	L24	1	0.0593411884780346	0.079
fidarestat	5	G12	1	-0.0015946365108498	0.747
fidaxomicin	5	D18	1	0.051290942724489	0.006
filgotinib	5	H18	1	0.0967425603055483	0.0
finasteride	5	A18	1	0.0403907648315398	0.136
fipronil	5	O24	1	0.0692817859925381	0.067
firategrast	5	L06	1	0.0282126374856729	0.124
flavoxate	5	H18	1	0.0324347943939601	0.032
flecainide	5	I06	1	0.0290596640924025	0.106
floxuridine	5	P18	1	0.7680175179968098	0.0
fluconazole	5	G24	1	0.0992738180532369	0.0
fludarabine-phosphate	5	K24	1	0.1526608762497533	0.019
fludroxycortide	5	N12	1	0.5586921698515808	0.0
flumatinib	5	F06	1	0.1184189607765734	0.0
flumazenil	5	M06	1	0.0170570998211989	0.494
fluocinonide	5	P12	1	0.5760883051263029	0.0
fluorometholone	5	G06	1	0.6762579365567953	0.0
fluorouracil	5	J24	1	0.1416483142727074	0.0
fluoxetine	5	A18	1	0.0417557953529202	0.124
fluphenazine	5	K24	1	0.0691373962109352	0.178
fluspirilene	5	L12	1	0.0330439353496751	0.043
flutamide	5	A24	1	0.0527249143099464	0.215
fluticasone	5	B24	1	0.5478754432881496	0.0
flutrimazole	4	B18	1	0.0300752519254038	0.213
fluvoxamine	5	H18	1	0.0232876337967249	0.129
folic-acid	5	O24	1	0.1002607623945772	0.004
fomepizole	5	F06	1	0.03562584098412	0.034
fomocaine	5	B18	1	0.0434707459852974	0.042
foretinib	4	P24	1	0.7370644986307686	0.0
formestane	5	O18	1	0.1635773411067826	0.0
formoterol	5	I18	1	0.0304490546316081	0.17
forskolin	5	J12	1	0.0465534459701381	0.002
fosfomycin	5	I24	1	0.0725252692450521	0.007
fostamatinib	5	D24	1	0.1069683496352745	0.001
fpl-62064	5	M12	1	0.030614094342671	0.07
ftorafur	5	O12	1	0.0143187279935853	0.348
fulvestrant	4	O12	1	0.0628769996097273	0.006
fusidic-acid	5	L18	1	0.0201732430957742	0.232
gabapentin	5	M24	1	0.5255596404760656	0.002
galeterone	5	A18	1	0.0377861332643461	0.155
ganaxolone	5	H24	1	0.0549079632093811	0.109
gatifloxacin	5	B12	1	0.0213033321573867	0.264
gdc-0068	5	I12	1	0.0301842662528413	0.04
gdc-0152	5	M06	1	0.1722884250112537	0.0
gdc-0199	5	G06	1	0.0709127658027154	0.0
gdc-0834	5	H12	1	0.0403070518437082	0.015
gefitinib	5	H18	1	0.0460895437721842	0.004
gemcitabine	5	N18	1	0.6790033611949897	0.0
gemfibrozil	5	M24	1	0.1285048046707049	0.804
gemifloxacin	2	H24	1	-0.0484567394522418	0.971
genz-644282	5	E06	1	0.7458661266365303	0.0
gestrinone	5	P18	1	0.1619505173593375	0.0
gimeracil	5	N18	1	0.0599771810423923	0.004
ginkgolide-b	5	F18	1	0.0164567606246293	0.344
glasdegib	5	L06	1	0.032485541283128	0.078
gliclazide	5	P06	1	0.0300596366822758	0.266
glimepiride	5	K24	1	0.1279897147724487	0.041
glipizide	5	B18	1	0.1421024037517695	0.0
gliquidone	5	B18	1	0.0573906576358995	0.004
glycitein	5	M18	1	0.040468391080893	0.033
glycopyrrolate	5	N24	1	0.076600909946461	0.006
golvatinib	5	F18	1	0.0153831402836791	0.37
goserelin-acetate	5	L24	1	0.0506795337415599	0.148
granisetron	5	M12	1	0.0551276557459391	0.001
grazoprevir	5	N12	1	0.0355062942782396	0.041
griseofulvin	5	C06	1	0.062842959615441	0.0
gsk1292263	5	G24	1	0.1034778419619724	0.0
gsk2110183	5	A12	1	0.0724708180941432	0.004
gsk256066	2	B24	1	0.0886351311123357	0.219
