assay	compound	moa	dose	well	no_of_replicates_per_compound	median_replicate_correlation_compound	p_value_compound	no_of_compounds_per_moa	median_replicate_correlation_moa	p_value_moa
Cell Painting	afloqualone	acetylcholine receptor antagonist	0.04 uM	E12	5	0.0323784174845563	0.09	21	0.01926218300767919	0.017
Cell Painting	agi-5198	isocitrate dehydrogenase inhibitor	0.04 uM	I18	5	0.0716309782363705	0	NA	NA	NA
Cell Painting	agi-6780	isocitrate dehydrogenase inhibitor	0.04 uM	C12	5	0.0063990784921024	0.601	NA	NA	NA
Cell Painting	agomelatine	NA	0.04 uM	L06	5	0.0335088296594167	0.071	NA	NA	NA
Cell Painting	agp-103	membrane permeability inhibitor	0.04 uM	N12	5	0.0075646348909057	0.47	NA	NA	NA
Cell Painting	alaproclate	serotonin receptor antagonist	0.04 uM	M12	5	0.0382078656566186	0.027	12	0.005230060789545676	0.593
Cell Painting	albendazole	tubulin inhibitor	0.04 uM	P06	5	0.0501501875715552	0.05	8	0.024847294200385166	0.07
Cell Painting	alectinib	alk tyrosine kinase receptor inhibitor	0.04 uM	P12	5	0.090510989300588	0.001	3	0.006649767814332792	0.48
Cell Painting	alisertib	aurora kinase inhibitor	0.04 uM	F24	5	0.3170913259173754	0	NA	NA	NA
Cell Painting	aliskiren	NA	0.04 uM	I12	5	0.0193177399042178	0.148	NA	NA	NA
Cell Painting	alizapride	dopamine receptor antagonist	0.04 uM	M18	4	0.055621829621285	0.019	19	0.013710181290233398	0.108
Cell Painting	allopurinol	xanthine oxidase inhibitor	0.04 uM	O12	5	0.0642615499052557	0.002	3	-0.0021678447686048954	0.602
Cell Painting	almitrine	NA	0.04 uM	O24	5	0.0943863994376786	0.011	NA	NA	NA
Cell Painting	almorexant	orexin receptor antagonist	0.04 uM	K24	5	0.0987037445028826	0.076	NA	NA	NA
Cell Painting	altanserin	serotonin receptor antagonist	0.04 uM	C18	4	0.0490707484194245	0.079	12	0.005230060789545676	0.593
Cell Painting	altrenogest	progestogen hormone	0.04 uM	L06	5	0.209038477317295	0	NA	NA	NA
Cell Painting	altretamine	dna synthesis inhibitor	0.04 uM	K24	5	0.1395633384489448	0.027	7	0.003188081188048955	0.625
Cell Painting	alvespimycin	hsp inhibitor	0.04 uM	A24	5	0.6044326899467896	0	5	0.02379169236146562	0.167
Cell Painting	alvimopan	opioid receptor antagonist	0.04 uM	P24	5	0.5434549105252775	0.118	4	-0.014102737134859164	0.866
Cell Painting	alvocidib	cdk inhibitor	0.04 uM	B24	5	0.1724687862706212	0.001	7	0.06292101865817265	0.001
Cell Painting	am-24	lipoxygenase inhibitor	0.04 uM	I24	5	0.0543246635253709	0.079	3	0.00812330882366598	0.462
Cell Painting	amantadine	glutamate receptor antagonist	0.04 uM	E24	5	0.1117094826994045	0.006	5	0.011282716042554295	0.407
Cell Painting	ambrisentan	endothelin receptor antagonist	0.04 uM	I06	2	-1.519409689981e-4	0.565	4	0.011250236983128853	0.419
Cell Painting	ambroxol	sodium channel blocker	0.04 uM	B24	5	0.1225331709659689	0.004	11	0.007823638702414114	0.468
Cell Painting	amd11070	cc chemokine receptor antagonist	0.04 uM	M06	2	0.0320785375851837	0.405	7	3.7888178986534746e-4	0.701
Cell Painting	amg-208	tyrosine kinase inhibitor	0.04 uM	E12	5	0.0295518538593358	0.111	4	0.02362863281476522	0.218
Cell Painting	amg-232	mdm inhibitor	0.04 uM	J24	5	0.0453388834260844	0.173	3	0.07607910968342606	0.018
Cell Painting	amg-517	trpv antagonist	0.04 uM	P06	5	0.1058636216468962	0	NA	NA	NA
Cell Painting	amikacin	bacterial 30s ribosomal subunit inhibitor	0.04 uM	P06	5	0.0521337455590915	0.039	5	-0.016825354842652844	0.94
Cell Painting	amiloride	sodium channel blocker	0.04 uM	I12	5	0.0133785767267027	0.246	11	0.007823638702414114	0.468
Cell Painting	aminocaproic-acid	NA	0.04 uM	J12	5	0.018206863932895	0.164	NA	NA	NA
Cell Painting	aminoglutethimide	NA	0.04 uM	B18	5	0.0747171918404356	0	NA	NA	NA
Cell Painting	aminoguanidine	nitric oxide synthase inhibitor	0.04 uM	A12	5	0.0667324531469777	0.008	4	-0.0012199731205503423	0.669
Cell Painting	aminolevulinic-acid	oxidative stress inducer	0.04 uM	H12	5	0.0425211307220216	0.01	NA	NA	NA
Cell Painting	aminosalicylic-acid	cyclooxygenase inhibitor	0.04 uM	B12	5	0.0543838065282789	0.004	27	0.0017630000888233886	0.93
Cell Painting	amiodarone	potassium channel blocker	0.04 uM	K18	5	0.038471676748852	0.033	4	-0.010366752422887622	0.815
Cell Painting	amiprilose	NA	0.04 uM	I24	5	0.0528457068175979	0.091	NA	NA	NA
Cell Painting	amitifadine	NA	0.04 uM	E18	5	0.0303817034293152	0.162	NA	NA	NA
Cell Painting	amlexanox	histamine receptor modulator	0.04 uM	E12	5	-0.0067169069955744	0.851	NA	NA	NA
Cell Painting	amlodipine	calcium channel blocker	0.04 uM	H12	5	0.0367404448913568	0.026	15	-5.641048459745336e-4	0.904
Cell Painting	ammonium-glycyrrhizinate	thrombin inhibitor	0.04 uM	O18	5	0.1284815481523941	0	NA	NA	NA
Cell Painting	amonafide	topoisomerase inhibitor	0.04 uM	C18	5	0.031551670610223	0.226	15	0.006913620207003219	0.513
Cell Painting	amoxapine	NA	0.04 uM	I18	4	0.104244170683162	0	NA	NA	NA
Cell Painting	ampalex	glutamate receptor agonist	0.04 uM	A18	5	0.0221035755914634	0.39	4	-0.03952809846765237	0.991
Cell Painting	amrinone	phosphodiesterase inhibitor	0.04 uM	L12	5	0.010472811950466	0.384	28	0.007999917226326574	0.426
Cell Painting	amsacrine	topoisomerase inhibitor	0.04 uM	D12	5	0.5390526114218643	0	15	0.006913620207003219	0.513
Cell Painting	amtolmetin-guacil	cyclooxygenase inhibitor	0.04 uM	K06	5	0.0087271112585953	0.478	27	0.0017630000888233886	0.93
Cell Painting	amuvatinib	NA	0.04 uM	M18	5	0.0626099804425481	0.002	NA	NA	NA
Cell Painting	anamorelin	growth hormone secretagogue receptor agonist	0.04 uM	E24	4	0.0565067905572046	0.251	NA	NA	NA
Cell Painting	anandamide	cannabinoid receptor agonist	0.04 uM	K18	2	-9.34702073893404e-5	0.593	3	0.00494214238960245	0.509
Cell Painting	andrographolide	NA	0.04 uM	N24	5	0.1524289851040733	0	NA	NA	NA
Cell Painting	anecortave-acetate	NA	0.04 uM	G24	5	0.0931912441176275	0.001	NA	NA	NA
Cell Painting	anidulafungin	NA	0.04 uM	J12	5	-7.357042312592e-4	0.574	NA	NA	NA
Cell Painting	aniracetam	glutamate receptor agonist	0.04 uM	D24	5	0.0216451198367483	0.751	4	-0.03952809846765237	0.991
Cell Painting	anisodamine	NA	0.04 uM	N06	5	0.0592757405301039	0.001	NA	NA	NA
Cell Painting	ap26113	alk tyrosine kinase receptor inhibitor	0.04 uM	B18	5	0.097643483691374	0	3	0.006649767814332792	0.48
Cell Painting	apafant	platelet activating factor receptor antagonist	0.04 uM	I06	5	-0.0049681956072299	0.784	NA	NA	NA
Cell Painting	apd668	glucose-dependent insulinotropic receptor (gdir, gpr119) agonists	0.04 uM	L24	5	0.0833961320395548	0.008	NA	NA	NA
Cell Painting	aphidicolin	rna synthesis inhibitor	0.04 uM	M06	5	0.2698931887214066	0	NA	NA	NA
Cell Painting	api-001	sigma receptor antagonist	0.04 uM	H18	5	0.0268541531137761	0.078	3	0.019860174685243776	0.313
Cell Painting	apixaban	coagulation factor inhibitor	0.04 uM	P12	5	0.0997497335119889	0.001	4	0.02913683354879461	0.144
Cell Painting	apocynin	NA	0.04 uM	P24	5	0.2734921730455401	0.819	NA	NA	NA
Cell Painting	apremilast	phosphodiesterase inhibitor	0.04 uM	D06	5	0.0147225381420159	0.276	28	0.007999917226326574	0.426
Cell Painting	aprepitant	tachykinin antagonist	0.04 uM	K06	5	0.0403387148542399	0.028	6	0.027084427959567323	0.108
Cell Painting	arbutin	NA	0.04 uM	B18	5	0.0407670948102715	0.061	NA	NA	NA
Cell Painting	argatroban	thrombin inhibitor	0.04 uM	J24	5	0.0528795963794513	0.088	NA	NA	NA
Cell Painting	arglabin	farnesyltransferase inhibitor	0.04 uM	D18	5	0.0453814588725273	0.022	3	0.019493822025181178	0.315
Cell Painting	aripiprazole	serotonin receptor agonist|serotonin receptor antagonist	0.04 uM	F24	5	0.1293686979346491	0	3	0.007557213768043629	0.471
Cell Painting	arofylline	phosphodiesterase inhibitor	0.04 uM	I12	5	0.0017780061038234	0.554	28	0.007999917226326574	0.426
Cell Painting	arry-334543	egfr inhibitor	0.04 uM	D12	5	0.0576620596184408	0	13	0.06073401259360432	0
Cell Painting	artesunate	dna synthesis inhibitor	0.04 uM	M18	5	0.077832116833713	0.002	7	0.003188081188048955	0.625
Cell Painting	asa-404	angiogenesis inhibitor	0.04 uM	G12	5	0.0357441061843831	0.036	NA	NA	NA
Cell Painting	asc-j9	NA	0.04 uM	P12	5	0.1129952681829792	0	NA	NA	NA
Cell Painting	asenapine	dopamine receptor antagonist|serotonin receptor antagonist	0.04 uM	I18	5	0.0103884158951295	0.634	9	-0.004271014123936502	0.894
Cell Painting	aspirin	cyclooxygenase inhibitor	0.04 uM	O24	5	0.0714386472649466	0.059	27	0.0017630000888233886	0.93
Cell Painting	at13387	NA	0.04 uM	F06	5	0.6110070818248381	0	NA	NA	NA
Cell Painting	ataluren	NA	0.04 uM	I06	5	0.0672478662940251	0.001	NA	NA	NA
Cell Painting	atenolol	adrenergic receptor antagonist	0.04 uM	B18	5	0.0217184082179722	0.318	31	0.011885553217579345	0.134
Cell Painting	atipamezole	adrenergic receptor antagonist	0.04 uM	F18	2	0.045806201199498	0.179	31	0.011885553217579345	0.134
Cell Painting	atn-161	integrin antagonist	0.04 uM	D06	4	0.0334672526426985	0.077	5	-0.00843796183850958	0.838
Cell Painting	atomoxetine	NA	0.04 uM	E12	5	0.0449389295936085	0.018	NA	NA	NA
Cell Painting	atorvastatin	hmgcr inhibitor	0.04 uM	H06	5	0.0188864448583931	0.244	5	0.040273443337700866	0.045
Cell Painting	atracurium	acetylcholine receptor antagonist	0.04 uM	J24	5	0.1048834639369062	0.001	21	0.01926218300767919	0.017
Cell Painting	atrasentan	endothelin receptor antagonist	0.04 uM	D24	5	0.0879592202993097	0.008	4	0.011250236983128853	0.419
Cell Painting	av-608	tachykinin antagonist	0.04 uM	G24	5	0.0611178927020339	0.066	6	0.027084427959567323	0.108
Cell Painting	avagacestat	gamma secretase inhibitor	0.04 uM	J06	5	0.0345191410029688	0.071	7	0.024607742402900517	0.105
Cell Painting	avanafil	phosphodiesterase inhibitor	0.04 uM	L18	5	0.0100746562491312	0.449	28	0.007999917226326574	0.426
Cell Painting	avasimibe	acat inhibitor	0.04 uM	B12	5	0.0429429803292084	0.031	3	0.004444607026614167	0.513
Cell Painting	avl-292	bruton's tyrosine kinase (btk) inhibitor	0.04 uM	A24	5	0.0776923791984431	0.027	NA	NA	NA
Cell Painting	avn-944	inosine monophosphate dehydrogenase inhibitor	0.04 uM	A18	5	0.0592752352164952	0.043	NA	NA	NA
Cell Painting	azacitidine	dna methyltransferase inhibitor	0.04 uM	L18	5	0.1107767775414633	0	3	0.0786813181345641	0.014
Cell Painting	azathioprine	NA	0.04 uM	F24	5	0.0880124304312781	0.012	NA	NA	NA
Cell Painting	azd1208	pim kinase inhibitor	0.04 uM	G06	5	0.0566822202631716	0.003	NA	NA	NA
Cell Painting	azd1480	jak inhibitor	0.04 uM	L24	5	0.1436603185653315	0	5	0.023890698580018275	0.165
Cell Painting	azd1981	NA	0.04 uM	B18	5	0.0290689112883123	0.176	NA	NA	NA
Cell Painting	azd2014	mtor inhibitor	0.04 uM	H06	5	0.0806703612355301	0	6	0.2106155766144697	0
Cell Painting	azd3514	NA	0.04 uM	D24	5	0.1109192156136862	0.001	NA	NA	NA
Cell Painting	azd4547	NA	0.04 uM	B24	5	0.0694870644963889	0.123	NA	NA	NA
Cell Painting	azd5363	akt inhibitor	0.04 uM	N12	5	0.0398358870340359	0.026	6	0.02062407844320813	0.184
Cell Painting	azd7545	NA	0.04 uM	B12	5	0.0362643771695528	0.063	NA	NA	NA
Cell Painting	azd7687	diacylglycerol o acyltransferase inhibitor	0.04 uM	L18	5	0.013872538240442	0.366	NA	NA	NA
Cell Painting	azd7762	NA	0.04 uM	P12	5	0.0946670504598068	0.001	NA	NA	NA
Cell Painting	azd8931	egfr inhibitor	0.04 uM	M06	5	0.0742255162303927	0.009	13	0.06073401259360432	0
Cell Painting	azd9668	elastase inhibitor	0.04 uM	L24	5	0.058419776408139	0.084	NA	NA	NA
Cell Painting	azelaic-acid	tyrosinase inhibitor	0.04 uM	F18	5	0.0282119856476929	0.137	NA	NA	NA
Cell Painting	azelastine	histamine receptor antagonist	0.04 uM	E12	5	0.0095360483720743	0.503	24	0.004609950831646434	0.727
Cell Painting	balaglitazone	NA	0.04 uM	B12	4	-0.0025707257485158	0.765	NA	NA	NA
Cell Painting	balapiravir	rna polymerase inhibitor	0.04 uM	M18	5	0.082236909792103	0.002	7	0.014843349451517976	0.273
Cell Painting	balicatib	cathepsin inhibitor	0.04 uM	P24	5	0.6604762660656649	0.003	NA	NA	NA
Cell Painting	balsalazide	cyclooxygenase inhibitor	0.04 uM	J12	2	0.0078254017431987	0.458	27	0.0017630000888233886	0.93
Cell Painting	bambuterol	adrenergic receptor agonist	0.04 uM	I24	5	0.0826369561900578	0.001	20	0.0050159376071951586	0.683
Cell Painting	bardoxolone-methyl	NA	0.04 uM	H18	5	0.4954633456999762	0	NA	NA	NA
Cell Painting	basimglurant	glutamate receptor antagonist	0.04 uM	E12	5	0.0225561830468206	0.221	5	0.011282716042554295	0.407
Cell Painting	batimastat	matrix metalloprotease inhibitor	0.04 uM	A24	5	0.136021625510449	0	3	-0.016643512842329778	0.79
Cell Painting	bavisant	histamine receptor antagonist	0.04 uM	O18	5	0.0117439176691055	0.58	24	0.004609950831646434	0.727
Cell Painting	bay-87-2243	NA	0.04 uM	H06	5	0.2628050024516752	0	NA	NA	NA
Cell Painting	bazedoxifene	NA	0.04 uM	H12	5	0.0373456023889402	0.025	NA	NA	NA
Cell Painting	bci-540	glutamate receptor agonist	0.04 uM	I12	5	0.0169706449902236	0.185	4	-0.03952809846765237	0.991
Cell Painting	beclomethasone-dipropionate	NA	0.04 uM	O18	5	0.482074761168526	0	NA	NA	NA
Cell Painting	belinostat	hdac inhibitor	0.04 uM	L24	5	0.1378039268654969	0	13	0.011561508952758679	0.251
Cell Painting	bemegride	NA	0.04 uM	N12	5	0.0683702857563536	0	NA	NA	NA
Cell Painting	benazepril	angiotensin converting enzyme inhibitor	0.04 uM	M18	5	0.036768807975206	0.057	8	0.019951211623272454	0.139
Cell Painting	bendamustine	dna inhibitor	0.04 uM	J06	5	0.0278993239024119	0.132	5	0.019653161377477427	0.229
Cell Painting	bendroflumethiazide	sodium/potassium/chloride transporter inhibitor	0.04 uM	O18	5	0.0227167943208173	0.323	NA	NA	NA
Cell Painting	benzbromarone	NA	0.04 uM	P24	5	0.4649009988738964	0.35	NA	NA	NA
Cell Painting	benzthiazide	carbonic anhydrase inhibitor	0.04 uM	E24	5	0.1086115876940247	0.008	5	0.018438412485437802	0.247
Cell Painting	benzydamine	prostanoid receptor antagonist	0.04 uM	J06	5	0.0479694153392675	0.01	3	-0.04396586988148156	0.97
Cell Painting	benzylpenicillin	NA	0.04 uM	L24	5	0.1803631419143661	0	NA	NA	NA
Cell Painting	bepotastine	histamine receptor antagonist	0.04 uM	C06	5	0.0490432527615877	0.004	24	0.004609950831646434	0.727
Cell Painting	berberine	NA	0.04 uM	L18	5	0.0145536268816648	0.352	NA	NA	NA
Cell Painting	betahistine	NA	0.04 uM	J24	5	0.0669947491154651	0.015	NA	NA	NA
Cell Painting	betulinic-acid	NA	0.04 uM	B18	2	0.0405355342805308	0.294	NA	NA	NA
Cell Painting	bevirimat-dimeglumine	NA	0.04 uM	G24	5	0.1062920906391049	0	NA	NA	NA
Cell Painting	bexarotene	retinoid receptor agonist	0.04 uM	A18	5	0.1541413374965315	0.004	6	0.11777264412640784	0
Cell Painting	bezafibrate	ppar receptor agonist	0.04 uM	K18	5	0.0697230608959301	0	3	-0.014673691648730015	0.775
Cell Painting	bicalutamide	androgen receptor antagonist	0.04 uM	E06	5	0.0071933504198917	0.536	5	0.029894772440498492	0.099
Cell Painting	bifemelane	acetylcholine release stimulant	0.04 uM	A18	5	0.1161342471626195	0.005	NA	NA	NA
Cell Painting	bifonazole	sterol demethylase inhibitor	0.04 uM	F06	5	0.0317131664631916	0.058	7	0.02059483632663678	0.148
Cell Painting	bimatoprost	prostanoid receptor agonist	0.04 uM	J24	5	0.071721900967139	0.01	3	-0.011154419659018828	0.73
Cell Painting	bindarit	nfkb pathway inhibitor	0.04 uM	O18	5	0.0754291121504414	0.001	4	-0.003903807719018207	0.724
Cell Painting	biperiden	acetylcholine receptor antagonist	0.04 uM	C12	4	0.026992874520081	0.187	21	0.01926218300767919	0.017
Cell Painting	birinapant	xiap inhibitor	0.04 uM	H24	5	0.1158022260834693	0	3	0.07731236370118862	0.016
Cell Painting	bisindolylmaleimide	NA	0.04 uM	B18	5	0.0506389249174862	0.018	NA	NA	NA
Cell Painting	bisoprolol	adrenergic receptor antagonist	0.04 uM	F18	5	0.0349279778068345	0.064	31	0.011885553217579345	0.134
Cell Painting	bitopertin	NA	0.04 uM	I12	5	0.0322741866020859	0.031	NA	NA	NA
Cell Painting	blonanserin	dopamine receptor antagonist|serotonin receptor antagonist	0.04 uM	C12	5	0.0545577385345275	0.002	9	-0.004271014123936502	0.894
Cell Painting	bms-599626	NA	0.04 uM	K24	5	0.0276269270040343	0.72	NA	NA	NA
Cell Painting	bms-707035	hiv integrase inhibitor	0.04 uM	O24	5	0.1400161660420496	0.001	3	0.03366942422485762	0.173
Cell Painting	bms-927711	calcitonin antagonist	0.04 uM	A18	5	0.0043882917080812	0.769	3	0.03451345561258935	0.166
Cell Painting	bopindolol	adrenergic receptor antagonist	0.04 uM	M24	5	0.276742234712687	0.267	31	0.011885553217579345	0.134
Cell Painting	bortezomib	NA	0.04 uM	D18	5	0.4563415978026296	0	NA	NA	NA
Cell Painting	bosentan	endothelin receptor antagonist	0.04 uM	E06	5	0.0236144888705485	0.192	4	0.011250236983128853	0.419
Cell Painting	bosutinib	NA	0.04 uM	N24	5	0.1279255392676305	0	NA	NA	NA
Cell Painting	brequinar	dihydroorotate dehydrogenase inhibitor	0.04 uM	K24	5	0.1586472607522129	0.019	NA	NA	NA
Cell Painting	bretazenil	NA	0.04 uM	N18	5	-0.0067925446890492	0.887	NA	NA	NA
Cell Painting	brexpiprazole	NA	0.04 uM	F06	4	5.768868078407e-4	0.601	NA	NA	NA
Cell Painting	brivanib	fgfr inhibitor|vegfr inhibitor	0.04 uM	C06	5	0.026427022919559	0.109	3	-0.01766182125941162	0.797
Cell Painting	brivudine	dna directed dna polymerase inhibitor	0.04 uM	H18	5	0.0558703648016472	0.001	NA	NA	NA
Cell Painting	bromocriptine	dopamine receptor agonist	0.04 uM	H12	5	0.0255355082681209	0.099	9	0.0012615748154992347	0.734
Cell Painting	broxuridine	NA	0.04 uM	M24	5	0.3735212313899211	0.062	NA	NA	NA
Cell Painting	bruceantin	protein synthesis inhibitor	0.04 uM	O12	5	0.6231579245244048	0	6	0.007533874306028405	0.484
Cell Painting	bts-54505	dopamine reuptake inhibitor	0.04 uM	C12	5	0.0098523364375159	0.538	NA	NA	NA
Cell Painting	bucladesine	NA	0.04 uM	P24	5	0.5296987729914686	0.156	NA	NA	NA
Cell Painting	budipine	glutamate receptor antagonist	0.04 uM	P12	5	0.0761716423967433	0.006	5	0.011282716042554295	0.407
Cell Painting	bumetanide	NA	0.04 uM	M12	5	0.0430880666702993	0.015	NA	NA	NA
Cell Painting	bupivacaine	sodium channel blocker	0.04 uM	G12	4	-6.541241792479e-4	0.663	11	0.007823638702414114	0.468
Cell Painting	bupropion	dopamine uptake inhibitor	0.04 uM	F06	5	0.0520183287235536	0.005	NA	NA	NA
Cell Painting	buspirone	serotonin receptor agonist	0.04 uM	L06	5	0.0248854964516807	0.163	12	0.0044449632247989925	0.638
Cell Painting	butoconazole	bacterial cell wall synthesis inhibitor	0.04 uM	E24	5	0.0660407611999673	0.115	14	0.008101778622211226	0.431
Cell Painting	butorphanol-(+)-tartrate	NA	0.04 uM	L18	2	0.0120939134332123	0.479	NA	NA	NA
Cell Painting	bvd-523	NA	0.04 uM	D18	5	0.0611635226292642	0.003	NA	NA	NA
Cell Painting	cabazitaxel	microtubule inhibitor	0.04 uM	J24	5	0.552364189122346	0	3	0.018612372866224455	0.324
Cell Painting	cabergoline	dopamine receptor agonist	0.04 uM	P24	5	0.6752844993402755	0.002	9	0.0012615748154992347	0.734
Cell Painting	cabozantinib	NA	0.04 uM	C06	5	0.0249087641620562	0.13	NA	NA	NA
Cell Painting	caffeine	NA	0.04 uM	L12	4	0.0337520120484592	0.059	NA	NA	NA
Cell Painting	calcitriol	vitamin d receptor agonist	0.04 uM	I18	5	0.062773003748576	0.002	5	0.038206611727519726	0.049
Cell Painting	camicinal	NA	0.04 uM	M12	5	0.0356488983449676	0.039	NA	NA	NA
Cell Painting	camptothecin	topoisomerase inhibitor	0.04 uM	D12	2	0.3889442724476196	0	15	0.006913620207003219	0.513
Cell Painting	canagliflozin	sodium/glucose cotransporter inhibitor	0.04 uM	M12	5	0.0181636930358364	0.218	NA	NA	NA
Cell Painting	candesartan	angiotensin receptor antagonist	0.04 uM	I24	5	0.0636869000004172	0.023	4	-0.0012266702480597455	0.669
Cell Painting	canertinib	egfr inhibitor	0.04 uM	B12	5	0.1259113305316601	0	13	0.06073401259360432	0
Cell Painting	canrenoic-acid	mineralocorticoid receptor antagonist	0.04 uM	L18	5	0.0343372603645627	0.068	3	0.0459448675486799	0.094
Cell Painting	capecitabine	NA	0.04 uM	K18	5	0.0120147364610764	0.423	NA	NA	NA
Cell Painting	capsaicin	NA	0.04 uM	P18	5	0.0596289281251037	0.014	NA	NA	NA
Cell Painting	carbachol	NA	0.04 uM	E18	5	0.0488695767539814	0.024	NA	NA	NA
Cell Painting	carbamazepine	NA	0.04 uM	N06	5	0.0446089406839787	0.023	NA	NA	NA
Cell Painting	carbenoxolone	NA	0.04 uM	F06	5	0.0511273061260367	0.005	NA	NA	NA
Cell Painting	carbimazole	antithyroid agent	0.04 uM	E06	5	0.010596437130992	0.439	NA	NA	NA
Cell Painting	carglumic-acid	NA	0.04 uM	N24	5	0.1437092301823164	0	NA	NA	NA
Cell Painting	cariprazine	dopamine receptor antagonist	0.04 uM	J24	5	0.0844301320265301	0.002	19	0.013710181290233398	0.108
Cell Painting	carisoprodol	NA	0.04 uM	N24	5	0.1001027725274895	0	NA	NA	NA
Cell Painting	carprofen	cyclooxygenase inhibitor	0.04 uM	I18	5	0.0646897000248314	0.002	27	0.0017630000888233886	0.93
Cell Painting	carvedilol	adrenergic receptor antagonist	0.04 uM	N12	5	0.0425992466228468	0.02	31	0.011885553217579345	0.134
Cell Painting	cb-10-277-(free-acid)	dna synthesis inhibitor	0.04 uM	N12	5	0.1030176759249711	0	7	0.003188081188048955	0.625
Cell Painting	cc-401	jnk inhibitor	0.04 uM	D24	5	0.0502265965760083	0.213	NA	NA	NA
Cell Painting	cc-930	jnk inhibitor	0.04 uM	J06	5	0.0231699266398434	0.219	NA	NA	NA
Cell Painting	cediranib	NA	0.04 uM	F24	5	0.0758745872258254	0.035	NA	NA	NA
Cell Painting	cefdinir	bacterial cell wall synthesis inhibitor	0.04 uM	B18	5	0.0088608180232804	0.622	14	0.008101778622211226	0.431
Cell Painting	cefepime	bacterial cell wall synthesis inhibitor	0.04 uM	A18	5	0.148881033462738	0.004	14	0.008101778622211226	0.431
Cell Painting	cefoperazone	bacterial cell wall synthesis inhibitor	0.04 uM	I24	4	0.0785900884894426	0.011	14	0.008101778622211226	0.431
Cell Painting	cefotetan	bacterial cell wall synthesis inhibitor	0.04 uM	N24	5	0.0783646617659713	0.005	14	0.008101778622211226	0.431
