moa	no_of_replicates	dose	matching_score	assay	p_value	pass_thresh	neg_log_10_p_val
mtor inhibitor	6	0.04 uM	0.2106155766144697	Cell Painting	0	TRUE	3.5
mtor inhibitor|pi3k inhibitor	4	0.04 uM	0.0779713813717694	Cell Painting	0.006	TRUE	2.221848749616356
mucolytic agent	3	0.04 uM	0.04277973004695011	Cell Painting	0.111	FALSE	0.9546770212133425
nfkb pathway inhibitor	4	0.04 uM	-0.003903807719018207	Cell Painting	0.724	FALSE	0.1402614338028531
nitric oxide synthase inhibitor	4	0.04 uM	-0.0012199731205503423	Cell Painting	0.669	FALSE	0.17457388223217687
non-nucleoside reverse transcriptase inhibitor	4	0.04 uM	0.011741697211373218	Cell Painting	0.407	FALSE	0.39040559077478
nucleoside reverse transcriptase inhibitor	4	0.04 uM	0.03496877866370612	Cell Painting	0.1	FALSE	1
opioid receptor agonist	3	0.04 uM	0.007614872642469804	Cell Painting	0.47	FALSE	0.3279021420642826
opioid receptor antagonist	4	0.04 uM	-0.014102737134859164	Cell Painting	0.866	FALSE	0.062482107982653363
p38 mapk inhibitor	6	0.04 uM	0.04250240997049155	Cell Painting	0.02	TRUE	1.6989700043360187
parp inhibitor	5	0.04 uM	0.032174059013445236	Cell Painting	0.092	FALSE	1.0362121726544447
phosphodiesterase inhibitor	28	0.04 uM	0.007999917226326574	Cell Painting	0.426	FALSE	0.37059040089728107
pi3k inhibitor	7	0.04 uM	0.01211031430707503	Cell Painting	0.343	FALSE	0.46470587995722945
pkc inhibitor	4	0.04 uM	0.01902741725275874	Cell Painting	0.292	FALSE	0.5346171485515817
plk inhibitor	4	0.04 uM	0.6104446984996958	Cell Painting	0	TRUE	3.5
potassium channel activator	6	0.04 uM	-0.00153885531359773	Cell Painting	0.724	FALSE	0.1402614338028531
potassium channel blocker	4	0.04 uM	-0.010366752422887622	Cell Painting	0.815	FALSE	0.08884239126002341
ppar receptor agonist	3	0.04 uM	-0.014673691648730015	Cell Painting	0.775	FALSE	0.1106982974936897
ppar receptor agonist|insulin sensitizer	3	0.04 uM	0.028111454751268222	Cell Painting	0.217	FALSE	0.6635402661514705
progesterone receptor agonist	7	0.04 uM	0.010186804462971022	Cell Painting	0.404	FALSE	0.393618634889395
prostanoid receptor agonist	3	0.04 uM	-0.011154419659018828	Cell Painting	0.73	FALSE	0.1366771398795441
prostanoid receptor antagonist	3	0.04 uM	-0.04396586988148156	Cell Painting	0.97	FALSE	0.01322826573375516
proteasome inhibitor	4	0.04 uM	0.06797949632785114	Cell Painting	0.012	TRUE	1.9208187539523751
protein synthesis inhibitor	6	0.04 uM	0.007533874306028405	Cell Painting	0.484	FALSE	0.31515463835558755
protein synthesis stimulant	3	0.04 uM	0.014608060760987628	Cell Painting	0.379	FALSE	0.42136079003192767
purinergic receptor antagonist	3	0.04 uM	-0.003932049157645144	Cell Painting	0.631	FALSE	0.19997064075586568
raf inhibitor	5	0.04 uM	0.02975626497412295	Cell Painting	0.1	FALSE	1
retinoid receptor agonist	6	0.04 uM	0.11777264412640784	Cell Painting	0	TRUE	3.5
reverse transcriptase inhibitor	3	0.04 uM	-0.016963328022757605	Cell Painting	0.794	FALSE	0.10017949757290372
rho associated kinase inhibitor	6	0.04 uM	0.033773123223632934	Cell Painting	0.056	FALSE	1.2518119729937995
rna polymerase inhibitor	7	0.04 uM	0.014843349451517976	Cell Painting	0.273	FALSE	0.563837352959244
selective serotonin reuptake inhibitor (ssri)	4	0.04 uM	-0.0045885902484357945	Cell Painting	0.737	FALSE	0.13253251214094852
serotonin receptor agonist	12	0.04 uM	0.0044449632247989925	Cell Painting	0.638	FALSE	0.19517932127883766
serotonin receptor agonist|serotonin receptor antagonist	3	0.04 uM	0.007557213768043629	Cell Painting	0.471	FALSE	0.3269790928711038
serotonin receptor antagonist	12	0.04 uM	0.005230060789545676	Cell Painting	0.593	FALSE	0.22694530663573742
serotonin reuptake inhibitor	4	0.04 uM	0.012625668027435142	Cell Painting	0.392	FALSE	0.4067139329795427
sigma receptor antagonist	3	0.04 uM	0.019860174685243776	Cell Painting	0.313	FALSE	0.5044556624535516
sodium channel blocker	11	0.04 uM	0.007823638702414114	Cell Painting	0.468	FALSE	0.32975414692587596
sterol demethylase inhibitor	7	0.04 uM	0.02059483632663678	Cell Painting	0.148	FALSE	0.8297382846050426
t-type calcium channel blocker	3	0.04 uM	-0.008397728429182764	Cell Painting	0.696	FALSE	0.15739076038943792
tachykinin antagonist	6	0.04 uM	0.027084427959567323	Cell Painting	0.108	FALSE	0.9665762445130504
topoisomerase inhibitor	15	0.04 uM	0.006913620207003219	Cell Painting	0.513	FALSE	0.2898826348881837
tubulin inhibitor	8	0.04 uM	0.024847294200385166	Cell Painting	0.07	FALSE	1.154901959985743
tyrosine kinase inhibitor	4	0.04 uM	0.02362863281476522	Cell Painting	0.218	FALSE	0.6615435063953952
vasopressin receptor antagonist	4	0.04 uM	-0.014859813681210428	Cell Painting	0.877	FALSE	0.05700040663395948
vegfr inhibitor	4	0.04 uM	0.007791479094869881	Cell Painting	0.488	FALSE	0.3115801779972894
vitamin d receptor agonist	5	0.04 uM	0.038206611727519726	Cell Painting	0.049	TRUE	1.3098039199714864
xanthine oxidase inhibitor	3	0.04 uM	-0.0021678447686048954	Cell Painting	0.602	FALSE	0.22040350874217546
xiap inhibitor	3	0.04 uM	0.07731236370118862	Cell Painting	0.016	TRUE	1.7958800173440752
acat inhibitor	3	0.12 uM	0.02324071030893521	Cell Painting	0.247	FALSE	0.6073030467403343
acetylcholine receptor agonist	8	0.12 uM	-0.008460580434801697	Cell Painting	0.93	FALSE	0.03151705144606486
acetylcholine receptor antagonist	21	0.12 uM	0.013668237501608511	Cell Painting	0.095	FALSE	1.0222763947111522
adenosine receptor agonist	3	0.12 uM	-0.018228040678737338	Cell Painting	0.814	FALSE	0.0893755951107988
adenosine receptor antagonist	4	0.12 uM	0.010194253557004271	Cell Painting	0.451	FALSE	0.34582345812203946
adrenergic receptor agonist	20	0.12 uM	0.002574939720989639	Cell Painting	0.838	FALSE	0.07675598136972352
adrenergic receptor antagonist	31	0.12 uM	0.009110430087823206	Cell Painting	0.307	FALSE	0.5128616245228135
akt inhibitor	6	0.12 uM	0.04214911802869475	Cell Painting	0.024	TRUE	1.6197887582883939
alk tyrosine kinase receptor inhibitor	3	0.12 uM	0.022172913022602565	Cell Painting	0.255	FALSE	0.5934598195660449
androgen receptor agonist	3	0.12 uM	0.20121404780055255	Cell Painting	0.001	TRUE	3
androgen receptor antagonist	5	0.12 uM	0.019625191308108435	Cell Painting	0.27	FALSE	0.5686362358410126
androgen receptor modulator	3	0.12 uM	0.027854223122429897	Cell Painting	0.204	FALSE	0.6903698325741012
angiotensin converting enzyme inhibitor	8	0.12 uM	0.021701572298365397	Cell Painting	0.106	FALSE	0.9746941347352298
angiotensin receptor antagonist	4	0.12 uM	-0.01192826869646108	Cell Painting	0.835	FALSE	0.07831352451639793
aromatase inhibitor	3	0.12 uM	0.08440498195743115	Cell Painting	0.006	TRUE	2.221848749616356
atp channel blocker	3	0.12 uM	0.007274754261416562	Cell Painting	0.475	FALSE	0.3233063903751334
atpase inhibitor	3	0.12 uM	-0.019006712526523337	Cell Painting	0.82	FALSE	0.08618614761628333
bacterial 30s ribosomal subunit inhibitor	5	0.12 uM	-0.01454523414461522	Cell Painting	0.898	FALSE	0.04672366333269562
bacterial 50s ribosomal subunit inhibitor	5	0.12 uM	-0.020298779064869918	Cell Painting	0.958	FALSE	0.018634490921455603
bacterial cell wall synthesis inhibitor	14	0.12 uM	7.836360066157877e-4	Cell Painting	0.836	FALSE	0.07779372256098363
bacterial dna gyrase inhibitor	11	0.12 uM	0.002880721731251867	Cell Painting	0.7	FALSE	0.1549019599857432
bcl inhibitor	3	0.12 uM	0.013295509986185729	Cell Painting	0.375	FALSE	0.42596873227228116
benzodiazepine receptor agonist	7	0.12 uM	0.003899358079700978	Cell Painting	0.617	FALSE	0.20971483596675833
benzodiazepine receptor antagonist	3	0.12 uM	0.008617892807301361	Cell Painting	0.449	FALSE	0.3477536589966768
calcineurin inhibitor	3	0.12 uM	0.009993185335041385	Cell Painting	0.426	FALSE	0.37059040089728107
calcitonin antagonist	3	0.12 uM	0.012761190093189927	Cell Painting	0.385	FALSE	0.4145392704914993
calcium channel blocker	15	0.12 uM	-0.003119600673337827	Cell Painting	0.967	FALSE	0.014573525916998339
cannabinoid receptor agonist	3	0.12 uM	0.0026348997515119052	Cell Painting	0.549	FALSE	0.26042765554990804
carbonic anhydrase inhibitor	5	0.12 uM	0.014596549338035518	Cell Painting	0.367	FALSE	0.4353339357479107
cc chemokine receptor antagonist	7	0.12 uM	-0.006995494884513481	Cell Painting	0.912	FALSE	0.04000516167158381
cck receptor antagonist	4	0.12 uM	-0.014075143003676814	Cell Painting	0.859	FALSE	0.0660068361687577
cdk inhibitor	7	0.12 uM	0.10220626357604508	Cell Painting	0	TRUE	3.5
chelating agent	4	0.12 uM	-0.04564397606958824	Cell Painting	0.999	FALSE	4.345117740176917e-4
cholesterol inhibitor	3	0.12 uM	0.013346451980555198	Cell Painting	0.375	FALSE	0.42596873227228116
coagulation factor inhibitor	4	0.12 uM	-0.03484726712270758	Cell Painting	0.983	FALSE	0.007446482167864384
cyclooxygenase inhibitor	27	0.12 uM	0.010191237151493292	Cell Painting	0.241	FALSE	0.6179829574251317
cyclooxygenase inhibitor|prostanoid receptor antagonist	4	0.12 uM	0.02264842068430893	Cell Painting	0.225	FALSE	0.6478174818886375
dipeptidyl peptidase inhibitor	3	0.12 uM	0.016353499672608636	Cell Painting	0.339	FALSE	0.4698003017969178
dna inhibitor	5	0.12 uM	-0.004901128726747902	Cell Painting	0.771	FALSE	0.11294562194904302
dna methyltransferase inhibitor	3	0.12 uM	0.13647024447577608	Cell Painting	0.001	TRUE	3
dna polymerase inhibitor	3	0.12 uM	0.02320528844393378	Cell Painting	0.248	FALSE	0.6055483191737837
dna synthesis inhibitor	7	0.12 uM	0.005972606793368265	Cell Painting	0.545	FALSE	0.2636034977233575
dopamine receptor agonist	9	0.12 uM	-0.005176413370368144	Cell Painting	0.902	FALSE	0.04479346245805826
dopamine receptor antagonist	19	0.12 uM	-0.001498395727189042	Cell Painting	0.965	FALSE	0.015472686656207449
dopamine receptor antagonist|serotonin receptor antagonist	9	0.12 uM	0.01801473453050567	Cell Painting	0.155	FALSE	0.8096683018297085
egfr inhibitor	13	0.12 uM	0.10843464893653823	Cell Painting	0	TRUE	3.5
endothelin receptor antagonist	4	0.12 uM	-0.030542727866339513	Cell Painting	0.971	FALSE	0.012780770091995148
estrogen receptor agonist	6	0.12 uM	0.020177965716484354	Cell Painting	0.191	FALSE	0.7189666327522725
farnesyltransferase inhibitor	3	0.12 uM	0.017165625928597716	Cell Painting	0.326	FALSE	0.48678239993206096
fgfr inhibitor|vegfr inhibitor	3	0.12 uM	0.026947958975625803	Cell Painting	0.21	FALSE	0.6777807052660807
free radical scavenger	4	0.12 uM	-0.007935682820329734	Cell Painting	0.787	FALSE	0.10402526764093542
fungal squalene epoxidase inhibitor	3	0.12 uM	-0.04492375490174643	Cell Painting	0.974	FALSE	0.011441043121384482
gaba receptor agonist	3	0.12 uM	0.014258805572500099	Cell Painting	0.364	FALSE	0.438898616350944
gaba receptor modulator	4	0.12 uM	0.032117700545090645	Cell Painting	0.127	FALSE	0.8961962790440431
gamma secretase inhibitor	7	0.12 uM	0.010392630474405662	Cell Painting	0.405	FALSE	0.3925449767853314
glucocorticoid receptor agonist	14	0.12 uM	0.3459664919953673	Cell Painting	0	TRUE	3.5
glucosidase inhibitor	3	0.12 uM	0.022107581689671887	Cell Painting	0.256	FALSE	0.5917600346881504
glutamate receptor agonist	4	0.12 uM	-0.00924319022719056	Cell Painting	0.807	FALSE	0.09312646527792956
glutamate receptor antagonist	5	0.12 uM	0.01849846297765298	Cell Painting	0.291	FALSE	0.5361070110140927
glutamate receptor modulator	3	0.12 uM	-0.031378555565353836	Cell Painting	0.923	FALSE	0.03479829897408793
hcv inhibitor	7	0.12 uM	0.006637583574801544	Cell Painting	0.53	FALSE	0.27572413039921095
hdac inhibitor	13	0.12 uM	0.04439865079986818	Cell Painting	0	TRUE	3.5
histamine receptor antagonist	24	0.12 uM	0.007805857062870054	Cell Painting	0.446	FALSE	0.35066514128785814
hiv integrase inhibitor	3	0.12 uM	0.03145376974433395	Cell Painting	0.169	FALSE	0.7721132953863264
hiv protease inhibitor	5	0.12 uM	0.02086456316240371	Cell Painting	0.253	FALSE	0.5968794788241821
hmgcr inhibitor	5	0.12 uM	-0.007048726724356826	Cell Painting	0.81	FALSE	0.09151498112135022
hsp inhibitor	5	0.12 uM	0.06179563575806861	Cell Painting	0.004	TRUE	2.3979400086720375
insulin secretagogue	4	0.12 uM	-0.017247053964666876	Cell Painting	0.888	FALSE	0.05158703422139897
integrin antagonist	5	0.12 uM	0.001875080956462331	Cell Painting	0.651	FALSE	0.18641901143180803
jak inhibitor	5	0.12 uM	-0.0027960426662788124	Cell Painting	0.736	FALSE	0.13312218566250114
leukotriene receptor antagonist	4	0.12 uM	0.0029621101835569648	Cell Painting	0.596	FALSE	0.22475374025976358
lipoxygenase inhibitor	3	0.12 uM	0.010601628375837563	Cell Painting	0.411	FALSE	0.38615817812393083
matrix metalloprotease inhibitor	3	0.12 uM	-0.010173642091950808	Cell Painting	0.741	FALSE	0.13018179202067184
mdm inhibitor	3	0.12 uM	0.005024147127264466	Cell Painting	0.513	FALSE	0.2898826348881837
mek inhibitor	8	0.12 uM	0.22201471573434242	Cell Painting	0	TRUE	3.5
microtubule inhibitor	3	0.12 uM	0.07395537108133231	Cell Painting	0.012	TRUE	1.9208187539523751
mineralocorticoid receptor antagonist	3	0.12 uM	0.021848676494758825	Cell Painting	0.261	FALSE	0.583359492661719
monoamine oxidase inhibitor	6	0.12 uM	-0.004178001166181549	Cell Painting	0.774	FALSE	0.11125903931710739
mtor inhibitor	6	0.12 uM	0.24749596986488717	Cell Painting	0	TRUE	3.5
mtor inhibitor|pi3k inhibitor	4	0.12 uM	0.05596414572970215	Cell Painting	0.022	TRUE	1.6575773191777938
mucolytic agent	3	0.12 uM	0.023319186988385622	Cell Painting	0.247	FALSE	0.6073030467403343
nfkb pathway inhibitor	4	0.12 uM	0.01717390890135306	Cell Painting	0.314	FALSE	0.5030703519267851
nitric oxide synthase inhibitor	4	0.12 uM	-0.026674686968229326	Cell Painting	0.958	FALSE	0.018634490921455603
non-nucleoside reverse transcriptase inhibitor	4	0.12 uM	0.0021657386916383607	Cell Painting	0.614	FALSE	0.21183162885883233
nucleoside reverse transcriptase inhibitor	4	0.12 uM	-0.011467483939843669	Cell Painting	0.83	FALSE	0.08092190762392612
opioid receptor agonist	3	0.12 uM	0.04021711579771177	Cell Painting	0.106	FALSE	0.9746941347352298
opioid receptor antagonist	4	0.12 uM	0.016070799878540102	Cell Painting	0.332	FALSE	0.4788619162959637
p38 mapk inhibitor	6	0.12 uM	0.07387812151559196	Cell Painting	0	TRUE	3.5
parp inhibitor	5	0.12 uM	0.01382737047651994	Cell Painting	0.379	FALSE	0.42136079003192767
phosphodiesterase inhibitor	28	0.12 uM	0.013802077576337054	Cell Painting	0.076	FALSE	1.1191864077192086
pi3k inhibitor	7	0.12 uM	-0.022786382351160185	Cell Painting	0.998	FALSE	8.694587126288914e-4
pkc inhibitor	4	0.12 uM	0.019838237544547208	Cell Painting	0.275	FALSE	0.5606673061697374
plk inhibitor	4	0.12 uM	0.5872633027724714	Cell Painting	0	TRUE	3.5
potassium channel activator	6	0.12 uM	0.011649252438953992	Cell Painting	0.37	FALSE	0.431798275933005
potassium channel blocker	4	0.12 uM	-0.006436368341822162	Cell Painting	0.768	FALSE	0.114638779968488
ppar receptor agonist	3	0.12 uM	0.008318505405985928	Cell Painting	0.456	FALSE	0.341035157335565
ppar receptor agonist|insulin sensitizer	3	0.12 uM	0.052359911918408227	Cell Painting	0.052	FALSE	1.2839966563652008
progesterone receptor agonist	7	0.12 uM	0.012013501901467903	Cell Painting	0.357	FALSE	0.4473317838878068
prostanoid receptor agonist	3	0.12 uM	0.07192470219146127	Cell Painting	0.018	TRUE	1.744727494896694
prostanoid receptor antagonist	3	0.12 uM	-0.018765832090550327	Cell Painting	0.82	FALSE	0.08618614761628333
proteasome inhibitor	4	0.12 uM	0.20090386137490351	Cell Painting	0	TRUE	3.5
protein synthesis inhibitor	6	0.12 uM	0.010323748559372693	Cell Painting	0.408	FALSE	0.3893398369101201
protein synthesis stimulant	3	0.12 uM	0.016091925818279108	Cell Painting	0.34	FALSE	0.46852108295774486
purinergic receptor antagonist	3	0.12 uM	-0.002210057080476421	Cell Painting	0.635	FALSE	0.1972262747080243
raf inhibitor	5	0.12 uM	0.06145731262250253	Cell Painting	0.004	TRUE	2.3979400086720375
retinoid receptor agonist	6	0.12 uM	0.13268630630196093	Cell Painting	0	TRUE	3.5
reverse transcriptase inhibitor	3	0.12 uM	-0.04806221685424647	Cell Painting	0.98	FALSE	0.00877392430750515
rho associated kinase inhibitor	6	0.12 uM	-0.0012029208477313258	Cell Painting	0.706	FALSE	0.15119529894819625
rna polymerase inhibitor	7	0.12 uM	0.021337385157429094	Cell Painting	0.139	FALSE	0.8569851997459049
selective serotonin reuptake inhibitor (ssri)	4	0.12 uM	0.009244456736093844	Cell Painting	0.473	FALSE	0.32513885926218844
serotonin receptor agonist	12	0.12 uM	0.004452638454201262	Cell Painting	0.625	FALSE	0.2041199826559248
serotonin receptor agonist|serotonin receptor antagonist	3	0.12 uM	0.04960464545757134	Cell Painting	0.06	FALSE	1.2218487496163564
serotonin receptor antagonist	12	0.12 uM	0.0035545129942511308	Cell Painting	0.668	FALSE	0.1752235375244543
serotonin reuptake inhibitor	4	0.12 uM	-0.007370365238253591	Cell Painting	0.786	FALSE	0.10457745396059209
sigma receptor antagonist	3	0.12 uM	-0.010967947113299086	Cell Painting	0.744	FALSE	0.1284270644541213
sodium channel blocker	11	0.12 uM	0.008714371629934058	Cell Painting	0.42	FALSE	0.37675070960209955
sterol demethylase inhibitor	7	0.12 uM	0.013239739527533073	Cell Painting	0.33	FALSE	0.4814860601221125
t-type calcium channel blocker	3	0.12 uM	0.04097331889015657	Cell Painting	0.101	FALSE	0.9956786262173574
tachykinin antagonist	6	0.12 uM	0.004840835102686566	Cell Painting	0.554	FALSE	0.2564902352715702
topoisomerase inhibitor	15	0.12 uM	0.009568127793505467	Cell Painting	0.376	FALSE	0.42481215507233894
tubulin inhibitor	8	0.12 uM	0.03941576045631294	Cell Painting	0.006	TRUE	2.221848749616356
tyrosine kinase inhibitor	4	0.12 uM	0.01972969029961438	Cell Painting	0.278	FALSE	0.5559552040819237
vasopressin receptor antagonist	4	0.12 uM	0.0032419292982788337	Cell Painting	0.589	FALSE	0.2298847052128984
vegfr inhibitor	4	0.12 uM	-0.005843555608727715	Cell Painting	0.754	FALSE	0.12262865413022594
vitamin d receptor agonist	5	0.12 uM	0.07749228640813959	Cell Painting	0.002	TRUE	2.6989700043360187
xanthine oxidase inhibitor	3	0.12 uM	0.00411616968444742	Cell Painting	0.532	FALSE	0.2740883677049518
