broad_id	pert_iname	dose	moa	target
BRD-K01577834	adenosine	0.04 uM	adenosine receptor agonist	ADORA1|ADORA2A|ADORA2B|ADORA3|PI4K2A|PI4K2B|TRPM4
BRD-K01577834	adenosine	0.12 uM	adenosine receptor agonist	ADORA1|ADORA2A|ADORA2B|ADORA3|PI4K2A|PI4K2B|TRPM4
BRD-K01577834	adenosine	0.37 uM	adenosine receptor agonist	ADORA1|ADORA2A|ADORA2B|ADORA3|PI4K2A|PI4K2B|TRPM4
BRD-K01577834	adenosine	1.11 uM	adenosine receptor agonist	ADORA1|ADORA2A|ADORA2B|ADORA3|PI4K2A|PI4K2B|TRPM4
BRD-K01577834	adenosine	3.33 uM	adenosine receptor agonist	ADORA1|ADORA2A|ADORA2B|ADORA3|PI4K2A|PI4K2B|TRPM4
BRD-K01577834	adenosine	10 uM	adenosine receptor agonist	ADORA1|ADORA2A|ADORA2B|ADORA3|PI4K2A|PI4K2B|TRPM4
BRD-K66175015	afatinib	0.04 uM	egfr inhibitor	EGFR|ERBB2|ERBB4
BRD-K66175015	afatinib	0.12 uM	egfr inhibitor	EGFR|ERBB2|ERBB4
BRD-K66175015	afatinib	0.37 uM	egfr inhibitor	EGFR|ERBB2|ERBB4
BRD-K66175015	afatinib	1.11 uM	egfr inhibitor	EGFR|ERBB2|ERBB4
BRD-K66175015	afatinib	3.33 uM	egfr inhibitor	EGFR|ERBB2|ERBB4
BRD-K66175015	afatinib	10 uM	egfr inhibitor	EGFR|ERBB2|ERBB4
BRD-K69247067	afloqualone	0.04 uM	acetylcholine receptor antagonist	unknown
BRD-K69247067	afloqualone	0.12 uM	acetylcholine receptor antagonist	unknown
BRD-K69247067	afloqualone	0.37 uM	acetylcholine receptor antagonist	unknown
BRD-K69247067	afloqualone	1.11 uM	acetylcholine receptor antagonist	unknown
BRD-K69247067	afloqualone	3.33 uM	acetylcholine receptor antagonist	unknown
BRD-K69247067	afloqualone	10 uM	acetylcholine receptor antagonist	unknown
BRD-A56371469	agi-5198	0.04 uM	isocitrate dehydrogenase inhibitor	IDH1
BRD-A56371469	agi-5198	0.12 uM	isocitrate dehydrogenase inhibitor	IDH1
BRD-A56371469	agi-5198	0.37 uM	isocitrate dehydrogenase inhibitor	IDH1
BRD-A56371469	agi-5198	1.11 uM	isocitrate dehydrogenase inhibitor	IDH1
BRD-A56371469	agi-5198	3.33 uM	isocitrate dehydrogenase inhibitor	IDH1
BRD-A56371469	agi-5198	10 uM	isocitrate dehydrogenase inhibitor	IDH1
BRD-K04691817	agi-6780	0.04 uM	isocitrate dehydrogenase inhibitor	IDH2
BRD-K04691817	agi-6780	0.12 uM	isocitrate dehydrogenase inhibitor	IDH2
BRD-K04691817	agi-6780	0.37 uM	isocitrate dehydrogenase inhibitor	IDH2
BRD-K04691817	agi-6780	1.11 uM	isocitrate dehydrogenase inhibitor	IDH2
BRD-K04691817	agi-6780	3.33 uM	isocitrate dehydrogenase inhibitor	IDH2
BRD-K04691817	agi-6780	10 uM	isocitrate dehydrogenase inhibitor	IDH2
BRD-K91495480	agp-103	0.04 uM	membrane permeability inhibitor	unknown
BRD-K91495480	agp-103	0.12 uM	membrane permeability inhibitor	unknown
BRD-K91495480	agp-103	0.37 uM	membrane permeability inhibitor	unknown
BRD-K91495480	agp-103	1.11 uM	membrane permeability inhibitor	unknown
BRD-K91495480	agp-103	3.33 uM	membrane permeability inhibitor	unknown
BRD-K91495480	agp-103	10 uM	membrane permeability inhibitor	unknown
BRD-A67373739	aica-ribonucleotide	0.04 uM	ampk activator	NA
BRD-A67373739	aica-ribonucleotide	0.12 uM	ampk activator	NA
BRD-A67373739	aica-ribonucleotide	0.37 uM	ampk activator	NA
BRD-A67373739	aica-ribonucleotide	1.11 uM	ampk activator	NA
BRD-A67373739	aica-ribonucleotide	3.33 uM	ampk activator	NA
BRD-A67373739	aica-ribonucleotide	10 uM	ampk activator	NA
BRD-K04887706	akt-inhibitor-1-2	0.04 uM	akt inhibitor	NA
BRD-K04887706	akt-inhibitor-1-2	0.12 uM	akt inhibitor	NA
BRD-K04887706	akt-inhibitor-1-2	0.37 uM	akt inhibitor	NA
BRD-K04887706	akt-inhibitor-1-2	1.11 uM	akt inhibitor	NA
BRD-K04887706	akt-inhibitor-1-2	3.33 uM	akt inhibitor	NA
BRD-K04887706	akt-inhibitor-1-2	10 uM	akt inhibitor	NA
BRD-A14966924	alaproclate	0.04 uM	serotonin receptor antagonist	SLC6A4
BRD-A14966924	alaproclate	0.12 uM	serotonin receptor antagonist	SLC6A4
BRD-A14966924	alaproclate	0.37 uM	serotonin receptor antagonist	SLC6A4
BRD-A14966924	alaproclate	1.11 uM	serotonin receptor antagonist	SLC6A4
BRD-A14966924	alaproclate	3.33 uM	serotonin receptor antagonist	SLC6A4
BRD-A14966924	alaproclate	10 uM	serotonin receptor antagonist	SLC6A4
BRD-K79131256	albendazole	0.04 uM	tubulin inhibitor	TUBA1A|TUBB|TUBB4B
BRD-K79131256	albendazole	0.12 uM	tubulin inhibitor	TUBA1A|TUBB|TUBB4B
BRD-K79131256	albendazole	0.37 uM	tubulin inhibitor	TUBA1A|TUBB|TUBB4B
BRD-K79131256	albendazole	1.11 uM	tubulin inhibitor	TUBA1A|TUBB|TUBB4B
BRD-K79131256	albendazole	3.33 uM	tubulin inhibitor	TUBA1A|TUBB|TUBB4B
BRD-K79131256	albendazole	10 uM	tubulin inhibitor	TUBA1A|TUBB|TUBB4B
BRD-K11267252	alectinib	0.04 uM	alk tyrosine kinase receptor inhibitor	ALK|MET
BRD-K11267252	alectinib	0.12 uM	alk tyrosine kinase receptor inhibitor	ALK|MET
BRD-K11267252	alectinib	0.37 uM	alk tyrosine kinase receptor inhibitor	ALK|MET
BRD-K11267252	alectinib	1.11 uM	alk tyrosine kinase receptor inhibitor	ALK|MET
BRD-K11267252	alectinib	3.33 uM	alk tyrosine kinase receptor inhibitor	ALK|MET
BRD-K11267252	alectinib	10 uM	alk tyrosine kinase receptor inhibitor	ALK|MET
BRD-K75295174	alisertib	0.04 uM	aurora kinase inhibitor	AURKA
BRD-K75295174	alisertib	0.12 uM	aurora kinase inhibitor	AURKA
BRD-K75295174	alisertib	0.37 uM	aurora kinase inhibitor	AURKA
BRD-K75295174	alisertib	1.11 uM	aurora kinase inhibitor	AURKA
BRD-K75295174	alisertib	3.33 uM	aurora kinase inhibitor	AURKA
BRD-K75295174	alisertib	10 uM	aurora kinase inhibitor	AURKA
BRD-A03061970	alizapride	0.04 uM	dopamine receptor antagonist	unknown
BRD-A03061970	alizapride	0.12 uM	dopamine receptor antagonist	unknown
BRD-A03061970	alizapride	0.37 uM	dopamine receptor antagonist	unknown
BRD-A03061970	alizapride	1.11 uM	dopamine receptor antagonist	unknown
BRD-A03061970	alizapride	3.33 uM	dopamine receptor antagonist	unknown
BRD-A03061970	alizapride	10 uM	dopamine receptor antagonist	unknown
BRD-K86307448	allopurinol	0.04 uM	xanthine oxidase inhibitor	XDH
BRD-K86307448	allopurinol	0.12 uM	xanthine oxidase inhibitor	XDH
BRD-K86307448	allopurinol	0.37 uM	xanthine oxidase inhibitor	XDH
BRD-K86307448	allopurinol	1.11 uM	xanthine oxidase inhibitor	XDH
BRD-K86307448	allopurinol	3.33 uM	xanthine oxidase inhibitor	XDH
BRD-K86307448	allopurinol	10 uM	xanthine oxidase inhibitor	XDH
BRD-K84810405	almorexant	0.04 uM	orexin receptor antagonist	HCRTR1|HCRTR2
BRD-K84810405	almorexant	0.12 uM	orexin receptor antagonist	HCRTR1|HCRTR2
BRD-K84810405	almorexant	0.37 uM	orexin receptor antagonist	HCRTR1|HCRTR2
BRD-K84810405	almorexant	1.11 uM	orexin receptor antagonist	HCRTR1|HCRTR2
BRD-K84810405	almorexant	3.33 uM	orexin receptor antagonist	HCRTR1|HCRTR2
BRD-K84810405	almorexant	10 uM	orexin receptor antagonist	HCRTR1|HCRTR2
BRD-K00610438	altanserin	0.04 uM	serotonin receptor antagonist	HTR2A
BRD-K00610438	altanserin	0.12 uM	serotonin receptor antagonist	HTR2A
BRD-K00610438	altanserin	0.37 uM	serotonin receptor antagonist	HTR2A
BRD-K00610438	altanserin	1.11 uM	serotonin receptor antagonist	HTR2A
BRD-K00610438	altanserin	3.33 uM	serotonin receptor antagonist	HTR2A
BRD-K00610438	altanserin	10 uM	serotonin receptor antagonist	HTR2A
BRD-K14619660	altrenogest	0.04 uM	progestogen hormone	PGR
BRD-K14619660	altrenogest	0.12 uM	progestogen hormone	PGR
BRD-K14619660	altrenogest	0.37 uM	progestogen hormone	PGR
BRD-K14619660	altrenogest	1.11 uM	progestogen hormone	PGR
BRD-K14619660	altrenogest	3.33 uM	progestogen hormone	PGR
BRD-K14619660	altrenogest	10 uM	progestogen hormone	PGR
BRD-K67043667	altretamine	0.04 uM	dna synthesis inhibitor	unknown
BRD-K67043667	altretamine	0.12 uM	dna synthesis inhibitor	unknown
BRD-K67043667	altretamine	0.37 uM	dna synthesis inhibitor	unknown
BRD-K67043667	altretamine	1.11 uM	dna synthesis inhibitor	unknown
BRD-K67043667	altretamine	3.33 uM	dna synthesis inhibitor	unknown
BRD-K67043667	altretamine	10 uM	dna synthesis inhibitor	unknown
BRD-K23499943	alvespimycin	0.04 uM	hsp inhibitor	HSP90AA1
BRD-K23499943	alvespimycin	0.12 uM	hsp inhibitor	HSP90AA1
BRD-K23499943	alvespimycin	0.37 uM	hsp inhibitor	HSP90AA1
BRD-K23499943	alvespimycin	1.11 uM	hsp inhibitor	HSP90AA1
BRD-K23499943	alvespimycin	3.33 uM	hsp inhibitor	HSP90AA1
BRD-K23499943	alvespimycin	10 uM	hsp inhibitor	HSP90AA1
BRD-K07857022	alvimopan	0.04 uM	opioid receptor antagonist	OPRD1|OPRK1|OPRM1
BRD-K07857022	alvimopan	0.12 uM	opioid receptor antagonist	OPRD1|OPRK1|OPRM1
BRD-K07857022	alvimopan	0.37 uM	opioid receptor antagonist	OPRD1|OPRK1|OPRM1
BRD-K07857022	alvimopan	1.11 uM	opioid receptor antagonist	OPRD1|OPRK1|OPRM1
BRD-K07857022	alvimopan	3.33 uM	opioid receptor antagonist	OPRD1|OPRK1|OPRM1
BRD-K07857022	alvimopan	10 uM	opioid receptor antagonist	OPRD1|OPRK1|OPRM1
BRD-K87909389	alvocidib	0.04 uM	cdk inhibitor	CDK1|CDK2|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9|EGFR|PYGM
BRD-K87909389	alvocidib	0.12 uM	cdk inhibitor	CDK1|CDK2|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9|EGFR|PYGM
BRD-K87909389	alvocidib	0.37 uM	cdk inhibitor	CDK1|CDK2|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9|EGFR|PYGM
BRD-K87909389	alvocidib	1.11 uM	cdk inhibitor	CDK1|CDK2|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9|EGFR|PYGM
BRD-K87909389	alvocidib	3.33 uM	cdk inhibitor	CDK1|CDK2|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9|EGFR|PYGM
BRD-K87909389	alvocidib	10 uM	cdk inhibitor	CDK1|CDK2|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9|EGFR|PYGM
BRD-K59013864	am-24	0.04 uM	lipoxygenase inhibitor	ALOX5
BRD-K59013864	am-24	0.12 uM	lipoxygenase inhibitor	ALOX5
BRD-K59013864	am-24	0.37 uM	lipoxygenase inhibitor	ALOX5
BRD-K59013864	am-24	1.11 uM	lipoxygenase inhibitor	ALOX5
BRD-K59013864	am-24	3.33 uM	lipoxygenase inhibitor	ALOX5
BRD-K59013864	am-24	10 uM	lipoxygenase inhibitor	ALOX5
BRD-K70330367	amantadine	0.04 uM	glutamate receptor antagonist	DRD2|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A
BRD-K70330367	amantadine	0.12 uM	glutamate receptor antagonist	DRD2|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A
BRD-K70330367	amantadine	0.37 uM	glutamate receptor antagonist	DRD2|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A
BRD-K70330367	amantadine	1.11 uM	glutamate receptor antagonist	DRD2|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A
BRD-K70330367	amantadine	3.33 uM	glutamate receptor antagonist	DRD2|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A
BRD-K70330367	amantadine	10 uM	glutamate receptor antagonist	DRD2|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A
BRD-K41185545	ambrisentan	0.04 uM	endothelin receptor antagonist	EDNRA|EDNRB
BRD-K41185545	ambrisentan	0.12 uM	endothelin receptor antagonist	EDNRA|EDNRB
BRD-K41185545	ambrisentan	0.37 uM	endothelin receptor antagonist	EDNRA|EDNRB
BRD-K41185545	ambrisentan	1.11 uM	endothelin receptor antagonist	EDNRA|EDNRB
BRD-K41185545	ambrisentan	3.33 uM	endothelin receptor antagonist	EDNRA|EDNRB
BRD-K41185545	ambrisentan	10 uM	endothelin receptor antagonist	EDNRA|EDNRB
BRD-K56558538	ambroxol	0.04 uM	sodium channel blocker	CYP3A4
BRD-K56558538	ambroxol	0.12 uM	sodium channel blocker	CYP3A4
BRD-K56558538	ambroxol	0.37 uM	sodium channel blocker	CYP3A4
BRD-K56558538	ambroxol	1.11 uM	sodium channel blocker	CYP3A4
BRD-K56558538	ambroxol	3.33 uM	sodium channel blocker	CYP3A4
BRD-K56558538	ambroxol	10 uM	sodium channel blocker	CYP3A4
BRD-K42948882	amd11070	0.04 uM	cc chemokine receptor antagonist	CCR5|CXCR4
BRD-K42948882	amd11070	0.12 uM	cc chemokine receptor antagonist	CCR5|CXCR4
BRD-K42948882	amd11070	0.37 uM	cc chemokine receptor antagonist	CCR5|CXCR4
BRD-K42948882	amd11070	1.11 uM	cc chemokine receptor antagonist	CCR5|CXCR4
BRD-K42948882	amd11070	3.33 uM	cc chemokine receptor antagonist	CCR5|CXCR4
BRD-K42948882	amd11070	10 uM	cc chemokine receptor antagonist	CCR5|CXCR4
BRD-K32285926	amg-208	0.04 uM	tyrosine kinase inhibitor	MET
BRD-K32285926	amg-208	0.12 uM	tyrosine kinase inhibitor	MET
BRD-K32285926	amg-208	0.37 uM	tyrosine kinase inhibitor	MET
BRD-K32285926	amg-208	1.11 uM	tyrosine kinase inhibitor	MET
BRD-K32285926	amg-208	3.33 uM	tyrosine kinase inhibitor	MET
BRD-K32285926	amg-208	10 uM	tyrosine kinase inhibitor	MET
BRD-K64925568	amg-232	0.04 uM	mdm inhibitor	MDM2
BRD-K64925568	amg-232	0.12 uM	mdm inhibitor	MDM2
BRD-K64925568	amg-232	0.37 uM	mdm inhibitor	MDM2
BRD-K64925568	amg-232	1.11 uM	mdm inhibitor	MDM2
BRD-K64925568	amg-232	3.33 uM	mdm inhibitor	MDM2
BRD-K64925568	amg-232	10 uM	mdm inhibitor	MDM2
BRD-K34185671	amg-517	0.04 uM	trpv antagonist	TRPV1
BRD-K34185671	amg-517	0.12 uM	trpv antagonist	TRPV1
BRD-K34185671	amg-517	0.37 uM	trpv antagonist	TRPV1
BRD-K34185671	amg-517	1.11 uM	trpv antagonist	TRPV1
BRD-K34185671	amg-517	3.33 uM	trpv antagonist	TRPV1
BRD-K34185671	amg-517	10 uM	trpv antagonist	TRPV1
BRD-A30051119	amikacin	0.04 uM	bacterial 30s ribosomal subunit inhibitor	unknown
