compound	dose	no_of_replicates_per_compound	well	median_replicate_correlation	p_value	assay
agomelatine	0.04 uM	5	L06	0.0335088296594167	0.071	Cell Painting
agp-103	0.04 uM	5	N12	0.0075646348909057	0.47	Cell Painting
alaproclate	0.04 uM	5	M12	0.0382078656566186	0.027	Cell Painting
albendazole	0.04 uM	5	P06	0.0501501875715552	0.05	Cell Painting
alectinib	0.04 uM	5	P12	0.090510989300588	0.001	Cell Painting
alisertib	0.04 uM	5	F24	0.3170913259173754	0	Cell Painting
aliskiren	0.04 uM	5	I12	0.0193177399042178	0.148	Cell Painting
alizapride	0.04 uM	4	M18	0.055621829621285	0.019	Cell Painting
allopurinol	0.04 uM	5	O12	0.0642615499052557	0.002	Cell Painting
almitrine	0.04 uM	5	O24	0.0943863994376786	0.011	Cell Painting
almorexant	0.04 uM	5	K24	0.0987037445028826	0.076	Cell Painting
altanserin	0.04 uM	4	C18	0.0490707484194245	0.079	Cell Painting
altrenogest	0.04 uM	5	L06	0.209038477317295	0	Cell Painting
altretamine	0.04 uM	5	K24	0.1395633384489448	0.027	Cell Painting
alvespimycin	0.04 uM	5	A24	0.6044326899467896	0	Cell Painting
alvimopan	0.04 uM	5	P24	0.5434549105252775	0.118	Cell Painting
alvocidib	0.04 uM	5	B24	0.1724687862706212	0.001	Cell Painting
am-24	0.04 uM	5	I24	0.0543246635253709	0.079	Cell Painting
amantadine	0.04 uM	5	E24	0.1117094826994045	0.006	Cell Painting
ambrisentan	0.04 uM	2	I06	-1.519409689981e-4	0.565	Cell Painting
ambroxol	0.04 uM	5	B24	0.1225331709659689	0.004	Cell Painting
amd11070	0.04 uM	2	M06	0.0320785375851837	0.405	Cell Painting
amg-208	0.04 uM	5	E12	0.0295518538593358	0.111	Cell Painting
amg-232	0.04 uM	5	J24	0.0453388834260844	0.173	Cell Painting
amg-517	0.04 uM	5	P06	0.1058636216468962	0	Cell Painting
amikacin	0.04 uM	5	P06	0.0521337455590915	0.039	Cell Painting
amiloride	0.04 uM	5	I12	0.0133785767267027	0.246	Cell Painting
aminocaproic-acid	0.04 uM	5	J12	0.018206863932895	0.164	Cell Painting
aminoglutethimide	0.04 uM	5	B18	0.0747171918404356	0	Cell Painting
aminoguanidine	0.04 uM	5	A12	0.0667324531469777	0.008	Cell Painting
aminolevulinic-acid	0.04 uM	5	H12	0.0425211307220216	0.01	Cell Painting
aminosalicylic-acid	0.04 uM	5	B12	0.0543838065282789	0.004	Cell Painting
amiodarone	0.04 uM	5	K18	0.038471676748852	0.033	Cell Painting
amiprilose	0.04 uM	5	I24	0.0528457068175979	0.091	Cell Painting
amitifadine	0.04 uM	5	E18	0.0303817034293152	0.162	Cell Painting
amlexanox	0.04 uM	5	E12	-0.0067169069955744	0.851	Cell Painting
amlodipine	0.04 uM	5	H12	0.0367404448913568	0.026	Cell Painting
ammonium-glycyrrhizinate	0.04 uM	5	O18	0.1284815481523941	0	Cell Painting
amonafide	0.04 uM	5	C18	0.031551670610223	0.226	Cell Painting
amoxapine	0.04 uM	4	I18	0.104244170683162	0	Cell Painting
ampalex	0.04 uM	5	A18	0.0221035755914634	0.39	Cell Painting
amrinone	0.04 uM	5	L12	0.010472811950466	0.384	Cell Painting
amsacrine	0.04 uM	5	D12	0.5390526114218643	0	Cell Painting
amtolmetin-guacil	0.04 uM	5	K06	0.0087271112585953	0.478	Cell Painting
amuvatinib	0.04 uM	5	M18	0.0626099804425481	0.002	Cell Painting
anamorelin	0.04 uM	4	E24	0.0565067905572046	0.251	Cell Painting
anandamide	0.04 uM	2	K18	-9.34702073893404e-5	0.593	Cell Painting
andrographolide	0.04 uM	5	N24	0.1524289851040733	0	Cell Painting
anecortave-acetate	0.04 uM	5	G24	0.0931912441176275	0.001	Cell Painting
anidulafungin	0.04 uM	5	J12	-7.357042312592e-4	0.574	Cell Painting
aniracetam	0.04 uM	5	D24	0.0216451198367483	0.751	Cell Painting
anisodamine	0.04 uM	5	N06	0.0592757405301039	0.001	Cell Painting
ap26113	0.04 uM	5	B18	0.097643483691374	0	Cell Painting
apafant	0.04 uM	5	I06	-0.0049681956072299	0.784	Cell Painting
apd668	0.04 uM	5	L24	0.0833961320395548	0.008	Cell Painting
aphidicolin	0.04 uM	5	M06	0.2698931887214066	0	Cell Painting
api-001	0.04 uM	5	H18	0.0268541531137761	0.078	Cell Painting
apixaban	0.04 uM	5	P12	0.0997497335119889	0.001	Cell Painting
apocynin	0.04 uM	5	P24	0.2734921730455401	0.819	Cell Painting
apremilast	0.04 uM	5	D06	0.0147225381420159	0.276	Cell Painting
aprepitant	0.04 uM	5	K06	0.0403387148542399	0.028	Cell Painting
arbutin	0.04 uM	5	B18	0.0407670948102715	0.061	Cell Painting
argatroban	0.04 uM	5	J24	0.0528795963794513	0.088	Cell Painting
arglabin	0.04 uM	5	D18	0.0453814588725273	0.022	Cell Painting
aripiprazole	0.04 uM	5	F24	0.1293686979346491	0	Cell Painting
arofylline	0.04 uM	5	I12	0.0017780061038234	0.554	Cell Painting
arry-334543	0.04 uM	5	D12	0.0576620596184408	0	Cell Painting
artesunate	0.04 uM	5	M18	0.077832116833713	0.002	Cell Painting
asa-404	0.04 uM	5	G12	0.0357441061843831	0.036	Cell Painting
asc-j9	0.04 uM	5	P12	0.1129952681829792	0	Cell Painting
asenapine	0.04 uM	5	I18	0.0103884158951295	0.634	Cell Painting
aspirin	0.04 uM	5	O24	0.0714386472649466	0.059	Cell Painting
at13387	0.04 uM	5	F06	0.6110070818248381	0	Cell Painting
ataluren	0.04 uM	5	I06	0.0672478662940251	0.001	Cell Painting
atenolol	0.04 uM	5	B18	0.0217184082179722	0.318	Cell Painting
atipamezole	0.04 uM	2	F18	0.045806201199498	0.179	Cell Painting
atn-161	0.04 uM	4	D06	0.0334672526426985	0.077	Cell Painting
atomoxetine	0.04 uM	5	E12	0.0449389295936085	0.018	Cell Painting
atorvastatin	0.04 uM	5	H06	0.0188864448583931	0.244	Cell Painting
atracurium	0.04 uM	5	J24	0.1048834639369062	0.001	Cell Painting
atrasentan	0.04 uM	5	D24	0.0879592202993097	0.008	Cell Painting
av-608	0.04 uM	5	G24	0.0611178927020339	0.066	Cell Painting
avagacestat	0.04 uM	5	J06	0.0345191410029688	0.071	Cell Painting
avanafil	0.04 uM	5	L18	0.0100746562491312	0.449	Cell Painting
avasimibe	0.04 uM	5	B12	0.0429429803292084	0.031	Cell Painting
avl-292	0.04 uM	5	A24	0.0776923791984431	0.027	Cell Painting
avn-944	0.04 uM	5	A18	0.0592752352164952	0.043	Cell Painting
azacitidine	0.04 uM	5	L18	0.1107767775414633	0	Cell Painting
azathioprine	0.04 uM	5	F24	0.0880124304312781	0.012	Cell Painting
azd1208	0.04 uM	5	G06	0.0566822202631716	0.003	Cell Painting
azd1480	0.04 uM	5	L24	0.1436603185653315	0	Cell Painting
azd1981	0.04 uM	5	B18	0.0290689112883123	0.176	Cell Painting
azd2014	0.04 uM	5	H06	0.0806703612355301	0	Cell Painting
azd3514	0.04 uM	5	D24	0.1109192156136862	0.001	Cell Painting
azd4547	0.04 uM	5	B24	0.0694870644963889	0.123	Cell Painting
azd5363	0.04 uM	5	N12	0.0398358870340359	0.026	Cell Painting
azd7545	0.04 uM	5	B12	0.0362643771695528	0.063	Cell Painting
azd7687	0.04 uM	5	L18	0.013872538240442	0.366	Cell Painting
azd7762	0.04 uM	5	P12	0.0946670504598068	0.001	Cell Painting
azd8931	0.04 uM	5	M06	0.0742255162303927	0.009	Cell Painting
azd9668	0.04 uM	5	L24	0.058419776408139	0.084	Cell Painting
azelaic-acid	0.04 uM	5	F18	0.0282119856476929	0.137	Cell Painting
azelastine	0.04 uM	5	E12	0.0095360483720743	0.503	Cell Painting
balaglitazone	0.04 uM	4	B12	-0.0025707257485158	0.765	Cell Painting
balapiravir	0.04 uM	5	M18	0.082236909792103	0.002	Cell Painting
balicatib	0.04 uM	5	P24	0.6604762660656649	0.003	Cell Painting
balsalazide	0.04 uM	2	J12	0.0078254017431987	0.458	Cell Painting
bambuterol	0.04 uM	5	I24	0.0826369561900578	0.001	Cell Painting
bardoxolone-methyl	0.04 uM	5	H18	0.4954633456999762	0	Cell Painting
basimglurant	0.04 uM	5	E12	0.0225561830468206	0.221	Cell Painting
batimastat	0.04 uM	5	A24	0.136021625510449	0	Cell Painting
bavisant	0.04 uM	5	O18	0.0117439176691055	0.58	Cell Painting
bay-87-2243	0.04 uM	5	H06	0.2628050024516752	0	Cell Painting
bazedoxifene	0.04 uM	5	H12	0.0373456023889402	0.025	Cell Painting
bci-540	0.04 uM	5	I12	0.0169706449902236	0.185	Cell Painting
beclomethasone-dipropionate	0.04 uM	5	O18	0.482074761168526	0	Cell Painting
belinostat	0.04 uM	5	L24	0.1378039268654969	0	Cell Painting
bemegride	0.04 uM	5	N12	0.0683702857563536	0	Cell Painting
benazepril	0.04 uM	5	M18	0.036768807975206	0.057	Cell Painting
bendamustine	0.04 uM	5	J06	0.0278993239024119	0.132	Cell Painting
bendroflumethiazide	0.04 uM	5	O18	0.0227167943208173	0.323	Cell Painting
benzbromarone	0.04 uM	5	P24	0.4649009988738964	0.35	Cell Painting
benzthiazide	0.04 uM	5	E24	0.1086115876940247	0.008	Cell Painting
benzydamine	0.04 uM	5	J06	0.0479694153392675	0.01	Cell Painting
benzylpenicillin	0.04 uM	5	L24	0.1803631419143661	0	Cell Painting
bepotastine	0.04 uM	5	C06	0.0490432527615877	0.004	Cell Painting
berberine	0.04 uM	5	L18	0.0145536268816648	0.352	Cell Painting
betahistine	0.04 uM	5	J24	0.0669947491154651	0.015	Cell Painting
betulinic-acid	0.04 uM	2	B18	0.0405355342805308	0.294	Cell Painting
bevirimat-dimeglumine	0.04 uM	5	G24	0.1062920906391049	0	Cell Painting
bexarotene	0.04 uM	5	A18	0.1541413374965315	0.004	Cell Painting
bezafibrate	0.04 uM	5	K18	0.0697230608959301	0	Cell Painting
bicalutamide	0.04 uM	5	E06	0.0071933504198917	0.536	Cell Painting
bifemelane	0.04 uM	5	A18	0.1161342471626195	0.005	Cell Painting
bifonazole	0.04 uM	5	F06	0.0317131664631916	0.058	Cell Painting
bimatoprost	0.04 uM	5	J24	0.071721900967139	0.01	Cell Painting
bindarit	0.04 uM	5	O18	0.0754291121504414	0.001	Cell Painting
biperiden	0.04 uM	4	C12	0.026992874520081	0.187	Cell Painting
birinapant	0.04 uM	5	H24	0.1158022260834693	0	Cell Painting
bisindolylmaleimide	0.04 uM	5	B18	0.0506389249174862	0.018	Cell Painting
bisoprolol	0.04 uM	5	F18	0.0349279778068345	0.064	Cell Painting
bitopertin	0.04 uM	5	I12	0.0322741866020859	0.031	Cell Painting
blonanserin	0.04 uM	5	C12	0.0545577385345275	0.002	Cell Painting
bms-599626	0.04 uM	5	K24	0.0276269270040343	0.72	Cell Painting
bms-707035	0.04 uM	5	O24	0.1400161660420496	0.001	Cell Painting
bms-927711	0.04 uM	5	A18	0.0043882917080812	0.769	Cell Painting
bopindolol	0.04 uM	5	M24	0.276742234712687	0.267	Cell Painting
bortezomib	0.04 uM	5	D18	0.4563415978026296	0	Cell Painting
bosentan	0.04 uM	5	E06	0.0236144888705485	0.192	Cell Painting
bosutinib	0.04 uM	5	N24	0.1279255392676305	0	Cell Painting
brequinar	0.04 uM	5	K24	0.1586472607522129	0.019	Cell Painting
bretazenil	0.04 uM	5	N18	-0.0067925446890492	0.887	Cell Painting
brexpiprazole	0.04 uM	4	F06	5.768868078407e-4	0.601	Cell Painting
brivanib	0.04 uM	5	C06	0.026427022919559	0.109	Cell Painting
brivudine	0.04 uM	5	H18	0.0558703648016472	0.001	Cell Painting
bromocriptine	0.04 uM	5	H12	0.0255355082681209	0.099	Cell Painting
broxuridine	0.04 uM	5	M24	0.3735212313899211	0.062	Cell Painting
bruceantin	0.04 uM	5	O12	0.6231579245244048	0	Cell Painting
bts-54505	0.04 uM	5	C12	0.0098523364375159	0.538	Cell Painting
bucladesine	0.04 uM	5	P24	0.5296987729914686	0.156	Cell Painting
budipine	0.04 uM	5	P12	0.0761716423967433	0.006	Cell Painting
bumetanide	0.04 uM	5	M12	0.0430880666702993	0.015	Cell Painting
bupivacaine	0.04 uM	4	G12	-6.541241792479e-4	0.663	Cell Painting
bupropion	0.04 uM	5	F06	0.0520183287235536	0.005	Cell Painting
buspirone	0.04 uM	5	L06	0.0248854964516807	0.163	Cell Painting
butoconazole	0.04 uM	5	E24	0.0660407611999673	0.115	Cell Painting
butorphanol-(+)-tartrate	0.04 uM	2	L18	0.0120939134332123	0.479	Cell Painting
bvd-523	0.04 uM	5	D18	0.0611635226292642	0.003	Cell Painting
cabazitaxel	0.04 uM	5	J24	0.552364189122346	0	Cell Painting
cabergoline	0.04 uM	5	P24	0.6752844993402755	0.002	Cell Painting
cabozantinib	0.04 uM	5	C06	0.0249087641620562	0.13	Cell Painting
caffeine	0.04 uM	4	L12	0.0337520120484592	0.059	Cell Painting
calcitriol	0.04 uM	5	I18	0.062773003748576	0.002	Cell Painting
camicinal	0.04 uM	5	M12	0.0356488983449676	0.039	Cell Painting
camptothecin	0.04 uM	2	D12	0.3889442724476196	0	Cell Painting
canagliflozin	0.04 uM	5	M12	0.0181636930358364	0.218	Cell Painting
candesartan	0.04 uM	5	I24	0.0636869000004172	0.023	Cell Painting
canertinib	0.04 uM	5	B12	0.1259113305316601	0	Cell Painting
canrenoic-acid	0.04 uM	5	L18	0.0343372603645627	0.068	Cell Painting
capecitabine	0.04 uM	5	K18	0.0120147364610764	0.423	Cell Painting
capsaicin	0.04 uM	5	P18	0.0596289281251037	0.014	Cell Painting
carbachol	0.04 uM	5	E18	0.0488695767539814	0.024	Cell Painting
carbamazepine	0.04 uM	5	N06	0.0446089406839787	0.023	Cell Painting
carbenoxolone	0.04 uM	5	F06	0.0511273061260367	0.005	Cell Painting
carbimazole	0.04 uM	5	E06	0.010596437130992	0.439	Cell Painting
carglumic-acid	0.04 uM	5	N24	0.1437092301823164	0	Cell Painting
cariprazine	0.04 uM	5	J24	0.0844301320265301	0.002	Cell Painting
carisoprodol	0.04 uM	5	N24	0.1001027725274895	0	Cell Painting
carprofen	0.04 uM	5	I18	0.0646897000248314	0.002	Cell Painting
carvedilol	0.04 uM	5	N12	0.0425992466228468	0.02	Cell Painting
cb-10-277-(free-acid)	0.04 uM	5	N12	0.1030176759249711	0	Cell Painting
cc-401	0.04 uM	5	D24	0.0502265965760083	0.213	Cell Painting
cc-930	0.04 uM	5	J06	0.0231699266398434	0.219	Cell Painting
cediranib	0.04 uM	5	F24	0.0758745872258254	0.035	Cell Painting
cefdinir	0.04 uM	5	B18	0.0088608180232804	0.622	Cell Painting
cefepime	0.04 uM	5	A18	0.148881033462738	0.004	Cell Painting
cefoperazone	0.04 uM	4	I24	0.0785900884894426	0.011	Cell Painting
cefotetan	0.04 uM	5	N24	0.0783646617659713	0.005	Cell Painting
cefozopran	0.04 uM	5	L24	0.0978153503010181	0.001	Cell Painting
celecoxib	0.04 uM	4	L18	0.0419254909867642	0.05	Cell Painting
cep-37440	0.04 uM	5	O12	0.0019852972644631	0.653	Cell Painting
cepharanthine	0.04 uM	5	D24	0.0983586167465094	0.005	Cell Painting
cgp12177	0.04 uM	2	H06	-0.0204736378257226	0.754	Cell Painting
chlorambucil	0.04 uM	5	D24	0.0521003675460796	0.186	Cell Painting
chlormezanone	0.04 uM	5	O24	0.0359182207861115	0.514	Cell Painting
chloroxine	0.04 uM	5	I12	0.0423768622878849	0.008	Cell Painting
chlorphenamine	0.04 uM	5	D06	0.0124528329851905	0.34	Cell Painting
chlorpromazine	0.04 uM	5	G12	-0.0017690025438173	0.752	Cell Painting
chlorpropamide	0.04 uM	5	A18	0.2199400484817556	0	Cell Painting
chlortalidone	0.04 uM	5	O12	0.0489670768541011	0.011	Cell Painting
cholic-acid	0.04 uM	2	M18	0.0284848673987741	0.363	Cell Painting
choline-alfoscerate	0.04 uM	5	J24	0.0784572406880342	0.002	Cell Painting
cianidanol	0.04 uM	5	J12	0.041522155049917	0.005	Cell Painting
ciclesonide	0.04 uM	5	M06	0.4903201871091144	0	Cell Painting
ciglitazone	0.04 uM	5	D18	0.0370881058180258	0.055	Cell Painting
cilengitide	0.04 uM	5	C18	0.057769008380754903	0.017	Cell Painting
cilomilast	0.04 uM	2	F06	-0.0076637534721219	0.626	Cell Painting
cilostazol	0.04 uM	5	L18	0.0964317764373368	0	Cell Painting
cimetidine	0.04 uM	5	O18	0.043831519335233	0.048	Cell Painting
cinaciguat	0.04 uM	5	P24	0.6237326740954583	0.012	Cell Painting
cinepazide	0.04 uM	5	L18	0.1484155795314545	0	Cell Painting
cinnarizine	0.04 uM	5	N06	0.031837920310187	0.118	Cell Painting
cinoxacin	0.04 uM	5	K18	0.1040154588578495	0	Cell Painting
ciprofloxacin	0.04 uM	5	C18	0.0332473155090607	0.204	Cell Painting
cisapride	0.04 uM	5	F06	0.0732221958778833	0	Cell Painting
citalopram	0.04 uM	5	C18	0.0135261326080137	0.619	Cell Painting
cladribine	0.04 uM	5	K06	-0.0050333910226732	0.777	Cell Painting
clarithromycin	0.04 uM	5	H12	0.0568389429550352	0.001	Cell Painting
clenbuterol	0.04 uM	5	H06	-0.0054519843135239	0.793	Cell Painting
climbazole	0.04 uM	5	A12	0.0387525146550741	0.172	Cell Painting
clinafloxacin	0.04 uM	5	G12	0.0113071519614516	0.409	Cell Painting
clindamycin	0.04 uM	5	F06	0.1611983774443955	0	Cell Painting
clinofibrate	0.04 uM	5	G24	0.0474166661462092	0.226	Cell Painting
clioquinol	0.04 uM	5	H06	0.0102337098672458	0.426	Cell Painting
clobetasol	0.04 uM	5	D18	0.4848129981784414	0	Cell Painting
clofarabine	0.04 uM	5	I24	0.1398809299838409	0	Cell Painting
clofazimine	0.04 uM	5	D06	0.0425592178713822	0.011	Cell Painting
clofibric-acid	0.04 uM	5	A24	0.0879334204957569	0.008	Cell Painting
clofoctol	0.04 uM	4	L24	0.0867036867281623	0.017	Cell Painting
clomethiazole	0.04 uM	5	O12	0.0453386335011929	0.017	Cell Painting
clomifene	0.04 uM	5	E24	0.0616072765229161	0.152	Cell Painting
clonazepam	0.04 uM	2	D24	-0.0362756470862564	0.944	Cell Painting
clonidine	0.04 uM	5	B24	0.0613267008056994	0.21	Cell Painting
clotrimazole	0.04 uM	5	B24	0.1476493122062049	0.001	Cell Painting
clozapine	0.04 uM	2	A12	0.0930911526850696	0.07	Cell Painting
co-102862	0.04 uM	5	H18	0.0738109907101956	0	Cell Painting
cobimetinib	0.04 uM	4	O24	0.0811589165927992	0.045	Cell Painting
colchicine	0.04 uM	4	A24	0.2759023533323478	0	Cell Painting
colforsin-daproate	0.04 uM	5	D06	0.0439538195354885	0.01	Cell Painting
combretastatin-a-4	0.04 uM	5	O12	0.4217859129403569	0	Cell Painting
conivaptan	0.04 uM	2	A18	0.0396185095673949	0.324	Cell Painting
cordycepin	0.04 uM	5	L12	0.0123880299323619	0.336	Cell Painting
cp-945,598	0.04 uM	5	F24	0.0820826914685788	0.017	Cell Painting
cpi-1189	0.04 uM	5	N18	0.0289605762697486	0.168	Cell Painting
cpi-613	0.04 uM	5	K18	0.0220178520847074	0.204	Cell Painting
cromoglicic-acid	0.04 uM	5	L18	0.0228429842870156	0.183	Cell Painting
ct-7758	0.04 uM	5	P12	0.1558270189710909	0	Cell Painting
cts-1027	0.04 uM	5	P24	0.417245791275233	0.495	Cell Painting
curcumin	0.04 uM	5	N18	0.0614545217301493	0.003	Cell Painting
cx-4945	0.04 uM	5	C12	0.0350715389875601	0.071	Cell Painting
cx-5461	0.04 uM	5	D18	0.0885645927841095	0	Cell Painting
cx516	0.04 uM	5	B12	0.0160986238831304	0.388	Cell Painting
cyanocobalamin	0.04 uM	5	P24	0.4576551233761927	0.369	Cell Painting
cyclizine	0.04 uM	5	P12	0.0403487483062538	0.279	Cell Painting
cyclobenzaprine	0.04 uM	2	L12	-0.0341858999920465	0.829	Cell Painting
cyclosporin-a	0.04 uM	5	N06	0.4196020883104542	0	Cell Painting
cyproheptadine	0.04 uM	5	H18	0.0317503985352376	0.035	Cell Painting
cyproterone-acetate	0.04 uM	5	H12	0.0454366085364593	0.007	Cell Painting
cytarabine	0.04 uM	5	M12	0.0172440255959053	0.232	Cell Painting
cytisine	0.04 uM	5	A12	0.1164990867638451	0	Cell Painting
d-serine	0.04 uM	5	M12	0.0106257764840916	0.383	Cell Painting
dabigatran-etexilate	0.04 uM	5	F18	0.0167847779450686	0.337	Cell Painting
dabrafenib	0.04 uM	5	I24	0.1431819726634055	0	Cell Painting
dacarbazine	0.04 uM	5	N06	0.0390586589941079	0.057	Cell Painting
dacinostat	0.04 uM	5	E18	0.6220518169780006	0	Cell Painting
dacomitinib	0.04 uM	5	F24	0.175062940243311	0	Cell Painting
danazol	0.04 uM	5	A24	0.1011686255910583	0.004	Cell Painting
danegaptide	0.04 uM	5	N12	0.0458845538726423	0.008	Cell Painting
dantrolene	0.04 uM	5	C06	0.0041142281179066	0.567	Cell Painting
danusertib	0.04 uM	5	A12	0.1172594530990244	0	Cell Painting
dapagliflozin	0.04 uM	5	F18	0.0229457245091506	0.218	Cell Painting
dapivirine	0.04 uM	5	E06	0.1058977592571183	0	Cell Painting
dapsone	0.04 uM	5	F06	0.0648979283141998	0	Cell Painting
darifenacin	0.04 uM	5	F24	0.0671730655658582	0.087	Cell Painting
darunavir	0.04 uM	5	D18	0.0170209165838576	0.391	Cell Painting
dasabuvir	0.04 uM	4	M06	0.0140647131710624	0.528	Cell Painting
dasatinib	0.04 uM	5	L18	0.370226342246598	0	Cell Painting
dazoxiben	0.04 uM	5	G06	0.0517055766488414	0.005	Cell Painting
decitabine	0.04 uM	5	B24	0.2124590066412429	0	Cell Painting
defactinib	0.04 uM	2	N24	-0.0132093289356575	0.868	Cell Painting
deferasirox	0.04 uM	5	M24	0.2049858329175207	0.539	Cell Painting
deferiprone	0.04 uM	5	K06	0.0446569340741676	0.009	Cell Painting
deforolimus	0.04 uM	5	E24	0.5067268389980322	0	Cell Painting
dehydroepiandrosterone	0.04 uM	5	E12	0.0395786365489167	0.038	Cell Painting
delanzomib	0.04 uM	5	L06	0.5895331328918912	0	Cell Painting
delivert	0.04 uM	5	D18	0.024895890646834	0.233	Cell Painting
deoxycholic-acid	0.04 uM	5	P06	0.0932782427944535	0	Cell Painting
dequalinium	0.04 uM	5	M06	0.1422438363613041	0	Cell Painting
desmopressin-acetate	0.04 uM	5	L24	0.0628585615843901	0.056	Cell Painting
dexamethasone	0.04 uM	5	F06	0.3735441271994871	0	Cell Painting
dexamethasone	0.04 uM	5	N06	0.3735441271994871	0	Cell Painting
dexfenfluramine	0.04 uM	5	I12	0.0470096306284602	0.004	Cell Painting
dexloxiglumide	0.04 uM	5	P06	0.0463507882345962	0.07	Cell Painting
dexniguldipine	0.04 uM	2	O24	0.0251748585341767	0.584	Cell Painting
dextromethorphan	0.04 uM	5	G12	0.0391795246542636	0.027	Cell Painting
diacerein	0.04 uM	5	F24	0.0332878607619864	0.595	Cell Painting
diazepam	0.04 uM	5	E18	0.0819118020109845	0	Cell Painting
diazoxide	0.04 uM	5	P24	0.6277673557742061	0.01	Cell Painting
diclofenac	0.04 uM	5	C12	0.0145718058030761	0.41	Cell Painting
diclofensine	0.04 uM	5	M18	0.0820521379209839	0.002	Cell Painting
dicloxacillin	0.04 uM	5	H06	0.0103576215395393	0.425	Cell Painting
dicoumarol	0.04 uM	5	G24	0.0804316672591832	0.01	Cell Painting
dideoxyadenosine	0.04 uM	5	K18	0.0757823184194147	0	Cell Painting
dienogest	0.04 uM	5	J06	0.0335981963903919	0.074	Cell Painting
diethylcarbamazine	0.04 uM	5	C12	0.0403184411715422	0.037	Cell Painting
diethylstilbestrol	0.04 uM	5	C18	0.0326700652864295	0.212	Cell Painting
diflunisal	0.04 uM	5	G12	0.0530135541817162	0.006	Cell Painting
dihydroergocristine	0.04 uM	5	O18	0.0014830989952433	0.794	Cell Painting
dihydroergotamine	0.04 uM	5	N24	0.090898641741754	0	Cell Painting
dilazep	0.04 uM	5	N24	0.14765782320186	0	Cell Painting
diltiazem	0.04 uM	5	F18	0.0471777560904101	0.01	Cell Painting
dimesna	0.04 uM	5	O12	0.0520758755534936	0.007	Cell Painting
dimethyl-fumarate	0.04 uM	5	A12	0.068866572409535	0.007	Cell Painting
diminazene-aceturate	0.04 uM	5	C12	0.0389880833349088	0.043	Cell Painting
dinaciclib	0.04 uM	5	J06	0.3704117872296961	0	Cell Painting
dinoprost	0.04 uM	5	A12	0.1033146375557828	0	Cell Painting
diosmin	0.04 uM	5	E18	0.0074113829575192	0.653	Cell Painting
diphenidol	0.04 uM	4	H12	0.0243479860772578	0.16	Cell Painting
dipraglurant	0.04 uM	5	I18	0.0500032550623167	0.017	Cell Painting
dipyridamole	0.04 uM	5	P18	0.0723950626782863	0.003	Cell Painting
disopyramide	0.04 uM	5	M24	0.0594095138843695	0.953	Cell Painting
disulfiram	0.04 uM	5	E24	0.1271194805502324	0.005	Cell Painting
dmp-777	0.04 uM	5	L12	0.0212798141986368	0.176	Cell Painting
docetaxel	0.04 uM	5	H18	0.6110356221358966	0	Cell Painting
dofequidar	0.04 uM	5	N06	0.0820114340370185	0	Cell Painting
