,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6
HCV inhibitor,0.367,0.364,0.087,0.611,0.255,0.301
HDAC inhibitor,0.427,0.186,0.037,0.005,0.0,0.0
HIV integrase inhibitor,0.324,0.184,0.643,0.559,0.117,0.118
HIV protease inhibitor,0.216,0.113,0.442,0.835,0.247,0.293
HMGCR inhibitor,0.601,0.765,0.091,0.174,0.368,0.284
HSP inhibitor,0.019,0.002,0.0,0.0,0.0,0.0
JAK inhibitor,0.53,0.429,0.11,0.402,0.122,0.007
JNK inhibitor,0.868,0.807,0.805,0.531,0.219,0.37
KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,0.355,0.066,0.008,0.418,0.488,0.148
L-type calcium channel blocker,0.09,0.748,0.496,0.747,0.241,0.471
MDM inhibitor,0.293,0.36,0.063,0.058,0.001,0.0
MEK inhibitor,0.025,0.0,0.0,0.0,0.0,0.0
NFkB pathway inhibitor,0.078,0.23,0.174,0.435,0.405,0.741
O6-alkylguanine-DNA alkyltransferase inhibitor,0.383,0.322,0.164,0.553,0.215,0.397
P glycoprotein inhibitor,0.86,0.814,0.114,0.289,0.403,0.066
PARP inhibitor,0.224,0.406,0.705,0.59,0.428,0.578
PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,0.589,0.111,0.289,0.53,0.325,0.47
PI3K inhibitor,0.281,0.104,0.164,0.037,0.09,0.078
PKC activator,0.0,0.0,0.0,0.0,0.0,0.001
PKC inhibitor,0.603,0.176,0.24,0.18,0.11,0.036
PLK inhibitor,0.0,0.0,0.0,0.0,0.0,0.0
PPAR receptor agonist,0.557,0.939,0.936,0.149,0.845,0.346
Pim kinase inhibitor,0.552,0.872,0.199,0.195,0.26,0.11
RAF inhibitor,0.255,0.399,0.254,0.671,0.627,0.384
RNA polymerase inhibitor,0.03,0.039,0.238,0.676,0.044,0.109
RNA synthesis inhibitor,0.047,0.64,0.912,0.899,0.959,0.925
T-type calcium channel blocker,0.597,0.797,0.583,0.39,0.6,0.481
TGF beta receptor inhibitor,0.142,0.049,0.152,0.039,0.104,0.1
TRPV antagonist,0.594,0.8,0.51,0.301,0.235,0.03
VEGFR inhibitor,0.286,0.174,0.215,0.387,0.419,0.155
XIAP inhibitor,0.315,0.055,0.092,0.061,0.087,0.189
acetylcholine receptor agonist,0.026,0.206,0.046,0.048,0.611,0.48
acetylcholine receptor antagonist,0.24,0.032,0.012,0.045,0.381,0.564
acetylcholine release enhancer,0.606,0.988,0.883,0.94,0.924,0.902
acetylcholinesterase inhibitor,0.805,0.618,0.913,0.923,0.983,0.936
adenosine receptor agonist,0.868,0.606,0.731,0.294,0.103,0.049
adenosine receptor antagonist,0.082,0.059,0.083,0.784,0.836,0.901
adenylyl cyclase activator,0.334,0.086,0.158,0.17,0.092,0.005
adrenergic inhibitor,0.881,0.788,0.473,0.503,0.624,0.69
adrenergic receptor agonist,0.471,0.096,0.087,0.177,0.208,0.864
adrenergic receptor antagonist,0.043,0.014,0.024,0.008,0.035,0.761
alcohol dehydrogenase inhibitor,0.932,0.907,0.555,0.452,0.255,0.04
aldose reductase inhibitor,0.006,0.036,0.004,0.007,0.01,0.031
androgen receptor antagonist,0.314,0.062,0.268,0.666,0.95,0.942
androgen receptor modulator,0.34,0.208,0.158,0.245,0.354,0.429
angiogenesis inhibitor,0.12,0.13,0.388,0.511,0.746,0.235
angiogenesis inhibitor|tumor necrosis factor production inhibitor,0.983,0.975,0.446,0.696,0.971,0.925
angiotensin converting enzyme inhibitor,0.849,0.194,0.032,0.002,0.001,0.07
angiotensin receptor antagonist,0.112,0.258,0.158,0.813,0.509,0.984
anthelmintic agent,0.001,0.149,0.029,0.007,0.031,0.648
antimalarial agent,0.821,0.706,0.834,0.953,0.237,0.114
antioxidant,0.933,0.693,0.902,0.742,0.374,0.78
antithyroid agent,0.931,0.78,0.855,0.965,0.965,0.795
aromatase inhibitor,0.057,0.232,0.405,0.418,0.139,0.326
bacterial 30S ribosomal subunit inhibitor,0.185,0.62,0.406,0.501,0.42,0.556
bacterial 50S ribosomal subunit inhibitor,0.517,0.502,0.576,0.577,0.379,0.983
bacterial DNA gyrase inhibitor,0.038,0.121,0.095,0.393,0.76,0.093
bacterial antifolate,0.861,0.764,0.821,0.268,0.159,0.137
bacterial cell wall synthesis inhibitor,0.858,0.932,0.216,0.27,0.646,0.481
benzodiazepine receptor agonist,0.058,0.217,0.27,0.561,0.39,0.79
benzodiazepine receptor antagonist,0.736,0.578,0.445,0.358,0.347,0.367
beta lactamase inhibitor,0.17,0.605,0.507,0.846,0.428,0.904
beta-secretase inhibitor,0.854,0.886,0.51,0.82,0.584,0.406
c-Met inhibitor,0.05,0.028,0.039,0.035,0.061,0.657
calcineurin inhibitor,0.479,0.95,0.815,0.785,0.104,0.022
calcitonin antagonist,0.691,0.156,0.12,0.227,0.167,0.209
calcium channel blocker,0.552,0.032,0.016,0.372,0.104,0.449
calmodulin antagonist,0.785,0.733,0.523,0.69,0.529,0.313
cannabinoid receptor agonist,0.646,0.525,0.55,0.159,0.318,0.779
cannabinoid receptor antagonist,0.535,0.231,0.828,0.259,0.106,0.236
cannabinoid receptor inverse agonist,0.587,0.586,0.832,0.593,0.349,0.344
carbonic anhydrase inhibitor,0.436,0.296,0.368,0.403,0.881,0.596
carnitine palmitoyltransferase inhibitor,0.002,0.055,0.006,0.013,0.097,0.179
cathepsin inhibitor,0.476,0.651,0.998,0.973,0.584,0.884
chelating agent,0.049,0.03,0.034,0.046,0.005,0.017
cholesterol inhibitor,0.006,0.0,0.001,0.005,0.102,0.071
cholesteryl ester transfer protein inhibitor,0.152,0.53,0.192,0.38,0.453,0.232
coagulation factor inhibitor,0.926,0.901,0.67,0.948,0.859,0.806
cyclooxygenase inhibitor,0.029,0.335,0.213,0.091,0.102,0.717
cyclooxygenase inhibitor|prostanoid receptor antagonist,0.668,0.74,0.458,0.745,0.717,0.94
cytochrome P450 inhibitor,0.448,0.979,0.809,0.596,0.639,0.337
dehydrogenase inhibitor|inositol monophosphatase inhibitor,0.728,0.004,0.0,0.0,0.0,0.0
diacylglycerol O acyltransferase inhibitor,0.546,0.293,0.05,0.074,0.022,0.616
dihydrofolate reductase inhibitor,0.922,0.963,0.755,0.879,0.652,0.249
dihydroorotate dehydrogenase inhibitor,0.161,0.34,0.417,0.336,0.464,0.011
dipeptidyl peptidase inhibitor,0.936,0.736,0.767,0.766,0.364,0.119
diuretic,0.505,0.628,0.485,0.308,0.506,0.559
dopamine receptor agonist,0.726,0.545,0.53,0.531,0.138,0.549
dopamine receptor antagonist,0.161,0.117,0.03,0.14,0.026,0.013
dopamine receptor antagonist|serotonin receptor antagonist,0.718,0.545,0.525,0.371,0.23,0.489
dopamine reuptake inhibitor,0.443,0.176,0.269,0.574,0.886,0.545
elastase inhibitor,0.607,0.525,0.405,0.195,0.297,0.3
endothelin receptor antagonist,0.457,0.847,0.754,0.514,0.206,0.646
estrogen receptor agonist,0.254,0.287,0.146,0.748,0.844,0.133
estrogen receptor agonist|estrogenic hormone,0.691,0.835,0.749,0.956,0.859,0.626
estrogen receptor antagonist,0.091,0.413,0.834,0.78,0.422,0.046
estrogen receptor antagonist|selective estrogen receptor modulator (SERM),0.754,0.228,0.078,0.008,0.025,0.001
farnesyltransferase inhibitor,0.513,0.538,0.263,0.358,0.425,0.169
fatty acid synthase inhibitor,0.068,0.176,0.201,0.171,0.065,0.082
focal adhesion kinase inhibitor,0.69,0.274,0.397,0.437,0.0,0.002
free radical scavenger,0.609,0.907,0.948,0.937,0.325,0.098
fungal squalene epoxidase inhibitor,0.768,0.875,0.977,0.921,0.398,0.165
gamma secretase inhibitor,0.562,0.482,0.243,0.067,0.063,0.083
gap junction modulator,0.39,0.29,0.218,0.407,0.471,0.235
glucocorticoid receptor agonist,0.0,0.0,0.0,0.0,0.0,0.0
glucose dependent insulinotropic receptor agonist,0.682,0.427,0.256,0.569,0.618,0.038
glucosidase inhibitor,0.022,0.155,0.041,0.009,0.079,0.289
glutamate receptor agonist,0.827,0.719,0.677,0.605,0.729,0.569
glutamate receptor antagonist,0.321,0.229,0.805,0.89,0.352,0.942
glutamate receptor modulator,0.476,0.333,0.872,0.817,0.052,0.118
glycine transporter inhibitor,0.077,0.376,0.23,0.3,0.54,0.794
gonadotropin releasing factor hormone receptor agonist,0.406,0.155,0.264,0.895,0.706,0.99
growth hormone secretagogue receptor agonist,0.476,0.462,0.253,0.194,0.727,0.683
guanylate cyclase stimulant,0.846,0.802,0.922,0.987,0.987,0.86
hepatocyte growth factor receptor inhibitor,0.348,0.62,0.341,0.419,0.313,0.594
histamine receptor agonist,0.022,0.013,0.002,0.019,0.0,0.471
histamine receptor antagonist,0.422,0.085,0.109,0.058,0.339,0.48
histamine receptor modulator,0.483,0.902,0.306,0.45,0.493,0.423
hypoxia inducible factor inhibitor,0.361,0.464,0.109,0.02,0.05,0.074
immunostimulant,0.263,0.17,0.338,0.195,0.21,0.211
immunosuppressant,0.737,0.513,0.547,0.854,0.497,0.747
inosine monophosphate dehydrogenase inhibitor,0.79,0.708,0.941,0.033,0.019,0.001
insulin secretagogue,0.622,0.454,0.307,0.155,0.713,0.622
insulin sensitizer,0.975,0.96,0.812,0.709,0.953,0.464
insulin sensitizer|PPAR receptor agonist,0.38,0.184,0.733,0.677,0.099,0.063
integrin antagonist,0.664,0.558,0.338,0.462,0.452,0.223
isocitrate dehydrogenase inhibitor,0.659,0.819,0.304,0.763,0.724,0.485
leukotriene receptor antagonist,0.31,0.127,0.219,0.116,0.311,0.678
leukotriene synthesis inhibitor,0.905,0.655,0.579,0.442,0.116,0.419
lipase inhibitor,0.635,0.53,0.19,0.635,0.515,0.395
lipid peroxidase inhibitor,0.195,0.28,0.349,0.31,0.736,0.601
lipoxygenase inhibitor,0.437,0.123,0.227,0.494,0.602,0.992
mTOR inhibitor,0.008,0.0,0.0,0.0,0.001,0.0
mTOR inhibitor|PI3K inhibitor,0.255,0.018,0.003,0.0,0.0,0.0
matrix metalloprotease inhibitor,0.757,0.987,0.788,0.941,0.198,0.045
membrane integrity inhibitor,0.006,0.024,0.016,0.004,0.001,0.013
membrane permeability inhibitor,0.69,0.781,0.952,0.759,0.711,0.636
microtubule inhibitor,0.439,0.738,0.49,0.155,0.11,0.082
mineralocorticoid receptor antagonist,0.339,0.288,0.445,0.149,0.073,0.326
monoamine oxidase inhibitor,0.264,0.033,0.041,0.004,0.01,0.137
mucolytic agent,0.502,0.685,0.75,0.741,0.822,0.933
neprilysin inhibitor,0.635,0.606,0.141,0.514,0.604,0.438
neurotrophic agent,0.052,0.122,0.247,0.193,0.253,0.217
nitric oxide donor,0.952,0.814,0.567,0.525,0.634,0.348
nitric oxide stimulant,0.884,0.871,0.915,0.955,0.856,0.856
nitric oxide synthase inhibitor,0.684,0.878,0.363,0.696,0.327,0.499
non-nucleoside reverse transcriptase inhibitor,0.958,0.929,0.921,0.726,0.663,0.097
norepinephrine reputake inhibitor|tricyclic antidepressant,0.003,0.024,0.121,0.514,0.34,0.402
nuclear factor erythroid derived|like (NRF2) activator,0.142,0.155,0.145,0.434,0.49,0.503
nucleoside reverse transcriptase inhibitor,0.663,0.242,0.581,0.775,0.372,0.859
opioid receptor agonist,0.015,0.016,0.012,0.039,0.023,0.105
opioid receptor antagonist,0.816,0.479,0.382,0.135,0.813,0.406
p38 MAPK inhibitor,0.0,0.0,0.0,0.0,0.009,0.234
phosphodiesterase inhibitor,0.54,0.157,0.368,0.126,0.031,0.454
platelet activating factor receptor antagonist,0.107,0.034,0.016,0.155,0.457,0.617
platelet aggregation inhibitor,0.163,0.191,0.834,0.734,0.634,0.494
potassium channel activator,0.154,0.301,0.983,0.358,0.85,0.976
potassium channel blocker,0.125,0.6,0.072,0.014,0.956,0.717
progesterone receptor agonist,0.27,0.591,0.441,0.455,0.048,0.046
progesterone receptor antagonist,0.119,0.263,0.693,0.843,0.939,0.41
prostanoid receptor agonist,0.959,0.788,0.861,0.886,0.636,1.0
prostanoid receptor antagonist,0.029,0.022,0.012,0.105,0.701,0.715
protein synthesis inhibitor,0.93,0.232,0.264,0.282,0.396,0.38
protein synthesis stimulant,0.243,0.175,0.38,0.449,0.659,0.753
protein tyrosine kinase inhibitor,0.238,0.426,0.677,0.601,0.068,0.233
purine antagonist,0.75,0.496,0.058,0.001,0.001,0.006
purinergic receptor antagonist,0.456,0.263,0.577,0.559,0.706,0.808
renin inhibitor,0.201,0.213,0.021,0.017,0.07,0.045
retinoid receptor agonist,0.133,0.019,0.307,0.042,0.076,0.039
rho associated kinase inhibitor,0.098,0.519,0.101,0.467,0.038,0.021
ribonucleotide reductase inhibitor,0.639,0.836,0.323,0.801,0.25,0.007
selective serotonin reuptake inhibitor (SSRI),0.572,0.282,0.215,0.1,0.206,0.234
serotonin receptor agonist,0.703,0.319,0.539,0.4,0.682,0.954
serotonin receptor agonist|serotonin receptor antagonist,0.021,0.124,0.134,0.028,0.188,0.237
serotonin receptor antagonist,0.182,0.048,0.285,0.118,0.075,0.308
serotonin reuptake inhibitor,0.794,0.599,0.146,0.026,0.065,0.428
serotonin transporter (SERT) inhibitor,0.967,0.657,0.256,0.107,0.155,0.472
serotoninânorepinephrine reuptake inhibitor (SNRI),0.812,0.945,0.87,0.516,0.638,0.638
sigma receptor agonist,0.734,0.191,0.507,0.374,0.78,0.823
sigma receptor antagonist,0.226,0.194,0.555,0.408,0.889,0.819
sodium channel blocker,0.691,0.247,0.303,0.08,0.665,0.953
sodium/glucose cotransporter inhibitor,0.255,0.076,0.053,0.011,0.031,0.018
sodium/potassium/chloride transporter inhibitor,0.812,0.462,0.633,0.864,0.703,0.809
sterol demethylase inhibitor,0.302,0.244,0.16,0.168,0.826,0.665
sulfonylurea,0.282,0.191,0.256,0.344,0.438,0.35
tachykinin antagonist,0.912,0.23,0.42,0.729,0.528,0.047
thrombin inhibitor,0.945,0.764,0.221,0.236,0.31,0.784
thromboxane receptor antagonist,0.657,0.6,0.905,0.283,0.75,0.692
thromboxane synthase inhibitor,0.0,0.0,0.0,0.001,0.004,0.001
thymidylate synthase inhibitor,0.056,0.793,0.595,0.679,0.718,0.126
thyrotropin releasing hormone receptor agonist,0.205,0.49,0.072,0.122,0.227,0.374
topoisomerase inhibitor,0.251,0.91,0.882,0.332,0.001,0.007
tricyclic antidepressant,0.582,0.445,0.442,0.32,0.463,0.083
tryptophan hydroxylase inhibitor,0.997,0.968,0.574,0.577,0.455,0.814
tubulin polymerization inhibitor,0.633,0.498,0.12,0.0,0.0,0.0
tumor necrosis factor production inhibitor,0.535,0.284,0.501,0.516,0.503,0.558
tumor necrosis factor release inhibitor,0.379,0.116,0.381,0.777,0.348,0.819
tyrosinase inhibitor,0.105,0.106,0.079,0.155,0.132,0.134
tyrosine kinase inhibitor,0.005,0.002,0.569,0.913,0.97,0.673
vasopressin receptor antagonist,0.339,0.665,0.872,0.835,0.142,0.103
vesicular monoamine transporter inhibitor,0.752,0.387,0.502,0.678,0.906,0.905
vitamin D receptor agonist,0.472,0.107,0.205,0.08,0.032,0.013
vitamin K antagonist,0.029,0.039,0.101,0.048,0.035,0.073
voltage-gated sodium channel blocker,0.921,0.574,0.298,0.95,0.989,1.0
xanthine oxidase inhibitor,0.092,0.082,0.096,0.104,0.146,0.371
