,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6
HSP inhibitor,0.041,0.001,0.0,0.0,0.0,0.0
JAK inhibitor,0.737,0.568,0.078,0.142,0.131,0.006
JNK inhibitor,0.796,0.702,0.857,0.489,0.235,0.444
KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,0.437,0.049,0.018,0.482,0.424,0.106
L-type calcium channel blocker,0.091,0.826,0.393,0.708,0.11,0.591
MDM inhibitor,0.249,0.652,0.103,0.068,0.001,0.0
MEK inhibitor,0.037,0.002,0.0,0.0,0.0,0.0
NFkB pathway inhibitor,0.093,0.118,0.139,0.5,0.18,0.527
O6-alkylguanine-DNA alkyltransferase inhibitor,0.327,0.289,0.128,0.553,0.242,0.452
P glycoprotein inhibitor,0.814,0.761,0.063,0.171,0.44,0.063
PARP inhibitor,0.207,0.337,0.709,0.561,0.536,0.714
PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,0.627,0.025,0.339,0.489,0.352,0.473
PI3K inhibitor,0.226,0.096,0.123,0.036,0.085,0.08
PKC activator,0.0,0.0,0.0,0.0,0.0,0.0
PKC inhibitor,0.409,0.175,0.33,0.123,0.149,0.058
PLK inhibitor,0.0,0.0,0.0,0.0,0.0,0.0
PPAR receptor agonist,0.617,0.974,0.976,0.102,0.562,0.209
Pim kinase inhibitor,0.705,0.897,0.193,0.217,0.267,0.119
RAF inhibitor,0.328,0.348,0.256,0.607,0.631,0.308
RNA polymerase inhibitor,0.028,0.067,0.274,0.607,0.069,0.099
RNA synthesis inhibitor,0.039,0.423,0.952,0.923,0.965,0.941
T-type calcium channel blocker,0.564,0.752,0.596,0.444,0.653,0.432
TGF beta receptor inhibitor,0.095,0.059,0.174,0.02,0.097,0.086
TRPV antagonist,0.692,0.836,0.572,0.261,0.28,0.026
VEGFR inhibitor,0.238,0.321,0.256,0.366,0.43,0.175
XIAP inhibitor,0.399,0.061,0.092,0.075,0.098,0.182
acetylcholine receptor agonist,0.034,0.179,0.078,0.142,0.545,0.51
acetylcholine receptor antagonist,0.252,0.067,0.02,0.038,0.229,0.56
acetylcholine release enhancer,0.407,0.99,0.787,0.963,0.785,0.901
acetylcholinesterase inhibitor,0.839,0.708,0.956,0.958,0.893,0.923
adenosine receptor agonist,0.77,0.701,0.58,0.306,0.183,0.037
adenosine receptor antagonist,0.087,0.09,0.038,0.782,0.911,0.874
adenylyl cyclase activator,0.292,0.065,0.212,0.23,0.127,0.002
adrenergic inhibitor,0.874,0.727,0.494,0.439,0.691,0.712
adrenergic receptor agonist,0.293,0.195,0.065,0.359,0.3,0.951
adrenergic receptor antagonist,0.11,0.026,0.036,0.011,0.082,0.862
alcohol dehydrogenase inhibitor,0.939,0.942,0.49,0.33,0.318,0.139
aldose reductase inhibitor,0.006,0.027,0.003,0.004,0.013,0.037
androgen receptor antagonist,0.148,0.057,0.509,0.672,0.908,0.879
androgen receptor modulator,0.356,0.34,0.205,0.269,0.455,0.421
angiogenesis inhibitor,0.107,0.096,0.588,0.487,0.602,0.332
angiogenesis inhibitor|tumor necrosis factor production inhibitor,0.978,0.948,0.496,0.669,0.965,0.918
angiotensin converting enzyme inhibitor,0.923,0.242,0.063,0.005,0.002,0.118
angiotensin receptor antagonist,0.157,0.303,0.248,0.823,0.466,0.945
anthelmintic agent,0.001,0.16,0.011,0.005,0.027,0.589
antimalarial agent,0.682,0.618,0.936,0.926,0.146,0.135
antioxidant,0.958,0.74,0.934,0.866,0.412,0.899
antithyroid agent,0.868,0.734,0.786,0.971,0.955,0.677
aromatase inhibitor,0.111,0.065,0.673,0.485,0.255,0.191
bacterial 30S ribosomal subunit inhibitor,0.239,0.483,0.467,0.572,0.426,0.53
bacterial 50S ribosomal subunit inhibitor,0.438,0.418,0.712,0.542,0.47,0.953
bacterial DNA gyrase inhibitor,0.042,0.254,0.112,0.237,0.884,0.081
bacterial antifolate,0.854,0.642,0.906,0.43,0.099,0.068
bacterial cell wall synthesis inhibitor,0.711,0.863,0.274,0.259,0.765,0.804
benzodiazepine receptor agonist,0.061,0.339,0.262,0.479,0.411,0.77
benzodiazepine receptor antagonist,0.746,0.352,0.496,0.336,0.385,0.37
beta lactamase inhibitor,0.134,0.61,0.483,0.858,0.375,0.934
beta-secretase inhibitor,0.894,0.844,0.337,0.607,0.558,0.465
c-Met inhibitor,0.064,0.046,0.038,0.023,0.055,0.64
calcineurin inhibitor,0.361,0.932,0.81,0.865,0.134,0.022
calcitonin antagonist,0.743,0.134,0.107,0.361,0.249,0.213
calcium channel blocker,0.335,0.086,0.007,0.453,0.114,0.446
calmodulin antagonist,0.783,0.763,0.583,0.748,0.533,0.329
cannabinoid receptor agonist,0.687,0.386,0.55,0.149,0.334,0.745
cannabinoid receptor antagonist,0.639,0.18,0.858,0.22,0.126,0.419
cannabinoid receptor inverse agonist,0.56,0.551,0.844,0.541,0.315,0.375
carbonic anhydrase inhibitor,0.453,0.437,0.507,0.356,0.835,0.597
carnitine palmitoyltransferase inhibitor,0.003,0.017,0.006,0.012,0.087,0.231
cathepsin inhibitor,0.534,0.645,0.998,0.99,0.66,0.854
chelating agent,0.076,0.067,0.037,0.064,0.005,0.018
cholesterol inhibitor,0.007,0.001,0.001,0.016,0.12,0.116
cholesteryl ester transfer protein inhibitor,0.088,0.488,0.185,0.493,0.557,0.256
coagulation factor inhibitor,0.884,0.869,0.519,0.883,0.867,0.83
cyclooxygenase inhibitor,0.034,0.232,0.118,0.102,0.146,0.9
cyclooxygenase inhibitor|prostanoid receptor antagonist,0.313,0.468,0.467,0.657,0.842,0.935
cytochrome P450 inhibitor,0.44,1.0,0.874,0.783,0.552,0.413
dehydrogenase inhibitor|inositol monophosphatase inhibitor,0.864,0.003,0.0,0.0,0.0,0.0
diacylglycerol O acyltransferase inhibitor,0.637,0.278,0.061,0.017,0.033,0.53
dihydrofolate reductase inhibitor,0.925,0.935,0.787,0.924,0.848,0.423
dihydroorotate dehydrogenase inhibitor,0.179,0.198,0.371,0.21,0.334,0.015
dipeptidyl peptidase inhibitor,0.977,0.834,0.325,0.81,0.277,0.159
diuretic,0.477,0.825,0.537,0.26,0.549,0.535
dopamine receptor agonist,0.438,0.443,0.653,0.618,0.204,0.579
dopamine receptor antagonist,0.132,0.139,0.051,0.076,0.071,0.013
dopamine receptor antagonist|serotonin receptor antagonist,0.691,0.617,0.588,0.408,0.222,0.42
dopamine reuptake inhibitor,0.37,0.15,0.224,0.649,0.833,0.347
elastase inhibitor,0.655,0.613,0.498,0.226,0.319,0.273
endothelin receptor antagonist,0.388,0.893,0.934,0.589,0.208,0.571
estrogen receptor agonist,0.271,0.296,0.197,0.74,0.824,0.138
estrogen receptor agonist|estrogenic hormone,0.624,0.83,0.825,0.968,0.874,0.646
estrogen receptor antagonist,0.098,0.576,0.852,0.796,0.468,0.064
estrogen receptor antagonist|selective estrogen receptor modulator (SERM),0.631,0.133,0.053,0.007,0.023,0.002
farnesyltransferase inhibitor,0.534,0.564,0.2,0.322,0.398,0.144
fatty acid synthase inhibitor,0.083,0.133,0.253,0.148,0.094,0.097
focal adhesion kinase inhibitor,0.64,0.292,0.456,0.452,0.0,0.004
free radical scavenger,0.535,0.833,0.941,0.913,0.33,0.075
fungal squalene epoxidase inhibitor,0.75,0.884,0.97,0.96,0.492,0.156
gamma secretase inhibitor,0.533,0.49,0.195,0.119,0.087,0.089
gap junction modulator,0.443,0.262,0.262,0.279,0.551,0.173
glucocorticoid receptor agonist,0.0,0.0,0.0,0.0,0.0,0.0
glucose dependent insulinotropic receptor agonist,0.717,0.39,0.456,0.628,0.36,0.021
glucosidase inhibitor,0.028,0.193,0.134,0.045,0.165,0.495
glutamate receptor agonist,0.749,0.661,0.651,0.426,0.813,0.526
glutamate receptor antagonist,0.235,0.139,0.848,0.869,0.159,0.843
glutamate receptor modulator,0.582,0.525,0.948,0.972,0.077,0.121
glycine transporter inhibitor,0.095,0.454,0.247,0.304,0.699,0.856
gonadotropin releasing factor hormone receptor agonist,0.546,0.165,0.411,0.99,0.971,0.991
growth hormone secretagogue receptor agonist,0.543,0.506,0.296,0.259,0.735,0.703
guanylate cyclase stimulant,0.93,0.862,0.932,0.997,0.992,0.878
hepatocyte growth factor receptor inhibitor,0.246,0.398,0.348,0.391,0.24,0.616
histamine receptor agonist,0.029,0.037,0.002,0.006,0.0,0.626
histamine receptor antagonist,0.458,0.205,0.118,0.122,0.827,0.86
histamine receptor modulator,0.438,0.968,0.316,0.391,0.42,0.457
hypoxia inducible factor inhibitor,0.353,0.481,0.091,0.02,0.047,0.072
immunostimulant,0.145,0.061,0.315,0.126,0.301,0.15
immunosuppressant,0.897,0.599,0.555,0.835,0.55,0.819
inosine monophosphate dehydrogenase inhibitor,0.73,0.646,0.96,0.041,0.034,0.001
insulin secretagogue,0.602,0.529,0.306,0.302,0.833,0.635
insulin sensitizer,0.981,0.971,0.78,0.735,0.965,0.388
insulin sensitizer|PPAR receptor agonist,0.318,0.284,0.731,0.678,0.094,0.093
integrin antagonist,0.491,0.71,0.249,0.339,0.31,0.276
isocitrate dehydrogenase inhibitor,0.591,0.786,0.29,0.776,0.766,0.506
leukotriene receptor antagonist,0.33,0.246,0.211,0.111,0.288,0.699
leukotriene synthesis inhibitor,0.848,0.655,0.588,0.535,0.108,0.382
lipase inhibitor,0.65,0.545,0.182,0.675,0.532,0.279
lipid peroxidase inhibitor,0.219,0.263,0.357,0.385,0.735,0.618
lipoxygenase inhibitor,0.299,0.141,0.219,0.678,0.623,0.989
mTOR inhibitor,0.023,0.0,0.003,0.0,0.001,0.0
mTOR inhibitor|PI3K inhibitor,0.109,0.022,0.005,0.001,0.0,0.0
matrix metalloprotease inhibitor,0.775,0.973,0.679,0.875,0.24,0.036
membrane integrity inhibitor,0.006,0.024,0.019,0.004,0.001,0.012
membrane permeability inhibitor,0.846,0.888,0.964,0.84,0.841,0.667
microtubule inhibitor,0.404,0.659,0.393,0.139,0.093,0.105
mineralocorticoid receptor antagonist,0.574,0.264,0.41,0.182,0.132,0.485
monoamine oxidase inhibitor,0.353,0.018,0.055,0.003,0.005,0.313
mucolytic agent,0.425,0.705,0.664,0.708,0.915,0.979
neprilysin inhibitor,0.648,0.654,0.244,0.453,0.543,0.445
neurotrophic agent,0.016,0.183,0.263,0.371,0.332,0.197
nitric oxide donor,0.935,0.79,0.555,0.499,0.482,0.34
nitric oxide stimulant,0.809,0.73,0.894,0.955,0.855,0.756
nitric oxide synthase inhibitor,0.768,0.855,0.402,0.94,0.598,0.48
non-nucleoside reverse transcriptase inhibitor,0.944,0.899,0.941,0.832,0.774,0.109
norepinephrine reputake inhibitor|tricyclic antidepressant,0.001,0.013,0.16,0.516,0.346,0.594
nuclear factor erythroid derived|like (NRF2) activator,0.155,0.133,0.156,0.426,0.456,0.476
nucleoside reverse transcriptase inhibitor,0.732,0.384,0.6,0.922,0.49,0.771
opioid receptor agonist,0.017,0.027,0.004,0.087,0.014,0.091
opioid receptor antagonist,0.841,0.569,0.366,0.202,0.749,0.433
p38 MAPK inhibitor,0.003,0.001,0.001,0.0,0.031,0.241
phosphodiesterase inhibitor,0.521,0.17,0.269,0.263,0.105,0.57
platelet activating factor receptor antagonist,0.055,0.031,0.03,0.319,0.658,0.602
platelet aggregation inhibitor,0.211,0.257,0.616,0.819,0.741,0.559
potassium channel activator,0.094,0.147,0.979,0.489,0.884,0.978
potassium channel blocker,0.109,0.486,0.072,0.01,0.981,0.661
progesterone receptor agonist,0.42,0.915,0.504,0.603,0.05,0.063
progesterone receptor antagonist,0.094,0.374,0.757,0.869,0.934,0.432
prostanoid receptor agonist,0.982,0.751,0.791,0.972,0.609,1.0
prostanoid receptor antagonist,0.021,0.014,0.008,0.215,0.799,0.88
protein synthesis inhibitor,0.642,0.232,0.457,0.354,0.436,0.366
protein synthesis stimulant,0.26,0.212,0.45,0.46,0.466,0.805
protein tyrosine kinase inhibitor,0.202,0.421,0.575,0.484,0.064,0.246
purine antagonist,0.813,0.518,0.043,0.0,0.002,0.004
purinergic receptor antagonist,0.32,0.246,0.534,0.705,0.657,0.82
renin inhibitor,0.155,0.168,0.029,0.016,0.064,0.037
retinoid receptor agonist,0.25,0.046,0.561,0.074,0.068,0.022
rho associated kinase inhibitor,0.086,0.165,0.067,0.539,0.036,0.02
ribonucleotide reductase inhibitor,0.577,0.801,0.297,0.601,0.199,0.004
selective serotonin reuptake inhibitor (SSRI),0.41,0.29,0.283,0.093,0.232,0.175
serotonin receptor agonist,0.492,0.267,0.606,0.506,0.691,0.984
serotonin receptor agonist|serotonin receptor antagonist,0.01,0.129,0.083,0.017,0.193,0.301
serotonin receptor antagonist,0.239,0.034,0.153,0.241,0.24,0.276
serotonin reuptake inhibitor,0.863,0.74,0.218,0.029,0.092,0.476
serotonin transporter (SERT) inhibitor,0.976,0.558,0.177,0.136,0.141,0.519
serotoninânorepinephrine reuptake inhibitor (SNRI),0.761,0.826,0.886,0.474,0.529,0.58
sigma receptor agonist,0.581,0.136,0.438,0.37,0.873,0.785
sigma receptor antagonist,0.191,0.226,0.62,0.477,0.916,0.832
sodium channel blocker,0.666,0.113,0.236,0.231,0.817,0.997
sodium/glucose cotransporter inhibitor,0.362,0.095,0.088,0.04,0.019,0.026
sodium/potassium/chloride transporter inhibitor,0.885,0.432,0.63,0.943,0.771,0.77
sterol demethylase inhibitor,0.292,0.318,0.152,0.331,0.787,0.307
sulfonylurea,0.293,0.169,0.117,0.321,0.528,0.37
tachykinin antagonist,0.704,0.243,0.449,0.162,0.633,0.045
thrombin inhibitor,0.851,0.634,0.167,0.292,0.33,0.655
thromboxane receptor antagonist,0.678,0.628,0.912,0.259,0.713,0.722
thromboxane synthase inhibitor,0.0,0.0,0.0,0.001,0.013,0.0
thymidylate synthase inhibitor,0.049,0.847,0.748,0.433,0.814,0.067
thyrotropin releasing hormone receptor agonist,0.222,0.471,0.068,0.191,0.037,0.616
topoisomerase inhibitor,0.111,0.913,0.334,0.23,0.004,0.013
tricyclic antidepressant,0.553,0.41,0.42,0.365,0.464,0.091
tryptophan hydroxylase inhibitor,0.994,0.983,0.578,0.59,0.522,0.735
tubulin polymerization inhibitor,0.419,0.15,0.113,0.0,0.0,0.0
tumor necrosis factor production inhibitor,0.632,0.143,0.408,0.619,0.403,0.445
tumor necrosis factor release inhibitor,0.304,0.089,0.587,0.908,0.402,0.886
tyrosinase inhibitor,0.173,0.112,0.106,0.172,0.165,0.118
tyrosine kinase inhibitor,0.007,0.002,0.708,0.893,0.989,0.828
vasopressin receptor antagonist,0.357,0.6,0.859,0.788,0.156,0.118
vesicular monoamine transporter inhibitor,0.897,0.303,0.444,0.709,0.873,0.846
vitamin D receptor agonist,0.725,0.19,0.152,0.058,0.028,0.023
vitamin K antagonist,0.031,0.054,0.093,0.085,0.032,0.091
voltage-gated sodium channel blocker,0.935,0.578,0.311,0.965,0.983,1.0
xanthine oxidase inhibitor,0.12,0.129,0.083,0.098,0.171,0.511
