cpd,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,no_of_replicates
alvocidib,0.076,0.0,0.0,0.0,0.0,0.0,3
am-24,0.939,0.872,0.941,0.846,0.285,0.508,3
amantadine,0.851,0.574,0.936,0.72,0.179,0.769,3
ambrisentan,0.902,0.924,0.793,0.763,0.87,0.683,3
ambroxol,0.946,0.51,0.889,0.866,0.115,0.634,2
amd11070,0.777,0.701,0.829,0.856,0.85,0.322,3
amg-208,0.947,0.835,0.678,0.796,0.953,0.875,3
amg-232,0.975,0.967,0.558,0.0,0.0,0.0,3
amg-517,0.504,0.558,0.512,0.003,0.886,0.009,3
amikacin,0.699,0.729,0.672,0.564,0.966,0.528,3
amiloride,0.959,0.948,0.812,0.809,0.739,0.637,3
aminocaproic-acid,0.891,0.769,0.941,0.532,0.932,0.777,3
aminoglutethimide,0.891,0.346,0.97,0.906,0.473,0.009,3
aminoguanidine,0.825,0.901,0.411,0.939,0.545,0.821,3
aminolevulinic-acid,0.92,0.588,0.972,0.677,0.893,0.9,3
aminosalicylic-acid,0.887,0.907,0.958,0.8,0.973,0.828,3
amiodarone,0.741,0.888,0.813,0.884,0.885,0.279,3
amiprilose,0.892,0.694,0.67,0.497,0.609,0.536,3
amitifadine,0.547,0.563,0.874,0.544,0.921,0.687,3
amlexanox,0.793,0.398,0.49,0.152,0.775,0.69,3
amlodipine,0.572,0.948,0.978,0.173,0.933,0.523,3
ammonium-glycyrrhizinate,0.457,0.576,0.806,0.367,0.1,0.967,3
amonafide,0.844,0.898,0.31,0.814,0.01,0.0,3
amoxapine,0.89,0.923,0.918,0.973,0.988,0.774,4
ampalex,0.455,0.075,0.94,0.787,0.316,0.41,2
amrinone,0.966,0.954,0.757,0.688,0.91,0.553,3
amsacrine,0.003,0.0,0.0,0.0,0.0,0.0,3
amtolmetin-guacil,0.775,0.132,0.174,0.096,0.468,0.951,3
amuvatinib,0.852,0.841,0.774,0.794,0.213,0.023,2
anamorelin,0.842,0.889,0.962,0.963,0.9,0.979,4
anandamide,0.867,0.854,0.878,0.951,0.915,0.935,3
andrographolide,0.873,0.864,0.923,0.323,0.647,0.637,3
anecortave-acetate,0.6,0.804,0.427,0.702,0.638,0.488,2
anidulafungin,0.907,0.407,0.652,0.969,0.871,0.976,3
aniracetam,0.875,0.642,0.943,0.929,0.76,0.917,3
anisodamine,0.796,0.824,0.329,0.728,0.648,0.928,2
ap26113,0.965,0.686,0.048,0.788,0.23,0.001,2
apafant,0.155,0.75,0.741,0.128,0.722,0.144,3
apd668,0.896,0.641,0.942,0.946,0.623,0.954,3
aphidicolin,0.608,0.493,0.128,0.001,0.0,0.0,3
api-001,0.181,0.5,0.883,0.475,0.471,0.551,3
apixaban,0.871,0.883,0.644,0.414,0.907,0.715,3
apocynin,0.309,0.892,0.804,0.911,0.156,0.457,3
apremilast,0.276,0.765,0.615,0.879,0.903,0.372,3
aprepitant,0.923,0.889,0.855,0.821,0.931,0.556,3
arbutin,0.849,0.729,0.942,0.332,0.907,0.655,3
argatroban,0.818,0.893,0.985,0.577,0.64,0.285,3
arglabin,0.86,0.841,0.711,0.828,0.905,0.858,2
aripiprazole,0.928,0.566,0.97,0.627,0.583,0.059,3
arofylline,0.838,0.911,0.882,0.935,0.838,0.971,3
arry-334543,0.914,0.174,0.487,0.823,0.831,0.482,3
artesunate,0.183,0.876,0.375,0.428,0.012,0.0,3
asa-404,0.724,0.927,0.961,0.793,0.511,0.846,3
asc-j9,0.874,0.601,0.72,0.952,0.877,0.087,3
asenapine,0.94,0.824,0.959,0.934,0.953,1.0,3
aspirin,0.916,0.558,0.923,0.638,0.753,0.683,3
at13387,0.943,0.43,0.081,0.001,0.0,0.0,3
ataluren,0.928,0.922,0.769,0.818,0.331,0.391,2
atenolol,0.903,0.988,0.929,0.921,0.447,0.879,2
atipamezole,0.86,0.715,0.983,0.862,0.722,0.832,3
atn-161,0.872,0.564,0.888,0.925,0.738,0.687,3
atomoxetine,0.88,0.878,0.869,0.938,0.954,0.756,3
atorvastatin,0.612,0.516,0.89,0.688,0.736,0.087,3
atracurium,0.756,0.974,0.969,0.951,0.606,0.921,3
atrasentan,0.861,0.907,0.877,0.925,0.876,0.856,3
av-608,0.16,0.482,0.95,0.917,0.704,0.775,3
avagacestat,0.878,0.888,0.951,0.818,0.828,0.856,3
avanafil,0.887,0.913,0.898,0.845,0.929,0.918,2
avasimibe,0.556,0.727,0.401,0.055,0.0,0.0,3
avl-292,0.771,0.848,0.95,0.103,0.001,0.0,3
avn-944,0.803,0.955,0.737,0.043,0.0,0.0,3
azacitidine,0.501,0.012,0.284,0.004,0.0,0.0,2
azathioprine,0.797,0.92,0.813,0.974,0.535,0.705,3
azd1208,0.916,0.878,0.602,0.74,0.873,0.122,3
azd1480,0.56,0.948,0.383,0.908,0.953,0.89,3
azd1981,0.868,0.919,0.975,0.776,0.877,0.971,3
azd2014,0.914,0.822,0.04,0.034,0.0,0.0,3
azd3514,0.859,0.65,0.729,0.452,0.501,0.235,2
azd4547,0.791,0.406,0.123,0.059,0.149,0.0,2
azd5363,0.703,0.916,0.804,0.797,0.722,0.008,3
azd7545,0.864,0.478,0.973,0.968,0.828,0.025,3
azd7687,0.539,0.376,0.876,0.514,0.161,0.036,3
azd7762,0.734,0.824,0.801,0.552,0.0,0.0,3
azd8931,0.952,0.737,0.95,0.165,0.537,0.249,3
azd9668,0.039,0.763,0.806,0.346,0.649,0.232,3
azelaic-acid,0.934,0.489,0.792,0.826,0.678,0.546,3
azelastine,0.519,0.642,0.706,0.017,0.688,0.036,3
balaglitazone,0.929,0.932,0.986,0.991,0.978,0.324,4
balapiravir,0.936,0.621,0.919,0.91,0.737,0.867,2
balicatib,0.41,0.893,0.799,0.647,0.707,0.541,3
balsalazide,0.807,0.42,0.878,0.259,0.823,0.846,3
bambuterol,0.912,0.92,0.95,0.907,0.953,0.855,3
bardoxolone-methyl,0.895,0.763,0.54,0.0,0.0,0.0,2
basimglurant,0.758,0.944,0.83,0.913,0.946,0.423,3
batimastat,0.734,0.663,0.898,0.618,0.551,0.436,2
bavisant,0.968,0.815,0.727,0.895,0.819,0.927,2
bay-87-2243,0.001,0.046,0.001,0.001,0.0,0.0,3
bazedoxifene,0.132,0.806,0.961,0.938,0.054,0.237,3
bci-540,0.636,0.893,0.768,0.68,0.4,0.825,3
beclomethasone-dipropionate,0.003,0.023,0.0,0.01,0.0,0.002,3
belinostat,0.906,0.617,0.012,0.0,0.0,0.0,3
bemegride,0.002,0.107,0.394,0.385,0.257,0.67,3
benazepril,0.849,0.961,0.849,0.619,0.514,0.319,3
bendamustine,0.905,0.839,0.972,0.944,0.816,0.832,3
bendroflumethiazide,0.645,0.877,0.866,0.604,0.887,0.83,2
benzbromarone,0.586,0.902,0.761,0.69,0.142,0.482,3
benzthiazide,0.547,0.867,0.811,0.601,0.294,0.876,3
benzydamine,0.663,0.684,0.883,0.898,0.931,0.932,2
benzylpenicillin,0.646,0.698,0.392,0.885,0.608,0.592,2
bepotastine,0.923,0.943,0.958,0.737,0.649,0.774,3
berberine,0.818,0.394,0.652,0.155,0.034,0.0,3
betahistine,0.407,0.824,0.789,0.807,0.907,0.712,3
betulinic-acid,0.893,0.972,0.986,0.491,0.592,0.551,3
bevirimat-dimeglumine,0.958,0.878,0.876,0.926,0.676,0.086,3
bexarotene,0.729,0.718,0.813,0.879,0.592,0.731,3
bezafibrate,0.76,0.426,0.8,0.87,0.835,0.043,2
bicalutamide,0.923,0.71,0.875,0.755,0.609,0.086,3
bifemelane,0.924,0.581,0.903,0.71,0.591,0.796,3
bifonazole,0.854,0.913,0.794,0.254,0.822,0.057,2
bimatoprost,0.907,0.959,0.97,0.956,0.933,0.886,3
bindarit,0.623,0.889,0.905,0.937,0.837,0.336,3
biperiden,0.939,0.853,0.847,0.592,0.945,0.305,3
birinapant,0.887,0.812,0.777,0.553,0.187,0.171,3
bisindolylmaleimide,0.284,0.281,0.076,0.718,0.11,0.001,2
bisoprolol,0.68,0.427,0.623,0.543,0.495,0.957,3
bitopertin,0.2,0.187,0.534,0.8,0.032,0.12,3
blonanserin,0.961,0.886,0.3,0.927,0.95,0.673,3
bms-599626,0.979,0.92,0.813,0.809,0.527,0.108,3
bms-707035,0.885,0.645,0.952,0.952,0.976,0.965,3
bms-927711,0.708,0.957,0.958,0.695,0.947,0.974,3
bopindolol,0.977,0.769,0.937,0.765,0.456,0.845,3
bortezomib,0.0,0.0,0.0,0.0,0.0,0.0,2
bosentan,0.205,0.572,0.914,0.329,0.827,0.006,2
bosutinib,0.923,0.563,0.957,0.838,0.19,0.0,3
brequinar,0.9,0.891,0.018,0.541,0.115,0.043,2
bretazenil,0.909,0.556,0.931,0.821,0.92,0.973,3
brexpiprazole,0.871,0.81,0.93,0.879,0.848,0.801,3
brivanib,0.834,0.625,0.806,0.685,0.177,0.016,3
brivudine,0.942,0.876,0.739,0.918,0.823,0.188,3
bromocriptine,0.842,0.762,0.913,0.877,0.96,0.965,3
broxuridine,0.921,0.33,0.877,0.767,0.644,0.409,3
bruceantin,0.0,0.0,0.0,0.0,0.0,0.0,2
bts-54505,0.034,0.889,0.602,0.606,0.625,0.778,3
bucladesine,0.746,0.675,0.847,0.719,0.711,0.469,3
budipine,0.871,0.892,0.888,0.882,0.729,0.754,2
bumetanide,0.968,0.937,0.91,0.906,0.828,0.91,2
bupivacaine,0.861,0.906,0.852,0.946,0.948,0.403,3
bupropion,0.811,0.971,0.95,0.97,0.92,0.527,3
buspirone,0.888,0.88,0.759,0.572,0.826,0.433,2
butoconazole,0.865,0.866,0.944,0.475,0.66,0.799,3
butorphanol-(+)-tartrate,0.936,0.756,0.817,0.821,0.81,0.694,3
bvd-523,0.944,0.946,0.046,0.081,0.0,0.0,3
cabazitaxel,0.001,0.0,0.001,0.011,0.021,0.005,3
cabergoline,0.781,0.859,0.656,0.886,0.654,0.799,3
cabozantinib,0.662,0.493,0.985,0.084,0.827,0.017,3
caffeine,0.94,0.907,0.986,0.749,0.94,0.845,4
calcitriol,0.886,0.476,0.837,0.839,0.463,0.162,3
camicinal,0.934,0.79,0.863,0.873,0.775,0.179,3
camptothecin,0.0,0.0,0.0,0.0,0.0,0.0,3
canagliflozin,0.906,0.736,0.958,0.812,0.87,0.785,3
candesartan,0.817,0.916,0.972,0.952,0.965,0.423,3
canertinib,0.943,0.92,0.957,0.906,0.942,0.715,3
canrenoic-acid,0.735,0.932,0.826,0.796,0.525,0.936,3
capecitabine,0.903,0.373,0.625,0.758,0.457,0.07,2
capsaicin,0.78,0.771,0.673,0.778,0.68,0.736,2
carbachol,0.968,0.871,0.249,0.614,0.854,0.865,2
carbamazepine,0.846,0.756,0.924,0.052,0.731,0.469,3
carbenoxolone,0.871,0.979,0.793,0.004,0.933,0.602,3
carbimazole,0.764,0.803,0.951,0.879,0.761,0.602,3
carglumic-acid,0.88,0.773,0.87,0.622,0.95,0.636,3
cariprazine,0.829,0.871,0.872,0.866,0.797,0.549,2
carisoprodol,0.861,0.945,0.848,0.715,0.931,0.87,3
carprofen,0.859,0.861,0.918,0.746,0.746,0.652,2
carvedilol,0.659,0.699,0.834,0.828,0.698,0.081,2
cb-10-277-(free-acid),0.882,0.856,0.699,0.927,0.8,0.7,3
cc-401,0.381,0.156,0.92,0.777,0.348,0.016,3
cc-930,0.792,0.867,0.699,0.961,0.973,0.707,3
cediranib,0.876,0.774,0.984,0.927,0.73,0.151,3
cefdinir,0.762,0.88,0.883,0.851,0.887,0.633,2
cefepime,0.333,0.824,0.733,0.39,0.428,0.056,3
cefoperazone,0.973,0.938,0.968,0.951,0.918,0.95,4
cefotetan,0.745,0.88,0.93,0.433,0.878,0.375,2
cefozopran,0.929,0.984,0.958,0.944,0.983,0.952,3
celecoxib,0.934,0.806,0.932,0.921,0.362,0.903,3
cep-37440,0.705,0.603,0.918,0.112,0.0,0.0,3
cepharanthine,0.951,0.871,0.789,0.75,0.202,0.151,2
cgp12177,0.922,0.703,0.626,0.866,0.662,0.917,3
chlorambucil,0.202,0.003,0.016,0.577,0.27,0.407,3
chlormezanone,0.906,0.851,0.274,0.711,0.765,0.84,3
chloroxine,0.519,0.953,0.878,0.96,0.504,0.027,3
chlorphenamine,0.969,0.861,0.853,0.873,0.871,0.243,3
chlorpromazine,0.525,0.948,0.811,0.715,0.503,0.004,3
chlorpropamide,0.701,0.798,0.963,0.44,0.957,0.912,3
chlortalidone,0.958,0.058,0.72,0.93,0.812,0.639,3
cholic-acid,0.568,0.885,0.683,0.768,0.7,0.868,2
choline-alfoscerate,0.61,0.853,0.964,0.911,0.863,0.849,3
cianidanol,0.94,0.708,0.964,0.605,0.931,0.868,3
ciclesonide,0.685,0.162,0.211,0.019,0.01,0.0,3
ciglitazone,0.696,0.889,0.955,0.785,0.816,0.935,3
cilengitide,0.905,0.976,0.698,0.939,0.806,0.855,3
cilomilast,0.928,0.941,0.812,0.881,0.134,0.847,3
cilostazol,0.805,0.911,0.731,0.095,0.614,0.816,3
cimetidine,0.847,0.36,0.438,0.397,0.364,0.516,3
cinaciguat,0.861,0.898,0.855,0.785,0.796,0.962,3
cinepazide,0.967,0.562,0.935,0.8,0.886,0.702,2
cinnarizine,0.968,0.889,0.845,0.917,0.76,0.704,3
cinoxacin,0.274,0.023,0.109,0.426,0.495,0.108,3
ciprofloxacin,0.959,0.868,0.972,0.435,0.873,0.586,3
cisapride,0.614,0.427,0.8,0.621,0.106,0.157,3
citalopram,0.914,0.953,0.796,0.833,0.92,0.9,3
cladribine,0.664,0.861,0.456,0.592,0.056,0.026,2
clarithromycin,0.654,0.438,0.97,0.925,0.796,0.94,3
clenbuterol,0.783,0.928,0.947,0.38,0.815,0.772,2
climbazole,0.834,0.642,0.719,0.6,0.712,0.923,2
clinafloxacin,0.968,0.914,0.876,0.981,0.743,0.956,3
clindamycin,0.444,0.669,0.169,0.943,0.892,0.687,3
clinofibrate,0.943,0.321,0.974,0.245,0.654,0.723,3
clioquinol,0.961,0.961,0.713,0.859,0.89,0.345,3
clobetasol,0.003,0.003,0.012,0.0,0.0,0.0,3
clofarabine,0.437,0.975,0.671,0.003,0.0,0.0,3
clofazimine,0.892,0.88,0.993,0.885,0.951,0.711,3
clofibric-acid,0.759,0.907,0.712,0.926,0.87,0.928,3
clofoctol,0.919,0.97,0.761,0.98,0.74,0.984,4
clomethiazole,0.556,0.907,0.611,0.76,0.604,0.774,3
clomifene,0.717,0.232,0.533,0.686,0.073,0.0,3
clonazepam,0.74,0.633,0.873,0.913,0.4,0.587,3
clonidine,0.926,0.702,0.804,0.851,0.32,0.238,2
clotrimazole,0.893,0.853,0.905,0.96,0.87,0.398,3
clozapine,0.968,0.941,0.626,0.627,0.402,0.431,3
co-102862,0.959,0.839,0.848,0.856,0.924,0.505,3
cobimetinib,0.918,0.897,0.207,0.0,0.0,0.0,4
colchicine,0.923,0.712,0.239,0.043,0.255,0.018,3
colforsin-daproate,0.939,0.72,0.908,0.654,0.673,0.907,3
combretastatin-a-4,0.971,0.561,0.0,0.011,0.0,0.0,3
conivaptan,0.839,0.783,0.78,0.768,0.757,0.687,3
cordycepin,0.089,0.812,0.859,0.936,0.724,0.811,2
"cp-945,598",0.893,0.889,0.941,0.469,0.801,0.428,3
cpi-1189,0.197,0.376,0.941,0.011,0.761,0.855,3
cpi-613,0.852,0.658,0.8,0.648,0.71,0.81,2
cromoglicic-acid,0.806,0.232,0.652,0.708,0.842,0.841,3
ct-7758,0.793,0.977,0.702,0.833,0.929,0.541,3
cts-1027,0.61,0.948,0.602,0.763,0.956,0.551,3
curcumin,0.848,0.737,0.887,0.175,0.135,0.647,3
cx-4945,0.922,0.648,0.953,0.936,0.885,0.049,3
cx-5461,0.359,0.675,0.173,0.221,0.0,0.0,3
cx516,0.773,0.858,0.876,0.864,0.877,0.828,3
cyanocobalamin,0.7,0.748,0.567,0.906,0.927,0.19,2
cyclizine,0.767,0.677,0.75,0.87,0.58,0.49,2
cyclobenzaprine,0.672,0.923,0.863,0.771,0.95,0.59,3
cyclosporin-a,0.934,0.837,0.76,0.405,0.004,0.0,3
cyproheptadine,0.933,0.888,0.842,0.791,0.953,0.788,3
cyproterone-acetate,0.832,0.937,0.902,0.849,0.715,0.736,2
cytarabine,0.564,0.409,0.311,0.066,0.932,0.831,3
cytisine,0.78,0.903,0.972,0.935,0.372,0.249,3
d-serine,0.88,0.762,0.953,0.826,0.828,0.654,3
dabigatran-etexilate,0.923,0.961,0.9,0.779,0.755,0.232,3
dabrafenib,0.78,0.76,0.536,0.004,0.099,0.593,3
dacarbazine,0.721,0.82,0.805,0.624,0.543,0.505,2
dacinostat,0.088,0.0,0.0,0.0,0.0,0.0,3
dacomitinib,0.72,0.846,0.925,0.886,0.718,0.009,3
danazol,0.765,0.964,0.852,0.793,0.872,0.464,3
danegaptide,0.92,0.941,0.934,0.89,0.955,0.769,3
dantrolene,0.742,0.914,0.956,0.785,0.269,0.123,3
danusertib,0.69,0.579,0.315,0.086,0.004,0.0,3
dapagliflozin,0.862,0.824,0.747,0.904,0.559,0.586,3
dapivirine,0.834,0.446,0.178,0.019,0.459,0.027,3
dapsone,0.963,0.913,0.925,0.898,0.932,0.823,3
darifenacin,0.333,0.77,0.958,0.879,0.877,0.656,3
darunavir,0.869,0.918,0.965,0.911,0.847,0.957,3
dasabuvir,0.93,0.949,0.842,0.8,0.838,0.7,3
dasatinib,0.835,0.517,0.685,0.122,0.034,0.155,2
dazoxiben,0.729,0.907,0.547,0.693,0.974,0.616,3
decitabine,0.597,0.415,0.896,0.654,0.81,0.088,3
defactinib,0.796,0.883,0.824,0.9,0.974,0.483,3
deferasirox,0.868,0.918,0.974,0.944,0.779,0.179,3
deferiprone,0.94,0.945,0.852,0.556,0.856,0.7,3
deforolimus,0.001,0.006,0.012,0.001,0.171,0.133,3
dehydroepiandrosterone,0.96,0.92,0.849,0.808,0.901,0.796,2
delanzomib,0.702,0.0,0.0,0.0,0.0,0.0,3
delivert,0.76,0.685,0.827,0.928,0.441,0.858,2
deoxycholic-acid,0.181,0.961,0.953,0.294,0.873,0.814,3
dequalinium,0.923,0.965,0.897,0.056,0.417,0.002,3
desmopressin-acetate,0.87,0.881,0.897,0.921,0.346,0.897,2
dexamethasone,0.0,0.125,0.004,0.001,0.002,0.0,6
dexfenfluramine,0.817,0.974,0.952,0.956,0.902,0.954,3
dexloxiglumide,0.795,0.91,0.878,0.806,0.963,0.637,3
dexniguldipine,0.959,0.812,0.733,0.762,0.909,0.582,3
dextromethorphan,0.737,0.915,0.741,0.621,0.661,0.309,3
diacerein,0.68,0.509,0.721,0.625,0.842,0.762,3
diazepam,0.87,0.707,0.859,0.89,0.85,0.77,2
diazoxide,0.05,0.777,0.151,0.169,0.614,0.027,3
diclofenac,0.904,0.783,0.974,0.103,0.156,0.767,3
diclofensine,0.939,0.783,0.577,0.906,0.854,0.921,3
dicloxacillin,0.963,0.954,0.766,0.725,0.602,0.844,3
dicoumarol,0.884,0.585,0.963,0.952,0.907,0.931,3
dideoxyadenosine,0.907,0.743,0.843,0.926,0.559,0.876,3
dienogest,0.926,0.594,0.97,0.919,0.569,0.738,3
diethylcarbamazine,0.887,0.901,0.905,0.896,0.877,0.348,3
diethylstilbestrol,0.463,0.881,0.052,0.524,0.756,0.861,2
diflunisal,0.615,0.848,0.769,0.753,0.877,0.151,3
dihydroergocristine,0.84,0.572,0.902,0.919,0.892,0.772,2
dihydroergotamine,0.864,0.76,0.937,0.594,0.743,0.898,3
dilazep,0.979,0.907,0.983,0.974,0.765,0.448,3
diltiazem,0.954,0.762,0.388,0.805,0.615,0.051,3
dimesna,0.582,0.6,0.845,0.856,0.279,0.879,2
dimethyl-fumarate,0.918,0.073,0.555,0.73,0.806,0.215,3
diminazene-aceturate,0.885,0.81,0.775,0.892,0.925,0.679,2
dinaciclib,0.012,0.0,0.0,0.0,0.0,0.0,3
dinoprost,0.999,0.906,0.364,0.753,0.082,0.116,3
diosmin,0.678,0.814,0.264,0.927,0.709,0.909,3
diphenidol,0.937,0.754,0.179,0.381,0.88,0.842,3
dipraglurant,0.896,0.667,0.833,0.817,0.881,0.356,2
dipyridamole,0.41,0.803,0.648,0.232,0.177,0.276,3
disopyramide,0.81,0.054,0.886,0.22,0.792,0.903,3
disulfiram,0.361,0.941,0.173,0.634,0.779,0.733,3
dmp-777,0.874,0.457,0.805,0.467,0.167,0.498,3
docetaxel,0.092,0.013,0.001,0.001,0.005,0.0,3
dofequidar,0.383,0.792,0.533,0.885,0.892,0.519,3
dolutegravir,0.771,0.845,0.741,0.727,0.014,0.391,2
donepezil,0.657,0.798,0.837,0.892,0.846,0.839,2
donitriptan,0.683,0.907,0.063,0.637,0.602,0.844,3
dopamine,0.868,0.948,0.888,0.288,0.632,0.498,3
doramapimod,0.801,0.606,0.718,0.513,0.8,0.46,2
dorzolamide,0.734,0.959,0.76,0.581,0.489,0.868,3
doxapram,0.557,0.81,0.732,0.61,0.783,0.693,3
doxazosin,0.241,0.599,0.924,1.0,0.497,0.208,2
doxepin,0.965,0.896,0.032,0.905,0.821,0.817,2
doxifluridine,0.676,0.735,0.858,0.626,0.806,0.539,2
doxofylline,0.124,0.696,0.12,0.986,0.388,0.344,3
doxorubicin,0.0,0.0,0.0,0.0,0.0,0.0,3
doxycycline-hyclate,0.951,0.406,0.893,0.881,0.641,0.324,2
dpcpx,0.916,0.948,0.91,0.8,0.913,0.946,3
dpi-201106,0.818,0.875,0.738,0.841,0.851,0.696,3
dronedarone,0.818,0.856,0.941,0.833,0.82,0.0,3
droperidol,0.955,0.953,0.693,0.548,0.79,0.737,3
drospirenone,0.926,0.858,0.944,0.548,0.928,0.856,3
du-728,0.882,0.951,0.92,0.683,0.781,0.662,3
duloxetine,0.791,0.867,0.787,0.324,0.21,0.602,3
dutasteride,0.402,0.799,0.907,0.325,0.671,0.685,3
e-2012,0.021,0.585,0.02,0.936,0.81,0.32,3
ebselen,0.358,0.938,0.982,0.766,0.912,0.91,3
econazole,0.165,0.511,0.427,0.314,0.074,0.056,3
edoxaban,0.749,0.701,0.82,0.936,0.237,0.935,3
edoxudine,0.967,0.916,0.947,0.953,0.956,0.364,3
efaproxiral,0.688,0.911,0.876,0.555,0.736,0.547,3
efavirenz,0.02,0.875,0.757,0.482,0.643,0.55,3
eflornithine,0.846,0.914,0.876,0.872,0.913,0.876,3
elesclomol,0.616,0.489,0.787,0.929,0.815,0.435,3
ellagic-acid,0.58,0.41,0.169,0.657,0.446,0.62,3
emd-1214063,0.815,0.594,0.679,0.779,0.004,0.009,3
emd-53998,0.878,0.727,0.956,0.877,0.945,0.935,3
emedastine,0.248,0.789,0.791,0.425,0.708,0.633,2
emtricitabine,0.902,0.822,0.922,0.453,0.923,0.836,3
enalapril,0.882,0.806,0.9,0.638,0.939,0.874,3
enoxacin,0.423,0.963,0.11,0.933,0.931,0.596,2
entecavir,0.268,0.624,0.948,0.644,0.715,0.787,2
entinostat,0.878,0.304,0.712,0.014,0.0,0.0,3
enzalutamide,0.922,0.835,0.945,0.919,0.915,0.896,3
enzastaurin,0.587,0.937,0.263,0.001,0.003,0.045,2
eperezolid,0.698,0.666,0.468,0.466,0.704,0.507,3
epinastine,0.749,0.874,0.461,0.944,0.863,0.089,3
epinephrine,0.947,0.892,0.977,0.87,0.96,0.771,3
epirizole,0.473,0.929,0.847,0.521,0.849,0.856,3
epirubicin,0.149,0.029,0.012,0.0,0.0,0.0,3
epitiostanol,0.868,0.561,0.898,0.618,0.884,0.924,4
epothilone-b,0.004,0.026,0.0,0.0,0.152,0.03,3
equol,0.444,0.119,0.288,0.093,0.95,0.059,3
ercalcitriol,0.717,0.868,0.97,0.714,0.823,0.794,3
erlotinib,0.875,0.838,0.804,0.469,0.41,0.131,3
erteberel,0.855,0.958,0.766,0.588,0.779,0.056,3
erythromycin,0.992,0.88,0.961,0.977,0.998,0.89,6
escitalopram,0.683,0.567,0.791,0.134,0.419,0.481,3
esmolol,0.872,0.946,0.728,0.917,0.808,0.687,3
estramustine,0.818,0.638,0.946,0.873,0.805,0.457,3
estramustine-phosphate,0.978,0.974,0.984,0.943,0.971,0.859,4
estriol,0.876,0.976,0.652,0.879,0.593,0.044,3
estrone,0.907,0.918,0.852,0.877,0.85,0.708,3
etacrynic-acid,0.448,0.959,0.962,0.904,0.957,0.827,3
etanidazole,0.735,0.85,0.872,0.819,0.62,0.943,2
etazolate,0.882,0.786,0.973,0.988,0.922,0.64,3
ethinyl-estradiol,0.969,0.643,0.95,0.8,0.94,0.814,3
