compound	no_of_replicates	dose	p_value	matching_score	assay	normalization	category
api-001	3	0.04 uM	0.078	0.0815065709021927	L1000	non_spherized	all_data
apremilast	3	0.04 uM	0.005	0.186027711879564	L1000	non_spherized	all_data
aprepitant	3	0.04 uM	0.423	0.0113028605075273	L1000	non_spherized	all_data
arbutin	3	0.04 uM	0.206	0.047505125316327	L1000	non_spherized	all_data
argatroban	3	0.04 uM	0.178	0.0525365284320373	L1000	non_spherized	all_data
arglabin	2	0.04 uM	0.328	0.0435412416986722	L1000	non_spherized	all_data
aripiprazole	3	0.04 uM	0.412	0.0135070169414611	L1000	non_spherized	all_data
arofylline	3	0.04 uM	0.103	0.0712427756283468	L1000	non_spherized	all_data
arry-334543	3	0.04 uM	0.215	0.046109405875836	L1000	non_spherized	all_data
artesunate	3	0.04 uM	0.001	0.2161454079870423	L1000	non_spherized	all_data
asa-404	3	0.04 uM	0.101	0.0722668958428264	L1000	non_spherized	all_data
asenapine	3	0.04 uM	0.199	0.0485446677768878	L1000	non_spherized	all_data
aspirin	3	0.04 uM	0.378	0.0187062315854036	L1000	non_spherized	all_data
at13387	3	0.04 uM	0.215	0.0460842090238104	L1000	non_spherized	all_data
ataluren	2	0.04 uM	0.787	-0.0474128349858893	L1000	non_spherized	all_data
atenolol	2	0.04 uM	0.412	0.0282061284012497	L1000	non_spherized	all_data
atipamezole	3	0.04 uM	0.633	-0.016409201507735	L1000	non_spherized	all_data
atn-161	3	0.04 uM	0.077	0.0827295783106261	L1000	non_spherized	all_data
atomoxetine	3	0.04 uM	0.281	0.032454039943778	L1000	non_spherized	all_data
atorvastatin	3	0.04 uM	0.22	0.0452746588382826	L1000	non_spherized	all_data
atracurium	3	0.04 uM	0.499	0.0018843239025634	L1000	non_spherized	all_data
atrasentan	3	0.04 uM	0.33	0.0251658034830942	L1000	non_spherized	all_data
av-608	3	0.04 uM	0.004	0.1967164094602424	L1000	non_spherized	all_data
avagacestat	3	0.04 uM	0.245	0.0392551455923655	L1000	non_spherized	all_data
avanafil	2	0.04 uM	0.474	0.0172640328265777	L1000	non_spherized	all_data
avasimibe	3	0.04 uM	0.069	0.0889383136175254	L1000	non_spherized	all_data
azacitidine	2	0.04 uM	0.33	0.0429504175466246	L1000	non_spherized	all_data
azathioprine	3	0.04 uM	0.231	0.0417410703100947	L1000	non_spherized	all_data
azd1208	3	0.04 uM	0.389	0.017545143822434	L1000	non_spherized	all_data
azd1480	3	0.04 uM	0.024	0.1211803298333641	L1000	non_spherized	all_data
azd1981	3	0.04 uM	0.09	0.0766751298214102	L1000	non_spherized	all_data
azd2014	3	0.04 uM	0.137	0.0619949786366691	L1000	non_spherized	all_data
azd3514	2	0.04 uM	0.334	0.0420574676593637	L1000	non_spherized	all_data
azd4547	2	0.04 uM	0.381	0.0336866191686877	L1000	non_spherized	all_data
azd5363	3	0.04 uM	0.021	0.1284953508457601	L1000	non_spherized	all_data
azd7545	3	0.04 uM	0.093	0.074306269776578	L1000	non_spherized	all_data
azd7687	3	0.04 uM	0.199	0.0483827249353645	L1000	non_spherized	all_data
azd8931	3	0.04 uM	0.138	0.0618227472952599	L1000	non_spherized	all_data
azd9668	3	0.04 uM	0.021	0.1266983993185034	L1000	non_spherized	all_data
azelaic-acid	3	0.04 uM	0.317	0.0273118314321369	L1000	non_spherized	all_data
azelastine	3	0.04 uM	0.616	-0.0144193236076107	L1000	non_spherized	all_data
balaglitazone	4	0.04 uM	0.042	0.0810629925707711	L1000	non_spherized	all_data
balapiravir	2	0.04 uM	0.432	0.023195810616443	L1000	non_spherized	all_data
balsalazide	3	0.04 uM	0.273	0.0342704356438736	L1000	non_spherized	all_data
bambuterol	3	0.04 uM	0.282	0.0321320289720393	L1000	non_spherized	all_data
bardoxolone-methyl	2	0.04 uM	0.499	0.0123339852956294	L1000	non_spherized	all_data
basimglurant	3	0.04 uM	0.071	0.0868369327879102	L1000	non_spherized	all_data
bavisant	2	0.04 uM	0.591	-0.0072947411951985	L1000	non_spherized	all_data
bay-87-2243	3	0.04 uM	0.0	0.3095092671953836	L1000	non_spherized	all_data
bazedoxifene	3	0.04 uM	0.001	0.213065715511461	L1000	non_spherized	all_data
bci-540	3	0.04 uM	0.019	0.1338874970602961	L1000	non_spherized	all_data
beclomethasone-dipropionate	3	0.04 uM	0.0	0.2865340068965796	L1000	non_spherized	all_data
belinostat	3	0.04 uM	0.42	0.0118434519799572	L1000	non_spherized	all_data
bemegride	3	0.04 uM	0.015	0.1418294818635716	L1000	non_spherized	all_data
benazepril	3	0.04 uM	0.176	0.0530203176580186	L1000	non_spherized	all_data
bendamustine	3	0.04 uM	0.405	0.0143459300059606	L1000	non_spherized	all_data
bendroflumethiazide	2	0.04 uM	0.059	0.1344990971110145	L1000	non_spherized	all_data
benzthiazide	3	0.04 uM	0.131	0.0637025584796414	L1000	non_spherized	all_data
benzydamine	2	0.04 uM	0.126	0.1033633152044662	L1000	non_spherized	all_data
benzylpenicillin	2	0.04 uM	0.813	-0.0562363147092375	L1000	non_spherized	all_data
bepotastine	3	0.04 uM	0.407	0.0139294757466357	L1000	non_spherized	all_data
berberine	3	0.04 uM	0.529	-0.0028473860420443	L1000	non_spherized	all_data
betahistine	3	0.04 uM	0.014	0.1433149239336287	L1000	non_spherized	all_data
betulinic-acid	3	0.04 uM	0.354	0.0216024444479667	L1000	non_spherized	all_data
bevirimat-dimeglumine	3	0.04 uM	0.433	0.0100399645165312	L1000	non_spherized	all_data
bezafibrate	2	0.04 uM	0.101	0.1152618120479097	L1000	non_spherized	all_data
bicalutamide	3	0.04 uM	0.598	-0.0122752144933322	L1000	non_spherized	all_data
bifonazole	2	0.04 uM	0.231	0.0682441829541119	L1000	non_spherized	all_data
bimatoprost	3	0.04 uM	0.321	0.0269008789731878	L1000	non_spherized	all_data
bindarit	3	0.04 uM	0.063	0.092535809519728	L1000	non_spherized	all_data
biperiden	3	0.04 uM	0.596	-0.0118330132904885	L1000	non_spherized	all_data
birinapant	3	0.04 uM	0.337	0.0233998448714421	L1000	non_spherized	all_data
bisindolylmaleimide	2	0.04 uM	0.062	0.1321977248612674	L1000	non_spherized	all_data
bisoprolol	3	0.04 uM	0.019	0.1358848259311699	L1000	non_spherized	all_data
bitopertin	3	0.04 uM	0.273	0.0343049822442583	L1000	non_spherized	all_data
blonanserin	3	0.04 uM	0.407	0.0139032415562156	L1000	non_spherized	all_data
bms-599626	3	0.04 uM	0.626	-0.0156838988909255	L1000	non_spherized	all_data
bms-707035	3	0.04 uM	0.406	0.0141566049335203	L1000	non_spherized	all_data
bopindolol	3	0.04 uM	0.72	-0.0288384838302578	L1000	non_spherized	all_data
bortezomib	2	0.04 uM	0.0	0.5325260798933147	L1000	non_spherized	all_data
bosentan	2	0.04 uM	0.016	0.2085482933322257	L1000	non_spherized	all_data
bosutinib	3	0.04 uM	0.465	0.0060181026769086	L1000	non_spherized	all_data
brequinar	2	0.04 uM	0.249	0.063385325441024	L1000	non_spherized	all_data
bretazenil	3	0.04 uM	0.089	0.0775115651147142	L1000	non_spherized	all_data
brexpiprazole	3	0.04 uM	0.269	0.0349147113495766	L1000	non_spherized	all_data
brivanib	3	0.04 uM	0.628	-0.0157430419717907	L1000	non_spherized	all_data
brivudine	3	0.04 uM	0.507	0.0008387047157354	L1000	non_spherized	all_data
bromocriptine	3	0.04 uM	0.061	0.0956026928793167	L1000	non_spherized	all_data
broxuridine	3	0.04 uM	0.257	0.037615088235887	L1000	non_spherized	all_data
bruceantin	2	0.04 uM	0.0	0.7238049152738943	L1000	non_spherized	all_data
bts-54505	3	0.04 uM	0.061	0.0936444498751195	L1000	non_spherized	all_data
bumetanide	2	0.04 uM	0.519	0.0080475639476855	L1000	non_spherized	all_data
bupivacaine	3	0.04 uM	0.072	0.0863192333220074	L1000	non_spherized	all_data
bupropion	3	0.04 uM	0.076	0.0846135830465473	L1000	non_spherized	all_data
buspirone	2	0.04 uM	0.239	0.0655030207907987	L1000	non_spherized	all_data
butoconazole	3	0.04 uM	0.424	0.0112323195708242	L1000	non_spherized	all_data
butorphanol-(+)-tartrate	3	0.04 uM	0.417	0.0123579883365474	L1000	non_spherized	all_data
bvd-523	3	0.04 uM	0.568	-0.0078662832610963	L1000	non_spherized	all_data
cabazitaxel	3	0.04 uM	0.0	0.2943775827315844	L1000	non_spherized	all_data
cabozantinib	3	0.04 uM	0.487	0.0030125356334148	L1000	non_spherized	all_data
caffeine	4	0.04 uM	0.114	0.0522021355909262	L1000	non_spherized	all_data
calcitriol	3	0.04 uM	0.332	0.024720946178933	L1000	non_spherized	all_data
camicinal	3	0.04 uM	0.237	0.0411466375365831	L1000	non_spherized	all_data
camptothecin	3	0.04 uM	0.0	0.3691410240175984	L1000	non_spherized	all_data
canagliflozin	3	0.04 uM	0.27	0.034721869593168	L1000	non_spherized	all_data
candesartan	3	0.04 uM	0.17	0.0550010283939933	L1000	non_spherized	all_data
canertinib	3	0.04 uM	0.486	0.0031020830788412	L1000	non_spherized	all_data
canrenoic-acid	3	0.04 uM	0.117	0.0668530843275253	L1000	non_spherized	all_data
capecitabine	2	0.04 uM	0.303	0.0478135519986548	L1000	non_spherized	all_data
carbachol	2	0.04 uM	0.404	0.0300635284149109	L1000	non_spherized	all_data
carbamazepine	3	0.04 uM	0.529	-0.0028565604228005	L1000	non_spherized	all_data
carbenoxolone	3	0.04 uM	0.063	0.0917791369573633	L1000	non_spherized	all_data
carbimazole	3	0.04 uM	0.032	0.113808719825425	L1000	non_spherized	all_data
carglumic-acid	3	0.04 uM	0.194	0.0489567795432957	L1000	non_spherized	all_data
cariprazine	2	0.04 uM	0.145	0.0958290111919175	L1000	non_spherized	all_data
carisoprodol	3	0.04 uM	0.121	0.0656034700698704	L1000	non_spherized	all_data
carprofen	2	0.04 uM	0.328	0.0434591715718609	L1000	non_spherized	all_data
carvedilol	2	0.04 uM	0.166	0.0871966810138603	L1000	non_spherized	all_data
cb-10-277-(free-acid)	3	0.04 uM	0.399	0.0151803864656915	L1000	non_spherized	all_data
cc-401	3	0.04 uM	0.013	0.1447541789567778	L1000	non_spherized	all_data
cc-930	3	0.04 uM	0.023	0.125133091812186	L1000	non_spherized	all_data
cediranib	3	0.04 uM	0.143	0.0608079424795141	L1000	non_spherized	all_data
cefdinir	2	0.04 uM	0.301	0.0487989711232432	L1000	non_spherized	all_data
cefoperazone	4	0.04 uM	0.609	-0.0027583408077001	L1000	non_spherized	all_data
cefotetan	2	0.04 uM	0.107	0.1125053243796869	L1000	non_spherized	all_data
cefozopran	3	0.04 uM	0.295	0.0297528674827129	L1000	non_spherized	all_data
celecoxib	3	0.04 uM	0.311	0.0281400955391394	L1000	non_spherized	all_data
cep-37440	3	0.04 uM	0.43	0.0103187531652213	L1000	non_spherized	all_data
cepharanthine	2	0.04 uM	0.316	0.0453220749667977	L1000	non_spherized	all_data
cgp12177	3	0.04 uM	0.631	-0.0161418195749396	L1000	non_spherized	all_data
chlorambucil	3	0.04 uM	0.099	0.0727460317012423	L1000	non_spherized	all_data
chlormezanone	3	0.04 uM	0.19	0.0498185992621054	L1000	non_spherized	all_data
chloroxine	3	0.04 uM	0.019	0.1354931328103519	L1000	non_spherized	all_data
chlorphenamine	3	0.04 uM	0.764	-0.0360842377265563	L1000	non_spherized	all_data
chlorpromazine	3	0.04 uM	0.021	0.1316453521519696	L1000	non_spherized	all_data
chlortalidone	3	0.04 uM	0.608	-0.0132684292955988	L1000	non_spherized	all_data
cholic-acid	2	0.04 uM	0.409	0.0292754688950592	L1000	non_spherized	all_data
choline-alfoscerate	3	0.04 uM	0.021	0.1255161275024131	L1000	non_spherized	all_data
cianidanol	3	0.04 uM	0.471	0.0054306003029524	L1000	non_spherized	all_data
ciclesonide	3	0.04 uM	0.073	0.085634252903753	L1000	non_spherized	all_data
ciglitazone	3	0.04 uM	0.032	0.1132873923576856	L1000	non_spherized	all_data
cilengitide	3	0.04 uM	0.175	0.0534365610402023	L1000	non_spherized	all_data
cilomilast	3	0.04 uM	0.346	0.0226087052979817	L1000	non_spherized	all_data
cilostazol	3	0.04 uM	0.103	0.0711274098990165	L1000	non_spherized	all_data
cimetidine	3	0.04 uM	0.422	0.0116744056373709	L1000	non_spherized	all_data
cinepazide	2	0.04 uM	0.556	0.0008545246549245	L1000	non_spherized	all_data
cinnarizine	3	0.04 uM	0.565	-0.0074568628130569	L1000	non_spherized	all_data
cinoxacin	3	0.04 uM	0.08	0.080632459855086	L1000	non_spherized	all_data
ciprofloxacin	3	0.04 uM	0.485	0.0033051740745265	L1000	non_spherized	all_data
cisapride	3	0.04 uM	0.396	0.0154917605637594	L1000	non_spherized	all_data
citalopram	3	0.04 uM	0.45	0.0080269279814381	L1000	non_spherized	all_data
cladribine	2	0.04 uM	0.078	0.1254924646001728	L1000	non_spherized	all_data
clarithromycin	3	0.04 uM	0.007	0.1676278600213595	L1000	non_spherized	all_data
clenbuterol	2	0.04 uM	0.205	0.076763087798525	L1000	non_spherized	all_data
clinafloxacin	3	0.04 uM	0.299	0.0292221855803199	L1000	non_spherized	all_data
clindamycin	3	0.04 uM	0.503	0.0015205193094257	L1000	non_spherized	all_data
clinofibrate	3	0.04 uM	0.489	0.0027893118377597	L1000	non_spherized	all_data
clioquinol	3	0.04 uM	0.439	0.0094456992307785	L1000	non_spherized	all_data
clobetasol	3	0.04 uM	0.0	0.276437377040505	L1000	non_spherized	all_data
clofarabine	3	0.04 uM	0.056	0.0990739260014222	L1000	non_spherized	all_data
clofazimine	3	0.04 uM	0.182	0.0520760357808008	L1000	non_spherized	all_data
clofoctol	4	0.04 uM	0.053	0.0734036847625071	L1000	non_spherized	all_data
clomethiazole	3	0.04 uM	0.015	0.1420066200849048	L1000	non_spherized	all_data
clomifene	3	0.04 uM	0.227	0.0438652480299116	L1000	non_spherized	all_data
clonazepam	3	0.04 uM	0.357	0.0211787511937236	L1000	non_spherized	all_data
clonidine	2	0.04 uM	0.603	-0.0099775448627623	L1000	non_spherized	all_data
clotrimazole	3	0.04 uM	0.175	0.0534620487136971	L1000	non_spherized	all_data
co-102862	3	0.04 uM	0.399	0.0151400720343642	L1000	non_spherized	all_data
cobimetinib	4	0.04 uM	0.044	0.080231486772495	L1000	non_spherized	all_data
colforsin-daproate	3	0.04 uM	0.391	0.0173945672699453	L1000	non_spherized	all_data
combretastatin-a-4	3	0.04 uM	0.827	-0.0479389012895745	L1000	non_spherized	all_data
cordycepin	2	0.04 uM	0.013	0.2139915497427643	L1000	non_spherized	all_data
cp-945,598	3	0.04 uM	0.506	0.001018351470037	L1000	non_spherized	all_data
cpi-1189	3	0.04 uM	0.018	0.1360636028290731	L1000	non_spherized	all_data
cpi-613	2	0.04 uM	0.44	0.0224351094085767	L1000	non_spherized	all_data
cromoglicic-acid	3	0.04 uM	0.085	0.0791550808436602	L1000	non_spherized	all_data
curcumin	3	0.04 uM	0.672	-0.0216129249382351	L1000	non_spherized	all_data
cx-4945	3	0.04 uM	0.384	0.0177734187539569	L1000	non_spherized	all_data
cx-5461	3	0.04 uM	0.242	0.0403320302742751	L1000	non_spherized	all_data
cx516	3	0.04 uM	0.075	0.0850847519866603	L1000	non_spherized	all_data
cyclobenzaprine	3	0.04 uM	0.264	0.0361695393234524	L1000	non_spherized	all_data
cyclosporin-a	3	0.04 uM	0.34	0.023020146751617	L1000	non_spherized	all_data
cyproheptadine	3	0.04 uM	0.375	0.0187866161896629	L1000	non_spherized	all_data
cyproterone-acetate	2	0.04 uM	0.205	0.0772823841704928	L1000	non_spherized	all_data
cytarabine	3	0.04 uM	0.137	0.0622577971822745	L1000	non_spherized	all_data
d-serine	3	0.04 uM	0.337	0.0232045747621448	L1000	non_spherized	all_data
dabigatran-etexilate	3	0.04 uM	0.711	-0.027753923534206	L1000	non_spherized	all_data
dabrafenib	3	0.04 uM	0.321	0.0269700485661155	L1000	non_spherized	all_data
dacarbazine	2	0.04 uM	0.171	0.0850236666111926	L1000	non_spherized	all_data
dacinostat	3	0.04 uM	0.004	0.1950910954994405	L1000	non_spherized	all_data
dacomitinib	3	0.04 uM	0.312	0.0279353739746006	L1000	non_spherized	all_data
danegaptide	3	0.04 uM	0.487	0.0029802976496364	L1000	non_spherized	all_data
dantrolene	3	0.04 uM	0.037	0.110224539706273	L1000	non_spherized	all_data
dapagliflozin	3	0.04 uM	0.085	0.0787453693388336	L1000	non_spherized	all_data
dapivirine	3	0.04 uM	0.483	0.0035764972621775	L1000	non_spherized	all_data
dapsone	3	0.04 uM	0.476	0.0047140251079277	L1000	non_spherized	all_data
darifenacin	3	0.04 uM	0.007	0.1702309384575625	L1000	non_spherized	all_data
darunavir	3	0.04 uM	0.286	0.0313070265813726	L1000	non_spherized	all_data
dasabuvir	3	0.04 uM	0.407	0.0140130161082331	L1000	non_spherized	all_data
dasatinib	2	0.04 uM	0.166	0.0866304272309999	L1000	non_spherized	all_data
dazoxiben	3	0.04 uM	0.032	0.1165267875720789	L1000	non_spherized	all_data
decitabine	3	0.04 uM	0.127	0.0644705475042768	L1000	non_spherized	all_data
defactinib	3	0.04 uM	0.436	0.0095650924887499	L1000	non_spherized	all_data
deferasirox	3	0.04 uM	0.273	0.0345571874770027	L1000	non_spherized	all_data
deferiprone	3	0.04 uM	0.605	-0.0129767514679543	L1000	non_spherized	all_data
deforolimus	3	0.04 uM	0.0	0.285221093358057	L1000	non_spherized	all_data
dehydroepiandrosterone	2	0.04 uM	0.605	-0.0103935902302639	L1000	non_spherized	all_data
delanzomib	3	0.04 uM	0.077	0.0827419262687814	L1000	non_spherized	all_data
delivert	2	0.04 uM	0.119	0.1064460240792545	L1000	non_spherized	all_data
dequalinium	3	0.04 uM	0.133	0.0633876701035721	L1000	non_spherized	all_data
desmopressin-acetate	2	0.04 uM	0.42	0.0262532540553781	L1000	non_spherized	all_data
dexamethasone	6	0.04 uM	0.0	0.234313154111148	L1000	non_spherized	all_data
dexfenfluramine	3	0.04 uM	0.154	0.0576243439978584	L1000	non_spherized	all_data
dexniguldipine	3	0.04 uM	0.842	-0.0508261354659782	L1000	non_spherized	all_data
dextromethorphan	3	0.04 uM	0.091	0.0755009018716902	L1000	non_spherized	all_data
diacerein	3	0.04 uM	0.391	0.0174140908435853	L1000	non_spherized	all_data
diazepam	2	0.04 uM	0.498	0.0128629008526959	L1000	non_spherized	all_data
diclofenac	3	0.04 uM	0.633	-0.0164655531383902	L1000	non_spherized	all_data
diclofensine	3	0.04 uM	0.375	0.0188063126835812	L1000	non_spherized	all_data
dicloxacillin	3	0.04 uM	0.517	-0.0005477615868267	L1000	non_spherized	all_data
dicoumarol	3	0.04 uM	0.227	0.0433561028257424	L1000	non_spherized	all_data
dideoxyadenosine	3	0.04 uM	0.238	0.0411173848908185	L1000	non_spherized	all_data
dienogest	3	0.04 uM	0.311	0.0280838261283956	L1000	non_spherized	all_data
diethylcarbamazine	3	0.04 uM	0.396	0.0158884059661113	L1000	non_spherized	all_data
diethylstilbestrol	2	0.04 uM	0.032	0.1664998861671465	L1000	non_spherized	all_data
diflunisal	3	0.04 uM	0.023	0.1246711351434417	L1000	non_spherized	all_data
dihydroergocristine	2	0.04 uM	0.207	0.0763508779148529	L1000	non_spherized	all_data
dihydroergotamine	3	0.04 uM	0.464	0.0061981363647814	L1000	non_spherized	all_data
dilazep	3	0.04 uM	0.503	0.0015309901368643	L1000	non_spherized	all_data
diltiazem	3	0.04 uM	0.183	0.0515793386362864	L1000	non_spherized	all_data
dimesna	2	0.04 uM	0.129	0.1020694874145251	L1000	non_spherized	all_data
diminazene-aceturate	2	0.04 uM	0.49	0.0146485457475907	L1000	non_spherized	all_data
dinaciclib	3	0.04 uM	0.013	0.1471071809001223	L1000	non_spherized	all_data
diosmin	3	0.04 uM	0.018	0.1365783968513254	L1000	non_spherized	all_data
diphenidol	3	0.04 uM	0.533	-0.0031517348884303	L1000	non_spherized	all_data
dipraglurant	2	0.04 uM	0.499	0.0123397737528196	L1000	non_spherized	all_data
disopyramide	3	0.04 uM	0.14	0.0613956065085914	L1000	non_spherized	all_data
disulfiram	3	0.04 uM	0.067	0.0897712327830024	L1000	non_spherized	all_data
dmp-777	3	0.04 uM	0.335	0.0240030675913397	L1000	non_spherized	all_data
docetaxel	3	0.04 uM	0.007	0.1671638603160551	L1000	non_spherized	all_data
dofequidar	3	0.04 uM	0.194	0.0490663511058476	L1000	non_spherized	all_data
donepezil	2	0.04 uM	0.063	0.1316342705136647	L1000	non_spherized	all_data
donitriptan	3	0.04 uM	0.205	0.0477442182521147	L1000	non_spherized	all_data
dopamine	3	0.04 uM	0.574	-0.0085920169214925	L1000	non_spherized	all_data
doramapimod	2	0.04 uM	0.23	0.0683199574642886	L1000	non_spherized	all_data
dorzolamide	3	0.04 uM	0.307	0.0285371803193953	L1000	non_spherized	all_data
doxapram	3	0.04 uM	0.01	0.1548557665218988	L1000	non_spherized	all_data
doxazosin	2	0.04 uM	0.12	0.1063387747223453	L1000	non_spherized	all_data
doxepin	2	0.04 uM	0.518	0.0083171051761051	L1000	non_spherized	all_data
doxifluridine	2	0.04 uM	0.212	0.0744762899384651	L1000	non_spherized	all_data
doxofylline	3	0.04 uM	0.17	0.0548028919977188	L1000	non_spherized	all_data
