cpd,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,no_of_replicates
clonidine,0.603,0.112,0.222,0.226,0.035,0.014,2
clotrimazole,0.175,0.523,0.217,0.616,0.228,0.042,3
co-102862,0.399,0.152,0.092,0.124,0.385,0.033,3
cobimetinib,0.044,0.143,0.001,0.0,0.0,0.0,4
colforsin-daproate,0.391,0.092,0.309,0.024,0.116,0.373,3
combretastatin-a-4,0.827,0.032,0.0,0.003,0.0,0.0,3
cordycepin,0.013,0.505,0.509,0.733,0.213,0.222,2
"cp-945,598",0.506,0.283,0.282,0.026,0.176,0.07,3
cpi-1189,0.018,0.045,0.861,0.001,0.069,0.5,3
cpi-613,0.44,0.101,0.268,0.172,0.128,0.24,2
cromoglicic-acid,0.085,0.021,0.022,0.109,0.225,0.213,3
curcumin,0.672,0.235,0.323,0.125,0.038,0.339,3
cx-4945,0.384,0.045,0.19,0.253,0.153,0.002,3
cx-5461,0.242,0.427,0.27,0.044,0.0,0.0,3
cx516,0.075,0.161,0.203,0.343,0.259,0.079,3
cyclobenzaprine,0.264,0.526,0.326,0.273,0.213,0.106,3
cyclosporin-a,0.34,0.204,0.107,0.018,0.0,0.0,3
cyproheptadine,0.375,0.212,0.098,0.362,0.172,0.081,3
cyproterone-acetate,0.205,0.513,0.323,0.324,0.079,0.261,2
cytarabine,0.137,0.323,0.153,0.092,0.578,0.583,3
d-serine,0.337,0.513,0.338,0.243,0.33,0.429,3
dabigatran-etexilate,0.711,0.294,0.426,0.197,0.234,0.024,3
dabrafenib,0.321,0.175,0.024,0.001,0.011,0.085,3
dacarbazine,0.171,0.554,0.146,0.292,0.08,0.08,2
dacinostat,0.004,0.0,0.0,0.0,0.0,0.0,3
dacomitinib,0.312,0.211,0.267,0.283,0.069,0.002,3
danegaptide,0.487,0.501,0.361,0.331,0.551,0.38,3
dantrolene,0.037,0.371,0.217,0.066,0.018,0.005,3
dapagliflozin,0.085,0.112,0.031,0.089,0.014,0.03,3
dapivirine,0.483,0.451,0.285,0.018,0.131,0.019,3
dapsone,0.476,0.329,0.326,0.364,0.34,0.496,3
darifenacin,0.007,0.043,0.209,0.091,0.149,0.056,3
darunavir,0.286,0.204,0.494,0.057,0.062,0.362,3
dasabuvir,0.407,0.372,0.153,0.073,0.15,0.104,3
dasatinib,0.166,0.067,0.147,0.008,0.006,0.017,2
dazoxiben,0.032,0.271,0.02,0.137,0.539,0.302,3
decitabine,0.127,0.03,0.386,0.057,0.141,0.01,3
defactinib,0.436,0.439,0.174,0.364,0.499,0.414,3
deferasirox,0.273,0.33,0.257,0.196,0.104,0.107,3
deferiprone,0.605,0.31,0.117,0.02,0.506,0.083,3
deforolimus,0.0,0.002,0.0,0.0,0.009,0.008,3
dehydroepiandrosterone,0.605,0.522,0.26,0.244,0.427,0.25,2
delanzomib,0.077,0.0,0.0,0.0,0.0,0.0,3
delivert,0.119,0.098,0.235,0.574,0.035,0.276,2
dequalinium,0.133,0.326,0.282,0.006,0.008,0.0,3
desmopressin-acetate,0.42,0.32,0.43,0.664,0.036,0.463,2
dexamethasone,0.0,0.0,0.0,0.0,0.0,0.0,6
dexfenfluramine,0.154,0.748,0.408,0.676,0.174,0.618,3
dexniguldipine,0.842,0.151,0.195,0.257,0.618,0.13,3
dextromethorphan,0.091,0.423,0.137,0.112,0.124,0.025,3
diacerein,0.391,0.553,0.356,0.44,0.603,0.499,3
diazepam,0.498,0.158,0.35,0.49,0.329,0.445,2
diclofenac,0.633,0.061,0.764,0.007,0.011,0.465,3
diclofensine,0.375,0.31,0.413,0.337,0.364,0.384,3
dicloxacillin,0.517,0.245,0.234,0.274,0.167,0.136,3
dicoumarol,0.227,0.024,0.241,0.399,0.135,0.272,3
dideoxyadenosine,0.238,0.057,0.051,0.259,0.018,0.118,3
dienogest,0.311,0.295,0.623,0.412,0.026,0.283,3
diethylcarbamazine,0.396,0.25,0.312,0.337,0.33,0.035,3
diethylstilbestrol,0.032,0.158,0.005,0.062,0.136,0.223,2
diflunisal,0.023,0.148,0.061,0.112,0.305,0.008,3
dihydroergocristine,0.207,0.396,0.416,0.502,0.21,0.632,2
dihydroergotamine,0.464,0.567,0.5,0.43,0.331,0.881,3
dilazep,0.503,0.295,0.487,0.387,0.095,0.022,3
diltiazem,0.183,0.146,0.051,0.166,0.093,0.003,3
dimesna,0.129,0.067,0.506,0.583,0.033,0.617,2
diminazene-aceturate,0.49,0.32,0.185,0.288,0.257,0.158,2
dinaciclib,0.013,0.0,0.0,0.0,0.0,0.0,3
diosmin,0.018,0.066,0.007,0.312,0.024,0.157,3
diphenidol,0.533,0.064,0.006,0.01,0.104,0.12,3
dipraglurant,0.499,0.088,0.289,0.463,0.338,0.057,2
disopyramide,0.14,0.014,0.312,0.007,0.304,0.525,3
disulfiram,0.067,0.614,0.009,0.07,0.069,0.166,3
dmp-777,0.335,0.07,0.307,0.184,0.893,0.178,3
docetaxel,0.007,0.002,0.0,0.0,0.0,0.0,3
dofequidar,0.194,0.398,0.361,0.785,0.778,0.439,3
donepezil,0.063,0.123,0.307,0.453,0.209,0.531,2
donitriptan,0.205,0.801,0.044,0.109,0.433,0.282,3
dopamine,0.574,0.453,0.216,0.057,0.132,0.083,3
doramapimod,0.23,0.086,0.075,0.04,0.202,0.106,2
dorzolamide,0.307,0.952,0.22,0.307,0.128,0.814,3
doxapram,0.01,0.058,0.058,0.013,0.069,0.07,3
doxazosin,0.12,0.327,0.945,0.994,0.306,0.144,2
doxepin,0.518,0.431,0.005,0.247,0.231,0.199,2
doxifluridine,0.212,0.182,0.361,0.306,0.295,0.108,2
doxofylline,0.17,0.331,0.187,0.108,0.026,0.273,3
doxorubicin,0.0,0.0,0.0,0.0,0.0,0.0,3
doxycycline-hyclate,0.498,0.041,0.522,0.527,0.091,0.061,2
dpcpx,0.243,0.185,0.125,0.058,0.321,0.15,3
dpi-201106,0.093,0.301,0.078,0.21,0.286,0.083,3
dronedarone,0.568,0.327,0.377,0.202,0.161,0.0,3
droperidol,0.219,0.242,0.048,0.01,0.042,0.08,3
drospirenone,0.257,0.179,0.155,0.026,0.177,0.153,3
du-728,0.213,0.769,0.477,0.237,0.128,0.118,3
duloxetine,0.526,0.43,0.345,0.062,0.106,0.185,3
dutasteride,0.032,0.115,0.281,0.074,0.085,0.091,3
e-2012,0.0,0.021,0.0,0.415,0.069,0.042,3
ebselen,0.061,0.652,0.681,0.51,0.307,0.301,3
econazole,0.176,0.423,0.273,0.097,0.038,0.005,3
edoxaban,0.083,0.336,0.12,0.575,0.01,0.263,3
edoxudine,0.497,0.23,0.441,0.466,0.421,0.024,3
efaproxiral,0.347,0.565,0.363,0.199,0.495,0.242,3
efavirenz,0.001,0.295,0.387,0.325,0.174,0.109,3
eflornithine,0.116,0.171,0.168,0.099,0.207,0.056,3
elesclomol,0.048,0.02,0.101,0.312,0.054,0.019,3
emd-53998,0.24,0.069,0.488,0.414,0.389,0.368,3
emedastine,0.735,0.611,0.505,0.336,0.697,0.347,2
emtricitabine,0.127,0.236,0.514,0.106,0.374,0.544,3
enalapril,0.473,0.212,0.299,0.101,0.53,0.474,3
enoxacin,0.024,0.554,0.011,0.488,0.457,0.109,2
entecavir,0.032,0.135,0.738,0.469,0.285,0.428,2
enzalutamide,0.013,0.066,0.169,0.178,0.162,0.235,3
eperezolid,0.024,0.051,0.013,0.01,0.027,0.012,3
epinastine,0.051,0.051,0.004,0.103,0.026,0.002,3
epinephrine,0.504,0.402,0.141,0.437,0.404,0.321,3
epirizole,0.033,0.627,0.467,0.053,0.229,0.405,3
epirubicin,0.01,0.002,0.0,0.0,0.0,0.0,3
epitiostanol,0.036,0.051,0.026,0.064,0.035,0.145,4
epothilone-b,0.0,0.004,0.0,0.0,0.01,0.002,3
equol,0.392,0.191,0.149,0.14,0.649,0.054,3
ercalcitriol,0.04,0.109,0.304,0.073,0.096,0.158,3
erlotinib,0.227,0.12,0.078,0.019,0.017,0.005,3
erteberel,0.256,0.542,0.078,0.018,0.063,0.004,3
erythromycin,0.527,0.135,0.631,0.188,0.316,0.528,6
escitalopram,0.199,0.123,0.304,0.041,0.055,0.494,3
esmolol,0.261,0.355,0.165,0.263,0.046,0.119,3
estramustine,0.084,0.138,0.247,0.351,0.107,0.051,3
estrone,0.508,0.31,0.257,0.371,0.173,0.206,3
etacrynic-acid,0.024,0.508,0.524,0.443,0.588,0.33,3
etanidazole,0.061,0.288,0.525,0.192,0.119,0.597,2
etazolate,0.436,0.092,0.546,0.754,0.269,0.08,3
ethinyl-estradiol,0.543,0.062,0.397,0.099,0.334,0.176,3
ethylenediaminetetraacetic-acid,0.034,0.453,0.103,0.146,0.022,0.164,3
etizolam,0.017,0.021,0.258,0.16,0.259,0.08,3
etodolac,0.11,0.14,0.009,0.135,0.055,0.079,3
etofylline-clofibrate,0.038,0.441,0.317,0.169,0.106,0.283,3
etomidate,0.548,0.386,0.397,0.296,0.39,0.385,3
etomoxir,0.305,0.316,0.137,0.01,0.208,0.098,3
etoricoxib,0.473,0.777,0.52,0.454,0.963,0.146,3
etravirine,0.037,0.31,0.192,0.068,0.177,0.476,3
eugenol,0.157,0.69,0.521,0.556,0.338,0.564,3
everolimus,0.009,0.005,0.003,0.0,0.0,0.002,2
evp-6124,0.333,0.215,0.33,0.414,0.618,0.009,3
exalamide,0.534,0.43,0.632,0.265,0.11,0.265,3
exherin,0.357,0.281,0.198,0.336,0.15,0.183,2
fadrozole,0.174,0.327,0.445,0.057,0.375,0.586,3
famciclovir,0.07,0.283,0.016,0.265,0.253,0.326,3
famotidine,0.267,0.158,0.237,0.334,0.384,0.048,3
faropenem,0.089,0.066,0.308,0.233,0.054,0.083,3
fasudil,0.592,0.152,0.353,0.024,0.295,0.237,2
favipiravir,0.206,0.133,0.16,0.359,0.125,0.301,3
febuxostat,0.235,0.132,0.46,0.037,0.418,0.082,2
felodipine,0.213,0.263,0.216,0.265,0.426,0.63,3
fenobam,0.005,0.328,0.259,0.305,0.068,0.378,2
fenoterol,0.408,0.152,0.181,0.01,0.016,0.004,3
fenticonazole,0.18,0.476,0.425,0.451,0.74,0.383,3
fexofenadine,0.501,0.066,0.048,0.021,0.011,0.168,3
fiacitabine,0.473,0.327,0.454,0.163,0.329,0.116,3
fidarestat,0.472,0.111,0.203,0.418,0.281,0.254,3
fidaxomicin,0.23,0.35,0.088,0.248,0.442,0.108,2
filgotinib,0.336,0.192,0.068,0.024,0.086,0.061,3
fipronil,0.054,0.455,0.111,0.226,0.207,0.063,2
firategrast,0.282,0.428,0.276,0.009,0.142,0.136,3
flavoxate,0.129,0.522,0.168,0.044,0.136,0.447,2
flecainide,0.272,0.306,0.044,0.008,0.279,0.109,3
fluconazole,0.521,0.31,0.239,0.183,0.234,0.389,3
fludarabine-phosphate,0.133,0.178,0.492,0.534,0.876,0.96,3
fludroxycortide,0.001,0.016,0.0,0.002,0.0,0.0,3
flumatinib,0.529,0.367,0.279,0.459,0.028,0.002,3
flumazenil,0.137,0.186,0.273,0.128,0.166,0.218,3
fluorometholone,0.0,0.0,0.0,0.0,0.0,0.0,2
fluorouracil,0.413,0.181,0.509,0.068,0.111,0.0,3
fluphenazine,0.997,0.308,0.441,0.103,0.336,0.0,3
fluspirilene,0.03,0.172,0.549,0.275,0.091,0.117,2
fluticasone,0.0,0.0,0.0,0.0,0.0,0.0,3
flutrimazole,0.411,0.037,0.438,0.264,0.139,0.017,3
fluvoxamine,0.298,0.306,0.232,0.178,0.128,0.138,3
folic-acid,0.227,0.367,0.472,0.425,0.042,0.154,3
fomepizole,0.329,0.467,0.092,0.214,0.195,0.225,3
fomocaine,0.273,0.021,0.063,0.194,0.026,0.007,3
formestane,0.037,0.066,0.008,0.017,0.135,0.098,3
formoterol,0.678,0.254,0.201,0.487,0.373,0.197,2
forskolin,0.073,0.035,0.016,0.009,0.122,0.259,3
fosfomycin,0.288,0.154,0.553,0.367,0.252,0.211,2
fostamatinib,0.45,0.597,0.092,0.008,0.15,0.002,3
fpl-62064,0.494,0.764,0.133,0.073,0.575,0.33,3
ftorafur,0.057,0.007,0.063,0.169,0.069,0.054,3
