cpd,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,no_of_replicates
ambrisentan,0.203,0.386,0.225,0.393,0.25,0.186,3
ambroxol,0.382,0.073,0.579,0.32,0.014,0.224,2
amd11070,0.247,0.089,0.307,0.486,0.263,0.048,3
amg-208,0.572,0.261,0.107,0.089,0.421,0.19,3
amg-232,0.583,0.722,0.069,0.001,0.0,0.0,3
amg-517,0.076,0.203,0.152,0.001,0.305,0.001,3
amikacin,0.057,0.111,0.113,0.02,0.175,0.028,3
amiloride,0.381,0.214,0.044,0.069,0.044,0.016,3
aminocaproic-acid,0.295,0.062,0.341,0.039,0.424,0.154,3
aminoglutethimide,0.494,0.048,0.58,0.198,0.067,0.001,3
aminoguanidine,0.343,0.35,0.028,0.504,0.084,0.248,3
aminolevulinic-acid,0.462,0.044,0.36,0.196,0.193,0.477,3
aminosalicylic-acid,0.108,0.253,0.225,0.076,0.61,0.124,3
amiodarone,0.069,0.251,0.248,0.335,0.129,0.002,3
amiprilose,0.105,0.039,0.016,0.006,0.006,0.002,3
amitifadine,0.706,0.407,0.27,0.29,0.863,0.486,3
amlexanox,0.148,0.343,0.332,0.13,0.443,0.186,3
amlodipine,0.01,0.214,0.451,0.001,0.221,0.025,3
ammonium-glycyrrhizinate,0.225,0.384,0.671,0.134,0.025,0.918,3
amonafide,0.166,0.382,0.069,0.228,0.001,0.0,3
amoxapine,0.099,0.1,0.023,0.284,0.112,0.029,4
ampalex,0.236,0.055,0.802,0.304,0.299,0.371,2
amrinone,0.434,0.377,0.036,0.105,0.152,0.02,3
amsacrine,0.001,0.001,0.0,0.0,0.0,0.0,3
amtolmetin-guacil,0.263,0.069,0.078,0.088,0.086,0.691,3
amuvatinib,0.461,0.355,0.274,0.311,0.047,0.008,2
anamorelin,0.078,0.103,0.37,0.151,0.029,0.129,4
anandamide,0.127,0.301,0.12,0.205,0.464,0.38,3
andrographolide,0.126,0.248,0.344,0.01,0.028,0.086,3
anecortave-acetate,0.518,0.403,0.354,0.354,0.219,0.265,2
anidulafungin,0.183,0.002,0.056,0.411,0.134,0.543,3
aniracetam,0.388,0.056,0.55,0.178,0.056,0.319,3
anisodamine,0.212,0.218,0.038,0.194,0.198,0.713,2
ap26113,0.562,0.253,0.006,0.219,0.03,0.0,2
apafant,0.343,0.377,0.29,0.044,0.313,0.061,3
apd668,0.3,0.13,0.289,0.473,0.033,0.331,3
aphidicolin,0.306,0.253,0.01,0.001,0.001,0.0,3
api-001,0.068,0.066,0.353,0.259,0.376,0.152,3
apixaban,0.162,0.093,0.127,0.026,0.246,0.104,3
apocynin,0.08,0.695,0.335,0.803,0.006,0.068,3
apremilast,0.001,0.08,0.031,0.089,0.093,0.002,3
aprepitant,0.35,0.332,0.051,0.229,0.21,0.022,3
arbutin,0.154,0.061,0.095,0.006,0.202,0.18,3
argatroban,0.13,0.592,0.513,0.061,0.256,0.022,3
arglabin,0.273,0.272,0.174,0.445,0.413,0.419,2
aripiprazole,0.335,0.02,0.565,0.061,0.019,0.001,3
arofylline,0.086,0.198,0.126,0.377,0.52,0.421,3
arry-334543,0.159,0.002,0.042,0.214,0.122,0.044,3
artesunate,0.001,0.095,0.005,0.02,0.001,0.001,3
asa-404,0.082,0.301,0.58,0.309,0.02,0.106,3
asc-j9,0.337,0.095,0.056,0.052,0.382,0.002,3
asenapine,0.148,0.357,0.139,0.14,0.18,0.962,3
aspirin,0.309,0.166,0.273,0.172,0.58,0.095,3
at13387,0.159,0.025,0.001,0.001,0.001,0.0,3
ataluren,0.744,0.76,0.187,0.278,0.023,0.076,2
atenolol,0.347,0.696,0.313,0.269,0.069,0.283,2
atipamezole,0.58,0.122,0.335,0.522,0.367,0.347,3
atn-161,0.066,0.01,0.143,0.2,0.119,0.116,3
atomoxetine,0.225,0.324,0.098,0.335,0.334,0.263,3
atorvastatin,0.162,0.162,0.338,0.737,0.618,0.048,3
atracurium,0.42,0.674,0.436,0.635,0.106,0.322,3
atrasentan,0.27,0.58,0.246,0.276,0.157,0.772,3
av-608,0.001,0.002,0.202,0.112,0.028,0.048,3
avagacestat,0.19,0.21,0.315,0.319,0.13,0.273,3
avanafil,0.396,0.341,0.592,0.26,0.484,0.279,2
avasimibe,0.056,0.361,0.343,0.022,0.001,0.0,3
avl-292,0.066,0.042,0.178,0.001,0.001,0.001,3
avn-944,0.295,0.587,0.17,0.001,0.0,0.0,3
azacitidine,0.274,0.034,0.102,0.005,0.0,0.0,2
azathioprine,0.178,0.258,0.137,0.716,0.028,0.084,3
azd1208,0.316,0.172,0.016,0.221,0.154,0.028,3
azd1480,0.022,0.256,0.017,0.14,0.42,0.273,3
azd1981,0.076,0.225,0.175,0.061,0.12,0.411,3
azd2014,0.111,0.066,0.001,0.001,0.0,0.0,3
azd3514,0.276,0.098,0.104,0.061,0.061,0.039,2
azd4547,0.318,0.284,0.073,0.028,0.038,0.0,2
azd5363,0.015,0.104,0.078,0.081,0.068,0.001,3
azd7545,0.08,0.015,0.691,0.411,0.257,0.001,3
azd7687,0.149,0.191,0.339,0.236,0.068,0.029,3
azd7762,0.055,0.048,0.154,0.043,0.0,0.0,3
azd8931,0.111,0.076,0.17,0.001,0.005,0.005,3
azd9668,0.016,0.676,0.27,0.596,0.137,0.137,3
azelaic-acid,0.256,0.053,0.066,0.256,0.028,0.045,3
azelastine,0.563,0.622,0.319,0.076,0.263,0.015,3
balaglitazone,0.035,0.042,0.126,0.707,0.097,0.003,4
balapiravir,0.367,0.11,0.481,0.423,0.19,0.381,2
balicatib,0.02,0.359,0.119,0.221,0.077,0.056,3
balsalazide,0.211,0.056,0.391,0.023,0.263,0.322,3
bambuterol,0.225,0.337,0.321,0.257,0.413,0.127,3
bardoxolone-methyl,0.415,0.246,0.085,0.0,0.0,0.0,2
basimglurant,0.061,0.456,0.186,0.333,0.491,0.022,3
batimastat,0.084,0.132,0.437,0.111,0.159,0.159,2
bavisant,0.524,0.212,0.084,0.408,0.316,0.226,2
bay-87-2243,0.001,0.001,0.001,0.001,0.001,0.0,3
bazedoxifene,0.001,0.074,0.295,0.315,0.001,0.002,3
bci-540,0.011,0.338,0.086,0.101,0.022,0.327,3
beclomethasone-dipropionate,0.001,0.001,0.001,0.001,0.001,0.001,3
belinostat,0.344,0.077,0.001,0.0,0.0,0.0,3
bemegride,0.006,0.13,0.447,0.159,0.121,0.282,3
benazepril,0.13,0.333,0.061,0.058,0.022,0.002,3
bendamustine,0.333,0.726,0.606,0.421,0.21,0.384,3
bendroflumethiazide,0.069,0.223,0.333,0.124,0.419,0.219,2
benzbromarone,0.113,0.633,0.133,0.08,0.004,0.061,3
benzthiazide,0.107,0.258,0.108,0.037,0.016,0.256,3
benzydamine,0.104,0.181,0.32,0.325,0.6,0.673,2
benzylpenicillin,0.773,0.23,0.237,0.579,0.768,0.334,2
bepotastine,0.334,0.116,0.092,0.107,0.044,0.154,3
berberine,0.464,0.209,0.225,0.053,0.002,0.001,3
betahistine,0.006,0.253,0.062,0.134,0.157,0.05,3
betulinic-acid,0.291,0.922,0.807,0.086,0.066,0.124,3
bevirimat-dimeglumine,0.357,0.29,0.319,0.365,0.107,0.002,3
bexarotene,0.076,0.067,0.607,0.201,0.057,0.341,3
bezafibrate,0.086,0.073,0.196,0.248,0.355,0.006,2
bicalutamide,0.548,0.186,0.276,0.295,0.339,0.038,3
bifemelane,0.321,0.061,0.137,0.194,0.099,0.126,3
bifonazole,0.198,0.358,0.179,0.032,0.155,0.006,2
bimatoprost,0.258,0.377,0.333,0.496,0.273,0.191,3
bindarit,0.053,0.307,0.116,0.35,0.124,0.041,3
biperiden,0.543,0.14,0.117,0.048,0.327,0.006,3
birinapant,0.276,0.382,0.069,0.051,0.011,0.001,3
bisindolylmaleimide,0.073,0.078,0.033,0.395,0.047,0.0,2
bisoprolol,0.01,0.001,0.042,0.001,0.004,0.257,3
bitopertin,0.21,0.389,0.186,0.275,0.001,0.051,3
blonanserin,0.334,0.266,0.022,0.228,0.473,0.276,3
bms-599626,0.573,0.583,0.105,0.252,0.044,0.002,3
bms-707035,0.333,0.044,0.323,0.548,0.623,0.667,3
bms-927711,0.068,0.333,0.357,0.154,0.462,0.447,3
bopindolol,0.672,0.076,0.513,0.226,0.141,0.225,3
bortezomib,0.0,0.0,0.0,0.0,0.0,0.0,2
bosentan,0.023,0.065,0.536,0.069,0.25,0.003,2
bosutinib,0.377,0.033,0.229,0.355,0.002,0.0,3
brequinar,0.212,0.281,0.003,0.085,0.023,0.013,2
bretazenil,0.073,0.016,0.119,0.19,0.086,0.123,3
brexpiprazole,0.209,0.14,0.212,0.386,0.08,0.169,3
brivanib,0.573,0.228,0.367,0.37,0.148,0.001,3
brivudine,0.428,0.367,0.099,0.785,0.089,0.002,3
bromocriptine,0.048,0.033,0.154,0.125,0.3,0.268,3
broxuridine,0.198,0.002,0.4,0.031,0.038,0.009,3
bruceantin,0.0,0.0,0.0,0.0,0.0,0.0,2
bts-54505,0.052,0.37,0.29,0.206,0.268,0.376,3
bucladesine,0.026,0.025,0.08,0.08,0.065,0.022,3
budipine,0.404,0.506,0.564,0.522,0.166,0.281,2
bumetanide,0.445,0.382,0.414,0.415,0.186,0.349,2
bupivacaine,0.061,0.119,0.037,0.316,0.343,0.035,3
bupropion,0.064,0.247,0.487,0.506,0.595,0.111,3
buspirone,0.206,0.228,0.181,0.069,0.265,0.066,2
butoconazole,0.35,0.343,0.543,0.062,0.08,0.198,3
butorphanol-(+)-tartrate,0.342,0.2,0.367,0.25,0.266,0.116,3
bvd-523,0.51,0.868,0.002,0.056,0.001,0.0,3
cabazitaxel,0.001,0.001,0.001,0.001,0.001,0.001,3
cabergoline,0.082,0.24,0.044,0.152,0.042,0.08,3
cabozantinib,0.408,0.513,0.995,0.067,0.416,0.001,3
caffeine,0.088,0.027,0.332,0.014,0.036,0.043,4
calcitriol,0.27,0.004,0.08,0.203,0.024,0.002,3
camicinal,0.181,0.339,0.19,0.107,0.044,0.002,3
camptothecin,0.001,0.0,0.0,0.0,0.0,0.0,3
canagliflozin,0.21,0.02,0.203,0.08,0.111,0.091,3
candesartan,0.126,0.275,0.421,0.319,0.297,0.002,3
canertinib,0.408,0.348,0.384,0.233,0.27,0.052,3
canrenoic-acid,0.096,0.309,0.077,0.248,0.048,0.247,3
capecitabine,0.259,0.028,0.086,0.086,0.038,0.014,2
capsaicin,0.093,0.181,0.079,0.198,0.079,0.24,2
carbachol,0.338,0.388,0.023,0.075,0.198,0.383,2
carbamazepine,0.464,0.642,0.386,0.002,0.338,0.088,3
carbenoxolone,0.053,0.308,0.061,0.001,0.376,0.082,3
carbimazole,0.028,0.252,0.186,0.155,0.069,0.072,3
carglumic-acid,0.143,0.334,0.389,0.03,0.397,0.061,3
cariprazine,0.124,0.241,0.213,0.366,0.137,0.147,2
carisoprodol,0.103,0.327,0.203,0.104,0.225,0.094,3
carprofen,0.274,0.357,0.42,0.198,0.107,0.198,2
carvedilol,0.141,0.217,0.27,0.276,0.185,0.038,2
cb-10-277-(free-acid),0.328,0.338,0.276,0.55,0.228,0.219,3
cc-401,0.005,0.001,0.106,0.044,0.002,0.001,3
cc-930,0.019,0.134,0.053,0.133,0.322,0.025,3
cediranib,0.115,0.08,0.502,0.269,0.029,0.001,3
cefdinir,0.254,0.454,0.628,0.245,0.404,0.259,2
cefepime,0.445,0.359,0.451,0.119,0.268,0.256,3
cefoperazone,0.486,0.113,0.072,0.179,0.083,0.103,4
cefotetan,0.089,0.269,0.347,0.041,0.293,0.04,2
cefozopran,0.24,0.463,0.206,0.335,0.505,0.421,3
celecoxib,0.252,0.053,0.19,0.172,0.002,0.338,3
cep-37440,0.355,0.225,0.716,0.048,0.001,0.0,3
cepharanthine,0.269,0.416,0.266,0.156,0.016,0.018,2
cgp12177,0.576,0.436,0.372,0.295,0.37,0.535,3
chlorambucil,0.081,0.001,0.001,0.532,0.287,0.086,3
chlormezanone,0.14,0.084,0.001,0.099,0.03,0.124,3
chloroxine,0.01,0.377,0.13,0.686,0.028,0.001,3
chlorphenamine,0.709,0.263,0.059,0.266,0.18,0.089,3
chlorpromazine,0.012,0.134,0.104,0.058,0.023,0.001,3
chlorpropamide,0.019,0.039,0.418,0.002,0.414,0.083,3
chlortalidone,0.553,0.001,0.08,0.382,0.069,0.057,3
cholic-acid,0.342,0.48,0.274,0.385,0.269,0.598,2
choline-alfoscerate,0.019,0.133,0.449,0.338,0.127,0.207,3
cianidanol,0.383,0.154,0.475,0.38,0.456,0.365,3
ciclesonide,0.061,0.005,0.002,0.001,0.001,0.001,3
ciglitazone,0.028,0.044,0.166,0.166,0.196,0.172,3
cilengitide,0.13,0.656,0.006,0.347,0.068,0.082,3
cilomilast,0.285,0.196,0.128,0.527,0.048,0.571,3
cilostazol,0.086,0.414,0.089,0.001,0.062,0.208,3
cimetidine,0.347,0.179,0.423,0.457,0.139,0.266,3
cinaciguat,0.115,0.154,0.123,0.166,0.054,0.288,3
cinepazide,0.483,0.056,0.518,0.311,0.446,0.159,2
cinnarizine,0.505,0.192,0.241,0.641,0.111,0.152,3
cinoxacin,0.068,0.111,0.307,0.462,0.241,0.02,3
ciprofloxacin,0.405,0.206,0.216,0.13,0.175,0.082,3
cisapride,0.327,0.154,0.371,0.203,0.076,0.061,3
citalopram,0.37,0.364,0.124,0.217,0.297,0.285,3
cladribine,0.078,0.272,0.054,0.068,0.009,0.005,2
clarithromycin,0.002,0.02,0.317,0.528,0.339,0.359,3
clenbuterol,0.178,0.298,0.537,0.038,0.342,0.198,2
climbazole,0.396,0.078,0.146,0.069,0.087,0.418,2
clinafloxacin,0.246,0.062,0.111,0.296,0.053,0.443,3
clindamycin,0.422,0.122,0.157,0.958,0.895,0.287,3
clinofibrate,0.408,0.001,0.353,0.002,0.042,0.048,3
clioquinol,0.362,0.462,0.067,0.528,0.011,0.064,3
clobetasol,0.001,0.001,0.001,0.001,0.001,0.001,3
clofarabine,0.048,0.564,0.166,0.001,0.0,0.001,3
clofazimine,0.134,0.58,0.491,0.119,0.682,0.08,3
clofibric-acid,0.002,0.155,0.066,0.292,0.174,0.295,3
clofoctol,0.043,0.381,0.078,0.151,0.043,0.267,4
clomethiazole,0.006,0.17,0.022,0.087,0.061,0.078,3
clomifene,0.171,0.032,0.166,0.262,0.058,0.001,3
clonazepam,0.295,0.592,0.2,0.178,0.103,0.161,3
clonidine,0.537,0.103,0.185,0.213,0.037,0.018,2
clotrimazole,0.129,0.45,0.187,0.598,0.246,0.028,3
clozapine,0.893,0.902,0.112,0.446,0.031,0.028,3
co-102862,0.331,0.129,0.069,0.122,0.363,0.022,3
cobimetinib,0.035,0.103,0.0,0.0,0.0,0.0,4
colchicine,0.175,0.039,0.001,0.001,0.002,0.001,3
colforsin-daproate,0.317,0.08,0.273,0.033,0.119,0.309,3
combretastatin-a-4,0.786,0.025,0.001,0.001,0.001,0.001,3
conivaptan,0.468,0.343,0.106,0.389,0.111,0.154,3
cordycepin,0.023,0.454,0.454,0.706,0.206,0.212,2
"cp-945,598",0.427,0.237,0.249,0.04,0.186,0.048,3
cpi-1189,0.01,0.042,0.877,0.001,0.075,0.398,3
cpi-613,0.368,0.091,0.219,0.162,0.109,0.219,2
cromoglicic-acid,0.069,0.01,0.013,0.116,0.24,0.172,3
ct-7758,0.083,0.513,0.048,0.097,0.196,0.389,3
cts-1027,0.044,0.16,0.01,0.048,0.261,0.03,3
curcumin,0.626,0.2,0.291,0.123,0.053,0.276,3
cx-4945,0.315,0.044,0.163,0.24,0.159,0.001,3
cx-5461,0.186,0.343,0.229,0.056,0.001,0.0,3
cx516,0.062,0.134,0.172,0.332,0.263,0.053,3
cyanocobalamin,0.24,0.105,0.096,0.358,0.283,0.022,2
cyclizine,0.147,0.131,0.181,0.309,0.196,0.079,2
cyclobenzaprine,0.205,0.451,0.296,0.264,0.226,0.08,3
cyclosporin-a,0.279,0.172,0.086,0.022,0.001,0.0,3
cyproheptadine,0.309,0.18,0.076,0.343,0.18,0.06,3
cyproterone-acetate,0.176,0.461,0.269,0.302,0.078,0.237,2
cytarabine,0.111,0.276,0.126,0.089,0.556,0.482,3
cytisine,0.053,0.235,0.357,0.282,0.042,0.013,3
d-serine,0.276,0.432,0.307,0.229,0.326,0.343,3
dabigatran-etexilate,0.669,0.25,0.37,0.191,0.249,0.016,3
dabrafenib,0.258,0.145,0.016,0.001,0.002,0.064,3
dacarbazine,0.147,0.504,0.113,0.277,0.079,0.074,2
dacinostat,0.001,0.0,0.0,0.0,0.0,0.0,3
dacomitinib,0.253,0.176,0.226,0.27,0.076,0.001,3
danazol,0.104,0.178,0.042,0.044,0.089,0.061,3
danegaptide,0.408,0.421,0.319,0.319,0.529,0.315,3
dantrolene,0.031,0.317,0.19,0.069,0.011,0.001,3
danusertib,0.134,0.057,0.043,0.002,0.001,0.001,3
dapagliflozin,0.069,0.096,0.022,0.089,0.005,0.022,3
dapivirine,0.399,0.367,0.253,0.019,0.127,0.01,3
dapsone,0.388,0.284,0.295,0.344,0.333,0.39,3
darifenacin,0.002,0.039,0.178,0.089,0.154,0.044,3
darunavir,0.228,0.172,0.443,0.063,0.069,0.3,3
dasabuvir,0.334,0.319,0.126,0.08,0.159,0.078,3
dasatinib,0.143,0.073,0.114,0.017,0.006,0.023,2
dazoxiben,0.025,0.225,0.01,0.13,0.514,0.251,3
decitabine,0.105,0.022,0.335,0.065,0.14,0.002,3
defactinib,0.361,0.359,0.141,0.343,0.48,0.334,3
deferasirox,0.21,0.285,0.225,0.19,0.107,0.08,3
deferiprone,0.552,0.269,0.094,0.025,0.489,0.062,3
deforolimus,0.001,0.001,0.001,0.001,0.002,0.002,3
dehydroepiandrosterone,0.539,0.47,0.213,0.234,0.396,0.233,2
delanzomib,0.066,0.001,0.0,0.001,0.0,0.001,3
delivert,0.1,0.089,0.198,0.536,0.037,0.248,2
deoxycholic-acid,0.001,0.27,0.057,0.002,0.087,0.186,3
dequalinium,0.107,0.277,0.248,0.001,0.001,0.001,3
desmopressin-acetate,0.356,0.278,0.368,0.629,0.038,0.404,2
dexamethasone,0.0,0.0,0.0,0.0,0.0,0.0,6
dexfenfluramine,0.121,0.69,0.357,0.652,0.186,0.529,3
dexloxiglumide,0.32,0.362,0.135,0.139,0.357,0.08,3
dexniguldipine,0.806,0.126,0.168,0.246,0.596,0.108,3
dextromethorphan,0.078,0.342,0.114,0.117,0.123,0.017,3
diacerein,0.317,0.473,0.314,0.411,0.575,0.396,3
diazepam,0.414,0.15,0.281,0.452,0.289,0.384,2
diazoxide,0.048,0.048,0.01,0.225,0.129,0.038,3
diclofenac,0.58,0.053,0.751,0.001,0.002,0.366,3
diclofensine,0.309,0.268,0.364,0.322,0.343,0.317,3
dicloxacillin,0.445,0.206,0.2,0.266,0.172,0.113,3
dicoumarol,0.172,0.015,0.205,0.37,0.13,0.214,3
dideoxyadenosine,0.181,0.048,0.036,0.248,0.011,0.095,3
dienogest,0.252,0.253,0.594,0.38,0.027,0.228,3
diethylcarbamazine,0.323,0.21,0.275,0.322,0.324,0.024,3
diethylstilbestrol,0.046,0.148,0.006,0.069,0.115,0.212,2
diflunisal,0.02,0.125,0.044,0.117,0.306,0.002,3
dihydroergocristine,0.179,0.358,0.35,0.461,0.206,0.589,2
dihydroergotamine,0.377,0.489,0.448,0.397,0.327,0.835,3
dilazep,0.422,0.253,0.431,0.367,0.092,0.015,3
diltiazem,0.134,0.124,0.036,0.155,0.089,0.001,3
dimesna,0.107,0.073,0.452,0.542,0.035,0.564,2
dimethyl-fumarate,0.2,0.01,0.103,0.236,0.333,0.012,3
diminazene-aceturate,0.408,0.282,0.147,0.276,0.236,0.147,2
dinaciclib,0.005,0.0,0.0,0.0,0.0,0.0,3
dinoprost,0.772,0.639,0.137,0.408,0.062,0.095,3
diosmin,0.01,0.056,0.002,0.306,0.022,0.126,3
diphenidol,0.468,0.056,0.002,0.005,0.107,0.099,3
dipraglurant,0.415,0.082,0.238,0.424,0.298,0.055,2
dipyridamole,0.263,0.688,0.441,0.065,0.306,0.297,3
disopyramide,0.111,0.002,0.275,0.002,0.305,0.424,3
disulfiram,0.056,0.543,0.002,0.076,0.077,0.133,3
dmp-777,0.273,0.063,0.27,0.174,0.877,0.14,3
docetaxel,0.002,0.001,0.001,0.001,0.001,0.001,3
dofequidar,0.143,0.332,0.317,0.776,0.739,0.35,3
dolutegravir,0.206,0.493,0.245,0.219,0.008,0.069,2
donepezil,0.073,0.108,0.256,0.415,0.202,0.461,2
donitriptan,0.154,0.762,0.03,0.115,0.408,0.225,3
dopamine,0.513,0.37,0.186,0.064,0.129,0.061,3
doramapimod,0.198,0.079,0.069,0.049,0.196,0.086,2
dorzolamide,0.248,0.956,0.191,0.302,0.126,0.739,3
doxapram,0.002,0.052,0.042,0.01,0.076,0.048,3
doxazosin,0.101,0.296,0.913,0.991,0.274,0.135,2
doxepin,0.443,0.387,0.006,0.236,0.217,0.196,2
doxifluridine,0.182,0.185,0.29,0.284,0.269,0.087,2
doxofylline,0.126,0.285,0.16,0.111,0.024,0.215,3
doxorubicin,0.001,0.0,0.0,0.0,0.0,0.0,3
doxycycline-hyclate,0.414,0.054,0.461,0.491,0.084,0.057,2
dpcpx,0.186,0.159,0.106,0.067,0.317,0.124,3
dpi-201106,0.08,0.257,0.056,0.198,0.288,0.063,3
dronedarone,0.513,0.277,0.332,0.195,0.166,0.001,3
droperidol,0.161,0.205,0.033,0.006,0.056,0.056,3
drospirenone,0.198,0.152,0.126,0.037,0.186,0.124,3
du-728,0.157,0.707,0.421,0.226,0.124,0.094,3
duloxetine,0.457,0.35,0.31,0.068,0.111,0.152,3
dutasteride,0.027,0.101,0.248,0.081,0.086,0.068,3
e-2012,0.001,0.006,0.001,0.386,0.072,0.028,3
ebselen,0.048,0.583,0.66,0.489,0.307,0.248,3
econazole,0.13,0.342,0.234,0.093,0.048,0.001,3
edoxaban,0.068,0.289,0.103,0.552,0.002,0.208,3
edoxudine,0.416,0.195,0.377,0.443,0.395,0.016,3
efaproxiral,0.285,0.48,0.319,0.191,0.477,0.196,3
efavirenz,0.001,0.253,0.338,0.315,0.186,0.08,3
eflornithine,0.095,0.141,0.137,0.098,0.225,0.044,3
elesclomol,0.043,0.004,0.078,0.307,0.065,0.01,3
ellagic-acid,0.056,0.034,0.01,0.219,0.044,0.044,3
emd-1214063,0.08,0.019,0.057,0.061,0.001,0.001,3
emd-53998,0.185,0.061,0.435,0.384,0.365,0.307,3
emedastine,0.686,0.553,0.452,0.323,0.702,0.304,2
emtricitabine,0.105,0.201,0.464,0.107,0.35,0.445,3
enalapril,0.384,0.182,0.266,0.103,0.505,0.37,3
enoxacin,0.038,0.505,0.014,0.451,0.424,0.087,2
entecavir,0.049,0.124,0.697,0.43,0.263,0.368,2
entinostat,0.212,0.002,0.08,0.001,0.001,0.0,3
enzalutamide,0.005,0.061,0.139,0.166,0.166,0.191,3
enzastaurin,0.093,0.391,0.023,0.001,0.001,0.006,2
eperezolid,0.022,0.044,0.005,0.005,0.028,0.004,3
epinastine,0.044,0.044,0.001,0.104,0.028,0.001,3
epinephrine,0.424,0.333,0.119,0.408,0.377,0.27,3
epirizole,0.028,0.557,0.408,0.058,0.247,0.332,3
epirubicin,0.002,0.001,0.001,0.001,0.001,0.0,3
epitiostanol,0.021,0.036,0.021,0.06,0.038,0.105,4
epothilone-b,0.001,0.001,0.001,0.001,0.002,0.001,3
equol,0.319,0.166,0.123,0.133,0.631,0.039,3
ercalcitriol,0.035,0.089,0.27,0.08,0.093,0.128,3
erlotinib,0.168,0.106,0.056,0.022,0.01,0.001,3
erteberel,0.198,0.464,0.056,0.016,0.069,0.001,3
erythromycin,0.352,0.113,0.559,0.155,0.262,0.422,6
escitalopram,0.149,0.107,0.269,0.049,0.066,0.388,3
esmolol,0.203,0.307,0.13,0.252,0.061,0.095,3
estramustine,0.069,0.119,0.211,0.335,0.111,0.038,3
estramustine-phosphate,0.177,0.141,0.138,0.118,0.287,0.118,4
estriol,0.163,0.35,0.175,0.583,0.275,0.001,3
estrone,0.431,0.268,0.225,0.352,0.182,0.166,3
etacrynic-acid,0.022,0.424,0.48,0.416,0.564,0.273,3
etanidazole,0.069,0.26,0.464,0.187,0.101,0.538,2
etazolate,0.36,0.08,0.502,0.718,0.272,0.057,3
ethinyl-estradiol,0.477,0.056,0.346,0.098,0.331,0.139,3
