cpd,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,no_of_replicates
aliskiren,0.169,0.458,0.358,0.105,0.512,0.583,5
alizapride,0.011,0.146,0.03,0.263,0.114,0.129,4
allopurinol,0.001,0.237,0.169,0.041,0.574,0.001,5
almitrine,0.0,0.0,0.0,0.0,0.0,0.0,5
almorexant,0.0,0.001,0.001,0.014,0.041,0.084,5
altanserin,0.018,0.0,0.01,0.033,0.0,0.0,4
altrenogest,0.0,0.0,0.0,0.0,0.0,0.0,5
altretamine,0.0,0.0,0.009,0.005,0.486,0.0,5
alvespimycin,0.0,0.0,0.0,0.0,0.0,0.0,5
alvimopan,0.0,0.0,0.001,0.0,0.0,0.0,5
alvocidib,0.0,0.0,0.0,0.0,0.0,0.0,5
am-24,0.005,0.001,0.001,0.012,0.001,0.006,5
amantadine,0.0,0.001,0.001,0.001,0.001,0.0,5
ambrisentan,0.538,0.441,0.845,0.846,0.064,0.234,2
ambroxol,0.0,0.598,0.0,0.008,0.001,0.0,5
amd11070,0.271,0.303,0.412,0.359,0.026,0.011,2
amg-208,0.057,0.002,0.006,0.112,0.0,0.0,5
amg-232,0.01,0.001,0.0,0.0,0.0,0.0,5
amg-517,0.0,0.313,0.001,0.002,0.0,0.0,5
amikacin,0.006,0.001,0.047,0.011,0.001,0.001,5
amiloride,0.26,0.245,0.009,0.845,0.301,0.077,5
aminocaproic-acid,0.185,0.012,0.038,0.065,0.2,0.154,5
aminoglutethimide,0.001,0.001,0.002,0.001,0.007,0.005,5
aminoguanidine,0.001,0.011,0.011,0.396,0.015,0.041,5
aminolevulinic-acid,0.012,0.082,0.044,0.008,0.011,0.001,5
aminosalicylic-acid,0.005,0.158,0.194,0.164,0.223,0.002,5
amiodarone,0.018,0.272,0.001,0.0,0.0,0.0,5
amiprilose,0.005,0.004,0.001,0.137,0.184,0.168,5
amitifadine,0.048,0.011,0.308,0.213,0.018,0.009,5
amlexanox,0.709,0.597,0.176,0.051,0.015,0.0,5
amlodipine,0.021,0.015,0.995,0.311,0.23,0.0,5
ammonium-glycyrrhizinate,0.0,0.001,0.002,0.001,0.005,0.0,5
amonafide,0.043,0.125,0.077,0.0,0.0,0.0,5
amoxapine,0.0,0.008,0.069,0.037,0.008,0.0,4
ampalex,0.142,0.024,0.05,0.113,0.015,0.0,5
amrinone,0.305,0.034,0.022,0.009,0.023,0.0,5
amsacrine,0.0,0.0,0.0,0.0,0.0,0.0,5
amtolmetin-guacil,0.334,0.001,0.015,0.416,0.35,0.001,5
amuvatinib,0.001,0.0,0.0,0.0,0.0,0.0,5
anamorelin,0.01,0.0,0.008,0.067,0.167,0.0,4
anandamide,0.538,0.09,0.053,0.229,0.109,0.006,2
andrographolide,0.0,0.0,0.036,0.001,0.0,0.0,5
anecortave-acetate,0.0,0.001,0.0,0.001,0.001,0.0,5
anidulafungin,0.569,0.034,0.113,0.011,0.001,0.0,5
aniracetam,0.145,0.275,0.018,0.015,0.013,0.065,5
anisodamine,0.002,0.004,0.001,0.001,0.011,0.001,5
ap26113,0.0,0.0,0.0,0.0,0.0,0.0,5
apafant,0.662,0.082,0.114,0.009,0.226,0.047,5
apd668,0.001,0.001,0.001,0.001,0.001,0.0,5
aphidicolin,0.0,0.0,0.0,0.0,0.0,0.0,5
api-001,0.082,0.001,0.021,0.015,0.015,0.0,5
apixaban,0.0,0.0,0.0,0.0,0.01,0.001,5
apocynin,0.0,0.0,0.0,0.001,0.0,0.0,5
apremilast,0.234,0.428,0.015,0.137,0.015,0.001,5
aprepitant,0.015,0.012,0.034,0.001,0.011,0.0,5
arbutin,0.014,0.289,0.015,0.001,0.001,0.002,5
argatroban,0.005,0.065,0.001,0.056,0.019,0.118,5
arglabin,0.01,0.009,0.648,0.595,0.149,0.0,5
aripiprazole,0.0,0.001,0.0,0.0,0.0,0.0,5
arofylline,0.509,0.228,0.226,0.058,0.019,0.0,5
arry-334543,0.004,0.0,0.0,0.0,0.0,0.0,5
artesunate,0.001,0.001,0.001,0.0,0.0,0.0,5
asa-404,0.022,0.218,0.001,0.001,0.0,0.0,5
asc-j9,0.0,0.001,0.0,0.0,0.0,0.0,5
asenapine,0.307,0.327,0.0,0.0,0.001,0.0,5
aspirin,0.001,0.018,0.043,0.009,0.011,0.0,5
at13387,0.0,0.0,0.0,0.0,0.0,0.0,5
ataluren,0.001,0.012,0.01,0.041,0.034,0.001,5
atenolol,0.144,0.065,0.041,0.001,0.027,0.019,5
atipamezole,0.177,0.72,0.228,0.794,0.312,0.006,2
atn-161,0.078,0.244,0.008,0.069,0.831,0.019,4
atomoxetine,0.01,0.002,0.009,0.01,0.001,0.0,5
atorvastatin,0.177,0.137,0.036,0.041,0.0,0.0,5
atracurium,0.0,0.0,0.001,0.002,0.009,0.0,5
atrasentan,0.001,0.0,0.0,0.034,0.001,0.0,5
av-608,0.002,0.011,0.004,0.0,0.042,0.0,5
avagacestat,0.03,0.0,0.0,0.0,0.0,0.0,5
avanafil,0.311,0.333,0.416,0.001,0.009,0.0,5
avasimibe,0.011,0.001,0.001,0.0,0.0,0.0,5
avl-292,0.001,0.039,0.024,0.001,0.0,0.0,5
avn-944,0.002,0.009,0.003,0.0,0.0,0.0,5
azacitidine,0.0,0.0,0.0,0.0,0.0,0.0,5
azathioprine,0.001,0.0,0.001,0.0,0.0,0.0,5
azd1208,0.004,0.001,0.0,0.0,0.0,0.0,5
azd1480,0.0,0.001,0.002,0.001,0.0,0.0,5
azd1981,0.061,0.004,0.005,0.001,0.077,0.001,5
azd2014,0.001,0.0,0.0,0.0,0.0,0.0,5
azd3514,0.0,0.001,0.213,0.001,0.0,0.0,5
azd4547,0.001,0.01,0.01,0.0,0.0,0.0,5
azd5363,0.015,0.053,0.0,0.0,0.0,0.0,5
azd7545,0.021,0.061,0.2,0.047,0.006,0.0,5
azd7687,0.248,0.022,0.049,0.001,0.01,0.108,5
azd7762,0.0,0.0,0.0,0.0,0.0,0.0,5
azd8931,0.001,0.0,0.0,0.0,0.0,0.0,5
azd9668,0.004,0.013,0.005,0.316,0.002,0.0,5
azelaic-acid,0.065,0.001,0.13,0.212,0.184,0.989,5
azelastine,0.32,0.015,0.015,0.063,0.001,0.0,5
balaglitazone,0.609,0.008,0.12,0.102,0.002,0.0,4
balapiravir,0.001,0.0,0.0,0.0,0.0,0.0,5
balicatib,0.0,0.0,0.009,0.001,0.0,0.0,5
balsalazide,0.472,0.924,0.169,0.401,0.23,0.03,2
bambuterol,0.001,0.0,0.001,0.0,0.001,0.037,5
bardoxolone-methyl,0.0,0.0,0.0,0.0,0.0,0.0,5
basimglurant,0.139,0.42,0.03,0.009,0.0,0.0,5
batimastat,0.0,0.0,0.0,0.0,0.0,0.0,5
bavisant,0.285,0.102,0.38,0.054,0.037,0.037,5
bay-87-2243,0.0,0.0,0.0,0.0,0.0,0.0,5
bazedoxifene,0.019,0.049,0.01,0.001,0.001,0.0,5
bci-540,0.203,0.519,0.007,0.142,0.164,0.008,5
beclomethasone-dipropionate,0.0,0.0,0.0,0.0,0.0,0.0,5
belinostat,0.0,0.0,0.0,0.0,0.0,0.0,5
bemegride,0.001,0.011,0.005,0.011,0.001,0.001,5
benazepril,0.021,0.012,0.669,0.076,0.377,0.006,5
bendamustine,0.072,0.001,0.0,0.0,0.001,0.0,5
bendroflumethiazide,0.137,0.088,0.602,0.006,0.021,0.022,5
benzbromarone,0.0,0.0,0.0,0.001,0.0,0.0,5
benzthiazide,0.0,0.001,0.0,0.001,0.0,0.0,5
benzydamine,0.009,0.007,0.001,0.023,0.001,0.0,5
benzylpenicillin,0.0,0.0,0.013,0.001,0.001,0.001,5
bepotastine,0.007,0.014,0.043,0.006,0.001,0.0,5
berberine,0.238,0.002,0.002,0.0,0.0,0.0,5
betahistine,0.001,0.001,0.098,0.061,0.332,0.0,5
betulinic-acid,0.21,0.589,0.942,0.055,0.551,0.007,2
bevirimat-dimeglumine,0.0,0.001,0.0,0.0,0.0,0.0,5
bexarotene,0.0,0.0,0.0,0.0,0.0,0.0,5
bezafibrate,0.001,0.01,0.012,0.082,0.006,0.006,5
bicalutamide,0.371,0.041,0.18,0.012,0.009,0.001,5
bifemelane,0.0,0.147,0.111,0.008,0.001,0.0,5
bifonazole,0.043,0.01,0.194,0.004,0.005,0.0,5
bimatoprost,0.001,0.012,0.036,0.004,0.004,0.001,5
bindarit,0.001,0.226,0.018,0.001,0.009,0.001,5
biperiden,0.121,0.15,0.201,0.131,0.236,0.786,4
birinapant,0.0,0.0,0.0,0.0,0.0,0.0,5
bisindolylmaleimide,0.006,0.082,0.057,0.0,0.0,0.0,5
bisoprolol,0.026,0.018,0.282,0.118,0.351,0.001,5
bitopertin,0.041,0.933,0.021,0.001,0.0,0.0,5
blonanserin,0.005,0.047,0.137,0.009,0.015,0.0,5
bms-599626,0.076,0.001,0.0,0.0,0.0,0.0,5
bms-707035,0.0,0.0,0.001,0.001,0.0,0.0,5
bms-927711,0.442,0.021,0.245,0.009,0.001,0.0,5
bopindolol,0.0,0.0,0.0,0.0,0.164,0.154,5
bortezomib,0.0,0.0,0.0,0.0,0.0,0.0,5
bosentan,0.118,0.282,0.033,0.005,0.001,0.0,5
bosutinib,0.0,0.0,0.0,0.0,0.0,0.0,5
brequinar,0.0,0.0,0.0,0.0,0.0,0.0,5
bretazenil,0.711,0.147,0.009,0.011,0.015,0.0,5
brexpiprazole,0.538,0.047,0.165,0.129,0.0,0.0,4
brivanib,0.086,0.248,0.2,0.005,0.0,0.0,5
brivudine,0.004,0.019,0.367,0.001,0.01,0.005,5
bromocriptine,0.103,0.197,0.236,0.004,0.001,0.0,5
broxuridine,0.0,0.0,0.0,0.0,0.0,0.0,5
bruceantin,0.0,0.0,0.0,0.0,0.0,0.0,5
bts-54505,0.316,0.004,0.006,0.465,0.428,0.077,5
bucladesine,0.0,0.0,0.001,0.0,0.0,0.0,5
budipine,0.001,0.0,0.0,0.0,0.004,0.001,5
bumetanide,0.011,0.268,0.521,0.521,0.002,0.0,5
bupivacaine,0.568,0.26,0.069,0.0,0.0,0.0,4
bupropion,0.006,0.023,0.0,0.009,0.0,0.001,5
buspirone,0.109,0.087,0.177,0.001,0.0,0.0,5
butoconazole,0.001,0.0,0.001,0.0,0.0,0.0,5
butorphanol-(+)-tartrate,0.433,0.323,0.399,0.095,0.524,0.582,2
bvd-523,0.002,0.001,0.009,0.0,0.0,0.0,5
cabazitaxel,0.0,0.0,0.0,0.0,0.0,0.0,5
cabergoline,0.0,0.0,0.002,0.009,0.0,0.0,5
cabozantinib,0.108,0.001,0.0,0.0,0.0,0.0,5
caffeine,0.077,0.951,0.148,0.288,0.021,0.0,4
calcitriol,0.001,0.001,0.004,0.0,0.001,0.0,5
camicinal,0.023,0.005,0.021,0.001,0.047,0.0,5
camptothecin,0.002,0.006,0.002,0.002,0.001,0.001,2
canagliflozin,0.186,0.139,0.001,0.0,0.468,0.009,5
candesartan,0.001,0.005,0.012,0.001,0.019,0.014,5
canertinib,0.0,0.0,0.0,0.0,0.0,0.0,5
canrenoic-acid,0.031,0.442,0.07,0.043,0.675,0.11,5
capecitabine,0.282,0.348,0.847,0.204,0.006,0.0,5
capsaicin,0.002,0.001,0.0,0.0,0.005,0.002,5
carbachol,0.007,0.301,0.618,0.405,0.376,0.006,5
carbamazepine,0.01,0.086,0.002,0.001,0.001,0.001,5
carbenoxolone,0.006,0.001,0.001,0.065,0.001,0.0,5
carbimazole,0.303,0.158,0.579,0.098,0.083,0.001,5
carglumic-acid,0.0,0.0,0.001,0.001,0.001,0.001,5
cariprazine,0.001,0.001,0.0,0.004,0.0,0.0,5
carisoprodol,0.0,0.001,0.098,0.014,0.065,0.024,5
carprofen,0.001,0.0,0.009,0.012,0.006,0.0,5
carvedilol,0.012,0.302,0.337,0.015,0.011,0.0,5
cb-10-277-(free-acid),0.0,0.01,0.005,0.002,0.001,0.488,5
cc-401,0.006,0.022,0.0,0.001,0.0,0.0,5
cc-930,0.13,0.0,0.007,0.001,0.0,0.0,5
cediranib,0.001,0.004,0.0,0.0,0.0,0.0,5
cefdinir,0.33,0.001,0.001,0.001,0.0,0.0,5
cefepime,0.0,0.0,0.0,0.001,0.0,0.001,5
cefoperazone,0.002,0.011,0.069,0.008,0.023,0.0,4
cefotetan,0.001,0.001,0.077,0.075,0.065,0.112,5
cefozopran,0.0,0.108,0.001,0.001,0.001,0.004,5
celecoxib,0.035,0.242,0.129,0.015,0.003,0.0,4
cep-37440,0.504,0.046,0.004,0.0,0.0,0.0,5
cepharanthine,0.0,0.009,0.0,0.0,0.0,0.0,5
cgp12177,0.742,0.137,0.847,0.076,0.026,0.557,2
chlorambucil,0.006,0.015,0.0,0.001,0.0,0.0,5
chlormezanone,0.022,0.142,0.037,0.004,0.006,0.005,5
chloroxine,0.012,0.154,0.002,0.034,0.0,0.0,5
chlorphenamine,0.276,0.151,0.408,0.001,0.262,0.001,5
chlorpromazine,0.59,0.665,0.015,0.027,0.042,0.0,5
chlorpropamide,0.0,0.0,0.001,0.001,0.0,0.001,5
chlortalidone,0.007,0.007,0.001,0.015,0.005,0.019,5
cholic-acid,0.292,0.62,0.969,0.137,0.401,0.246,2
choline-alfoscerate,0.001,0.001,0.001,0.005,0.264,0.031,5
cianidanol,0.012,0.337,0.888,0.006,0.009,0.001,5
ciclesonide,0.0,0.0,0.0,0.0,0.0,0.0,5
ciglitazone,0.02,0.037,0.001,0.005,0.002,0.0,5
cilengitide,0.004,0.001,0.008,0.0,0.0,0.0,5
cilomilast,0.615,0.442,0.011,0.133,0.18,0.04,2
cilostazol,0.0,0.0,0.005,0.042,0.047,0.001,5
cimetidine,0.011,0.001,0.005,0.015,0.001,0.02,5
cinaciguat,0.0,0.0,0.0,0.001,0.0,0.0,5
cinepazide,0.0,0.0,0.047,0.021,0.004,0.001,5
cinnarizine,0.042,0.017,0.021,0.004,0.004,0.0,5
cinoxacin,0.0,0.005,0.0,0.001,0.001,0.0,5
ciprofloxacin,0.038,0.065,0.775,0.041,0.001,0.0,5
cisapride,0.001,0.0,0.0,0.0,0.0,0.0,5
citalopram,0.254,0.018,0.027,0.18,0.006,0.115,5
cladribine,0.663,0.0,0.0,0.0,0.0,0.0,5
clarithromycin,0.004,0.004,0.12,0.583,0.162,0.001,5
clenbuterol,0.672,0.001,0.245,0.005,0.074,0.0,5
climbazole,0.018,0.0,0.041,0.077,0.165,0.0,5
clinafloxacin,0.293,0.186,0.086,0.011,0.009,0.0,5
clindamycin,0.0,0.207,0.021,0.0,0.005,0.001,5
clinofibrate,0.009,0.142,0.264,0.241,0.009,0.002,5
clioquinol,0.309,0.043,0.172,0.006,0.0,0.0,5
clobetasol,0.0,0.0,0.0,0.0,0.0,0.0,5
clofarabine,0.0,0.0,0.0,0.0,0.0,0.0,5
clofazimine,0.012,0.699,0.001,0.0,0.0,0.0,5
clofibric-acid,0.001,0.001,0.024,0.065,0.013,0.001,5
clofoctol,0.001,0.0,0.008,0.016,0.0,0.0,4
clomethiazole,0.01,0.012,0.034,0.01,0.021,0.004,5
clomifene,0.002,0.006,0.002,0.0,0.0,0.0,5
clonazepam,0.852,0.487,0.958,0.365,0.563,0.01,2
clonidine,0.002,0.0,0.001,0.0,0.009,0.004,5
clotrimazole,0.0,0.001,0.0,0.0,0.0,0.0,5
clozapine,0.037,0.687,0.158,0.544,0.34,0.023,2
co-102862,0.001,0.316,0.086,0.001,0.0,0.0,5
cobimetinib,0.002,0.0,0.0,0.0,0.0,0.0,4
colchicine,0.0,0.0,0.0,0.0,0.0,0.0,4
colforsin-daproate,0.011,0.001,0.0,0.0,0.0,0.0,5
combretastatin-a-4,0.0,0.0,0.0,0.0,0.0,0.0,5
conivaptan,0.22,0.767,0.278,0.814,0.57,0.006,2
cordycepin,0.278,0.047,0.125,0.262,0.01,0.038,5
"cp-945,598",0.001,0.043,0.0,0.142,0.001,0.0,5
cpi-1189,0.061,0.047,0.149,0.267,0.038,0.312,5
cpi-613,0.143,0.231,0.137,0.019,0.014,0.002,5
cromoglicic-acid,0.137,0.002,0.186,0.001,0.257,0.005,5
ct-7758,0.0,0.0,0.0,0.0,0.0,0.0,5
cts-1027,0.0,0.0,0.0,0.001,0.0,0.0,5
curcumin,0.002,0.213,0.287,0.494,0.038,0.0,5
cx-4945,0.024,0.082,0.108,0.0,0.0,0.0,5
cx-5461,0.001,0.0,0.0,0.0,0.0,0.0,5
cx516,0.213,0.623,0.318,0.407,0.522,0.01,5
cyanocobalamin,0.0,0.0,0.047,0.0,0.0,0.0,5
cyclizine,0.015,0.156,0.0,0.0,0.014,0.0,5
cyclobenzaprine,0.838,0.869,0.93,0.928,0.539,0.006,2
cyclosporin-a,0.0,0.0,0.0,0.0,0.0,0.0,5
cyproheptadine,0.043,0.125,0.127,0.001,0.007,0.0,5
cyproterone-acetate,0.01,0.001,0.004,0.0,0.0,0.0,5
cytarabine,0.2,0.204,0.179,0.004,0.165,0.001,5
cytisine,0.0,0.001,0.001,0.001,0.008,0.015,5
d-serine,0.303,0.11,0.001,0.001,0.287,0.009,5
dabigatran-etexilate,0.205,0.037,0.043,0.018,0.0,0.0,5
dabrafenib,0.0,0.0,0.0,0.0,0.0,0.0,5
dacarbazine,0.015,0.003,0.085,0.0,0.0,0.0,5
dacinostat,0.0,0.0,0.0,0.0,0.0,0.0,5
dacomitinib,0.0,0.0,0.0,0.0,0.0,0.0,5
danazol,0.0,0.0,0.0,0.0,0.0,0.0,5
danegaptide,0.009,0.665,0.283,0.276,0.011,0.021,5
dantrolene,0.45,0.019,0.009,0.004,0.005,0.0,5
danusertib,0.0,0.0,0.0,0.0,0.0,0.0,5
dapagliflozin,0.134,0.009,0.059,0.001,0.888,0.0,5
dapivirine,0.0,0.0,0.001,0.0,0.0,0.0,5
dapsone,0.001,0.021,0.018,0.006,0.142,0.009,5
darifenacin,0.001,0.001,0.006,0.018,0.001,0.0,5
darunavir,0.203,0.144,0.011,0.307,0.149,0.001,5
dasabuvir,0.283,0.023,0.019,0.039,0.0,0.0,4
dasatinib,0.0,0.0,0.0,0.0,0.0,0.0,5
dazoxiben,0.006,0.066,0.065,0.011,0.011,0.031,5
decitabine,0.0,0.0,0.0,0.0,0.0,0.0,5
defactinib,0.678,0.26,0.242,0.198,0.009,0.004,2
deferasirox,0.0,0.0,0.0,0.0,0.0,0.0,5
deferiprone,0.01,0.001,0.03,0.01,0.01,0.0,5
deforolimus,0.0,0.0,0.0,0.0,0.0,0.0,5
dehydroepiandrosterone,0.015,0.557,0.183,0.012,0.002,0.0,5
delanzomib,0.0,0.0,0.0,0.0,0.0,0.0,5
delivert,0.108,0.006,0.262,0.147,0.945,0.111,5
deoxycholic-acid,0.0,0.002,0.004,0.0,0.001,0.0,5
dequalinium,0.0,0.0,0.0,0.0,0.0,0.0,5
desmopressin-acetate,0.001,0.0,0.001,0.065,0.183,0.004,5
dexamethasone,0.0,0.0,0.0,0.0,0.0,0.0,10
dexfenfluramine,0.009,0.086,0.002,0.236,0.005,0.034,5
dexloxiglumide,0.009,0.006,0.009,0.049,0.004,0.001,5
dexniguldipine,0.312,0.812,0.728,0.7,0.006,0.001,2
dextromethorphan,0.015,0.143,0.012,0.012,0.0,0.0,5
diacerein,0.037,0.021,0.001,0.036,0.009,0.0,5
diazepam,0.001,0.006,0.001,0.009,0.142,0.0,5
diazoxide,0.0,0.0,0.0,0.0,0.0,0.0,5
diclofenac,0.238,0.011,0.001,0.077,0.07,0.0,5
diclofensine,0.001,0.019,0.001,0.125,0.002,0.0,5
dicloxacillin,0.307,0.001,0.012,0.001,0.0,0.007,5
dicoumarol,0.001,0.0,0.006,0.001,0.118,0.001,5
dideoxyadenosine,0.001,0.03,0.012,0.114,0.001,0.001,5
dienogest,0.036,0.005,0.001,0.005,0.001,0.0,5
diethylcarbamazine,0.015,0.009,0.009,0.009,0.006,0.0,5
diethylstilbestrol,0.041,0.214,0.593,0.047,0.029,0.0,5
diflunisal,0.005,0.018,0.001,0.019,0.026,0.004,5
dihydroergocristine,0.52,0.001,0.292,0.005,0.002,0.0,5
dihydroergotamine,0.001,0.002,0.012,0.015,0.158,0.005,5
dilazep,0.0,0.0,0.0,0.0,0.0,0.0,5
diltiazem,0.009,0.006,0.042,0.01,0.0,0.0,5
dimesna,0.006,0.034,0.165,0.012,0.001,0.009,5
dimethyl-fumarate,0.001,0.005,0.011,0.001,0.041,0.0,5
diminazene-aceturate,0.015,0.469,0.019,0.439,0.006,0.0,5
dinaciclib,0.0,0.0,0.0,0.0,0.0,0.0,5
dinoprost,0.0,0.001,0.002,0.154,0.093,0.001,5
diosmin,0.366,0.012,0.064,0.01,0.015,0.0,5
diphenidol,0.135,0.769,0.253,0.345,0.055,0.002,4
dipraglurant,0.006,0.007,0.037,0.465,0.35,0.004,5
dipyridamole,0.001,0.006,0.0,0.0,0.002,0.0,5
disopyramide,0.002,0.0,0.577,0.004,0.021,0.0,5
disulfiram,0.0,0.0,0.0,0.0,0.0,0.0,5
dmp-777,0.149,0.418,0.009,0.001,0.0,0.0,5
docetaxel,0.0,0.0,0.0,0.0,0.0,0.0,5
dofequidar,0.001,0.009,0.0,0.0,0.0,0.0,5
dolutegravir,0.0,0.001,0.0,0.0,0.0,0.0,5
donepezil,0.041,0.001,0.006,0.005,0.004,0.001,5
donitriptan,0.006,0.001,0.155,0.418,0.207,0.169,5
dopamine,0.129,0.11,0.206,0.064,0.579,0.779,2
doramapimod,0.0,0.001,0.0,0.0,0.0,0.0,5
dorzolamide,0.312,0.388,0.15,0.412,0.121,0.0,5
doxapram,0.114,0.005,0.241,0.006,0.074,0.004,5
doxazosin,0.001,0.141,0.065,0.005,0.001,0.0,5
doxepin,0.001,0.011,0.001,0.001,0.005,0.0,5
doxifluridine,0.001,0.005,0.02,0.246,0.031,0.0,5
doxofylline,0.144,0.217,0.12,0.001,0.001,0.0,5
doxorubicin,0.0,0.0,0.0,0.0,0.0,0.0,5
doxycycline-hyclate,0.162,0.005,0.29,0.212,0.0,0.0,5
dpcpx,0.001,0.121,0.142,0.002,0.001,0.0,4
dpi-201106,0.009,0.009,0.001,0.044,0.0,0.0,5
dronedarone,0.434,0.521,0.011,0.0,0.0,0.0,5
droperidol,0.375,0.005,0.047,0.065,0.186,0.0,5
drospirenone,0.562,0.978,0.008,0.84,0.003,0.0,4
du-728,0.015,0.018,0.13,0.036,0.074,0.018,5
duloxetine,0.577,0.204,0.431,0.006,0.015,0.0,5
dutasteride,0.038,0.005,0.001,0.001,0.0,0.0,5
e-2012,0.139,0.457,0.006,0.001,0.0,0.0,5
ebselen,0.0,0.005,0.001,0.007,0.0,0.0,5
econazole,0.001,0.0,0.0,0.0,0.0,0.0,5
edoxaban,0.001,0.0,0.001,0.001,0.149,0.018,5
edoxudine,0.0,0.001,0.009,0.001,0.0,0.0,5
efaproxiral,0.962,0.279,0.948,0.675,0.945,0.188,2
efavirenz,0.503,0.505,0.256,0.894,0.177,0.007,2
eflornithine,0.001,0.004,0.02,0.065,0.012,0.0,5
elesclomol,0.0,0.0,0.0,0.0,0.0,0.0,5
ellagic-acid,0.001,0.001,0.0,0.0,0.001,0.001,5
emd-1214063,0.006,0.001,0.0,0.0,0.001,0.0,5
emd-53998,0.011,0.296,0.005,0.002,0.0,0.0,5
emedastine,0.001,0.019,0.002,0.198,0.343,0.002,5
emtricitabine,0.001,0.0,0.0,0.005,0.005,0.001,5
enalapril,0.009,0.018,0.449,0.364,0.137,0.001,5
enoxacin,0.0,0.004,0.0,0.302,0.292,0.001,5
entecavir,0.021,0.021,0.0,0.0,0.0,0.0,5
entinostat,0.0,0.0,0.0,0.0,0.0,0.0,5
enzalutamide,0.0,0.0,0.0,0.0,0.0,0.0,5
enzastaurin,0.78,0.225,0.002,0.0,0.0,0.0,5
eperezolid,0.034,0.002,0.429,0.302,0.142,0.001,5
epinastine,0.389,0.001,0.0,0.001,0.077,0.001,5
epinephrine,0.13,0.042,0.001,0.001,0.004,0.0,5
epirizole,0.538,0.418,0.209,0.248,0.645,0.103,2
epirubicin,0.0,0.0,0.0,0.0,0.0,0.0,5
epitiostanol,0.0,0.0,0.0,0.0,0.0,0.0,4
epothilone-b,0.0,0.0,0.0,0.0,0.0,0.0,5
equol,0.001,0.001,0.001,0.001,0.001,0.0,5
ercalcitriol,0.001,0.001,0.0,0.0,0.0,0.0,5
erlotinib,0.001,0.0,0.0,0.0,0.0,0.0,5
erteberel,0.001,0.0,0.018,0.001,0.0,0.0,5
erythromycin,0.059,0.636,0.203,0.062,0.08,0.025,10
escitalopram,0.014,0.009,0.015,0.074,0.012,0.001,5
esmolol,0.436,0.212,0.092,0.811,0.006,0.0,5
estramustine,0.062,0.011,0.001,0.0,0.0,0.0,5
estramustine-phosphate,0.023,0.002,0.085,0.008,0.544,0.142,4
estriol,0.0,0.001,0.0,0.0,0.001,0.001,5
estrone,0.629,0.09,0.44,0.774,0.234,0.036,2
etacrynic-acid,0.044,0.112,0.887,0.162,0.001,0.0,5
etanidazole,0.011,0.001,0.744,0.55,0.001,0.0,5
etazolate,0.034,0.005,0.001,0.001,0.001,0.0,5
ethinyl-estradiol,0.03,0.06,0.004,0.004,0.0,0.0,4
