cpd,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,no_of_replicates
aminolevulinic-acid,0.011,0.004,0.026,0.084,0.296,0.029,3
aminosalicylic-acid,0.009,0.385,0.847,0.728,0.612,0.115,3
amiodarone,0.071,0.204,0.123,0.067,0.0,0.0,3
amiprilose,0.001,0.023,0.491,0.247,0.497,0.243,3
amitifadine,0.001,0.02,0.178,0.673,0.212,0.151,3
amlexanox,0.829,0.973,0.86,0.087,0.338,0.006,3
amlodipine,0.212,0.02,0.86,0.343,0.437,0.0,3
ammonium-glycyrrhizinate,0.0,0.653,0.003,0.173,0.043,0.071,3
amonafide,0.517,0.003,0.236,0.0,0.0,0.0,3
amoxapine,0.0,0.006,0.066,0.039,0.01,0.0,4
ampalex,0.424,0.706,0.425,0.455,0.296,0.005,2
amrinone,0.325,0.184,0.449,0.78,0.154,0.024,3
amsacrine,0.0,0.0,0.0,0.0,0.0,0.0,3
amtolmetin-guacil,0.662,0.384,0.034,0.341,0.498,0.009,3
amuvatinib,0.076,0.009,0.006,0.001,0.238,0.0,2
anamorelin,0.01,0.0,0.003,0.064,0.204,0.006,4
anandamide,0.541,0.088,0.044,0.203,0.095,0.005,2
andrographolide,0.0,0.003,0.147,0.004,0.001,0.0,3
anecortave-acetate,0.041,0.137,0.202,0.007,0.042,0.006,2
anidulafungin,0.603,0.316,0.169,0.081,0.028,0.0,3
aniracetam,0.699,0.273,0.432,0.091,0.174,0.223,3
anisodamine,0.134,0.136,0.334,0.027,0.448,0.186,2
ap26113,0.085,0.082,0.136,0.001,0.0,0.0,2
apafant,0.083,0.031,0.43,0.258,0.407,0.124,3
apd668,0.0,0.003,0.003,0.006,0.009,0.0,3
aphidicolin,0.0,0.0,0.0,0.0,0.0,0.0,3
api-001,0.584,0.006,0.158,0.141,0.117,0.006,3
apixaban,0.004,0.119,0.0,0.0,0.446,0.092,3
apocynin,0.0,0.0,0.003,0.017,0.0,0.0,3
apremilast,0.458,0.002,0.026,0.116,0.132,0.03,3
aprepitant,0.05,0.375,0.338,0.003,0.505,0.0,3
arbutin,0.093,0.371,0.503,0.099,0.791,0.108,3
argatroban,0.269,0.091,0.001,0.013,0.027,0.225,3
arglabin,0.178,0.484,0.859,0.547,0.458,0.006,2
aripiprazole,0.006,0.026,0.0,0.0,0.0,0.0,3
arofylline,0.89,0.307,0.026,0.203,0.117,0.155,3
arry-334543,0.047,0.001,0.001,0.0,0.0,0.0,3
artesunate,0.108,0.0,0.001,0.0,0.0,0.0,3
asa-404,0.355,0.518,0.223,0.004,0.002,0.0,3
asc-j9,0.0,0.03,0.0,0.0,0.124,0.025,3
asenapine,0.377,0.809,0.0,0.0,0.062,0.0,3
aspirin,0.004,0.009,0.219,0.002,0.002,0.0,3
at13387,0.0,0.0,0.0,0.0,0.0,0.0,3
ataluren,0.13,0.144,0.171,0.252,0.367,0.017,2
atenolol,0.879,0.035,0.012,0.005,0.016,0.791,2
atipamezole,0.175,0.726,0.216,0.763,0.306,0.006,2
atn-161,0.138,0.335,0.021,0.144,0.841,0.132,3
atomoxetine,0.756,0.013,0.404,0.196,0.722,0.065,3
atorvastatin,0.008,0.338,0.47,0.043,0.013,0.0,3
atracurium,0.027,0.003,0.275,0.018,0.01,0.042,3
atrasentan,0.022,0.003,0.004,0.084,0.026,0.014,3
av-608,0.001,0.003,0.014,0.15,0.123,0.011,3
avagacestat,0.592,0.0,0.003,0.0,0.0,0.001,3
avanafil,0.387,0.45,0.319,0.036,0.372,0.008,2
avasimibe,0.056,0.072,0.008,0.0,0.0,0.0,3
avl-292,0.015,0.219,0.005,0.0,0.001,0.0,3
avn-944,0.775,0.018,0.142,0.0,0.0,0.0,3
azacitidine,0.024,0.002,0.005,0.001,0.003,0.0,2
azathioprine,0.009,0.003,0.125,0.039,0.0,0.0,3
azd1208,0.003,0.011,0.01,0.0,0.002,0.0,3
azd1480,0.05,0.003,0.025,0.02,0.001,0.0,3
azd1981,0.186,0.001,0.05,0.096,0.23,0.022,3
azd2014,0.012,0.0,0.0,0.0,0.0,0.0,3
azd3514,0.022,0.265,0.014,0.005,0.003,0.0,2
azd4547,0.415,0.06,0.255,0.133,0.006,0.0,2
azd5363,0.015,0.079,0.0,0.0,0.0,0.0,3
azd7545,0.903,0.24,0.209,0.032,0.242,0.011,3
azd7687,0.24,0.047,0.153,0.0,0.024,0.443,3
azd7762,0.0,0.004,0.0,0.0,0.0,0.0,3
azd8931,0.007,0.003,0.0,0.0,0.0,0.0,3
azd9668,0.007,0.001,0.223,0.362,0.068,0.016,3
azelaic-acid,0.71,0.164,0.025,0.673,0.546,0.993,3
azelastine,0.738,0.139,0.138,0.495,0.002,0.0,3
balaglitazone,0.611,0.002,0.124,0.119,0.002,0.001,4
balapiravir,0.006,0.195,0.093,0.038,0.003,0.007,2
balicatib,0.921,0.835,0.034,0.0,0.0,0.007,3
balsalazide,0.484,0.919,0.176,0.397,0.216,0.073,2
bambuterol,0.004,0.0,0.003,0.036,0.013,0.557,3
bardoxolone-methyl,0.002,0.001,0.002,0.0,0.0,0.0,2
basimglurant,0.67,0.009,0.181,0.002,0.001,0.0,3
batimastat,0.006,0.658,0.015,0.005,0.008,0.012,2
bavisant,0.602,0.242,0.618,0.287,0.633,0.959,2
bay-87-2243,0.0,0.997,0.0,0.0,1.0,1.0,3
bazedoxifene,0.034,0.117,0.068,0.021,0.047,0.0,3
bci-540,0.377,0.846,0.008,0.073,0.62,0.179,3
beclomethasone-dipropionate,0.0,0.0,0.0,0.0,0.0,0.0,3
belinostat,0.001,0.0,0.0,0.0,0.0,0.0,3
bemegride,0.054,0.755,0.016,0.073,0.007,0.5,3
benazepril,0.716,0.056,0.769,0.461,0.423,0.09,3
bendamustine,0.299,0.005,0.001,0.278,0.037,0.006,3
bendroflumethiazide,0.368,0.259,0.015,0.108,0.271,0.244,2
benzbromarone,0.0,0.0,0.065,0.276,0.002,0.0,3
benzthiazide,0.001,0.011,0.006,0.0,0.534,0.021,3
benzydamine,0.143,0.198,0.012,0.249,0.221,0.179,2
benzylpenicillin,0.022,0.004,0.32,0.133,0.024,0.233,2
bepotastine,0.033,0.042,0.38,0.663,0.001,0.556,3
berberine,0.268,0.413,0.003,0.02,0.001,0.0,3
betahistine,0.009,0.338,0.051,0.23,0.688,0.016,3
betulinic-acid,0.213,0.598,0.927,0.044,0.538,0.009,2
bevirimat-dimeglumine,0.017,0.126,0.001,0.0,0.001,0.0,3
bexarotene,0.008,0.003,0.0,0.0,0.013,0.0,3
bezafibrate,0.034,0.183,0.345,0.495,0.111,0.209,2
bicalutamide,0.238,0.45,0.113,0.337,0.002,0.507,3
bifemelane,0.364,0.003,0.518,0.126,0.996,0.0,3
bifonazole,0.408,0.112,0.616,0.005,0.123,0.0,2
bimatoprost,0.454,0.0,0.003,0.623,0.074,0.001,3
bindarit,0.24,0.061,0.131,0.472,0.292,0.43,3
biperiden,0.232,0.249,0.271,0.24,0.353,0.79,3
birinapant,0.082,0.001,0.0,0.0,0.0,0.0,3
bisindolylmaleimide,0.163,0.339,0.204,0.005,0.007,0.004,2
bisoprolol,0.186,0.273,0.93,0.156,0.598,0.03,3
bitopertin,0.03,0.781,0.245,0.0,0.043,0.009,3
blonanserin,0.011,0.006,0.003,0.015,0.01,0.0,3
bms-599626,0.428,0.246,0.001,0.0,0.002,0.0,3
bms-707035,0.127,0.0,0.016,0.442,0.001,0.029,3
bms-927711,0.673,0.332,0.085,0.017,0.002,0.0,3
bopindolol,0.0,0.002,0.0,0.0,0.769,0.296,3
bortezomib,0.0,0.002,0.002,0.001,0.0,0.0,2
bosentan,0.334,0.355,0.791,0.056,0.006,0.01,2
bosutinib,0.0,0.0,0.0,0.0,0.0,0.0,3
brequinar,0.0,0.001,0.0,0.0,0.0,0.0,2
bretazenil,0.119,0.258,0.131,0.039,0.636,0.009,3
brexpiprazole,0.553,0.108,0.237,0.367,0.008,0.0,3
brivanib,0.244,0.161,0.771,0.017,0.001,0.0,3
brivudine,0.025,0.063,0.598,0.0,0.015,0.083,3
bromocriptine,0.543,0.335,0.36,0.027,0.001,0.0,3
broxuridine,0.0,0.0,0.0,0.0,0.001,0.0,3
bruceantin,0.0,0.001,0.001,0.0,0.0,0.0,2
bts-54505,0.543,0.049,0.033,0.218,0.349,0.308,3
bucladesine,0.0,0.0,0.021,0.0,0.0,0.0,3
budipine,0.006,0.107,0.0,0.001,0.028,0.278,2
bumetanide,0.244,0.148,0.213,0.616,0.09,0.026,2
bupivacaine,0.572,0.208,0.134,0.0,0.0,0.0,3
bupropion,0.003,0.001,0.001,0.0,0.883,0.628,3
buspirone,0.356,0.354,0.329,0.153,0.008,0.153,2
butoconazole,0.001,0.0,0.004,0.0,0.001,0.0,3
butorphanol-(+)-tartrate,0.435,0.315,0.386,0.087,0.505,0.639,2
bvd-523,0.081,0.14,0.868,0.0,0.0,0.0,3
cabazitaxel,0.0,0.0,0.0,0.0,0.0,0.0,3
cabergoline,0.0,0.0,0.008,0.0,0.005,0.066,3
cabozantinib,0.047,0.003,0.097,0.0,0.001,0.0,3
caffeine,0.061,0.968,0.157,0.315,0.025,0.004,4
calcitriol,0.0,0.003,0.055,0.104,0.002,0.0,3
camicinal,0.111,0.003,0.0,0.0,0.467,0.0,3
camptothecin,0.0,0.002,0.002,0.001,0.0,0.0,2
canagliflozin,0.802,0.053,0.174,0.0,0.683,0.086,3
candesartan,0.001,0.028,0.074,0.082,0.066,0.016,3
canertinib,0.0,0.0,0.0,0.0,0.007,0.001,3
canrenoic-acid,0.251,0.266,0.151,0.422,0.23,0.109,3
capecitabine,0.438,0.505,0.66,0.343,0.229,0.048,2
capsaicin,0.348,0.16,0.001,0.001,0.071,0.362,2
carbachol,0.059,0.151,0.552,0.581,0.764,0.06,2
carbamazepine,0.072,0.293,0.716,0.233,0.335,0.336,3
carbenoxolone,0.422,0.007,0.193,0.361,0.001,0.001,3
carbimazole,0.751,0.898,0.997,0.017,0.117,0.003,3
carglumic-acid,0.0,0.021,0.005,0.003,0.002,0.061,3
cariprazine,0.152,0.011,0.014,0.005,0.007,0.172,2
carisoprodol,0.243,0.006,0.184,0.158,0.195,0.031,3
carprofen,0.379,0.012,0.454,0.177,0.013,0.056,2
carvedilol,0.637,0.588,0.487,0.165,0.24,0.0,2
cb-10-277-(free-acid),0.0,0.233,0.008,0.377,0.007,0.045,3
cc-401,0.316,0.018,0.0,0.006,0.001,0.0,3
cc-930,0.377,0.0,0.027,0.0,0.0,0.0,3
cediranib,0.003,0.007,0.001,0.0,0.0,0.0,3
cefdinir,0.724,0.032,0.47,0.203,0.006,0.079,2
cefepime,0.0,0.0,0.219,0.121,0.226,0.0,3
cefoperazone,0.0,0.01,0.066,0.004,0.026,0.0,4
cefotetan,0.005,0.095,0.831,0.323,0.817,0.401,2
cefozopran,0.015,0.698,0.261,0.363,0.001,0.242,3
celecoxib,0.099,0.334,0.199,0.058,0.622,0.005,3
cep-37440,0.475,0.018,0.034,0.0,0.0,0.0,3
cepharanthine,0.013,0.042,0.006,0.001,0.0,0.0,2
cgp12177,0.727,0.141,0.833,0.072,0.023,0.621,2
chlorambucil,0.036,0.004,0.354,0.004,0.001,0.0,3
chlormezanone,0.274,0.434,0.003,0.091,0.811,0.092,3
chloroxine,0.415,0.003,0.053,0.81,0.0,0.0,3
chlorphenamine,0.071,0.126,0.868,0.005,0.001,0.0,3
chlorpromazine,0.829,0.69,0.432,0.005,0.664,0.0,3
chlorpropamide,0.0,0.0,0.003,0.289,0.002,0.014,3
chlortalidone,0.976,0.003,0.065,0.442,0.013,0.367,3
cholic-acid,0.319,0.64,0.953,0.131,0.385,0.33,2
choline-alfoscerate,0.35,0.095,0.001,0.0,0.382,0.057,3
cianidanol,0.081,0.467,0.751,0.112,0.227,0.019,3
ciclesonide,0.0,0.0,0.0,0.0,0.0,0.0,3
ciglitazone,0.265,0.052,0.197,0.05,0.013,0.31,3
cilengitide,0.755,0.0,0.27,0.363,0.001,0.0,3
cilomilast,0.61,0.442,0.01,0.121,0.154,0.096,2
cilostazol,0.025,0.0,0.008,0.127,0.439,0.009,3
cimetidine,0.039,0.583,0.0,0.904,0.152,0.242,3
cinaciguat,0.0,0.0,0.564,0.0,0.0,0.0,3
cinepazide,0.184,0.334,0.302,0.197,0.038,0.103,2
cinnarizine,0.138,0.029,0.003,0.036,0.021,0.284,3
cinoxacin,0.031,0.011,0.001,0.526,0.419,0.003,3
ciprofloxacin,0.533,0.599,0.806,0.68,0.039,0.001,3
cisapride,0.499,0.163,0.0,0.0,0.0,0.001,3
citalopram,0.891,0.02,0.01,0.08,0.022,0.145,3
cladribine,0.911,0.007,0.001,0.0,0.0,0.0,2
clarithromycin,0.005,0.049,0.726,0.53,0.495,0.048,3
clenbuterol,0.777,0.016,0.841,0.032,0.906,0.043,2
climbazole,0.368,0.01,0.552,0.269,0.17,0.241,2
clinafloxacin,0.036,0.919,0.831,0.166,0.16,0.001,3
clindamycin,0.0,0.003,0.122,0.0,0.35,0.013,3
clinofibrate,0.235,0.388,0.319,0.039,0.477,0.029,3
clioquinol,0.364,0.194,0.564,0.003,0.011,0.0,3
clobetasol,0.0,0.0,0.0,0.0,0.0,0.0,3
clofarabine,0.0,0.0,0.0,0.0,0.0,0.0,3
clofazimine,0.071,0.011,0.003,0.438,0.001,0.0,3
clofibric-acid,0.0,0.284,0.227,0.027,0.139,0.025,3
clofoctol,0.0,0.0,0.003,0.017,0.0,0.0,4
clomethiazole,0.039,0.587,0.034,0.202,0.202,0.124,3
clomifene,0.001,0.889,0.353,0.001,0.0,0.0,3
clonazepam,0.821,0.488,0.94,0.358,0.553,0.014,2
clonidine,0.005,0.095,0.345,0.155,0.376,0.516,2
clotrimazole,0.0,0.009,0.002,0.001,0.013,0.0,3
clozapine,0.031,0.696,0.166,0.535,0.331,0.054,2
co-102862,0.022,0.011,0.689,0.004,0.002,0.001,3
cobimetinib,0.0,0.0,0.0,0.001,0.0,0.0,4
colchicine,0.0,0.0,0.0,0.0,0.0,0.0,3
colforsin-daproate,0.615,0.001,0.0,0.081,0.0,0.002,3
combretastatin-a-4,0.0,0.0,0.0,0.0,0.0,0.0,3
conivaptan,0.22,0.767,0.268,0.779,0.555,0.006,2
cordycepin,0.023,0.322,0.337,0.514,0.308,0.476,2
"cp-945,598",0.007,0.41,0.0,0.129,0.009,0.0,3
cpi-1189,0.64,0.256,0.441,0.316,0.129,0.385,3
cpi-613,0.478,0.575,0.297,0.163,0.509,0.006,2
cromoglicic-acid,0.072,0.004,0.65,0.347,0.563,0.015,3
ct-7758,0.0,0.0,0.0,0.0,0.001,0.001,3
cts-1027,0.0,0.0,0.001,0.0,0.0,0.0,3
curcumin,0.008,0.227,0.344,0.626,0.08,0.0,3
cx-4945,0.102,0.65,0.057,0.003,0.0,0.0,3
cx-5461,0.0,0.0,0.0,0.0,0.0,0.0,3
cx516,0.497,0.752,0.888,0.082,0.59,0.07,3
cyanocobalamin,0.0,0.001,0.641,0.164,0.0,0.0,2
cyclizine,0.941,0.004,0.001,0.001,0.073,0.197,2
cyclobenzaprine,0.808,0.858,0.91,0.895,0.528,0.004,2
cyclosporin-a,0.0,0.0,0.0,0.0,0.0,0.0,3
cyproheptadine,0.142,0.166,0.194,0.003,0.025,0.0,3
cyproterone-acetate,0.625,0.087,0.006,0.96,0.255,0.241,2
cytarabine,0.481,0.211,0.328,0.653,0.026,0.039,3
cytisine,0.0,0.121,0.005,0.053,0.057,0.065,3
d-serine,0.592,0.256,0.465,0.003,0.547,0.338,3
dabigatran-etexilate,0.094,0.501,0.079,0.112,0.008,0.0,3
dabrafenib,0.0,0.0,0.0,0.0,0.0,0.0,3
dacarbazine,0.072,0.051,0.333,0.005,0.006,0.01,2
dacinostat,0.0,0.0,0.0,0.0,0.0,0.0,3
dacomitinib,0.0,0.0,0.0,0.0,0.0,0.0,3
danazol,0.0,0.0,0.0,0.034,0.001,0.012,3
danegaptide,0.051,0.377,0.305,0.974,0.486,0.066,3
dantrolene,0.0,0.421,0.001,0.02,0.815,0.006,3
danusertib,0.0,0.0,0.0,0.0,0.0,0.0,3
dapagliflozin,0.475,0.061,0.021,0.002,0.978,0.0,3
dapivirine,0.007,0.119,0.213,0.0,0.0,0.0,3
dapsone,0.001,0.126,0.147,0.781,0.341,0.733,3
darifenacin,0.022,0.004,0.432,0.066,0.074,0.0,3
darunavir,0.542,0.234,0.905,0.361,0.104,0.024,3
dasabuvir,0.377,0.082,0.056,0.103,0.008,0.0,3
dasatinib,0.003,0.001,0.0,0.0,0.0,0.0,2
dazoxiben,0.053,0.338,0.713,0.082,0.03,0.007,3
decitabine,0.0,0.0,0.0,0.0,0.0,0.0,3
defactinib,0.66,0.248,0.234,0.177,0.007,0.0,2
deferasirox,0.0,0.0,0.0,0.0,0.001,0.0,3
deferiprone,0.011,0.015,0.406,0.13,0.001,0.029,3
deforolimus,0.0,0.0,0.0,0.0,0.0,0.0,3
dehydroepiandrosterone,0.434,0.759,0.297,0.115,0.108,0.0,2
delanzomib,0.0,0.0,0.0,0.0,0.0,0.0,3
delivert,0.055,0.136,0.394,0.394,0.728,0.488,2
deoxycholic-acid,0.0,0.139,0.0,0.0,0.001,0.002,3
dequalinium,0.0,0.016,0.438,0.0,0.0,0.0,3
desmopressin-acetate,0.115,0.056,0.028,0.036,0.016,0.443,2
dexamethasone,0.0,0.0,0.0,0.0,0.0,0.0,6
dexfenfluramine,0.072,0.266,0.013,0.623,0.062,0.651,3
dexloxiglumide,0.654,0.106,0.146,0.873,0.618,0.047,3
dexniguldipine,0.347,0.805,0.717,0.663,0.003,0.0,2
dextromethorphan,0.116,0.883,0.026,0.083,0.039,0.001,3
diacerein,0.136,0.159,0.003,0.786,0.026,0.006,3
diazepam,0.005,0.577,0.15,0.104,0.447,0.034,2
diazoxide,0.0,0.0,0.12,0.0,0.0,0.0,3
diclofenac,0.591,0.12,0.004,0.571,0.012,0.001,3
diclofensine,0.015,0.002,0.002,0.41,0.01,0.0,3
dicloxacillin,0.098,0.371,0.006,0.0,0.511,0.132,3
dicoumarol,0.012,0.018,0.199,0.003,0.066,0.035,3
dideoxyadenosine,0.0,0.585,0.021,0.548,0.118,0.113,3
dienogest,0.121,0.018,0.507,0.388,0.01,0.0,3
diethylcarbamazine,0.191,0.038,0.008,0.288,0.043,0.003,3
diethylstilbestrol,0.031,0.452,0.977,0.274,0.85,0.005,2
diflunisal,0.163,0.752,0.008,0.166,0.002,0.61,3
dihydroergocristine,0.699,0.125,0.425,0.315,0.058,0.004,2
dihydroergotamine,0.006,0.047,0.246,0.007,0.236,0.025,3
dilazep,0.0,0.015,0.0,0.184,0.008,0.0,3
diltiazem,0.007,0.041,0.165,0.367,0.0,0.001,3
dimesna,0.114,0.42,0.644,0.088,0.383,0.405,2
dimethyl-fumarate,0.003,0.003,0.532,0.004,0.01,0.008,3
diminazene-aceturate,0.932,0.556,0.047,0.528,0.312,0.0,2
dinaciclib,0.0,0.0,0.0,0.0,0.0,0.0,3
dinoprost,0.322,0.003,0.368,0.951,0.339,0.242,3
diosmin,0.371,0.894,0.011,0.154,0.042,0.0,3
diphenidol,0.264,0.531,0.318,0.494,0.131,0.033,3
dipraglurant,0.493,0.018,0.563,0.086,0.078,0.21,2
dipyridamole,0.188,0.178,0.0,0.0,0.096,0.108,3
disopyramide,0.24,0.001,0.616,0.085,0.124,0.001,3
disulfiram,0.01,0.0,0.0,0.0,0.0,0.0,3
dmp-777,0.392,0.338,0.026,0.007,0.0,0.0,3
docetaxel,0.0,0.0,0.0,0.0,0.0,0.0,3
dofequidar,0.649,0.096,0.0,0.006,0.001,0.0,3
dolutegravir,0.004,0.192,0.001,0.0,0.003,0.0,2
donepezil,0.106,0.21,0.226,0.023,0.106,0.366,2
donitriptan,0.187,0.01,0.606,0.473,0.498,0.098,3
dopamine,0.117,0.108,0.197,0.059,0.563,0.791,2
doramapimod,0.006,0.007,0.003,0.039,0.006,0.01,2
dorzolamide,0.954,0.486,0.537,0.105,0.365,0.057,3
doxapram,0.027,0.007,0.009,0.103,0.078,0.005,3
doxazosin,0.057,0.243,0.014,0.436,0.093,0.006,2
doxepin,0.022,0.012,0.212,0.043,0.473,0.045,2
doxifluridine,0.005,0.519,0.419,0.635,0.592,0.024,2
doxofylline,0.442,0.309,0.08,0.0,0.095,0.065,3
doxorubicin,0.0,0.0,0.0,0.0,0.0,0.0,3
doxycycline-hyclate,0.09,0.093,0.435,0.571,0.008,0.0,2
dpcpx,0.002,0.301,0.213,0.004,0.009,0.001,3
dpi-201106,0.113,0.471,0.01,0.003,0.041,0.0,3
dronedarone,0.553,0.692,0.498,0.005,0.001,0.001,3
droperidol,0.45,0.279,0.528,0.037,0.312,0.001,3
drospirenone,0.569,0.95,0.021,0.783,0.007,0.006,3
du-728,0.632,0.11,0.563,0.074,0.437,0.219,3
duloxetine,0.574,0.435,0.295,0.268,0.259,0.001,3
dutasteride,0.016,0.058,0.17,0.095,0.001,0.001,3
e-2012,0.071,0.008,0.756,0.018,0.0,0.0,3
ebselen,0.007,0.159,0.0,0.0,0.001,0.0,3
econazole,0.003,0.0,0.0,0.634,0.001,0.0,3
edoxaban,0.276,0.0,0.099,0.0,0.349,0.167,3
edoxudine,0.08,0.108,0.339,0.0,0.001,0.001,3
efaproxiral,0.964,0.269,0.931,0.646,0.928,0.279,2
efavirenz,0.507,0.5,0.248,0.869,0.151,0.009,2
eflornithine,0.051,0.031,0.224,0.464,0.263,0.0,3
elesclomol,0.0,0.0,0.0,0.0,0.0,0.0,3
ellagic-acid,0.01,0.005,0.0,0.0,0.008,0.018,3
emd-1214063,0.2,0.01,0.0,0.0,0.114,0.0,3
emd-53998,0.139,0.5,0.029,0.054,0.001,0.0,3
emedastine,0.522,0.181,0.014,0.805,0.023,0.194,2
emtricitabine,0.009,0.003,0.001,0.0,0.078,0.63,3
enalapril,0.009,0.021,0.531,0.498,0.044,0.191,3
enoxacin,0.003,0.002,0.006,0.314,0.216,0.929,2
entecavir,0.237,0.264,0.112,0.007,0.006,0.004,2
entinostat,0.001,0.0,0.0,0.0,0.0,0.006,3
enzalutamide,0.1,0.0,0.075,0.096,0.007,0.029,3
enzastaurin,0.554,0.756,0.006,0.052,0.002,0.03,2
eperezolid,0.114,0.0,0.04,0.202,0.082,0.058,3
epinastine,0.352,0.478,0.483,0.003,0.026,0.225,3
epinephrine,0.46,0.068,0.025,0.0,0.052,0.015,3
epirizole,0.541,0.416,0.202,0.225,0.619,0.187,2
epirubicin,0.0,0.0,0.0,0.0,0.0,0.0,3
epitiostanol,0.0,0.0,0.001,0.001,0.0,0.0,4
epothilone-b,0.0,0.0,0.0,0.0,0.0,0.0,3
equol,0.172,0.046,0.408,0.022,0.041,0.07,3
ercalcitriol,0.051,0.259,0.0,0.001,0.001,0.0,3
erlotinib,0.0,0.0,0.0,0.0,0.0,0.0,3
erteberel,0.0,0.0,0.008,0.0,0.001,0.0,3
erythromycin,0.103,0.58,0.508,0.197,0.057,0.18,6
escitalopram,0.234,0.003,0.016,0.004,0.047,0.185,3
esmolol,0.991,0.299,0.145,0.776,0.026,0.0,3
estramustine,0.0,0.126,0.015,0.0,0.001,0.0,3
estramustine-phosphate,0.022,0.0,0.087,0.004,0.557,0.289,4
estriol,0.0,0.007,0.0,0.0,0.001,0.006,3
estrone,0.619,0.088,0.418,0.738,0.223,0.084,2
etacrynic-acid,0.011,0.238,0.699,0.099,0.026,0.006,3
etanidazole,0.146,0.339,0.664,0.234,0.056,0.168,2
etazolate,0.006,0.039,0.009,0.001,0.046,0.0,3
ethinyl-estradiol,0.089,0.372,0.181,0.01,0.001,0.0,3
