cpd,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,no_of_replicates
aminolevulinic-acid,0.011,0.077,0.045,0.01,0.014,0.014,5
aminosalicylic-acid,0.001,0.154,0.185,0.156,0.263,0.027,5
amiodarone,0.017,0.294,0.001,0.0,0.0,0.0,5
amiprilose,0.002,0.001,0.0,0.121,0.21,0.32,5
amitifadine,0.043,0.008,0.326,0.21,0.021,0.056,5
amlexanox,0.705,0.613,0.162,0.058,0.02,0.003,5
amlodipine,0.017,0.012,0.99,0.331,0.275,0.0,5
ammonium-glycyrrhizinate,0.0,0.0,0.002,0.0,0.007,0.003,5
amonafide,0.033,0.111,0.067,0.0,0.0,0.0,5
amoxapine,0.0,0.004,0.069,0.035,0.005,0.0,4
amrinone,0.291,0.036,0.028,0.01,0.034,0.003,5
amsacrine,0.0,0.0,0.0,0.0,0.0,0.0,5
amtolmetin-guacil,0.332,0.0,0.021,0.433,0.425,0.006,5
amuvatinib,0.0,0.0,0.0,0.0,0.0,0.0,5
anamorelin,0.001,0.0,0.009,0.056,0.227,0.004,4
anandamide,0.528,0.079,0.045,0.191,0.093,0.008,2
andrographolide,0.0,0.0,0.031,0.0,0.0,0.0,5
anecortave-acetate,0.0,0.0,0.0,0.0,0.0,0.0,5
anidulafungin,0.563,0.035,0.091,0.012,0.002,0.0,5
aniracetam,0.106,0.301,0.023,0.02,0.017,0.181,5
anisodamine,0.0,0.001,0.0,0.0,0.015,0.02,5
ap26113,0.0,0.0,0.0,0.0,0.0,0.0,5
apafant,0.675,0.078,0.091,0.011,0.268,0.159,5
apd668,0.0,0.0,0.0,0.0,0.0,0.0,5
aphidicolin,0.0,0.0,0.0,0.0,0.0,0.0,5
api-001,0.065,0.0,0.027,0.023,0.02,0.002,5
apremilast,0.209,0.46,0.02,0.119,0.02,0.013,5
aprepitant,0.011,0.01,0.031,0.0,0.012,0.0,5
arbutin,0.011,0.329,0.021,0.0,0.002,0.03,5
argatroban,0.002,0.069,0.0,0.062,0.027,0.26,5
arglabin,0.007,0.006,0.667,0.622,0.165,0.0,5
aripiprazole,0.0,0.0,0.0,0.0,0.0,0.0,5
arofylline,0.5,0.232,0.22,0.063,0.026,0.003,5
arry-334543,0.0,0.0,0.0,0.0,0.0,0.0,5
artesunate,0.0,0.0,0.0,0.0,0.0,0.0,5
asa-404,0.022,0.221,0.0,0.0,0.0,0.0,5
asenapine,0.294,0.368,0.0,0.0,0.0,0.0,5
aspirin,0.0,0.013,0.041,0.011,0.015,0.002,5
at13387,0.0,0.0,0.0,0.0,0.0,0.0,5
ataluren,0.0,0.01,0.009,0.049,0.039,0.005,5
atenolol,0.105,0.067,0.033,0.0,0.036,0.115,5
atipamezole,0.151,0.698,0.207,0.754,0.318,0.009,2
atn-161,0.053,0.25,0.007,0.056,0.874,0.073,4
atomoxetine,0.007,0.001,0.004,0.012,0.002,0.001,5
atorvastatin,0.14,0.119,0.031,0.048,0.0,0.0,5
atracurium,0.0,0.0,0.0,0.001,0.011,0.0,5
atrasentan,0.0,0.0,0.0,0.041,0.001,0.003,5
av-608,0.0,0.008,0.002,0.0,0.049,0.003,5
avagacestat,0.026,0.0,0.0,0.0,0.0,0.0,5
avanafil,0.298,0.371,0.429,0.0,0.011,0.0,5
avasimibe,0.009,0.0,0.0,0.0,0.0,0.0,5
azacitidine,0.0,0.0,0.0,0.0,0.0,0.0,5
azathioprine,0.0,0.0,0.001,0.0,0.0,0.0,5
azd1208,0.001,0.0,0.0,0.0,0.0,0.003,5
azd1480,0.0,0.0,0.002,0.0,0.0,0.0,5
azd1981,0.052,0.001,0.003,0.0,0.086,0.013,5
azd2014,0.0,0.0,0.0,0.0,0.0,0.0,5
azd3514,0.0,0.0,0.206,0.0,0.0,0.0,5
azd4547,0.0,0.008,0.009,0.0,0.0,0.0,5
azd5363,0.012,0.059,0.0,0.0,0.0,0.0,5
azd7545,0.02,0.063,0.193,0.055,0.007,0.0,5
azd7687,0.22,0.024,0.048,0.0,0.011,0.225,5
azd8931,0.0,0.0,0.0,0.0,0.0,0.0,5
azd9668,0.0,0.01,0.003,0.337,0.004,0.003,5
azelaic-acid,0.057,0.0,0.105,0.204,0.211,0.986,5
azelastine,0.313,0.012,0.021,0.068,0.0,0.0,5
balaglitazone,0.601,0.003,0.115,0.094,0.002,0.002,4
balapiravir,0.0,0.0,0.0,0.0,0.0,0.0,5
balsalazide,0.443,0.897,0.156,0.368,0.208,0.055,2
bambuterol,0.0,0.0,0.0,0.0,0.0,0.144,5
bardoxolone-methyl,0.0,0.0,0.0,0.0,0.0,0.0,5
basimglurant,0.095,0.454,0.028,0.011,0.0,0.0,5
bavisant,0.26,0.086,0.397,0.06,0.041,0.144,5
bay-87-2243,0.0,0.0,0.0,0.0,0.0,0.0,5
bazedoxifene,0.017,0.057,0.007,0.0,0.001,0.0,5
bci-540,0.172,0.538,0.003,0.127,0.183,0.055,5
beclomethasone-dipropionate,0.0,0.0,0.0,0.0,0.0,0.0,5
belinostat,0.0,0.0,0.0,0.0,0.0,0.0,5
bemegride,0.0,0.008,0.003,0.016,0.002,0.013,5
benazepril,0.017,0.01,0.684,0.074,0.444,0.05,5
bendamustine,0.06,0.0,0.0,0.0,0.0,0.002,5
bendroflumethiazide,0.094,0.081,0.631,0.007,0.03,0.126,5
benzthiazide,0.0,0.0,0.0,0.0,0.0,0.003,5
benzydamine,0.004,0.004,0.001,0.036,0.002,0.0,5
benzylpenicillin,0.0,0.0,0.016,0.0,0.0,0.017,5
bepotastine,0.003,0.011,0.042,0.009,0.0,0.003,5
berberine,0.212,0.001,0.002,0.0,0.0,0.0,5
betahistine,0.0,0.0,0.079,0.068,0.407,0.003,5
betulinic-acid,0.18,0.587,0.921,0.04,0.549,0.011,2
bevirimat-dimeglumine,0.0,0.0,0.0,0.0,0.0,0.0,5
bezafibrate,0.0,0.007,0.015,0.078,0.007,0.048,5
bicalutamide,0.369,0.044,0.171,0.016,0.011,0.014,5
bifonazole,0.033,0.007,0.185,0.001,0.007,0.0,5
bimatoprost,0.0,0.008,0.031,0.002,0.005,0.008,5
bindarit,0.0,0.226,0.022,0.0,0.011,0.026,5
biperiden,0.102,0.141,0.213,0.122,0.297,0.857,4
birinapant,0.0,0.0,0.0,0.0,0.0,0.0,5
bisindolylmaleimide,0.002,0.077,0.051,0.0,0.0,0.0,5
bisoprolol,0.025,0.015,0.29,0.111,0.427,0.024,5
bitopertin,0.031,0.943,0.027,0.0,0.0,0.0,5
blonanserin,0.001,0.054,0.108,0.01,0.021,0.0,5
bms-599626,0.062,0.0,0.0,0.0,0.0,0.0,5
bms-707035,0.0,0.0,0.001,0.0,0.0,0.003,5
bopindolol,0.0,0.0,0.0,0.0,0.184,0.301,5
bortezomib,0.0,0.0,0.0,0.0,0.0,0.0,5
bosentan,0.088,0.321,0.029,0.006,0.002,0.003,5
bosutinib,0.0,0.0,0.0,0.0,0.0,0.0,5
brequinar,0.0,0.0,0.0,0.0,0.0,0.0,5
bretazenil,0.706,0.138,0.004,0.012,0.021,0.003,5
brexpiprazole,0.529,0.046,0.175,0.119,0.002,0.0,4
brivanib,0.069,0.264,0.195,0.006,0.0,0.0,5
brivudine,0.001,0.017,0.387,0.0,0.012,0.043,5
bromocriptine,0.075,0.199,0.236,0.001,0.0,0.0,5
broxuridine,0.0,0.0,0.0,0.0,0.0,0.0,5
bruceantin,0.0,0.0,0.0,0.0,0.0,0.0,5
bts-54505,0.305,0.001,0.003,0.487,0.499,0.196,5
bumetanide,0.009,0.29,0.536,0.543,0.005,0.003,5
bupivacaine,0.558,0.261,0.067,0.001,0.0,0.0,4
bupropion,0.002,0.025,0.0,0.01,0.0,0.005,5
buspirone,0.079,0.081,0.166,0.0,0.0,0.0,5
butoconazole,0.0,0.0,0.0,0.0,0.0,0.0,5
butorphanol-(+)-tartrate,0.414,0.311,0.387,0.077,0.52,0.623,2
bvd-523,0.0,0.0,0.004,0.0,0.0,0.0,5
cabazitaxel,0.0,0.0,0.0,0.0,0.0,0.0,5
cabozantinib,0.079,0.0,0.0,0.0,0.0,0.0,5
caffeine,0.052,0.972,0.157,0.276,0.031,0.002,4
calcitriol,0.0,0.0,0.002,0.0,0.0,0.0,5
camicinal,0.022,0.003,0.026,0.0,0.052,0.0,5
camptothecin,0.0,0.001,0.0,0.0,0.0,0.0,2
canagliflozin,0.151,0.12,0.0,0.0,0.529,0.06,5
candesartan,0.0,0.002,0.015,0.0,0.027,0.095,5
canertinib,0.0,0.0,0.0,0.0,0.0,0.0,5
canrenoic-acid,0.027,0.475,0.061,0.053,0.736,0.236,5
capecitabine,0.254,0.382,0.855,0.199,0.007,0.0,5
carbachol,0.003,0.34,0.641,0.422,0.444,0.048,5
carbamazepine,0.008,0.08,0.002,0.0,0.002,0.003,5
carbenoxolone,0.002,0.0,0.001,0.069,0.0,0.001,5
carbimazole,0.288,0.154,0.605,0.091,0.099,0.007,5
carglumic-acid,0.0,0.0,0.0,0.0,0.0,0.014,5
cariprazine,0.0,0.0,0.0,0.001,0.0,0.003,5
carisoprodol,0.0,0.0,0.078,0.019,0.079,0.131,5
carprofen,0.0,0.0,0.005,0.017,0.007,0.002,5
carvedilol,0.01,0.34,0.359,0.022,0.012,0.0,5
cb-10-277-(free-acid),0.0,0.008,0.003,0.001,0.0,0.705,5
cc-401,0.002,0.024,0.0,0.0,0.0,0.0,5
cc-930,0.093,0.0,0.003,0.0,0.0,0.0,5
cediranib,0.0,0.001,0.0,0.0,0.0,0.0,5
cefdinir,0.327,0.0,0.0,0.0,0.0,0.002,5
cefoperazone,0.0,0.006,0.069,0.001,0.032,0.001,4
cefotetan,0.0,0.0,0.065,0.072,0.077,0.241,5
cefozopran,0.0,0.092,0.001,0.0,0.0,0.039,5
celecoxib,0.029,0.239,0.132,0.014,0.002,0.002,4
cep-37440,0.499,0.052,0.002,0.0,0.0,0.0,5
cepharanthine,0.0,0.006,0.0,0.0,0.0,0.0,5
cgp12177,0.715,0.12,0.825,0.062,0.024,0.596,2
chlorambucil,0.002,0.012,0.0,0.0,0.0,0.0,5
chlormezanone,0.021,0.126,0.031,0.005,0.007,0.046,5
chloroxine,0.011,0.151,0.002,0.041,0.0,0.0,5
chlorphenamine,0.246,0.145,0.42,0.0,0.308,0.015,5
chlorpromazine,0.59,0.71,0.019,0.038,0.049,0.0,5
chlortalidone,0.003,0.004,0.0,0.023,0.007,0.116,5
cholic-acid,0.273,0.623,0.955,0.126,0.389,0.326,2
choline-alfoscerate,0.0,0.0,0.0,0.006,0.31,0.139,5
cianidanol,0.011,0.375,0.889,0.009,0.011,0.003,5
ciclesonide,0.0,0.0,0.0,0.0,0.0,0.0,5
ciglitazone,0.017,0.04,0.002,0.006,0.003,0.003,5
cilengitide,0.0,0.0,0.003,0.0,0.0,0.0,5
cilomilast,0.602,0.446,0.004,0.12,0.17,0.073,2
cilostazol,0.0,0.0,0.003,0.052,0.055,0.014,5
cimetidine,0.009,0.001,0.002,0.022,0.002,0.118,5
cinepazide,0.0,0.0,0.046,0.034,0.005,0.007,5
cinnarizine,0.033,0.012,0.026,0.001,0.005,0.003,5
cinoxacin,0.0,0.001,0.0,0.0,0.002,0.003,5
ciprofloxacin,0.028,0.068,0.783,0.051,0.0,0.0,5
cisapride,0.0,0.0,0.0,0.0,0.0,0.0,5
citalopram,0.228,0.013,0.028,0.176,0.007,0.252,5
cladribine,0.675,0.0,0.0,0.0,0.0,0.0,5
clarithromycin,0.001,0.001,0.101,0.611,0.18,0.015,5
clenbuterol,0.682,0.0,0.243,0.006,0.085,0.003,5
clinafloxacin,0.274,0.189,0.073,0.014,0.011,0.003,5
clindamycin,0.0,0.211,0.026,0.0,0.007,0.012,5
clinofibrate,0.005,0.125,0.267,0.249,0.011,0.027,5
clioquinol,0.298,0.05,0.159,0.007,0.0,0.0,5
clobetasol,0.0,0.0,0.0,0.0,0.0,0.0,5
clofarabine,0.0,0.0,0.0,0.0,0.0,0.0,5
clofazimine,0.01,0.732,0.001,0.0,0.0,0.0,5
clofoctol,0.0,0.001,0.009,0.017,0.0,0.0,4
clomethiazole,0.007,0.01,0.031,0.012,0.03,0.036,5
clomifene,0.0,0.003,0.002,0.0,0.0,0.0,5
clonazepam,0.826,0.486,0.94,0.336,0.565,0.013,2
clonidine,0.0,0.0,0.0,0.0,0.011,0.038,5
clotrimazole,0.0,0.0,0.0,0.0,0.0,0.0,5
co-102862,0.0,0.356,0.073,0.0,0.0,0.0,5
cobimetinib,0.0,0.0,0.0,0.0,0.0,0.0,4
colforsin-daproate,0.009,0.0,0.0,0.0,0.0,0.0,5
combretastatin-a-4,0.0,0.0,0.0,0.0,0.0,0.0,5
cordycepin,0.246,0.055,0.103,0.272,0.012,0.144,5
"cp-945,598",0.0,0.049,0.0,0.127,0.0,0.0,5
cpi-1189,0.053,0.053,0.128,0.28,0.042,0.543,5
cpi-613,0.103,0.237,0.108,0.028,0.018,0.03,5
cromoglicic-acid,0.093,0.001,0.18,0.0,0.304,0.048,5
curcumin,0.0,0.216,0.296,0.524,0.043,0.0,5
cx-4945,0.025,0.078,0.086,0.0,0.0,0.0,5
cx-5461,0.0,0.0,0.0,0.0,0.0,0.0,5
cx516,0.189,0.653,0.338,0.422,0.583,0.068,5
cyclobenzaprine,0.813,0.848,0.911,0.893,0.541,0.005,2
cyclosporin-a,0.0,0.0,0.0,0.0,0.0,0.0,5
cyproheptadine,0.033,0.112,0.103,0.0,0.008,0.0,5
cyproterone-acetate,0.007,0.001,0.002,0.0,0.0,0.0,5
cytarabine,0.167,0.208,0.17,0.005,0.187,0.003,5
d-serine,0.287,0.095,0.0,0.0,0.336,0.064,5
dabigatran-etexilate,0.176,0.038,0.042,0.024,0.0,0.0,5
dabrafenib,0.0,0.0,0.0,0.0,0.0,0.0,5
dacarbazine,0.014,0.001,0.073,0.0,0.0,0.0,5
dacinostat,0.0,0.0,0.0,0.0,0.0,0.0,5
dacomitinib,0.0,0.0,0.0,0.0,0.0,0.0,5
danegaptide,0.007,0.71,0.292,0.287,0.015,0.125,5
dantrolene,0.449,0.016,0.004,0.005,0.006,0.001,5
dapagliflozin,0.093,0.007,0.053,0.0,0.894,0.0,5
dapivirine,0.0,0.0,0.0,0.0,0.0,0.0,5
dapsone,0.0,0.022,0.021,0.009,0.154,0.055,5
darifenacin,0.0,0.0,0.003,0.027,0.002,0.001,5
darunavir,0.17,0.13,0.011,0.325,0.167,0.02,5
dasabuvir,0.269,0.026,0.02,0.037,0.002,0.0,4
dasatinib,0.0,0.0,0.0,0.0,0.0,0.0,5
dazoxiben,0.002,0.069,0.057,0.012,0.012,0.139,5
decitabine,0.0,0.0,0.0,0.0,0.0,0.0,5
defactinib,0.657,0.238,0.215,0.165,0.005,0.004,2
deferasirox,0.0,0.0,0.0,0.0,0.0,0.0,5
deferiprone,0.008,0.0,0.028,0.012,0.012,0.003,5
deforolimus,0.0,0.0,0.0,0.0,0.0,0.0,5
dehydroepiandrosterone,0.013,0.577,0.173,0.017,0.004,0.0,5
delanzomib,0.0,0.0,0.0,0.0,0.0,0.0,5
delivert,0.079,0.003,0.265,0.138,0.95,0.238,5
dequalinium,0.0,0.0,0.0,0.0,0.0,0.0,5
desmopressin-acetate,0.0,0.0,0.001,0.072,0.208,0.038,5
dexamethasone,0.0,0.0,0.0,0.0,0.0,0.0,10
dexfenfluramine,0.005,0.08,0.002,0.24,0.005,0.141,5
dexniguldipine,0.298,0.782,0.69,0.674,0.002,0.0,2
dextromethorphan,0.014,0.129,0.015,0.018,0.0,0.001,5
diacerein,0.028,0.023,0.002,0.041,0.011,0.003,5
diazepam,0.0,0.003,0.001,0.01,0.153,0.003,5
diclofenac,0.212,0.008,0.001,0.074,0.082,0.003,5
diclofensine,0.0,0.017,0.0,0.117,0.005,0.0,5
dicloxacillin,0.295,0.0,0.015,0.0,0.0,0.055,5
dicoumarol,0.0,0.0,0.003,0.0,0.135,0.014,5
dideoxyadenosine,0.0,0.03,0.014,0.106,0.002,0.024,5
dienogest,0.028,0.001,0.001,0.006,0.0,0.0,5
diethylcarbamazine,0.011,0.004,0.003,0.011,0.007,0.0,5
diethylstilbestrol,0.031,0.217,0.621,0.055,0.036,0.0,5
diflunisal,0.001,0.013,0.0,0.028,0.036,0.039,5
dihydroergocristine,0.508,0.001,0.302,0.006,0.003,0.0,5
dihydroergotamine,0.0,0.001,0.014,0.021,0.177,0.047,5
dilazep,0.0,0.0,0.0,0.0,0.0,0.0,5
diltiazem,0.005,0.004,0.04,0.011,0.0,0.0,5
dimesna,0.002,0.036,0.152,0.018,0.002,0.058,5
diminazene-aceturate,0.016,0.498,0.024,0.46,0.007,0.0,5
dinaciclib,0.0,0.0,0.0,0.0,0.0,0.0,5
diosmin,0.363,0.008,0.057,0.012,0.021,0.0,5
diphenidol,0.124,0.794,0.262,0.338,0.061,0.017,4
dipraglurant,0.002,0.004,0.031,0.487,0.424,0.04,5
disopyramide,0.0,0.0,0.594,0.002,0.03,0.003,5
disulfiram,0.0,0.0,0.0,0.0,0.0,0.0,5
dmp-777,0.108,0.448,0.005,0.0,0.0,0.0,5
docetaxel,0.0,0.0,0.0,0.0,0.0,0.0,5
dofequidar,0.0,0.004,0.0,0.0,0.0,0.0,5
donepezil,0.031,0.0,0.003,0.006,0.005,0.013,5
donitriptan,0.002,0.0,0.137,0.437,0.239,0.323,5
dopamine,0.105,0.09,0.186,0.051,0.586,0.783,2
doramapimod,0.0,0.001,0.0,0.0,0.0,0.0,5
dorzolamide,0.301,0.414,0.135,0.428,0.14,0.003,5
doxapram,0.084,0.002,0.24,0.009,0.085,0.038,5
doxazosin,0.0,0.125,0.059,0.006,0.0,0.0,5
doxepin,0.0,0.008,0.001,0.0,0.007,0.001,5
doxifluridine,0.0,0.001,0.025,0.258,0.038,0.0,5
doxofylline,0.103,0.217,0.101,0.0,0.0,0.003,5
doxorubicin,0.0,0.0,0.0,0.0,0.0,0.0,5
doxycycline-hyclate,0.123,0.001,0.297,0.204,0.0,0.0,5
dpcpx,0.0,0.108,0.153,0.001,0.002,0.001,4
dpi-201106,0.007,0.005,0.0,0.053,0.0,0.0,5
dronedarone,0.432,0.538,0.011,0.0,0.0,0.0,5
droperidol,0.37,0.003,0.047,0.071,0.217,0.003,5
drospirenone,0.553,0.986,0.007,0.826,0.002,0.003,4
du-728,0.013,0.013,0.104,0.041,0.085,0.11,5
duloxetine,0.573,0.209,0.45,0.008,0.02,0.0,5
dutasteride,0.028,0.001,0.0,0.0,0.0,0.0,5
e-2012,0.095,0.484,0.003,0.0,0.0,0.0,5
ebselen,0.0,0.002,0.0,0.009,0.0,0.0,5
econazole,0.0,0.0,0.0,0.0,0.0,0.0,5
edoxaban,0.0,0.0,0.0,0.0,0.167,0.114,5
edoxudine,0.0,0.0,0.005,0.0,0.0,0.0,5
efaproxiral,0.943,0.252,0.932,0.645,0.925,0.255,2
efavirenz,0.477,0.507,0.227,0.865,0.169,0.011,2
eflornithine,0.0,0.001,0.026,0.071,0.015,0.0,5
elesclomol,0.0,0.0,0.0,0.0,0.0,0.0,5
emd-53998,0.009,0.338,0.003,0.001,0.0,0.0,5
emedastine,0.0,0.017,0.002,0.19,0.415,0.027,5
emtricitabine,0.0,0.0,0.0,0.006,0.005,0.006,5
enalapril,0.004,0.013,0.466,0.394,0.147,0.003,5
enoxacin,0.0,0.001,0.0,0.313,0.346,0.013,5
entecavir,0.021,0.023,0.0,0.0,0.0,0.0,5
enzalutamide,0.0,0.0,0.0,0.0,0.0,0.0,5
eperezolid,0.028,0.001,0.448,0.315,0.157,0.003,5
epinastine,0.384,0.0,0.0,0.0,0.089,0.017,5
epinephrine,0.093,0.046,0.0,0.0,0.005,0.003,5
epirizole,0.529,0.423,0.191,0.21,0.659,0.15,2
epirubicin,0.0,0.0,0.0,0.0,0.0,0.0,5
epitiostanol,0.0,0.0,0.0,0.0,0.0,0.001,4
epothilone-b,0.0,0.0,0.0,0.0,0.0,0.0,5
equol,0.0,0.0,0.0,0.0,0.0,0.002,5
ercalcitriol,0.0,0.0,0.0,0.0,0.0,0.0,5
erlotinib,0.0,0.0,0.0,0.0,0.0,0.0,5
erteberel,0.0,0.0,0.021,0.0,0.0,0.0,5
erythromycin,0.03,0.659,0.18,0.069,0.098,0.212,10
escitalopram,0.011,0.004,0.019,0.072,0.015,0.014,5
esmolol,0.435,0.215,0.077,0.845,0.007,0.0,5
estramustine,0.054,0.008,0.0,0.0,0.0,0.0,5
estrone,0.61,0.079,0.421,0.738,0.214,0.065,2
etacrynic-acid,0.034,0.097,0.887,0.151,0.0,0.0,5
etanidazole,0.009,0.0,0.75,0.578,0.0,0.002,5
etazolate,0.028,0.001,0.0,0.0,0.002,0.003,5
ethinyl-estradiol,0.024,0.053,0.002,0.001,0.001,0.0,4
ethylenediaminetetraacetic-acid,0.0,0.0,0.0,0.0,0.0,0.0,5
etizolam,0.005,0.119,0.054,0.0,0.015,0.0,5
etodolac,0.051,0.0,0.019,0.01,0.01,0.0,5
etofylline-clofibrate,0.007,0.083,0.0,0.0,0.007,0.0,5
etomidate,0.001,0.013,0.015,0.087,0.007,0.03,5
etomoxir,0.066,0.001,0.028,0.0,0.0,0.0,5
etoricoxib,0.0,0.094,0.019,0.016,0.005,0.003,5
etravirine,0.017,0.003,0.051,0.0,0.0,0.0,5
eugenol,0.007,0.19,0.02,0.0,0.0,0.003,5
everolimus,0.0,0.0,0.0,0.0,0.0,0.0,5
evp-6124,0.011,0.04,0.004,0.01,0.0,0.0,5
exalamide,0.106,0.0,0.005,0.0,0.0,0.0,5
exherin,0.2,0.167,0.078,0.031,0.049,0.474,5
fadrozole,0.0,0.477,0.001,0.018,0.443,0.003,5
famciclovir,0.0,0.0,0.003,0.0,0.0,0.001,5
famotidine,0.051,0.046,0.006,0.001,0.026,0.036,4
faropenem,0.0,0.0,0.021,0.018,0.0,0.0,5
fasudil,0.017,0.0,0.003,0.006,0.0,0.001,5
favipiravir,0.0,0.0,0.0,0.0,0.005,0.092,5
febuxostat,0.007,0.007,0.338,0.072,0.02,0.0,5
felodipine,0.043,0.325,0.392,0.074,0.164,0.0,5
fenobam,0.0,0.058,0.0,0.018,0.002,0.125,5
fenoterol,0.044,0.092,0.089,0.006,0.116,0.038,5
fenticonazole,0.011,0.001,0.011,0.174,0.003,0.0,5
fexofenadine,0.095,0.138,0.04,0.023,0.464,0.055,5
fiacitabine,0.0,0.0,0.003,0.048,0.0,0.0,5
fidarestat,0.584,0.216,0.629,0.226,0.574,0.15,5
fidaxomicin,0.002,0.0,0.003,0.0,0.0,0.0,5
filgotinib,0.0,0.001,0.003,0.0,0.0,0.0,5
fipronil,0.0,0.012,0.0,0.001,0.157,0.0,5
firategrast,0.057,0.001,0.0,0.0,0.002,0.003,5
flavoxate,0.031,0.408,0.135,0.0,0.002,0.0,5
flecainide,0.052,0.011,0.002,0.0,0.0,0.0,5
fluconazole,0.0,0.0,0.003,0.081,0.005,0.183,5
fludarabine-phosphate,0.0,0.0,0.002,0.002,0.028,0.0,5
fludroxycortide,0.0,0.0,0.0,0.0,0.0,0.0,5
flumatinib,0.0,0.0,0.0,0.0,0.0,0.0,5
flumazenil,0.169,0.016,0.002,0.0,0.0,0.0,5
fluorometholone,0.0,0.0,0.0,0.0,0.0,0.0,5
fluorouracil,0.0,0.0,0.0,0.0,0.0,0.0,5
fluphenazine,0.0,0.0,0.0,0.0,0.0,0.0,5
fluspirilene,0.028,0.003,0.021,0.0,0.0,0.0,5
fluticasone,0.0,0.0,0.0,0.0,0.0,0.0,5
flutrimazole,0.076,0.001,0.0,0.045,0.083,0.002,4
fluvoxamine,0.092,0.558,0.059,0.14,0.156,0.0,5
folic-acid,0.0,0.0,0.0,0.0,0.001,0.003,5
fomepizole,0.022,0.055,0.002,0.052,0.0,0.021,5
fomocaine,0.009,0.025,0.033,0.0,0.0,0.001,5
formestane,0.0,0.0,0.0,0.0,0.0,0.0,5
formoterol,0.043,0.356,0.123,0.005,0.021,0.0,5
forskolin,0.006,0.031,0.0,0.0,0.0,0.0,5
fosfomycin,0.0,0.0,0.0,0.031,0.032,0.202,5
fostamatinib,0.0,0.0,0.0,0.0,0.0,0.0,5
fpl-62064,0.042,0.0,0.0,0.0,0.0,0.0,5
ftorafur,0.214,0.045,0.002,0.01,0.007,0.071,5
