moa,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,moa_size
antithyroid agent,0.988,0.936,0.974,0.999,0.987,0.845,2
antiviral,0.752,0.816,0.666,0.749,0.801,0.628,2
aromatase inhibitor,0.159,0.158,0.534,0.406,0.082,0.417,5
atp channel blocker,0.512,0.291,0.255,0.676,0.65,0.664,3
atpase inhibitor,0.7,0.473,0.618,0.54,0.506,0.783,5
aurora kinase inhibitor,0.242,0.0,0.0,0.0,0.0,0.0,5
bacterial 30s ribosomal subunit inhibitor,0.653,0.647,0.899,0.986,0.71,0.384,5
bacterial 50s ribosomal subunit inhibitor,0.601,0.43,0.628,0.434,0.75,0.98,7
bacterial antifolate,0.994,0.922,0.63,0.851,0.527,0.382,2
bacterial cell wall synthesis inhibitor,0.242,0.76,0.202,0.835,0.351,0.349,14
bacterial dna gyrase inhibitor,0.162,0.327,0.068,0.173,0.734,0.169,11
bcl inhibitor,0.27,0.041,0.16,0.025,0.019,0.041,3
bcr-abl kinase inhibitor,0.975,0.945,0.542,0.594,0.791,0.272,2
benzodiazepine receptor agonist,0.014,0.866,0.625,0.729,0.855,0.468,8
benzodiazepine receptor antagonist,0.509,0.347,0.286,0.284,0.191,0.157,3
beta lactamase inhibitor,0.195,0.477,0.479,0.742,0.459,0.884,2
beta-secretase inhibitor,0.861,0.917,0.58,0.852,0.722,0.811,2
bruton's tyrosine kinase (btk) inhibitor,0.557,0.783,0.813,0.878,0.084,0.105,2
c-met inhibitor,0.422,0.417,0.31,0.262,0.128,0.543,2
calcineurin inhibitor,0.352,0.946,0.791,0.891,0.168,0.014,3
calcitonin antagonist,0.866,0.311,0.201,0.08,0.245,0.508,3
calcium channel activator,0.137,0.224,0.417,0.697,0.279,0.558,2
calcium channel blocker,0.528,0.21,0.011,0.198,0.373,0.328,16
calmodulin antagonist,0.893,0.926,0.772,0.956,0.772,0.456,2
cannabinoid receptor agonist,0.776,0.947,0.755,0.099,0.749,0.838,3
cannabinoid receptor antagonist,0.382,0.248,0.625,0.843,0.345,0.384,2
cannabinoid receptor inverse agonist,0.403,0.44,0.851,0.501,0.234,0.331,2
carbonic anhydrase inhibitor,0.59,0.263,0.756,0.343,0.376,0.857,5
carnitine palmitoyltransferase inhibitor,0.002,0.034,0.007,0.013,0.108,0.239,2
cathepsin inhibitor,0.586,0.546,0.972,0.858,0.725,0.868,2
cc chemokine receptor antagonist,0.679,0.487,0.514,0.146,0.067,0.029,8
cck receptor antagonist,0.518,0.04,0.959,0.606,0.871,0.941,5
cdk inhibitor,0.013,0.0,0.003,0.0,0.0,0.0,7
cftr channel agonist,0.704,0.874,0.791,0.877,0.963,0.493,2
chelating agent,0.182,0.106,0.074,0.25,0.032,0.047,5
cholesterol inhibitor,0.011,0.002,0.017,0.013,0.16,0.191,4
cholesteryl ester transfer protein inhibitor,0.234,0.565,0.33,0.676,0.724,0.372,2
coagulation factor inhibitor,0.432,0.455,0.236,0.558,0.54,0.764,4
cyclooxygenase inhibitor,0.191,0.33,0.843,0.39,0.604,0.713,30
cyclooxygenase inhibitor|prostanoid receptor antagonist,0.696,0.429,0.776,0.782,0.778,0.936,4
cytochrome p450 inhibitor,0.895,0.969,0.912,0.304,0.799,0.643,5
diacylglycerol o acyltransferase inhibitor,0.316,0.531,0.169,0.11,0.221,0.814,3
dihydrofolate reductase inhibitor,0.607,0.938,0.774,0.795,0.746,0.62,4
dihydroorotate dehydrogenase inhibitor,0.308,0.288,0.527,0.371,0.428,0.008,3
dipeptidyl peptidase inhibitor,0.958,0.912,0.203,0.759,0.694,0.49,5
diuretic,0.512,0.929,0.398,0.826,0.717,0.776,3
dna alkylating agent,0.109,0.783,0.051,0.009,0.002,0.006,3
dna alkylating drug,0.236,0.723,0.383,0.466,0.265,0.15,2
dna directed dna polymerase inhibitor,0.272,0.002,0.003,0.008,0.067,0.165,3
dna inhibitor,0.316,0.559,0.609,0.312,0.569,0.044,8
dna methyltransferase inhibitor,0.1,0.153,0.052,0.024,0.048,0.082,3
dna polymerase inhibitor,0.846,0.502,0.358,0.512,0.813,0.576,5
dna synthesis inhibitor,0.423,0.565,0.38,0.344,0.756,0.601,7
dopamine receptor agonist,0.964,0.635,0.332,0.705,0.194,0.685,11
dopamine receptor antagonist,0.065,0.315,0.141,0.085,0.088,0.013,23
dopamine receptor antagonist|serotonin receptor antagonist,0.638,0.672,0.358,0.338,0.284,0.3,10
dopamine reuptake inhibitor,0.474,0.291,0.468,0.868,0.507,0.271,3
dopamine uptake inhibitor,0.677,0.774,0.517,0.789,0.788,0.369,2
egfr inhibitor,0.008,0.0,0.0,0.0,0.0,0.002,14
elastase inhibitor,0.579,0.586,0.544,0.446,0.205,0.128,2
endothelin receptor antagonist,0.584,0.658,0.944,0.952,0.469,0.503,4
estrogen receptor agonist,0.073,0.023,0.008,0.363,0.338,0.17,7
estrogen receptor antagonist,0.023,0.111,0.479,0.423,0.215,0.04,2
estrogen receptor antagonist|selective estrogen receptor modulator (serm),0.512,0.265,0.166,0.024,0.048,0.006,3
farnesyltransferase inhibitor,0.282,0.566,0.149,0.156,0.088,0.113,3
fatty acid synthase inhibitor,0.058,0.021,0.057,0.08,0.02,0.013,2
fgfr inhibitor|vegfr inhibitor,0.04,0.496,0.527,0.51,0.508,0.051,3
focal adhesion kinase inhibitor,0.568,0.336,0.449,0.38,0.001,0.002,2
free radical scavenger,0.783,0.738,0.984,0.958,0.609,0.232,4
fungal squalene epoxidase inhibitor,0.476,0.894,0.957,0.732,0.497,0.067,4
gaba receptor agonist,0.143,0.174,0.049,0.058,0.489,0.283,3
gaba receptor antagonist,0.0,0.0,0.002,0.01,0.003,0.049,2
gaba receptor modulator,0.002,0.046,0.021,0.159,0.013,0.183,4
gamma secretase inhibitor,0.892,0.339,0.261,0.072,0.021,0.062,7
gap junction modulator,0.498,0.196,0.272,0.785,0.298,0.449,2
glucocorticoid receptor agonist,0.0,0.0,0.0,0.0,0.0,0.0,16
"glucose-dependent insulinotropic receptor (gdir, gpr119) agonists",0.478,0.273,0.17,0.173,0.209,0.066,2
glucosidase inhibitor,0.05,0.266,0.78,0.413,0.381,0.831,5
glutamate receptor agonist,0.689,0.748,0.479,0.468,0.577,0.609,4
glutamate receptor antagonist,0.352,0.339,0.75,0.511,0.676,0.504,7
glutamate receptor modulator,0.686,0.338,0.61,0.899,0.044,0.069,4
gonadotropin releasing factor hormone receptor agonist,0.16,0.113,0.19,0.9,0.886,0.977,2
growth hormone secretagogue receptor agonist,0.426,0.355,0.569,0.229,0.56,0.586,2
hcv inhibitor,0.404,0.225,0.354,0.483,0.165,0.117,8
hdac inhibitor,0.084,0.05,0.013,0.004,0.003,0.022,13
hepatocyte growth factor receptor inhibitor,0.174,0.259,0.302,0.286,0.14,0.623,2
histamine receptor agonist,0.063,0.098,0.007,0.047,0.0,0.541,3
histamine receptor antagonist,0.605,0.454,0.443,0.842,0.536,0.885,26
histamine receptor modulator,0.263,0.633,0.234,0.431,0.529,0.352,2
hiv integrase inhibitor,0.346,0.247,0.361,0.518,0.21,0.28,4
hiv protease inhibitor,0.095,0.484,0.198,0.331,0.647,0.243,7
hmgcr inhibitor,0.742,0.685,0.734,0.474,0.206,0.221,6
hsp inhibitor,0.09,0.031,0.0,0.0,0.0,0.0,6
hypoxia inducible factor inhibitor,0.468,0.708,0.195,0.026,0.053,0.071,2
immunostimulant,0.142,0.175,0.554,0.164,0.484,0.211,2
immunosuppressant,0.692,0.355,0.632,0.825,0.566,0.838,2
inosine monophosphate dehydrogenase inhibitor,0.718,0.571,0.89,0.031,0.018,0.002,2
insulin secretagogue,0.671,0.665,0.871,0.776,0.947,0.627,5
insulin sensitizer,0.166,0.575,0.578,0.594,0.167,0.006,2
integrin antagonist,0.594,0.585,0.216,0.392,0.47,0.311,5
isocitrate dehydrogenase inhibitor,0.751,0.692,0.468,0.824,0.793,0.451,2
jak inhibitor,0.461,0.396,0.094,0.144,0.154,0.006,7
jnk inhibitor,0.765,0.816,0.92,0.472,0.284,0.427,2
leukotriene inhibitor,0.783,0.687,0.594,0.555,0.256,0.624,2
leukotriene receptor antagonist,0.177,0.124,0.161,0.172,0.381,0.604,5
lipase inhibitor,0.522,0.359,0.128,0.627,0.663,0.388,2
lipid peroxidase inhibitor,0.464,0.272,0.491,0.406,0.64,0.482,2
lipoxygenase inhibitor,0.184,0.045,0.042,0.415,0.299,0.933,3
matrix metalloprotease inhibitor,0.936,0.932,0.908,0.766,0.166,0.175,3
mdm inhibitor,0.094,0.214,0.017,0.018,0.0,0.0,3
mek inhibitor,0.035,0.001,0.0,0.0,0.0,0.0,9
membrane integrity inhibitor,0.004,0.035,0.012,0.011,0.003,0.013,2
membrane permeability inhibitor,0.943,0.882,0.974,0.943,0.892,0.786,2
microtubule inhibitor,0.324,0.471,0.277,0.077,0.072,0.058,4
mineralocorticoid receptor antagonist,0.81,0.364,0.469,0.191,0.1,0.49,3
monoamine oxidase inhibitor,0.308,0.044,0.006,0.0,0.003,0.482,6
mtor inhibitor,0.009,0.001,0.0,0.0,0.0,0.0,8
mtor inhibitor|pi3k inhibitor,0.221,0.005,0.0,0.0,0.0,0.001,6
mucolytic agent,0.231,0.709,0.704,0.874,0.938,0.93,3
neprilysin inhibitor,0.724,0.723,0.337,0.656,0.753,0.772,2
neurotrophic agent,0.1,0.091,0.245,0.312,0.192,0.233,3
nfkb pathway inhibitor,0.118,0.335,0.225,0.505,0.332,0.723,5
nitric oxide donor,0.837,0.813,0.474,0.45,0.405,0.192,2
nitric oxide stimulant,0.88,0.882,0.924,0.983,0.834,0.586,2
nitric oxide synthase inhibitor,0.841,0.755,0.661,0.996,0.897,0.366,5
non-nucleoside reverse transcriptase inhibitor,0.82,0.993,0.618,0.711,0.667,0.067,4
norepinephrine reputake inhibitor|tricyclic antidepressant,0.002,0.051,0.165,0.546,0.529,0.521,2
nucleoside reverse transcriptase inhibitor,0.432,0.289,0.442,0.196,0.701,0.879,4
o6-alkylguanine-dna alkyltransferase inhibitor,0.574,0.391,0.272,0.675,0.229,0.2,2
opioid receptor agonist,0.047,0.053,0.049,0.18,0.051,0.126,4
opioid receptor agonist|opioid receptor antagonist,0.231,0.458,0.834,0.26,0.205,0.133,2
opioid receptor antagonist,0.772,0.41,0.297,0.414,0.764,0.519,4
orexin receptor antagonist,0.464,0.252,0.042,0.121,0.036,0.845,2
oxidative stress inducer,0.823,0.887,0.927,0.879,0.671,0.759,2
p38 mapk inhibitor,0.008,0.002,0.0,0.0,0.033,0.227,7
parp inhibitor,0.16,0.37,0.182,0.306,0.122,0.243,5
pdgfr tyrosine kinase receptor inhibitor|vegfr inhibitor,0.762,0.102,0.279,0.433,0.32,0.501,2
phosphodiesterase inhibitor,0.258,0.081,0.735,0.398,0.24,0.833,35
pi3k inhibitor,0.24,0.043,0.323,0.101,0.118,0.072,9
pim kinase inhibitor,0.791,0.909,0.261,0.227,0.211,0.089,2
pkc activator,0.0,0.0,0.0,0.0,0.0,0.001,2
pkc inhibitor,0.458,0.241,0.141,0.162,0.097,0.118,5
platelet activating factor receptor antagonist,0.812,0.44,0.546,0.98,0.975,0.465,2
plk inhibitor,0.0,0.0,0.0,0.0,0.0,0.0,4
potassium channel activator,0.385,0.716,0.845,0.621,0.704,0.891,6
potassium channel blocker,0.31,0.28,0.019,0.024,0.897,0.875,8
ppar receptor agonist,0.38,0.785,0.807,0.103,0.588,0.415,5
ppar receptor agonist|insulin sensitizer,0.421,0.354,0.513,0.143,0.052,0.034,3
progesterone receptor agonist,0.433,0.747,0.278,0.25,0.009,0.006,7
progesterone receptor antagonist,0.13,0.292,0.579,0.748,0.777,0.321,2
progestogen hormone,0.498,0.592,0.728,0.592,0.857,0.443,2
prostanoid receptor agonist,0.798,0.552,0.842,0.978,0.961,1.0,5
prostanoid receptor antagonist,0.016,0.002,0.007,0.122,0.808,0.903,4
protein synthesis inhibitor,0.728,0.188,0.293,0.305,0.349,0.506,6
protein synthesis stimulant,0.159,0.038,0.201,0.755,0.456,0.582,3
protein tyrosine kinase inhibitor,0.227,0.459,0.635,0.556,0.085,0.232,2
purine antagonist,0.688,0.425,0.118,0.002,0.001,0.001,2
purinergic receptor antagonist,0.311,0.225,0.62,0.638,0.82,0.86,3
raf inhibitor,0.782,0.69,0.402,0.954,0.495,0.336,6
retinoid receptor agonist,0.233,0.025,0.26,0.035,0.047,0.027,7
reverse transcriptase inhibitor,0.713,0.841,0.207,0.534,0.169,0.042,3
rho associated kinase inhibitor,0.241,0.31,0.209,0.317,0.237,0.215,6
ribonucleoside reductase inhibitor,0.484,0.909,0.955,0.638,0.749,0.084,2
ribonucleotide reductase inhibitor,0.183,0.37,0.312,0.089,0.135,0.203,2
rna polymerase inhibitor,0.006,0.017,0.199,0.21,0.04,0.135,8
rna synthesis inhibitor,0.074,0.422,0.946,0.936,0.951,0.936,2
selective serotonin reuptake inhibitor (ssri),0.172,0.256,0.328,0.194,0.138,0.232,4
serotonin receptor agonist,0.89,0.668,0.485,0.13,0.942,0.996,12
serotonin receptor agonist|serotonin receptor antagonist,0.138,0.374,0.283,0.047,0.245,0.133,3
serotonin receptor antagonist,0.416,0.225,0.223,0.894,0.331,0.347,15
serotonin reuptake inhibitor,0.955,0.642,0.257,0.697,0.28,0.477,5
serotonin transporter (sert) inhibitor,0.983,0.87,0.388,0.352,0.216,0.558,2
sigma receptor agonist,0.551,0.148,0.379,0.273,0.872,0.864,2
sigma receptor antagonist,0.471,0.825,0.607,0.694,0.908,0.693,4
sodium channel blocker,0.084,0.023,0.074,0.105,0.258,0.794,13
sodium/glucose cotransporter inhibitor,0.483,0.29,0.199,0.024,0.041,0.01,3
sodium/potassium/chloride transporter inhibitor,0.514,0.68,0.794,0.893,0.886,0.631,3
sterol demethylase inhibitor,0.868,0.718,0.302,0.761,0.786,0.159,7
sulfonylurea,0.123,0.159,0.116,0.207,0.246,0.2,2
t-type calcium channel blocker,0.72,0.891,0.67,0.314,0.819,0.414,3
tachykinin antagonist,0.301,0.067,0.238,0.387,0.202,0.066,6
tgf beta receptor inhibitor,0.152,0.045,0.079,0.027,0.049,0.032,3
thrombin inhibitor,0.175,0.275,0.325,0.471,0.219,0.558,2
thromboxane receptor antagonist,0.491,0.652,0.724,0.34,0.48,0.837,3
thromboxane synthase inhibitor,0.0,0.0,0.0,0.001,0.01,0.003,3
thymidylate synthase inhibitor,0.308,0.802,0.834,0.854,0.874,0.593,2
thyrotropin releasing hormone receptor agonist,0.735,0.081,0.021,0.035,0.013,0.087,2
topoisomerase inhibitor,0.04,0.702,0.176,0.056,0.0,0.003,17
tricyclic antidepressant,0.823,0.719,0.78,0.523,0.423,0.053,2
trpv antagonist,0.432,0.543,0.419,0.087,0.111,0.005,2
tubulin inhibitor,0.536,0.447,0.15,0.0,0.0,0.0,8
tumor necrosis factor release inhibitor,0.399,0.239,0.535,0.845,0.558,0.863,2
tyrosinase inhibitor,0.333,0.342,0.365,0.465,0.364,0.249,2
tyrosine kinase inhibitor,0.015,0.002,0.662,0.656,0.974,0.7,5
vasopressin receptor antagonist,0.24,0.466,0.633,0.589,0.161,0.122,4
vegfr inhibitor,0.19,0.48,0.191,0.208,0.444,0.217,4
vesicular monoamine transporter inhibitor,0.749,0.358,0.314,0.711,0.785,0.895,2
vitamin d receptor agonist,0.438,0.1,0.589,0.266,0.046,0.059,6
vitamin k antagonist,0.002,0.014,0.044,0.067,0.01,0.038,3
voltage-gated sodium channel blocker,0.927,0.442,0.24,0.652,0.994,0.999,3
xanthine oxidase inhibitor,0.112,0.118,0.111,0.077,0.388,0.563,4
xiap inhibitor,0.62,0.067,0.233,0.028,0.034,0.086,3
