moa,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,moa_size
bacterial cell wall synthesis inhibitor,0.123,0.661,0.181,0.438,0.301,0.363,14
bacterial dna gyrase inhibitor,0.175,0.188,0.109,0.297,0.802,0.237,11
bcl inhibitor,0.237,0.039,0.151,0.019,0.022,0.05,3
bcr-abl kinase inhibitor,0.992,0.969,0.632,0.659,0.783,0.297,2
benzodiazepine receptor agonist,0.016,0.572,0.428,0.609,0.71,0.441,8
benzodiazepine receptor antagonist,0.601,0.646,0.447,0.145,0.149,0.168,3
beta lactamase inhibitor,0.189,0.422,0.446,0.727,0.49,0.903,2
beta-secretase inhibitor,0.838,0.907,0.607,0.86,0.723,0.7,2
bruton's tyrosine kinase (btk) inhibitor,0.545,0.748,0.786,0.857,0.06,0.088,2
c-met inhibitor,0.315,0.343,0.139,0.181,0.14,0.601,2
calcineurin inhibitor,0.451,0.971,0.853,0.842,0.104,0.015,3
calcitonin antagonist,0.896,0.365,0.21,0.085,0.187,0.623,3
calcium channel activator,0.182,0.22,0.406,0.418,0.43,0.448,2
calcium channel blocker,0.741,0.248,0.014,0.248,0.231,0.348,16
calmodulin antagonist,0.94,0.943,0.736,0.954,0.751,0.507,2
cannabinoid receptor agonist,0.847,0.961,0.807,0.149,0.706,0.792,3
cannabinoid receptor antagonist,0.246,0.216,0.588,0.546,0.217,0.173,2
cannabinoid receptor inverse agonist,0.433,0.492,0.822,0.552,0.294,0.326,2
carbonic anhydrase inhibitor,0.818,0.219,0.61,0.416,0.189,0.814,5
carnitine palmitoyltransferase inhibitor,0.003,0.053,0.004,0.007,0.098,0.224,2
cathepsin inhibitor,0.451,0.59,0.958,0.76,0.659,0.898,2
cc chemokine receptor antagonist,0.276,0.517,0.355,0.092,0.046,0.014,8
cck receptor antagonist,0.337,0.103,0.865,0.473,0.649,0.949,5
cdk inhibitor,0.014,0.0,0.001,0.0,0.0,0.0,7
cftr channel agonist,0.767,0.893,0.736,0.834,0.923,0.539,2
chelating agent,0.117,0.045,0.017,0.243,0.024,0.041,5
cholesterol inhibitor,0.005,0.0,0.001,0.01,0.108,0.131,4
cholesteryl ester transfer protein inhibitor,0.322,0.469,0.242,0.615,0.713,0.388,2
coagulation factor inhibitor,0.34,0.49,0.404,0.48,0.496,0.829,4
cyclooxygenase inhibitor,0.102,0.39,0.557,0.193,0.426,0.831,30
cyclooxygenase inhibitor|prostanoid receptor antagonist,0.909,0.388,0.818,0.816,0.775,0.933,4
cytochrome p450 inhibitor,0.931,0.932,0.874,0.43,0.787,0.506,5
diacylglycerol o acyltransferase inhibitor,0.312,0.434,0.095,0.312,0.127,0.686,3
dihydrofolate reductase inhibitor,0.559,0.929,0.605,0.679,0.564,0.24,4
dihydroorotate dehydrogenase inhibitor,0.175,0.426,0.453,0.395,0.545,0.004,3
dipeptidyl peptidase inhibitor,0.931,0.887,0.323,0.595,0.913,0.513,5
diuretic,0.403,0.773,0.494,0.756,0.747,0.727,3
dna alkylating agent,0.143,0.636,0.1,0.004,0.006,0.004,3
dna alkylating drug,0.236,0.718,0.391,0.482,0.343,0.15,2
dna directed dna polymerase inhibitor,0.205,0.007,0.003,0.005,0.049,0.19,3
dna inhibitor,0.432,0.466,0.525,0.5,0.368,0.038,8
dna methyltransferase inhibitor,0.198,0.175,0.068,0.011,0.033,0.07,3
dna polymerase inhibitor,0.842,0.697,0.564,0.468,0.827,0.718,5
dna synthesis inhibitor,0.311,0.512,0.693,0.383,0.417,0.548,7
dopamine receptor agonist,0.92,0.846,0.372,0.743,0.404,0.804,11
dopamine receptor antagonist,0.059,0.128,0.072,0.183,0.075,0.01,23
dopamine receptor antagonist|serotonin receptor antagonist,0.493,0.68,0.729,0.317,0.424,0.337,10
dopamine reuptake inhibitor,0.576,0.406,0.743,0.844,0.616,0.759,3
dopamine uptake inhibitor,0.64,0.73,0.633,0.717,0.804,0.501,2
egfr inhibitor,0.005,0.0,0.001,0.0,0.0,0.001,14
elastase inhibitor,0.475,0.496,0.343,0.151,0.143,0.192,2
endothelin receptor antagonist,0.649,0.693,0.962,0.969,0.513,0.522,4
estrogen receptor agonist,0.183,0.07,0.023,0.377,0.34,0.152,7
estrogen receptor antagonist,0.018,0.229,0.506,0.405,0.197,0.034,2
estrogen receptor antagonist|selective estrogen receptor modulator (serm),0.591,0.457,0.22,0.056,0.028,0.002,3
farnesyltransferase inhibitor,0.25,0.57,0.151,0.093,0.151,0.07,3
fatty acid synthase inhibitor,0.043,0.039,0.05,0.042,0.033,0.016,2
fgfr inhibitor|vegfr inhibitor,0.143,0.346,0.601,0.576,0.538,0.089,3
focal adhesion kinase inhibitor,0.586,0.29,0.306,0.352,0.0,0.003,2
free radical scavenger,0.775,0.864,0.98,0.991,0.565,0.225,4
fungal squalene epoxidase inhibitor,0.49,0.916,0.98,0.873,0.321,0.072,4
gaba receptor agonist,0.182,0.176,0.051,0.047,0.39,0.205,3
gaba receptor antagonist,0.001,0.0,0.001,0.005,0.002,0.042,2
gaba receptor modulator,0.001,0.024,0.006,0.02,0.005,0.163,4
gamma secretase inhibitor,0.856,0.255,0.131,0.04,0.013,0.07,7
gap junction modulator,0.454,0.312,0.214,0.7,0.317,0.415,2
glucocorticoid receptor agonist,0.0,0.0,0.0,0.0,0.0,0.0,16
"glucose-dependent insulinotropic receptor (gdir, gpr119) agonists",0.43,0.269,0.156,0.147,0.207,0.064,2
glucosidase inhibitor,0.08,0.243,0.143,0.17,0.24,0.479,5
glutamate receptor agonist,0.782,0.774,0.782,0.637,0.725,0.591,4
glutamate receptor antagonist,0.206,0.324,0.898,0.482,0.468,0.627,7
glutamate receptor modulator,0.674,0.467,0.775,0.82,0.04,0.086,4
gonadotropin releasing factor hormone receptor agonist,0.2,0.104,0.138,0.6,0.526,0.963,2
growth hormone secretagogue receptor agonist,0.373,0.335,0.418,0.188,0.585,0.695,2
hcv inhibitor,0.541,0.362,0.495,0.316,0.068,0.264,8
hdac inhibitor,0.084,0.033,0.018,0.004,0.0,0.012,13
hepatocyte growth factor receptor inhibitor,0.24,0.419,0.249,0.294,0.185,0.527,2
histamine receptor agonist,0.042,0.022,0.005,0.052,0.002,0.399,3
histamine receptor antagonist,0.612,0.486,0.192,0.414,0.343,0.734,26
histamine receptor modulator,0.344,0.423,0.186,0.279,0.631,0.245,2
hiv integrase inhibitor,0.271,0.103,0.369,0.428,0.123,0.248,4
hiv protease inhibitor,0.217,0.559,0.338,0.613,0.657,0.227,7
hmgcr inhibitor,0.601,0.744,0.128,0.546,0.152,0.186,6
hsp inhibitor,0.074,0.019,0.0,0.0,0.0,0.0,6
hypoxia inducible factor inhibitor,0.441,0.589,0.136,0.026,0.058,0.074,2
immunostimulant,0.294,0.255,0.62,0.255,0.397,0.269,2
immunosuppressant,0.56,0.313,0.63,0.714,0.514,0.697,2
inosine monophosphate dehydrogenase inhibitor,0.734,0.579,0.846,0.022,0.008,0.002,2
insulin secretagogue,0.715,0.492,0.741,0.492,0.91,0.688,5
insulin sensitizer,0.235,0.539,0.486,0.527,0.11,0.059,2
integrin antagonist,0.786,0.491,0.295,0.623,0.669,0.19,5
isocitrate dehydrogenase inhibitor,0.868,0.727,0.43,0.845,0.865,0.553,2
jak inhibitor,0.354,0.273,0.05,0.185,0.19,0.011,7
jnk inhibitor,0.773,0.829,0.828,0.532,0.287,0.444,2
leukotriene inhibitor,0.835,0.671,0.572,0.424,0.188,0.603,2
leukotriene receptor antagonist,0.235,0.099,0.157,0.208,0.345,0.627,5
lipase inhibitor,0.499,0.383,0.108,0.585,0.564,0.42,2
lipid peroxidase inhibitor,0.461,0.308,0.318,0.257,0.591,0.455,2
lipoxygenase inhibitor,0.115,0.019,0.131,0.398,0.337,0.959,3
matrix metalloprotease inhibitor,0.966,0.978,0.968,0.808,0.222,0.171,3
mdm inhibitor,0.103,0.052,0.004,0.005,0.0,0.0,3
mek inhibitor,0.004,0.0,0.0,0.0,0.0,0.0,9
membrane integrity inhibitor,0.006,0.029,0.013,0.007,0.006,0.019,2
membrane permeability inhibitor,0.912,0.901,0.96,0.898,0.852,0.722,2
microtubule inhibitor,0.305,0.596,0.391,0.138,0.047,0.05,4
mineralocorticoid receptor antagonist,0.691,0.369,0.273,0.2,0.07,0.361,3
monoamine oxidase inhibitor,0.245,0.061,0.012,0.005,0.009,0.252,6
mtor inhibitor,0.004,0.0,0.0,0.0,0.0,0.0,8
mtor inhibitor|pi3k inhibitor,0.088,0.006,0.0,0.0,0.0,0.0,6
mucolytic agent,0.316,0.715,0.75,0.867,0.907,0.919,3
neprilysin inhibitor,0.708,0.685,0.207,0.624,0.775,0.772,2
neurotrophic agent,0.073,0.056,0.173,0.195,0.12,0.251,3
nfkb pathway inhibitor,0.263,0.442,0.213,0.452,0.391,0.727,5
nitric oxide donor,0.914,0.815,0.436,0.418,0.612,0.197,2
nitric oxide stimulant,0.908,0.91,0.945,0.996,0.848,0.735,2
nitric oxide synthase inhibitor,0.799,0.621,0.545,0.965,0.679,0.281,5
non-nucleoside reverse transcriptase inhibitor,0.921,0.979,0.605,0.656,0.58,0.035,4
norepinephrine reputake inhibitor|tricyclic antidepressant,0.005,0.053,0.11,0.422,0.393,0.349,2
nucleoside reverse transcriptase inhibitor,0.564,0.245,0.433,0.273,0.419,0.833,4
o6-alkylguanine-dna alkyltransferase inhibitor,0.525,0.396,0.222,0.639,0.245,0.205,2
opioid receptor agonist,0.025,0.016,0.024,0.113,0.039,0.145,4
opioid receptor agonist|opioid receptor antagonist,0.361,0.475,0.814,0.257,0.243,0.117,2
opioid receptor antagonist,0.662,0.296,0.313,0.393,0.684,0.469,4
orexin receptor antagonist,0.396,0.216,0.03,0.096,0.018,0.849,2
oxidative stress inducer,0.904,0.912,0.936,0.869,0.696,0.766,2
p38 mapk inhibitor,0.005,0.0,0.001,0.001,0.023,0.283,7
parp inhibitor,0.109,0.332,0.11,0.191,0.079,0.209,5
pdgfr tyrosine kinase receptor inhibitor|vegfr inhibitor,0.657,0.233,0.217,0.472,0.278,0.547,2
phosphodiesterase inhibitor,0.233,0.136,0.501,0.294,0.174,0.633,35
pi3k inhibitor,0.155,0.084,0.185,0.045,0.04,0.112,9
pim kinase inhibitor,0.709,0.901,0.186,0.173,0.203,0.097,2
pkc activator,0.0,0.0,0.0,0.0,0.0,0.0,2
pkc inhibitor,0.491,0.463,0.099,0.13,0.093,0.133,5
platelet activating factor receptor antagonist,0.84,0.463,0.474,0.982,0.951,0.527,2
plk inhibitor,0.0,0.0,0.0,0.0,0.0,0.0,4
potassium channel activator,0.476,0.875,0.755,0.635,0.703,0.684,6
potassium channel blocker,0.364,0.18,0.054,0.027,0.981,0.947,8
ppar receptor agonist,0.597,0.791,0.265,0.037,0.581,0.551,5
ppar receptor agonist|insulin sensitizer,0.512,0.461,0.404,0.118,0.084,0.015,3
progesterone receptor agonist,0.334,0.481,0.299,0.185,0.018,0.001,7
progesterone receptor antagonist,0.145,0.259,0.482,0.646,0.747,0.355,2
progestogen hormone,0.493,0.486,0.658,0.483,0.835,0.472,2
prostanoid receptor agonist,0.884,0.869,0.911,0.942,0.988,1.0,5
prostanoid receptor antagonist,0.013,0.002,0.0,0.038,0.826,0.924,4
protein synthesis inhibitor,0.761,0.188,0.162,0.244,0.441,0.488,6
protein synthesis stimulant,0.126,0.045,0.17,0.365,0.583,0.405,3
protein tyrosine kinase inhibitor,0.272,0.469,0.718,0.653,0.098,0.183,2
purine antagonist,0.548,0.402,0.115,0.001,0.002,0.003,2
purinergic receptor antagonist,0.526,0.28,0.793,0.745,0.698,0.865,3
raf inhibitor,0.753,0.725,0.418,0.954,0.676,0.311,6
retinoid receptor agonist,0.298,0.009,0.228,0.025,0.063,0.036,7
reverse transcriptase inhibitor,0.68,0.869,0.245,0.587,0.297,0.059,3
rho associated kinase inhibitor,0.269,0.211,0.196,0.368,0.277,0.196,6
ribonucleoside reductase inhibitor,0.52,0.892,0.914,0.673,0.773,0.11,2
ribonucleotide reductase inhibitor,0.182,0.308,0.43,0.209,0.162,0.38,2
rna polymerase inhibitor,0.007,0.02,0.142,0.169,0.028,0.241,8
rna synthesis inhibitor,0.037,0.574,0.91,0.93,0.934,0.928,2
selective serotonin reuptake inhibitor (ssri),0.241,0.458,0.394,0.209,0.066,0.173,4
serotonin receptor agonist,0.585,0.632,0.535,0.218,0.967,0.965,12
serotonin receptor agonist|serotonin receptor antagonist,0.121,0.334,0.327,0.062,0.203,0.1,3
serotonin receptor antagonist,0.482,0.234,0.359,0.628,0.373,0.341,15
serotonin reuptake inhibitor,0.952,0.562,0.447,0.596,0.618,0.698,5
serotonin transporter (sert) inhibitor,0.954,0.81,0.472,0.305,0.279,0.541,2
sigma receptor agonist,0.586,0.113,0.302,0.289,0.802,0.915,2
sigma receptor antagonist,0.519,0.787,0.842,0.599,0.692,0.641,4
sodium channel blocker,0.401,0.145,0.097,0.051,0.276,0.803,13
sodium/glucose cotransporter inhibitor,0.379,0.196,0.12,0.039,0.021,0.015,3
sodium/potassium/chloride transporter inhibitor,0.504,0.463,0.656,0.683,0.601,0.524,3
sterol demethylase inhibitor,0.622,0.688,0.45,0.621,0.933,0.187,7
sulfonylurea,0.118,0.157,0.158,0.293,0.325,0.279,2
t-type calcium channel blocker,0.788,0.936,0.816,0.214,0.846,0.413,3
tachykinin antagonist,0.305,0.092,0.194,0.576,0.178,0.064,6
tgf beta receptor inhibitor,0.13,0.028,0.089,0.035,0.07,0.078,3
thrombin inhibitor,0.102,0.238,0.247,0.414,0.212,0.502,2
thromboxane receptor antagonist,0.52,0.667,0.809,0.253,0.567,0.751,3
thromboxane synthase inhibitor,0.0,0.0,0.0,0.0,0.014,0.004,3
thymidylate synthase inhibitor,0.449,0.784,0.84,0.817,0.747,0.691,2
thyrotropin releasing hormone receptor agonist,0.409,0.113,0.03,0.012,0.035,0.097,2
topoisomerase inhibitor,0.075,0.854,0.41,0.032,0.0,0.0,17
tricyclic antidepressant,0.838,0.718,0.768,0.453,0.369,0.056,2
trpv antagonist,0.322,0.494,0.278,0.077,0.074,0.013,2
tubulin inhibitor,0.634,0.614,0.197,0.002,0.0,0.0,8
tumor necrosis factor release inhibitor,0.596,0.246,0.527,0.778,0.488,0.85,2
tyrosinase inhibitor,0.288,0.322,0.275,0.354,0.325,0.294,2
tyrosine kinase inhibitor,0.008,0.022,0.714,0.568,0.943,0.553,5
vasopressin receptor antagonist,0.359,0.522,0.688,0.732,0.125,0.091,4
vegfr inhibitor,0.404,0.372,0.203,0.34,0.299,0.151,4
vesicular monoamine transporter inhibitor,0.645,0.361,0.327,0.663,0.813,0.897,2
vitamin d receptor agonist,0.365,0.059,0.524,0.274,0.07,0.05,6
vitamin k antagonist,0.014,0.008,0.036,0.056,0.016,0.026,3
voltage-gated sodium channel blocker,0.959,0.48,0.248,0.775,0.998,1.0,3
xanthine oxidase inhibitor,0.156,0.077,0.092,0.1,0.224,0.427,4
xiap inhibitor,0.467,0.034,0.211,0.047,0.043,0.098,3
