moa,moa_cpds_dose_1,moa_cpds_dose_2,moa_cpds_dose_3,moa_cpds_dose_4,moa_cpds_dose_5,moa_cpds_dose_6,moa_size
adrenergic receptor antagonist,acebutolol;timolol;sotalol;levobunolol;yohimbine;setiptiline;propranolol;imiloxan;carvedilol;vincamine;doxazosin;metoprolol;esmolol;labetalol;bopindolol;nebivolol;dronedarone;naftopidil;atipamezole;vinburnine;org-9768;reboxetine;prazosin;urapidil;moxisylyte;naftidrofuryl;atenolol;tamsulosin;nicergoline;indoramin;bisoprolol;pindolol;phentolamine;talinolol,acebutolol;timolol;sotalol;levobunolol;yohimbine;setiptiline;propranolol;imiloxan;carvedilol;vincamine;doxazosin;metoprolol;esmolol;labetalol;bopindolol;nebivolol;dronedarone;naftopidil;atipamezole;vinburnine;org-9768;reboxetine;prazosin;urapidil;moxisylyte;naftidrofuryl;atenolol;tamsulosin;nicergoline;indoramin;bisoprolol;pindolol;phentolamine;talinolol,acebutolol;timolol;sotalol;levobunolol;yohimbine;setiptiline;propranolol;imiloxan;carvedilol;vincamine;doxazosin;metoprolol;esmolol;labetalol;bopindolol;nebivolol;dronedarone;naftopidil;atipamezole;vinburnine;org-9768;reboxetine;prazosin;urapidil;moxisylyte;naftidrofuryl;atenolol;tamsulosin;nicergoline;indoramin;bisoprolol;pindolol;phentolamine;talinolol,acebutolol;timolol;sotalol;levobunolol;yohimbine;setiptiline;propranolol;imiloxan;carvedilol;vincamine;doxazosin;metoprolol;esmolol;labetalol;bopindolol;nebivolol;dronedarone;naftopidil;atipamezole;vinburnine;org-9768;reboxetine;prazosin;urapidil;moxisylyte;naftidrofuryl;atenolol;tamsulosin;nicergoline;indoramin;bisoprolol;pindolol;phentolamine;talinolol,acebutolol;timolol;sotalol;levobunolol;yohimbine;setiptiline;propranolol;imiloxan;carvedilol;vincamine;doxazosin;metoprolol;esmolol;labetalol;bopindolol;nebivolol;dronedarone;naftopidil;atipamezole;vinburnine;org-9768;reboxetine;prazosin;urapidil;moxisylyte;naftidrofuryl;atenolol;tamsulosin;nicergoline;indoramin;bisoprolol;pindolol;phentolamine;talinolol,acebutolol;timolol;sotalol;levobunolol;yohimbine;setiptiline;propranolol;imiloxan;carvedilol;vincamine;doxazosin;metoprolol;esmolol;labetalol;bopindolol;nebivolol;dronedarone;naftopidil;atipamezole;vinburnine;org-9768;reboxetine;prazosin;urapidil;moxisylyte;naftidrofuryl;atenolol;tamsulosin;nicergoline;indoramin;bisoprolol;pindolol;phentolamine;talinolol,34
adrenergic receptor antagonist|calcium channel blocker,buflomedil;niguldipine,buflomedil;niguldipine,buflomedil;niguldipine,buflomedil;niguldipine,buflomedil;niguldipine,buflomedil;niguldipine,2
akt inhibitor,10-debc;gsk2110183;akt-inhibitor-1-2;gdc-0068;mk-2206;honokiol;azd5363,10-debc;gsk2110183;akt-inhibitor-1-2;gdc-0068;mk-2206;honokiol;azd5363,10-debc;gsk2110183;akt-inhibitor-1-2;gdc-0068;mk-2206;honokiol;azd5363,10-debc;gsk2110183;akt-inhibitor-1-2;gdc-0068;mk-2206;honokiol;azd5363,10-debc;gsk2110183;akt-inhibitor-1-2;gdc-0068;mk-2206;honokiol;azd5363,10-debc;gsk2110183;akt-inhibitor-1-2;gdc-0068;mk-2206;honokiol;azd5363,7
alcohol dehydrogenase inhibitor,fomepizole;n6022,fomepizole;n6022,fomepizole;n6022,fomepizole;n6022,fomepizole;n6022,fomepizole;n6022,2
aldose reductase inhibitor,fidarestat;sorbinil,fidarestat;sorbinil,fidarestat;sorbinil,fidarestat;sorbinil,fidarestat;sorbinil,fidarestat;sorbinil,2
alk tyrosine kinase receptor inhibitor,alectinib;ap26113;cep-37440;crizotinib,alectinib;ap26113;cep-37440;crizotinib,alectinib;ap26113;cep-37440;crizotinib,alectinib;ap26113;cep-37440;crizotinib,alectinib;ap26113;cep-37440;crizotinib,alectinib;ap26113;cep-37440;crizotinib,4
ampk activator,phenformin;aica-ribonucleotide,phenformin;aica-ribonucleotide,phenformin;aica-ribonucleotide,phenformin;aica-ribonucleotide,phenformin;aica-ribonucleotide,phenformin;aica-ribonucleotide,2
androgen receptor agonist,epitiostanol;testosterone;oxandrolone,epitiostanol;testosterone;oxandrolone,epitiostanol;testosterone;oxandrolone,epitiostanol;testosterone;oxandrolone,epitiostanol;testosterone;oxandrolone,epitiostanol;testosterone;oxandrolone,3
androgen receptor antagonist,bicalutamide;flutamide;eugenol;enzalutamide;ru-58841;arn-509,bicalutamide;flutamide;eugenol;enzalutamide;ru-58841;arn-509,bicalutamide;flutamide;eugenol;enzalutamide;ru-58841;arn-509,bicalutamide;flutamide;eugenol;enzalutamide;ru-58841;arn-509,bicalutamide;flutamide;eugenol;enzalutamide;ru-58841;arn-509,bicalutamide;flutamide;eugenol;enzalutamide;ru-58841;arn-509,6
androgen receptor modulator,ostarine;galeterone;andarine;mk-0773;ps178990,ostarine;galeterone;andarine;mk-0773;ps178990,ostarine;galeterone;andarine;mk-0773;ps178990,ostarine;galeterone;andarine;mk-0773;ps178990,ostarine;galeterone;andarine;mk-0773;ps178990,ostarine;galeterone;andarine;mk-0773;ps178990,5
angiogenesis inhibitor,asa-404;tranilast;tiabendazole,asa-404;tranilast;tiabendazole,asa-404;tranilast;tiabendazole,asa-404;tranilast;tiabendazole,asa-404;tranilast;tiabendazole,asa-404;tranilast;tiabendazole,3
angiotensin converting enzyme inhibitor,fosinopril;perindopril;methiopril;enalapril;ore1001;zofenopril-calcium;benazepril;quinapril;lisinopril;ramipril,fosinopril;perindopril;methiopril;enalapril;ore1001;zofenopril-calcium;benazepril;quinapril;lisinopril;ramipril,fosinopril;perindopril;methiopril;enalapril;ore1001;zofenopril-calcium;benazepril;quinapril;lisinopril;ramipril,fosinopril;perindopril;methiopril;enalapril;ore1001;zofenopril-calcium;benazepril;quinapril;lisinopril;ramipril,fosinopril;perindopril;methiopril;enalapril;ore1001;zofenopril-calcium;benazepril;quinapril;lisinopril;ramipril,fosinopril;perindopril;methiopril;enalapril;ore1001;zofenopril-calcium;benazepril;quinapril;lisinopril;ramipril,10
angiotensin receptor antagonist,irbesartan;valsartan;candesartan;losartan;olmesartan;telmisartan,irbesartan;valsartan;candesartan;losartan;olmesartan;telmisartan,irbesartan;valsartan;candesartan;losartan;olmesartan;telmisartan,irbesartan;valsartan;candesartan;losartan;olmesartan;telmisartan,irbesartan;valsartan;candesartan;losartan;olmesartan;telmisartan,irbesartan;valsartan;candesartan;losartan;olmesartan;telmisartan,6
anthelmintic agent,oxfendazole;praziquantel,oxfendazole;praziquantel,oxfendazole;praziquantel,oxfendazole;praziquantel,oxfendazole;praziquantel,oxfendazole;praziquantel,2
antimalarial agent,halofantrine;chloroquine,halofantrine;chloroquine,halofantrine;chloroquine,halofantrine;chloroquine,halofantrine;chloroquine,halofantrine;chloroquine,2
antioxidant,esculin;timonacic,esculin;timonacic,esculin;timonacic,esculin;timonacic,esculin;timonacic,esculin;timonacic,2
antithyroid agent,methimazole;carbimazole,methimazole;carbimazole,methimazole;carbimazole,methimazole;carbimazole,methimazole;carbimazole,methimazole;carbimazole,2
antiviral,vidarabine;ribavirin,vidarabine;ribavirin,vidarabine;ribavirin,vidarabine;ribavirin,vidarabine;ribavirin,vidarabine;ribavirin,2
aromatase inhibitor,fadrozole;formestane;anastrozole;letrozole;exemestane,fadrozole;formestane;anastrozole;letrozole;exemestane,fadrozole;formestane;anastrozole;letrozole;exemestane,fadrozole;formestane;anastrozole;letrozole;exemestane,fadrozole;formestane;anastrozole;letrozole;exemestane,fadrozole;formestane;anastrozole;letrozole;exemestane,5
atp channel blocker,tolazamide;tolbutamide;chlorpropamide,tolazamide;tolbutamide;chlorpropamide,tolazamide;tolbutamide;chlorpropamide,tolazamide;tolbutamide;chlorpropamide,tolazamide;tolbutamide;chlorpropamide,tolazamide;tolbutamide;chlorpropamide,3
atpase inhibitor,pantoprazole;omeprazole;sch-28080;digoxin;istaroxime,pantoprazole;omeprazole;sch-28080;digoxin;istaroxime,pantoprazole;omeprazole;sch-28080;digoxin;istaroxime,pantoprazole;omeprazole;sch-28080;digoxin;istaroxime,pantoprazole;omeprazole;sch-28080;digoxin;istaroxime,pantoprazole;omeprazole;sch-28080;digoxin;istaroxime,5
aurora kinase inhibitor,mk-5108;barasertib;gsk1070916;pf-03814735;alisertib,mk-5108;barasertib;gsk1070916;pf-03814735;alisertib,mk-5108;barasertib;gsk1070916;pf-03814735;alisertib,mk-5108;barasertib;gsk1070916;pf-03814735;alisertib,mk-5108;barasertib;gsk1070916;pf-03814735;alisertib,mk-5108;barasertib;gsk1070916;pf-03814735;alisertib,5
bacterial 30s ribosomal subunit inhibitor,amikacin;doxycycline-hyclate;fusidic-acid;eperezolid;tobramycin,amikacin;doxycycline-hyclate;fusidic-acid;eperezolid;tobramycin,amikacin;doxycycline-hyclate;fusidic-acid;eperezolid;tobramycin,amikacin;doxycycline-hyclate;fusidic-acid;eperezolid;tobramycin,amikacin;doxycycline-hyclate;fusidic-acid;eperezolid;tobramycin,amikacin;doxycycline-hyclate;fusidic-acid;eperezolid;tobramycin,5
bacterial 50s ribosomal subunit inhibitor,josamycin;clarithromycin;chloramphenicol;roxithromycin;tedizolid;linezolid;azithromycin,josamycin;clarithromycin;chloramphenicol;roxithromycin;tedizolid;linezolid;azithromycin,josamycin;clarithromycin;chloramphenicol;roxithromycin;tedizolid;linezolid;azithromycin,josamycin;clarithromycin;chloramphenicol;roxithromycin;tedizolid;linezolid;azithromycin,josamycin;clarithromycin;chloramphenicol;roxithromycin;tedizolid;linezolid;azithromycin,josamycin;clarithromycin;chloramphenicol;roxithromycin;tedizolid;linezolid;azithromycin,7
bacterial antifolate,sulfafurazole;dapsone,sulfafurazole;dapsone,sulfafurazole;dapsone,sulfafurazole;dapsone,sulfafurazole;dapsone,sulfafurazole;dapsone,2
bacterial cell wall synthesis inhibitor,butoconazole;cefdinir;fenticonazole;cefepime;dicloxacillin;tebipenem;cefoperazone;penicillin-v-potassium;oxiconazole;fosfomycin;cefozopran;miconazole;cefotetan;etanidazole,butoconazole;cefdinir;fenticonazole;cefepime;dicloxacillin;tebipenem;cefoperazone;penicillin-v-potassium;oxiconazole;fosfomycin;cefozopran;miconazole;cefotetan;etanidazole,butoconazole;cefdinir;fenticonazole;cefepime;dicloxacillin;tebipenem;cefoperazone;penicillin-v-potassium;oxiconazole;fosfomycin;cefozopran;miconazole;cefotetan;etanidazole,butoconazole;cefdinir;fenticonazole;cefepime;dicloxacillin;tebipenem;cefoperazone;penicillin-v-potassium;oxiconazole;fosfomycin;cefozopran;miconazole;cefotetan;etanidazole,butoconazole;cefdinir;fenticonazole;cefepime;dicloxacillin;tebipenem;cefoperazone;penicillin-v-potassium;oxiconazole;fosfomycin;cefozopran;miconazole;cefotetan;etanidazole,butoconazole;cefdinir;fenticonazole;cefepime;dicloxacillin;tebipenem;cefoperazone;penicillin-v-potassium;oxiconazole;fosfomycin;cefozopran;miconazole;cefotetan;etanidazole,14
bacterial dna gyrase inhibitor,ofloxacin;sparfloxacin;levofloxacin;norfloxacin;ciprofloxacin;trovafloxacin;gemifloxacin;moxifloxacin;novobiocin;gatifloxacin;clinafloxacin,ofloxacin;sparfloxacin;levofloxacin;norfloxacin;ciprofloxacin;trovafloxacin;gemifloxacin;moxifloxacin;novobiocin;gatifloxacin;clinafloxacin,ofloxacin;sparfloxacin;levofloxacin;norfloxacin;ciprofloxacin;trovafloxacin;gemifloxacin;moxifloxacin;novobiocin;gatifloxacin;clinafloxacin,ofloxacin;sparfloxacin;levofloxacin;norfloxacin;ciprofloxacin;trovafloxacin;gemifloxacin;moxifloxacin;novobiocin;gatifloxacin;clinafloxacin,ofloxacin;sparfloxacin;levofloxacin;norfloxacin;ciprofloxacin;trovafloxacin;gemifloxacin;moxifloxacin;novobiocin;gatifloxacin;clinafloxacin,ofloxacin;sparfloxacin;levofloxacin;norfloxacin;ciprofloxacin;trovafloxacin;gemifloxacin;moxifloxacin;novobiocin;gatifloxacin;clinafloxacin,11
bcl inhibitor,abt-737;gdc-0199;navitoclax,abt-737;gdc-0199;navitoclax,abt-737;gdc-0199;navitoclax,abt-737;gdc-0199;navitoclax,abt-737;gdc-0199;navitoclax,abt-737;gdc-0199;navitoclax,3
bcr-abl kinase inhibitor,metatinib;flumatinib,metatinib;flumatinib,metatinib;flumatinib,metatinib;flumatinib,metatinib;flumatinib,metatinib;flumatinib,2
benzodiazepine receptor agonist,diazepam;zk-93423;gaboxadol;lorazepam;zolpidem;cgs-20625;etizolam;zaleplon,diazepam;zk-93423;gaboxadol;lorazepam;zolpidem;cgs-20625;etizolam;zaleplon,diazepam;zk-93423;gaboxadol;lorazepam;zolpidem;cgs-20625;etizolam;zaleplon,diazepam;zk-93423;gaboxadol;lorazepam;zolpidem;cgs-20625;etizolam;zaleplon,diazepam;zk-93423;gaboxadol;lorazepam;zolpidem;cgs-20625;etizolam;zaleplon,diazepam;zk-93423;gaboxadol;lorazepam;zolpidem;cgs-20625;etizolam;zaleplon,8
benzodiazepine receptor antagonist,pk-11195;zk-93426;flumazenil,pk-11195;zk-93426;flumazenil,pk-11195;zk-93426;flumazenil,pk-11195;zk-93426;flumazenil,pk-11195;zk-93426;flumazenil,pk-11195;zk-93426;flumazenil,3
beta lactamase inhibitor,tazobactam;sulbactam,tazobactam;sulbactam,tazobactam;sulbactam,tazobactam;sulbactam,tazobactam;sulbactam,tazobactam;sulbactam,2
beta-secretase inhibitor,ly2886721;ly2811376,ly2886721;ly2811376,ly2886721;ly2811376,ly2886721;ly2811376,ly2886721;ly2811376,ly2886721;ly2811376,2
bruton's tyrosine kinase (btk) inhibitor,gdc-0834;avl-292,gdc-0834;avl-292,gdc-0834;avl-292,gdc-0834;avl-292,gdc-0834;avl-292,gdc-0834;avl-292,2
c-met inhibitor,mk-8033;pf-04217903,mk-8033;pf-04217903,mk-8033;pf-04217903,mk-8033;pf-04217903,mk-8033;pf-04217903,mk-8033;pf-04217903,2
calcineurin inhibitor,cyclosporin-a;pimecrolimus;tacrolimus,cyclosporin-a;pimecrolimus;tacrolimus,cyclosporin-a;pimecrolimus;tacrolimus,cyclosporin-a;pimecrolimus;tacrolimus,cyclosporin-a;pimecrolimus;tacrolimus,cyclosporin-a;pimecrolimus;tacrolimus,3
calcitonin antagonist,bms-927711;mk-3207;telcagepant,bms-927711;mk-3207;telcagepant,bms-927711;mk-3207;telcagepant,bms-927711;mk-3207;telcagepant,bms-927711;mk-3207;telcagepant,bms-927711;mk-3207;telcagepant,3
calcium channel activator,cinepazide;bay-k8644,cinepazide;bay-k8644,cinepazide;bay-k8644,cinepazide;bay-k8644,cinepazide;bay-k8644,cinepazide;bay-k8644,2
calcium channel blocker,nicardipine;nitrendipine;amlodipine;verapamil;lacidipine;felodipine;cinnarizine;sr-33805;nimodipine;gabapentin;lomerizine;lidoflazine;levetiracetam;dantrolene;diltiazem;isradipine,nicardipine;nitrendipine;amlodipine;verapamil;lacidipine;felodipine;cinnarizine;sr-33805;nimodipine;gabapentin;lomerizine;lidoflazine;levetiracetam;dantrolene;diltiazem;isradipine,nicardipine;nitrendipine;amlodipine;verapamil;lacidipine;felodipine;cinnarizine;sr-33805;nimodipine;gabapentin;lomerizine;lidoflazine;levetiracetam;dantrolene;diltiazem;isradipine,nicardipine;nitrendipine;amlodipine;verapamil;lacidipine;felodipine;cinnarizine;sr-33805;nimodipine;gabapentin;lomerizine;lidoflazine;levetiracetam;dantrolene;diltiazem;isradipine,nicardipine;nitrendipine;amlodipine;verapamil;lacidipine;felodipine;cinnarizine;sr-33805;nimodipine;gabapentin;lomerizine;lidoflazine;levetiracetam;dantrolene;diltiazem;isradipine,nicardipine;nitrendipine;amlodipine;verapamil;lacidipine;felodipine;cinnarizine;sr-33805;nimodipine;gabapentin;lomerizine;lidoflazine;levetiracetam;dantrolene;diltiazem;isradipine,16
calmodulin antagonist,zaldaride;dexniguldipine,zaldaride;dexniguldipine,zaldaride;dexniguldipine,zaldaride;dexniguldipine,zaldaride;dexniguldipine,zaldaride;dexniguldipine,2
cannabinoid receptor agonist,gw842166;anandamide;palmitoylethanolamide,gw842166;anandamide;palmitoylethanolamide,gw842166;anandamide;palmitoylethanolamide,gw842166;anandamide;palmitoylethanolamide,gw842166;anandamide;palmitoylethanolamide,gw842166;anandamide;palmitoylethanolamide,3
cannabinoid receptor antagonist,"cp-945,598;rimonabant","cp-945,598;rimonabant","cp-945,598;rimonabant","cp-945,598;rimonabant","cp-945,598;rimonabant","cp-945,598;rimonabant",2
cannabinoid receptor inverse agonist,taranabant;jte-907,taranabant;jte-907,taranabant;jte-907,taranabant;jte-907,taranabant;jte-907,taranabant;jte-907,2
carbonic anhydrase inhibitor,benzthiazide;methazolamide;acetazolamide;metolazone;dorzolamide,benzthiazide;methazolamide;acetazolamide;metolazone;dorzolamide,benzthiazide;methazolamide;acetazolamide;metolazone;dorzolamide,benzthiazide;methazolamide;acetazolamide;metolazone;dorzolamide,benzthiazide;methazolamide;acetazolamide;metolazone;dorzolamide,benzthiazide;methazolamide;acetazolamide;metolazone;dorzolamide,5
carnitine palmitoyltransferase inhibitor,etomoxir;perhexiline,etomoxir;perhexiline,etomoxir;perhexiline,etomoxir;perhexiline,etomoxir;perhexiline,etomoxir;perhexiline,2
cathepsin inhibitor,odanacatib;balicatib,odanacatib;balicatib,odanacatib;balicatib,odanacatib;balicatib,odanacatib;balicatib,odanacatib;balicatib,2
cc chemokine receptor antagonist,amg-487;mk-0812;maraviroc;amd11070;reparixin;vicriviroc;zk811752;pf-04136309,amg-487;mk-0812;maraviroc;amd11070;reparixin;vicriviroc;zk811752;pf-04136309,amg-487;mk-0812;maraviroc;amd11070;reparixin;vicriviroc;zk811752;pf-04136309,amg-487;mk-0812;maraviroc;amd11070;reparixin;vicriviroc;zk811752;pf-04136309,amg-487;mk-0812;maraviroc;amd11070;reparixin;vicriviroc;zk811752;pf-04136309,amg-487;mk-0812;maraviroc;amd11070;reparixin;vicriviroc;zk811752;pf-04136309,8
cck receptor antagonist,sr-27897;benzotript;lorglumide;dexloxiglumide;proglumide,sr-27897;benzotript;lorglumide;dexloxiglumide;proglumide,sr-27897;benzotript;lorglumide;dexloxiglumide;proglumide,sr-27897;benzotript;lorglumide;dexloxiglumide;proglumide,sr-27897;benzotript;lorglumide;dexloxiglumide;proglumide,sr-27897;benzotript;lorglumide;dexloxiglumide;proglumide,5
cdk inhibitor,dinaciclib;roscovitine;palbociclib;r547;pha-793887;azd-5438;alvocidib,dinaciclib;roscovitine;palbociclib;r547;pha-793887;azd-5438;alvocidib,dinaciclib;roscovitine;palbociclib;r547;pha-793887;azd-5438;alvocidib,dinaciclib;roscovitine;palbociclib;r547;pha-793887;azd-5438;alvocidib,dinaciclib;roscovitine;palbociclib;r547;pha-793887;azd-5438;alvocidib,dinaciclib;roscovitine;palbociclib;r547;pha-793887;azd-5438;alvocidib,7
cftr channel agonist,vx-809;vx-661,vx-809;vx-661,vx-809;vx-661,vx-809;vx-661,vx-809;vx-661,vx-809;vx-661,2
chelating agent,clioquinol;trientine;deferiprone;picolinic-acid;deferasirox,clioquinol;trientine;deferiprone;picolinic-acid;deferasirox,clioquinol;trientine;deferiprone;picolinic-acid;deferasirox,clioquinol;trientine;deferiprone;picolinic-acid;deferasirox,clioquinol;trientine;deferiprone;picolinic-acid;deferasirox,clioquinol;trientine;deferiprone;picolinic-acid;deferasirox,5
cholesterol inhibitor,oco-1112;acifran;acipimox;ursodeoxycholyltaurine,oco-1112;acifran;acipimox;ursodeoxycholyltaurine,oco-1112;acifran;acipimox;ursodeoxycholyltaurine,oco-1112;acifran;acipimox;ursodeoxycholyltaurine,oco-1112;acifran;acipimox;ursodeoxycholyltaurine,oco-1112;acifran;acipimox;ursodeoxycholyltaurine,4
cholesteryl ester transfer protein inhibitor,anacetrapib;torcetrapib,anacetrapib;torcetrapib,anacetrapib;torcetrapib,anacetrapib;torcetrapib,anacetrapib;torcetrapib,anacetrapib;torcetrapib,2
coagulation factor inhibitor,edoxaban;apixaban;rivaroxaban;otamixaban,edoxaban;apixaban;rivaroxaban;otamixaban,edoxaban;apixaban;rivaroxaban;otamixaban,edoxaban;apixaban;rivaroxaban;otamixaban,edoxaban;apixaban;rivaroxaban;otamixaban,edoxaban;apixaban;rivaroxaban;otamixaban,4
