Metadata_broad_sample,broad_id,pert_iname,moa
BRD-A09349126-001-10-7,BRD-A09349126,norethindrone,Progestogen hormone
BRD-A09472452-015-23-4,BRD-A09472452,flecainide,Sodium channel blocker
BRD-A09533288-003-31-2,BRD-A09533288,verapamil,Calcium channel blocker
BRD-A10012892-001-01-9,BRD-A10012892,argatroban,Thrombin inhibitor
BRD-A10039652-001-01-2,BRD-A10039652,tipranavir,HIV protease inhibitor
BRD-A10070317-003-28-3,BRD-A10070317,propranolol,Adrenergic receptor antagonist
BRD-A10903566-003-07-7,BRD-A10903566,imiloxan,Adrenergic receptor antagonist
BRD-A10967948-003-06-3,BRD-A10967948,granisetron,Serotonin receptor antagonist
BRD-A10977446-001-12-1,BRD-A10977446,carvedilol,Adrenergic receptor antagonist
BRD-A11319535-001-03-6,BRD-A11319535,beclomethasone-dipropionate,Immunosuppressant|Glucocorticoid receptor agonist
BRD-A11990600-001-03-4,BRD-A11990600,lorazepam,Benzodiazepine receptor agonist
BRD-A12077521-003-01-5,BRD-A12077521,cefepime,Bacterial cell wall synthesis inhibitor
BRD-A12230535-001-06-7,BRD-A12230535,nutlin-3,MDM inhibitor
BRD-A12237696-001-04-2,BRD-A12237696,l-citrulline,nitric oxide stimulant
BRD-A12896037-001-04-3,BRD-A12896037,cisapride,Serotonin receptor agonist
BRD-A12994259-001-02-1,BRD-A12994259,pomalidomide,Angiogenesis inhibitor|Tumor necrosis factor production inhibitor
BRD-A13084692-001-17-3,BRD-A13084692,troglitazone,PPAR receptor agonist|Insulin sensitizer
BRD-A13133631-001-04-0,BRD-A13133631,fluorometholone,Glucocorticoid receptor agonist
BRD-A13188892-066-21-5,BRD-A13188892,doxazosin,Adrenergic receptor antagonist
BRD-A14262390-065-01-8,BRD-A14262390,guanadrel,Adrenergic inhibitor
BRD-A14798026-001-02-6,BRD-A14798026,mestranol,Estrogen receptor agonist
BRD-A14886633-001-01-6,BRD-A14886633,norgestrel,Progesterone receptor agonist
BRD-A14941520-051-01-0,BRD-A14941520,dofequidar,MRP inhibitor|P-glycoprotein inhibitor
BRD-A14966924-003-07-7,BRD-A14966924,alaproclate,Serotonin receptor antagonist
BRD-A15202882-003-02-7,BRD-A15202882,milnacipran,Serotonin reuptake inhibitor
BRD-A15297126-001-04-3,BRD-A15297126,fluocinonide,Glucocorticoid receptor agonist
BRD-A15435692-003-02-3,BRD-A15435692,BMY-14802,Sigma receptor antagonist
BRD-A15909516-001-06-6,BRD-A15909516,rebamipide,Free radical scavenger
BRD-A15931911-001-03-8,BRD-A15931911,bucladesine,Adenosine receptor agonist|CAMP stimulant
BRD-A16296925-001-01-3,BRD-A16296925,indobufen,Cyclooxygenase inhibitor|Platelet aggregation inhibitor
BRD-A16347691-001-13-1,BRD-A16347691,thioctic-acid,Reducing agent|Aldehyde dehydrogenase activator|Protein kinase activator|Reverse transcriptase inhibitor
BRD-A16665823-001-02-0,BRD-A16665823,butoconazole,Bacterial cell wall synthesis inhibitor
BRD-A16997652-001-02-3,BRD-A16997652,protirelin,Thyrotropin releasing hormone receptor agonist
BRD-A17411484-001-11-9,BRD-A17411484,carprofen,Cyclooxygenase inhibitor
BRD-A17462676-003-11-6,BRD-A17462676,bambuterol,Adrenergic receptor agonist
BRD-A17655518-001-24-4,BRD-A17655518,ibuprofen,Cyclooxygenase inhibitor
BRD-A17883755-001-06-1,BRD-A17883755,lenalidomide,Anticancer agent
BRD-A18043272-001-09-9,BRD-A18043272,phensuximide,Succinimide antiepileptic
BRD-A18611368-001-01-5,BRD-A18611368,tazobactam,Beta lactamase inhibitor
BRD-A18620900-001-05-2,BRD-A18620900,estriol,Estrogen receptor agonist
BRD-A19195498-050-14-1,BRD-A19195498,trimipramine,Norepinephrine reputake inhibitor|Tricyclic antidepressant
BRD-A19633847-050-32-1,BRD-A19633847,perhexiline,Carnitine palmitoyltransferase inhibitor
BRD-A19661776-003-27-6,BRD-A19661776,mianserin,Serotonin receptor antagonist
BRD-A19736161-001-06-7,BRD-A19736161,ondansetron,Serotonin receptor antagonist
BRD-A20119038-003-07-8,BRD-A20119038,mecamylamine,Acetylcholine receptor antagonist
BRD-A20126139-001-04-2,BRD-A20126139,medrysone,Glucocorticoid receptor agonist
BRD-A20239487-001-24-9,BRD-A20239487,atenolol,Adrenergic receptor antagonist
BRD-A20348246-001-15-8,BRD-A20348246,chlormezanone,GABA receptor modulator
BRD-A22032524-074-06-5,BRD-A22032524,amlodipine,Calcium channel blocker
BRD-A22769835-300-05-7,BRD-A22769835,homochlorcyclizine,Antihistamine
BRD-A24228527-213-01-9,BRD-A24228527,ofloxacin,Bacterial DNA gyrase inhibitor
BRD-A25234499-001-18-3,BRD-A25234499,aminoglutethimide,Glucocorticoid receptor antagonist
BRD-A25619068-003-03-4,BRD-A25619068,fadrozole,Aromatase inhibitor
BRD-A26032986-050-02-1,BRD-A26032986,zaldaride,Calmodulin antagonist
BRD-A26095496-001-04-0,BRD-A26095496,clobetasol,Glucocorticoid receptor agonist
BRD-A26334849-001-06-2,BRD-A26334849,propafenone,Antiarrhythmic
BRD-A26384407-001-25-1,BRD-A26384407,chlortalidone,Diuretic
BRD-A26423207-001-01-0,BRD-A26423207,sparfloxacin,Bacterial DNA gyrase inhibitor
BRD-A26503646-001-16-6,BRD-A26503646,formestane,Aromatase inhibitor
BRD-A26690767-066-01-9,BRD-A26690767,saquinavir,HIV protease inhibitor
BRD-A26711594-003-10-6,BRD-A26711594,nicardipine,Calcium channel blocker
BRD-A27376179-001-01-3,BRD-A27376179,lestaurtinib,FLT3 inhibitor|Growth factor receptor inhibitor|JAK inhibitor
BRD-A27732521-003-08-3,BRD-A27732521,tolperisone,Voltage-gated sodium channel blocker
BRD-A28467416-002-01-0,BRD-A28467416,pki-179,mTOR inhibitor|PI3K inhibitor
BRD-A28545468-003-16-6,BRD-A28545468,selegiline,Monoamine oxidase inhibitor
BRD-A28746609-001-11-5,BRD-A28746609,paclitaxel,Tubulin inhibitor
BRD-A28787076-001-04-8,BRD-A28787076,inosine,Neurotrophic agent
BRD-A29260609-003-26-0,BRD-A29260609,acebutolol,Adrenergic receptor antagonist
BRD-A29289453-001-04-7,BRD-A29289453,PCA-4248,Platelet activating factor receptor antagonist
BRD-A29322418-237-04-0,BRD-A29322418,canrenoic-acid,Mineralocorticoid receptor antagonist
BRD-A29485665-001-12-8,BRD-A29485665,bicalutamide,Androgen receptor antagonist
BRD-A29520968-001-02-7,BRD-A29520968,acifran,Cholesterol inhibitor
BRD-A29623586-001-01-3,BRD-A29623586,anisodamine,Lipid peroxidase inhibitor
BRD-A29731977-001-04-5,BRD-A29731977,17-hydroxyprogesterone-caproate,Progesterone receptor agonist
BRD-A29734509-011-13-6,BRD-A29734509,disopyramide,Sodium channel blocker
BRD-A29844814-300-01-5,BRD-A29844814,abt-202,acetylcholine receptor agonist
BRD-A29854054-236-12-6,BRD-A29854054,lorglumide,CCK receptor antagonist
BRD-A30051119-002-01-8,BRD-A30051119,amikacin,Bacterial 30S ribosomal subunit inhibitor
BRD-A30815329-001-10-5,BRD-A30815329,felodipine,Calcium channel blocker
BRD-A30984645-001-01-5,BRD-A30984645,gdc-0834,Bruton's tyrosine kinase (BTK) inhibitor
BRD-A31095847-001-02-3,BRD-A31095847,mozavaptan,Vasopressin receptor antagonist
BRD-A31159102-003-30-4,BRD-A31159102,fluoxetine,Selective serotonin reuptake inhibitor (SSRI)
BRD-A31521121-001-26-4,BRD-A31521121,methocarbamol,Muscle relaxant
BRD-A31811760-001-06-7,BRD-A31811760,miltefosine,Membrane integrity inhibitor
BRD-A32172948-001-07-6,BRD-A32172948,methiopril,Angiotensin converting enzyme inhibitor
BRD-A32269193-001-01-5,BRD-A32269193,vgx-1027,tumor necrosis factor receptor antagonist
BRD-A33084557-001-06-6,BRD-A33084557,tioconazole,Sterol demethylase inhibitor
BRD-A33168282-003-18-0,BRD-A33168282,sotalol,Adrenergic receptor antagonist
BRD-A33280134-001-04-7,BRD-A33280134,etoposide,Topoisomerase inhibitor
BRD-A33447119-001-10-8,BRD-A33447119,oxfendazole,Anthelmintic agent
BRD-A33692381-001-01-9,BRD-A33692381,zidovudine,Reverse transcriptase inhibitor
BRD-A33697453-008-02-4,BRD-A33697453,fenticonazole,Bacterial cell wall synthesis inhibitor
BRD-A33711280-003-03-1,BRD-A33711280,metixene,Acetylcholine receptor antagonist
BRD-A34006693-001-15-4,BRD-A34006693,suprofen,Cyclooxygenase inhibitor
BRD-A34255068-001-34-5,BRD-A34255068,rolipram,Phosphodiesterase inhibitor
BRD-A34513497-002-02-3,BRD-A34513497,lacitol,Osmosis stimulant
BRD-A36057565-001-01-0,BRD-A36057565,bruceantin,Protein synthesis inhibitor
BRD-A36331462-001-02-1,BRD-A36331462,oprozomib,Proteasome inhibitor
BRD-A37780065-001-04-5,BRD-A37780065,triamcinolone,Glucocorticoid receptor agonist
BRD-A37959677-001-04-5,BRD-A37959677,estrone,Estrogen receptor agonist|Estrogenic hormone
BRD-A38218502-001-01-2,BRD-A38218502,metenkephalin,Immunostimulant
BRD-A38350138-001-04-9,BRD-A38350138,ketoconazole,Sterol demethylase inhibitor
BRD-A38592941-001-02-7,BRD-A38592941,timonacic,Antioxidant
BRD-A39390670-236-10-7,BRD-A39390670,rabeprazole,ATPase inhibitor|Gastrin inhibitor
BRD-A39415247-001-10-4,BRD-A39415247,norethisterone,Progesterone receptor agonist
BRD-A39935389-001-05-9,BRD-A39935389,teroxirone,DNA inhibitor
BRD-A40084411-003-07-7,BRD-A40084411,cgp12177,Adrenergic receptor agonist
BRD-A40639672-234-18-0,BRD-A40639672,ketorolac,Cyclooxygenase inhibitor
BRD-A40787240-066-04-6,BRD-A40787240,gemifloxacin,Bacterial DNA gyrase inhibitor
BRD-A41451487-001-11-2,BRD-A41451487,PK-11195,Benzodiazepine receptor antagonist
BRD-A43082555-001-01-1,BRD-A43082555,loxoprofen,Cyclooxygenase inhibitor|Prostanoid receptor antagonist
BRD-A43331270-001-01-6,BRD-A43331270,niguldipine,Adrenergic receptor antagonist|Calcium channel blocker
BRD-A43882281-001-15-5,BRD-A43882281,pinacidil,ATP channel activator|Potassium channel activator
BRD-A44090213-001-25-6,BRD-A44090213,indoprofen,Cyclooxygenase inhibitor|Prostanoid receptor antagonist
BRD-A44863528-001-13-2,BRD-A44863528,proglumide,CCK receptor antagonist
BRD-A45153512-001-01-0,BRD-A45153512,bimatoprost,Prostanoid receptor agonist
BRD-A45889380-300-07-1,BRD-A45889380,mepacrine,NFkB pathway inhibitor|Cytokine production inhibitor|TP53 activator
BRD-A46179541-311-02-0,BRD-A46179541,doxapram,Potassium channel blocker
BRD-A47364545-003-02-6,BRD-A47364545,sk&f-10047-(+),sigma receptor agonist
BRD-A47598013-004-16-0,BRD-A47598013,citalopram,Serotonin reuptake inhibitor
BRD-A48237631-001-04-8,BRD-A48237631,mitomycin-c,DNA alkylating drug|DNA inhibitor|DNA alkylating agent|DNA synthesis inhibitor
BRD-A48430263-003-17-2,BRD-A48430263,pioglitazone,PPAR receptor agonist|Insulin sensitizer
BRD-A48570745-001-02-9,BRD-A48570745,ivermectin,GABA receptor agonist
BRD-A49160188-003-12-7,BRD-A49160188,donepezil,Acetylcholinesterase inhibitor
BRD-A49399758-015-01-8,BRD-A49399758,desmopressin-acetate,Vasopressin receptor agonist
BRD-A49622760-001-01-9,BRD-A49622760,faropenem,Lactamase inhibitor
BRD-A49765801-001-04-1,BRD-A49765801,fludroxycortide,Glucocorticoid receptor agonist
BRD-A50033377-001-02-8,BRD-A50033377,rivaroxaban,Coagulation factor inhibitor
BRD-A50311610-300-10-4,BRD-A50311610,meclozine,CAR agonist
BRD-A50675702-001-07-1,BRD-A50675702,fipronil,Chloride channel blocker|GABA gated chloride channel blocker
BRD-A50764878-003-02-8,BRD-A50764878,MDL-73005EF,Serotonin receptor antagonist
BRD-A50998626-001-02-1,BRD-A50998626,palomid-529,AKT inhibitor|MTOR inhibitor|Fibroblast growth factor inhibitor|VEGFR inhibitor
BRD-A51078674-003-01-0,BRD-A51078674,diclofensine,Dopamine reuptake inhibitor
BRD-A51714012-003-13-6,BRD-A51714012,venlafaxine,Serotonin reuptake inhibitor|Adrenergic inhibitor|Norepinephrine reuptake inhibitor
BRD-A51820102-008-28-9,BRD-A51820102,econazole,Lanosterol demethylase inhibitor|Sterol demethylase inhibitor|Bacterial cell wall synthesis inhibitor
BRD-A52252998-001-01-3,BRD-A52252998,clindamycin,Protein synthesis inhibitor
BRD-A52660433-066-02-1,BRD-A52660433,tetrindole,Monoamine oxidase inhibitor
BRD-A53176877-001-04-3,BRD-A53176877,methylprednisolone,Glucocorticoid receptor agonist
BRD-A53566267-001-01-9,BRD-A53566267,anecortave-acetate,Corticosteroid agonist|Angiogenesis inhibitor
BRD-A53576514-048-14-3,BRD-A53576514,orphenadrine,Acetylcholine receptor antagonist
BRD-A54880345-001-20-9,BRD-A54880345,etomidate,GABA receptor modulator
BRD-A55393291-001-09-9,BRD-A55393291,testosterone,Androgen receptor agonist
BRD-A55579717-001-04-0,BRD-A55579717,cytisine,Acetylcholine receptor agonist
BRD-A55913614-316-09-6,BRD-A55913614,primaquine,Antimalarial agent|DNA inhibitor
BRD-A55962179-001-22-1,BRD-A55962179,omeprazole,ATPase inhibitor
BRD-A56085258-001-01-8,BRD-A56085258,lgx818,RAF inhibitor
BRD-A56371469-001-03-3,BRD-A56371469,agi-5198,isocitrate dehydrogenase inhibitor
BRD-A56592690-001-04-3,BRD-A56592690,PX-12,Thioredoxin inhibitor
BRD-A57382968-001-29-0,BRD-A57382968,piroxicam,Cyclooxygenase inhibitor
BRD-A58048407-001-18-8,BRD-A58048407,nimodipine,Calcium channel blocker
BRD-A58280226-312-01-3,BRD-A58280226,Y-27632,Rho associated kinase inhibitor
BRD-A58564983-001-04-6,BRD-A58564983,selamectin,Nematocide
BRD-A58955223-001-03-8,BRD-A58955223,sulforaphane,Anticancer agent|Aryl hydrocarbon receptor antagonist
BRD-A59174698-003-18-5,BRD-A59174698,ritodrine,Adrenergic receptor agonist
BRD-A61154809-001-15-9,BRD-A61154809,gliclazide,ATP channel blocker|Insulin secretagogue
BRD-A61221616-001-04-3,BRD-A61221616,medroxyprogesterone-acetate,Progesterone receptor agonist
BRD-A61676498-001-06-6,BRD-A61676498,climbazole,Enzyme inducer
BRD-A61767428-001-01-9,BRD-A61767428,ursolic-acid,11-beta hydroxysteroid dehydrogenase inhibitor|Acetylcholinesterase inhibitor|Caspase inhibitor|HIV protease inhibitor|Lipid peroxidase inhibitor|Quorum sensing signaling modulator|Steryl sulfatase inhibitor|Tyrosine phosphatase inhibitor|ATPase inhibitor|NFkB pathway inhibitor|STAT inhibitor
BRD-A61793559-001-15-6,BRD-A61793559,metolazone,Carbonic anhydrase inhibitor
BRD-A62025033-001-01-8,BRD-A62025033,temsirolimus,MTOR inhibitor
BRD-A62035778-004-03-6,BRD-A62035778,scopolamine,Acetylcholine receptor antagonist
BRD-A62071884-001-04-6,BRD-A62071884,siguazodan,Phosphodiesterase inhibitor
BRD-A62525898-001-05-2,BRD-A62525898,prednisone,Glucocorticoid receptor agonist
BRD-A62879835-001-04-2,BRD-A62879835,rifaximin,RNA synthesis inhibitor
BRD-A63236097-001-01-3,BRD-A63236097,andrographolide,Tumor necrosis factor production inhibitor
BRD-A63310107-001-04-8,BRD-A63310107,miglitol,Glucosidase inhibitor
BRD-A63675168-001-01-6,BRD-A63675168,brivudine,DNA directed DNA polymerase inhibitor
BRD-A63752151-001-01-2,BRD-A63752151,fidarestat,Aldose reductase inhibitor
BRD-A64406146-001-01-2,BRD-A64406146,timofibrate,Cholesterol inhibitor|Lipase clearing factor inhibitor
BRD-A64485570-001-11-0,BRD-A64485570,trifluridine,DNA directed DNA polymerase inhibitor|Thymidylate synthase inhibitor
BRD-A64553394-001-04-4,BRD-A64553394,dpi-201106,sodium channel activator
BRD-A64977602-001-15-9,BRD-A64977602,mirtazapine,Adrenergic receptor antagonist|Serotonin receptor antagonist
BRD-A65013509-003-24-4,BRD-A65013509,oxybutynin,Acetylcholine receptor antagonist
BRD-A65051990-001-12-9,BRD-A65051990,acenocoumarol,Vitamin K antagonist
BRD-A65248799-001-01-7,BRD-A65248799,emd-53998,phosphodiesterase inhibitor
BRD-A65280694-003-13-7,BRD-A65280694,molindone,Dopamine receptor antagonist
BRD-A66155091-001-01-8,BRD-A66155091,trilostane,3beta-hydroxy-delta5-steroid dehydrogenase inhibitor
BRD-A66419424-001-02-4,BRD-A66419424,mln9708,Proteasome inhibitor
BRD-A67097164-001-18-7,BRD-A67097164,ifosfamide,DNA alkylating agent
BRD-A67373739-001-02-2,BRD-A67373739,AICA-ribonucleotide,AMPK activator
BRD-A67479912-001-03-4,BRD-A67479912,progesterone,Progesterone receptor agonist
BRD-A67516570-001-02-8,BRD-A67516570,lafutidine,Histamine receptor antagonist
BRD-A67616246-001-07-9,BRD-A67616246,levomequitazine,Histamine receptor antagonist
BRD-A67862938-034-14-9,BRD-A67862938,naftidrofuryl,Adrenergic receptor antagonist
BRD-A68281735-001-18-6,BRD-A68281735,REV-5901,Leukotriene receptor antagonist|Lipoxygenase inhibitor
BRD-A68304895-003-02-2,BRD-A68304895,bts-54505,dopamine reuptake inhibitor
BRD-A68464583-001-02-5,BRD-A68464583,mazindol,Dopamine reuptake inhibitor|Serotonin reuptake inhibitor
BRD-A68493689-001-01-9,BRD-A68493689,simeprevir,HCV inhibitor
BRD-A68888262-003-15-1,BRD-A68888262,azelastine,Histamine receptor antagonist
BRD-A68942014-003-01-7,BRD-A68942014,amitifadine,Serotonin transporter (SERT) inhibitor
BRD-A69275535-001-01-5,BRD-A69275535,pinitol,Gamma secretase inhibitor
BRD-A69636825-003-04-7,BRD-A69636825,diltiazem,Calcium channel blocker
BRD-A69815203-001-07-6,BRD-A69815203,cyclosporin-a,Calcineurin inhibitor
BRD-A69951442-001-01-3,BRD-A69951442,dexamethasone,Glucocorticoid receptor agonist
BRD-A70083328-001-23-5,BRD-A70083328,secnidazole,Acetylcholinesterase inhibitor|Microtubule inhibitor
BRD-A70858459-001-01-7,BRD-A70858459,estramustine,DNA alkylating drug
BRD-A70998768-004-01-1,BRD-A70998768,pinaverium,T-type calcium channel blocker
BRD-A72066420-001-04-5,BRD-A72066420,mifobate,PPAR receptor antagonist
BRD-A72309220-001-04-1,BRD-A72309220,metergoline,Dopamine receptor agonist|Serotonin receptor antagonist
BRD-A72390365-001-15-2,BRD-A72390365,choline-alfoscerate,Acetylcholine receptor agonist|Membrane permeability enhancer|Acetylcholine precursor
BRD-A72711497-236-03-8,BRD-A72711497,lasalocid,Bacterial permeability inducer
BRD-A73368467-003-17-6,BRD-A73368467,fexofenadine,Histamine receptor antagonist
BRD-A73556557-001-06-4,BRD-A73556557,tagatose,Phosphorylase inhibitor
BRD-A73741725-001-02-8,BRD-A73741725,exemestane,Aromatase inhibitor
BRD-A73908300-001-06-7,BRD-A73908300,EX-527,SIRT inhibitor
BRD-A74391928-051-01-3,BRD-A74391928,ibutilide,Potassium channel blocker
BRD-A74667430-001-23-6,BRD-A74667430,etodolac,Cyclooxygenase inhibitor
BRD-A74914197-001-02-9,BRD-A74914197,pralatrexate,Dihydrofolate reductase inhibitor
BRD-A74980173-001-11-9,BRD-A74980173,gatifloxacin,Bacterial DNA gyrase inhibitor
BRD-A75172220-001-04-0,BRD-A75172220,hydrocortisone,Glucocorticoid receptor agonist
BRD-A75305484-001-01-3,BRD-A75305484,anidulafungin,"Fungal 1,3-beta-D-glucan synthase inhibitor"
BRD-A75479906-001-02-4,BRD-A75479906,rimantadine,Antiviral|RNA synthesis inhibitor
BRD-A75726477-003-21-3,BRD-A75726477,clenbuterol,Adrenergic receptor agonist
BRD-A76747559-001-03-1,BRD-A76747559,rutin,Antioxidant|Capillary stabilizing agent|Nitric oxide scavenger
BRD-A77216878-001-01-4,BRD-A77216878,manumycin-a,Farnesyltransferase inhibitor|NFkB pathway inhibitor
BRD-A78195072-001-06-2,BRD-A78195072,imexon,Apoptosis stimulant|Ribonucleoside reductase inhibitor
BRD-A78341343-001-01-6,BRD-A78341343,regadenoson,Adenosine receptor agonist
BRD-A78723049-001-01-2,BRD-A78723049,cefotetan,Bacterial cell wall synthesis inhibitor
BRD-A78877355-001-03-0,BRD-A78877355,nefopam,Cyclooxygenase inhibitor
BRD-A79431551-001-01-1,BRD-A79431551,3-deazaadenosine,Adenosylhomocysteinase inhibitor
BRD-A79768653-001-12-0,BRD-A79768653,sirolimus,MTOR inhibitor
BRD-A79981887-003-16-4,BRD-A79981887,midodrine,Adrenergic receptor agonist
BRD-A80017228-001-25-7,BRD-A80017228,bendroflumethiazide,Sodium/potassium/chloride transporter inhibitor
BRD-A80151636-066-04-8,BRD-A80151636,bromocriptine,Dopamine receptor agonist
BRD-A81233518-004-16-1,BRD-A81233518,glycopyrrolate,Acetylcholine receptor antagonist
BRD-A82035391-001-02-7,BRD-A82035391,tolvaptan,Vasopressin receptor antagonist
BRD-A82156122-001-01-9,BRD-A82156122,saxagliptin,Dipeptidyl peptidase inhibitor
BRD-A82395837-001-01-9,BRD-A82395837,ginkgolide-b,Platelet activating factor receptor antagonist|GABA receptor antagonist|Glycine receptor antagonist|Immunosuppressant|Peptidase inhibitor|Protease inhibitor|Reducing agent
BRD-A82396632-008-29-0,BRD-A82396632,miconazole,Bacterial cell wall synthesis inhibitor
BRD-A82522119-001-01-7,BRD-A82522119,tibolone,Estrogen receptor agonist|Androgen receptor agonist|Progesterone receptor agonist
BRD-A82772293-001-03-2,BRD-A82772293,mepazine,Mucosa associated lymphoid tissue lymphoma translocation protein 1 (MALT1) inhibitor
BRD-A83081521-001-02-3,BRD-A83081521,finasteride,5 alpha reductase inhibitor
BRD-A84174393-236-07-1,BRD-A84174393,meloxicam,Cyclooxygenase inhibitor
BRD-A84481105-003-20-6,BRD-A84481105,thioridazine,Dopamine receptor antagonist
BRD-A84575140-001-02-4,BRD-A84575140,pimobendan,Calcium sensitizer|Phosphodiesterase inhibitor
BRD-A85439007-001-01-6,BRD-A85439007,idoxuridin,DNA synthesis inhibitor
BRD-A85548292-001-01-8,BRD-A85548292,piketoprofen,Cyclooxygenase inhibitor
BRD-A86216746-046-02-6,BRD-A86216746,varenicline,Acetylcholine receptor agonist
BRD-A86248581-001-01-4,BRD-A86248581,tetrahydrouridine,Cytidine deaminase inhibitor
BRD-A86871940-001-01-9,BRD-A86871940,nicaraven,Free radical scavenger
BRD-A87130939-001-07-9,BRD-A87130939,masoprocol,Lipoxygenase inhibitor
BRD-A87435144-001-01-6,BRD-A87435144,azd7545,Pyruvate dehydrogenase kinase inhibitor
BRD-A87479750-001-02-7,BRD-A87479750,tenidap,Cyclooxygenase inhibitor
BRD-A88138582-001-04-8,BRD-A88138582,halcinonide,Glucocorticoid receptor agonist
BRD-A89164055-001-03-3,BRD-A89164055,sorbinil,Aldose reductase inhibitor
BRD-A89175223-051-14-8,BRD-A89175223,bisoprolol,Adrenergic receptor antagonist
BRD-A90547603-001-02-5,BRD-A90547603,eptifibatide,Platelet aggregation inhibitor
BRD-A90625545-001-02-0,BRD-A90625545,clinofibrate,Lipase clearing factor inhibitor
BRD-A90799790-001-19-9,BRD-A90799790,isradipine,Calcium channel blocker
BRD-A91699651-316-10-9,BRD-A91699651,chloroquine,Antimalarial agent
BRD-A91877226-001-01-4,BRD-A91877226,capecitabine,DNA synthesis inhibitor|Thymidylate synthase inhibitor
BRD-A92537424-001-04-7,BRD-A92537424,danazol,Estrogen receptor antagonist|Progesterone receptor agonist
BRD-A92630576-050-24-1,BRD-A92630576,trimebutine,Opioid receptor agonist
BRD-A92826379-001-01-5,BRD-A92826379,lupanine,Sodium channel blocker
BRD-A93000692-001-08-1,BRD-A93000692,ciglitazone,PPAR receptor agonist
BRD-A93093700-001-02-9,BRD-A93093700,temazepam,GABA receptor agonist
BRD-A93255169-001-28-3,BRD-A93255169,thalidomide,TNF production inhibitor
BRD-A93353767-008-02-2,BRD-A93353767,isoconazole,Fungal lanosterol demethylase inhibitor
BRD-A93424738-001-04-8,BRD-A93424738,dexamethasone,Glucocorticoid receptor agonist
BRD-A93964801-003-03-3,BRD-A93964801,clinafloxacin,Bacterial DNA gyrase inhibitor
BRD-A94276798-001-01-4,BRD-A94276798,talinolol,Adrenergic receptor antagonist
BRD-A94543220-001-24-7,BRD-A94543220,bifonazole,Sterol demethylase inhibitor
BRD-A94756469-001-04-7,BRD-A94756469,digoxin,ATPase inhibitor
BRD-A95032015-065-01-2,BRD-A95032015,abacavir,Reverse transcriptase inhibitor
BRD-A95696066-003-13-8,BRD-A95696066,nisoxetine,Norepinephrine reuptake inhibitor
