cpd,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,cpd_size
FPL-55712,0.272,0.169,0.019,0.268,0.328,0.011,3
GSK-461364,0.046,0.004,0.148,0.001,0.118,0.004,3
IKK-2-inhibitor-V,0.851,0.264,0.052,0.0,0.0,0.0,2
JNJ-26854165,0.0,0.0,0.0,0.0,0.0,0.0,3
JNJ-38877605,0.847,0.256,0.782,0.271,0.0,0.054,4
JTC-801,0.567,0.673,0.377,0.031,0.067,0.0,2
JTE-907,0.303,0.974,0.518,0.24,0.073,0.002,3
L-690330,0.02,0.382,0.636,0.436,0.195,0.074,3
MDL-73005EF,0.963,0.21,0.36,0.048,0.014,0.019,3
MK-1775,0.01,0.681,0.012,0.0,0.002,0.0,3
MK-2206,0.019,0.327,0.12,0.002,0.0,0.006,3
MLN-2238,0.26,0.427,0.038,0.0,0.0,0.0,2
MLN-4924,0.003,0.001,0.0,0.0,0.0,0.0,3
MLN-8054,0.067,0.042,0.066,0.001,0.0,0.0,3
NF-449,0.131,0.097,0.163,0.125,0.993,0.878,3
NVP-BEZ235,0.097,0.717,0.66,0.0,0.0,0.0,3
PCA-4248,0.191,0.067,0.006,0.058,0.935,0.051,3
PD-0325901,0.001,0.0,0.0,0.005,0.001,0.0,2
PD-184352,0.234,0.169,0.004,0.0,0.0,0.0,3
PF-04217903,0.008,0.002,0.007,0.0,0.002,0.153,3
PF-562271,0.195,0.523,0.019,0.0,0.0,0.0,3
PHA-793887,0.042,0.001,0.0,0.0,0.0,0.0,3
PK-11195,0.144,0.47,0.222,0.801,0.367,0.093,3
PX-12,0.441,0.73,0.667,0.421,0.223,0.752,2
RHO-kinase-inhibitor-III[rockout],0.0,0.048,0.103,0.023,0.049,0.009,2
SCH-28080,0.39,0.292,0.454,0.018,0.588,0.371,3
SR-27897,0.157,0.037,0.032,0.126,0.008,0.18,3
SR-57227A,0.157,0.014,0.007,0.01,0.487,0.006,3
TAK-715,0.994,0.969,0.988,0.045,0.952,0.75,3
TG100-115,0.255,0.126,0.567,0.213,0.009,0.553,3
THM-I-94,0.082,0.005,0.0,0.0,0.0,0.0,3
TTNPB,0.012,0.289,0.042,0.018,0.241,0.389,3
XL-147,0.573,0.426,0.233,0.084,0.105,0.08,3
Y-26763,0.028,0.003,0.15,0.032,0.009,0.243,3
Y-27152,0.258,0.731,0.542,0.535,0.799,0.184,3
Y-27632,0.059,0.39,0.018,0.001,0.001,0.0,3
Y-39983,0.402,0.387,0.343,0.128,0.258,0.089,2
ZD-7288,0.171,0.034,0.62,0.526,0.188,0.052,3
ZK-93423,0.648,0.455,0.06,0.0,0.0,0.0,3
ZK-93426,0.63,0.392,0.945,0.815,0.067,0.006,3
abacavir,0.2,0.084,0.478,0.163,0.397,0.622,3
abiraterone-acetate,0.312,0.551,0.191,0.756,0.099,0.027,3
abt-202,0.547,0.038,0.654,0.193,0.901,0.023,3
abt-239,0.065,0.203,0.279,0.192,0.649,0.002,3
abt-724,0.31,0.252,0.286,0.198,0.261,0.255,3
acarbose,0.657,0.428,0.245,0.865,0.594,0.186,3
acebutolol,0.089,0.311,0.219,0.026,0.036,0.218,2
acecainide,0.288,0.478,0.11,0.109,0.067,0.256,3
acenocoumarol,0.075,0.007,0.026,0.01,0.06,0.124,3
acetazolamide,0.916,0.302,0.392,0.639,0.142,0.389,3
acetylcysteine,0.112,0.825,0.14,0.504,0.492,0.492,3
acexamic-acid,0.002,0.007,0.026,0.262,0.009,0.811,3
acifran,0.094,0.57,0.353,0.024,0.238,0.081,2
acipimox,0.976,0.028,0.617,0.026,0.292,0.981,3
acivicin,0.016,0.014,0.012,0.044,0.0,0.0,3
aclidinium,0.056,0.658,0.2,0.143,0.805,0.416,2
acrivastine,0.097,0.007,0.009,0.0,0.015,0.341,3
actarit,0.238,0.46,0.11,0.03,0.017,0.002,3
acy-1215,0.038,0.567,0.155,0.01,0.005,0.001,2
adapalene,0.233,0.365,0.038,0.024,0.008,0.0,3
adarotene,0.912,0.377,0.12,0.0,0.0,0.0,3
adatanserin,0.035,0.003,0.001,0.231,0.026,0.002,3
adenosine,0.37,0.293,0.119,0.128,0.118,0.155,3
adoprazine,0.059,0.857,0.965,0.048,0.543,0.153,3
afatinib,0.234,0.01,0.109,0.116,0.033,0.002,2
afloqualone,0.82,0.123,0.928,0.295,0.529,0.322,3
agi-5198,0.4,0.57,0.12,0.234,0.668,0.285,3
agi-6780,0.34,0.569,0.494,0.203,0.437,0.139,2
agomelatine,0.248,0.393,0.269,0.367,0.292,0.08,3
agp-103,0.212,0.027,0.148,0.278,0.129,0.271,3
alaproclate,0.096,0.08,0.007,0.03,0.015,0.219,3
albendazole,0.003,0.018,0.008,0.0,0.0,0.0,3
alectinib,0.034,0.014,0.018,0.13,0.0,0.0,3
alisertib,0.016,0.122,0.009,0.039,0.019,0.014,2
aliskiren,0.039,0.905,0.99,0.027,0.125,0.985,3
alizapride,0.03,0.789,0.067,0.224,0.074,0.375,3
allopurinol,0.11,0.366,0.086,0.71,0.142,0.084,3
almitrine,0.018,0.022,0.018,0.011,0.003,0.118,3
almorexant,0.661,0.002,0.16,0.514,0.539,0.978,3
altanserin,0.417,0.074,0.631,0.471,0.171,0.156,3
altrenogest,0.002,0.001,0.117,0.018,0.002,0.002,3
altretamine,0.033,0.315,0.063,0.03,0.218,0.087,3
alvespimycin,0.0,0.0,0.0,0.0,0.0,0.0,3
alvimopan,0.104,0.015,0.139,0.335,0.245,0.03,3
alvocidib,0.0,0.0,0.0,0.0,0.0,0.0,3
am-24,0.224,0.126,0.16,0.027,0.073,0.139,3
amantadine,0.374,0.173,0.774,0.043,0.155,0.018,3
ambrisentan,0.327,0.551,0.467,0.436,0.096,0.349,3
ambroxol,0.441,0.24,0.463,0.413,0.474,0.187,2
amd11070,0.092,0.3,0.257,0.306,0.172,0.022,3
amg-208,0.683,0.029,0.269,0.079,0.276,0.029,3
amg-232,0.442,0.621,0.018,0.0,0.0,0.0,3
amg-517,0.021,0.232,0.047,0.0,0.123,0.0,3
amikacin,0.041,0.016,0.236,0.009,0.129,0.048,3
amiloride,0.326,0.43,0.08,0.109,0.302,0.241,3
aminocaproic-acid,0.123,0.137,0.462,0.775,0.696,0.825,3
aminoglutethimide,0.21,0.007,0.529,0.583,0.105,0.002,3
aminoguanidine,0.16,0.536,0.352,0.56,0.012,0.229,3
aminolevulinic-acid,0.796,0.332,0.102,0.921,0.049,0.591,3
aminosalicylic-acid,0.189,0.273,0.814,0.213,0.993,0.005,3
amiodarone,0.081,0.045,0.537,0.055,0.018,0.006,3
amiprilose,0.129,0.218,0.133,0.324,0.129,0.057,3
amitifadine,0.653,0.478,0.069,0.069,0.993,0.527,3
amlexanox,0.058,0.101,0.338,0.035,0.684,0.08,3
amlodipine,0.026,0.003,0.046,0.01,0.061,0.005,3
ammonium-glycyrrhizinate,0.02,0.551,0.814,0.062,0.008,0.977,3
amonafide,0.169,0.644,0.452,0.068,0.0,0.0,3
amoxapine,0.324,0.56,0.341,0.419,0.759,0.216,4
ampalex,0.126,0.001,0.967,0.745,0.377,0.347,2
amrinone,0.451,0.147,0.222,0.12,0.106,0.094,3
amsacrine,0.0,0.0,0.0,0.0,0.0,0.0,3
amtolmetin-guacil,0.101,0.041,0.011,0.086,0.01,0.937,3
amuvatinib,0.406,0.225,0.268,0.111,0.034,0.007,2
anamorelin,0.031,0.03,0.288,0.858,0.412,0.361,4
anandamide,0.006,0.179,0.011,0.925,0.476,0.524,3
andrographolide,0.055,0.438,0.361,0.491,0.01,0.005,3
anecortave-acetate,0.871,0.247,0.221,0.459,0.006,0.446,2
anidulafungin,0.039,0.939,0.995,0.549,0.514,0.485,3
aniracetam,0.178,0.407,0.159,0.305,0.031,0.115,3
anisodamine,0.526,0.001,0.438,0.452,0.171,0.725,2
ap26113,0.793,0.42,0.011,0.052,0.015,0.002,2
apafant,0.038,0.234,0.014,0.018,0.053,0.004,3
apd668,0.696,0.128,0.047,0.24,0.002,0.017,3
aphidicolin,0.462,0.292,0.0,0.0,0.0,0.0,3
api-001,0.012,0.001,0.213,0.018,0.17,0.243,3
apixaban,0.035,0.014,0.007,0.137,0.012,0.084,3
apocynin,0.031,0.836,0.252,0.885,0.002,0.031,3
apremilast,0.486,0.523,0.361,0.213,0.096,0.018,3
aprepitant,0.14,0.302,0.289,0.691,0.923,0.178,3
arbutin,0.024,0.208,0.081,0.448,0.008,0.054,3
argatroban,0.107,0.183,0.794,0.02,0.028,0.018,3
arglabin,0.262,0.356,0.012,0.48,0.314,0.318,2
aripiprazole,0.657,0.683,0.181,0.012,0.011,0.0,3
arofylline,0.603,0.43,0.495,0.226,0.238,0.946,3
arry-334543,0.092,0.005,0.038,0.153,0.079,0.016,3
artesunate,0.076,0.053,0.147,0.03,0.001,0.0,3
asa-404,0.697,0.02,0.448,0.002,0.089,0.036,3
asc-j9,0.343,0.014,0.692,0.17,0.129,0.0,3
asenapine,0.843,0.643,0.629,0.287,0.649,0.775,3
aspirin,0.007,0.279,0.019,0.101,0.797,0.245,3
at13387,0.334,0.074,0.004,0.0,0.0,0.0,3
ataluren,0.569,0.364,0.319,0.52,0.313,0.164,2
atenolol,0.4,0.907,0.543,0.316,0.303,0.457,2
atipamezole,0.318,0.06,0.708,0.677,0.228,0.636,3
atn-161,0.005,0.06,0.774,0.299,0.076,0.489,3
atomoxetine,0.122,0.144,0.361,0.321,0.28,0.074,3
atorvastatin,0.009,0.004,0.237,0.144,0.855,0.006,3
atracurium,0.751,0.83,0.063,0.637,0.101,0.025,3
atrasentan,0.476,0.878,0.245,0.174,0.711,0.248,3
av-608,0.034,0.024,0.361,0.287,0.061,0.005,3
avagacestat,0.603,0.003,0.171,0.03,0.084,0.314,3
avanafil,0.116,0.19,0.428,0.206,0.485,0.121,2
avasimibe,0.009,0.974,0.149,0.03,0.0,0.0,3
avl-292,0.014,0.028,0.035,0.028,0.002,0.0,3
avn-944,0.33,0.774,0.065,0.0,0.0,0.0,3
azacitidine,0.048,0.0,0.009,0.001,0.0,0.0,2
azathioprine,0.092,0.45,0.101,0.997,0.207,0.008,3
azd1208,0.417,0.252,0.152,0.012,0.054,0.086,3
azd1480,0.116,0.369,0.004,0.205,0.582,0.084,3
azd1981,0.412,0.522,0.964,0.083,0.16,0.409,3
azd2014,0.202,0.014,0.0,0.0,0.0,0.0,3
azd3514,0.163,0.301,0.087,0.212,0.28,0.007,2
azd4547,0.341,0.188,0.06,0.016,0.014,0.0,2
azd5363,0.211,0.416,0.026,0.013,0.003,0.0,3
azd7545,0.576,0.047,0.78,0.12,0.01,0.0,3
azd7687,0.154,0.034,0.038,0.122,0.068,0.023,3
azd7762,0.009,0.003,0.0,0.0,0.0,0.0,3
azd8931,0.508,0.06,0.062,0.002,0.048,0.002,3
azd9668,0.007,0.944,0.166,0.403,0.121,0.105,3
azelaic-acid,0.041,0.136,0.007,0.006,0.017,0.193,3
azelastine,0.819,0.43,0.169,0.096,0.437,0.025,3
balaglitazone,0.213,0.728,0.071,0.645,0.191,0.001,4
balapiravir,0.336,0.429,0.126,0.239,0.153,0.074,2
balicatib,0.005,0.9,0.403,0.075,0.008,0.042,3
balsalazide,0.041,0.003,0.108,0.275,0.548,0.353,3
bambuterol,0.442,0.423,0.269,0.515,0.158,0.162,3
bardoxolone-methyl,0.045,0.048,0.0,0.0,0.0,0.0,2
basimglurant,0.538,0.196,0.169,0.251,0.101,0.068,3
batimastat,0.428,0.033,0.246,0.125,0.051,0.024,2
bavisant,0.219,0.482,0.093,0.335,0.165,0.369,2
bay-87-2243,0.0,0.0,0.0,0.0,0.0,0.0,3
bazedoxifene,0.189,0.388,0.171,0.373,0.005,0.006,3
bci-540,0.028,0.316,0.441,0.191,0.045,0.865,3
beclomethasone-dipropionate,0.0,0.0,0.0,0.0,0.0,0.0,3
belinostat,0.86,0.007,0.0,0.0,0.0,0.0,3
bemegride,0.007,0.009,0.083,0.024,0.068,0.318,3
benazepril,0.296,0.687,0.36,0.527,0.799,0.018,3
bendamustine,0.146,0.752,0.955,0.572,0.003,0.241,3
bendroflumethiazide,0.794,0.016,0.908,0.075,0.497,0.398,2
benzbromarone,0.058,0.068,0.039,0.03,0.002,0.016,3
benzthiazide,0.024,0.936,0.053,0.432,0.067,0.055,3
benzydamine,0.295,0.24,0.735,0.56,0.725,0.932,2
benzylpenicillin,0.815,0.065,0.072,0.669,0.869,0.074,2
bepotastine,0.055,0.822,0.92,0.04,0.255,0.114,3
berberine,0.916,0.322,0.067,0.002,0.001,0.0,3
betahistine,0.002,0.085,0.119,0.029,0.206,0.042,3
betulinic-acid,0.411,0.967,0.992,0.093,0.008,0.219,3
bevirimat-dimeglumine,0.112,0.513,0.738,0.161,0.008,0.0,3
bexarotene,0.028,0.008,0.628,0.059,0.129,0.055,3
bezafibrate,0.249,0.0,0.003,0.173,0.148,0.396,2
bicalutamide,0.889,0.472,0.152,0.365,0.206,0.002,3
bifemelane,0.085,0.032,0.042,0.0,0.073,0.147,3
bifonazole,0.717,0.826,0.535,0.126,0.29,0.007,2
bimatoprost,0.03,0.41,0.338,0.272,0.384,0.214,3
bindarit,0.001,0.892,0.18,0.526,0.137,0.051,3
biperiden,0.985,0.337,0.689,0.011,0.341,0.325,3
birinapant,0.048,0.313,0.123,0.004,0.002,0.0,3
bisindolylmaleimide,0.298,0.001,0.001,0.556,0.018,0.0,2
bisoprolol,0.107,0.007,0.0,0.084,0.055,0.337,3
bitopertin,0.076,0.259,0.249,0.242,0.002,0.027,3
blonanserin,0.822,0.094,0.236,0.692,0.01,0.068,3
bms-599626,0.374,0.893,0.035,0.028,0.008,0.006,3
bms-707035,0.332,0.333,0.917,0.191,0.993,0.991,3
bms-927711,0.053,0.101,0.244,0.012,0.302,0.587,3
bopindolol,0.635,0.557,0.866,0.065,0.143,0.094,3
bortezomib,0.0,0.0,0.0,0.0,0.0,0.0,2
bosentan,0.026,0.449,0.612,0.035,0.041,0.036,2
bosutinib,0.58,0.194,0.139,0.193,0.067,0.0,3
brequinar,0.601,0.347,0.061,0.049,0.041,0.013,2
bretazenil,0.463,0.08,0.07,0.193,0.355,0.215,3
brexpiprazole,0.479,0.372,0.579,0.354,0.947,0.639,3
brivanib,0.966,0.152,0.169,0.126,0.102,0.004,3
brivudine,0.569,0.196,0.455,0.872,0.514,0.082,3
bromocriptine,0.101,0.37,0.13,0.916,0.37,0.134,3
broxuridine,0.203,0.019,0.564,0.088,0.071,0.006,3
bruceantin,0.0,0.0,0.0,0.0,0.0,0.0,2
bts-54505,0.01,0.963,0.147,0.116,0.121,0.628,3
bucladesine,0.0,0.007,0.032,0.004,0.011,0.021,3
budipine,0.28,0.205,0.29,0.824,0.186,0.241,2
bumetanide,0.622,0.241,0.332,0.6,0.438,0.074,2
bupivacaine,0.112,0.075,0.271,0.522,0.411,0.051,3
bupropion,0.446,0.474,0.748,0.043,0.445,0.025,3
buspirone,0.422,0.673,0.427,0.274,0.604,0.072,2
butoconazole,0.791,0.448,0.257,0.399,0.061,0.049,3
butorphanol-(+)-tartrate,0.55,0.069,0.748,0.034,0.623,0.904,3
bvd-523,0.446,0.89,0.004,0.029,0.0,0.0,3
cabazitaxel,0.0,0.0,0.0,0.0,0.0,0.0,3
cabergoline,0.0,0.041,0.04,0.599,0.043,0.209,3
cabozantinib,0.474,0.76,1.0,0.012,0.871,0.018,3
caffeine,0.928,0.983,0.262,0.783,0.703,0.252,4
calcitriol,0.16,0.067,0.078,0.672,0.051,0.015,3
camicinal,0.436,0.706,0.098,0.44,0.017,0.002,3
camptothecin,0.0,0.0,0.0,0.0,0.0,0.0,3
canagliflozin,0.195,0.098,0.042,0.272,0.61,0.051,3
candesartan,0.105,0.182,0.338,0.437,0.975,0.311,3
canertinib,0.18,0.111,0.148,0.072,0.097,0.017,3
canrenoic-acid,0.214,0.4,0.033,0.071,0.197,0.146,3
capecitabine,0.717,0.035,0.177,0.364,0.261,0.037,2
capsaicin,0.757,0.755,0.173,0.854,0.237,0.324,2
carbachol,0.491,0.214,0.025,0.216,0.552,0.076,2
carbamazepine,0.241,0.527,0.317,0.001,0.018,0.051,3
carbenoxolone,0.507,0.94,0.596,0.0,0.529,0.031,3
carbimazole,0.164,0.594,0.403,0.317,0.013,0.008,3
carglumic-acid,0.43,0.555,0.425,0.542,0.631,0.317,3
cariprazine,0.33,0.553,0.162,0.62,0.501,0.265,2
carisoprodol,0.028,0.426,0.296,0.109,0.177,0.068,3
carprofen,0.769,0.017,0.167,0.141,0.051,0.391,2
carvedilol,0.645,0.059,0.649,0.611,0.031,0.024,2
cb-10-277-(free-acid),0.087,0.194,0.128,0.55,0.055,0.184,3
cc-401,0.283,0.116,0.802,0.526,0.438,0.639,3
cc-930,0.171,0.79,0.16,0.438,0.987,0.102,3
cediranib,0.255,0.493,0.829,0.622,0.076,0.0,3
cefdinir,0.162,0.278,0.459,0.327,0.361,0.259,2
cefepime,0.708,0.222,0.62,0.149,0.447,0.582,3
cefoperazone,0.274,0.072,0.561,0.141,0.124,0.13,4
cefotetan,0.179,0.476,0.813,0.323,0.43,0.021,2
cefozopran,0.115,0.036,0.438,0.225,0.243,0.563,3
celecoxib,0.454,0.382,0.265,0.609,0.122,0.772,3
cep-37440,0.568,0.208,0.921,0.004,0.0,0.0,3
cepharanthine,0.39,0.601,0.171,0.148,0.036,0.008,2
cgp12177,0.463,0.049,0.128,0.684,0.301,0.196,3
chlorambucil,0.027,0.001,0.0,0.706,0.286,0.031,3
chlormezanone,0.003,0.264,0.301,0.027,0.09,0.086,3
chloroxine,0.024,0.014,0.018,0.587,0.007,0.0,3
chlorphenamine,0.316,0.211,0.266,0.591,0.175,0.03,3
chlorpromazine,0.123,0.131,0.16,0.251,0.011,0.0,3
chlorpropamide,0.147,0.111,0.97,0.018,0.275,0.074,3
chlortalidone,0.831,0.503,0.198,0.28,0.012,0.006,3
cholic-acid,0.189,0.721,0.305,0.188,0.328,0.785,2
choline-alfoscerate,0.137,0.028,0.846,0.096,0.11,0.006,3
cianidanol,0.172,0.013,0.683,0.418,0.265,0.053,3
ciclesonide,0.002,0.001,0.0,0.0,0.0,0.0,3
ciglitazone,0.492,0.367,0.187,0.124,0.637,0.416,3
cilengitide,0.289,0.363,0.287,0.232,0.264,0.219,3
cilomilast,0.089,0.261,0.052,0.324,0.573,0.506,3
cilostazol,0.417,0.621,0.168,0.405,0.401,0.068,3
cimetidine,0.723,0.295,0.193,0.902,0.009,0.136,3
cinaciguat,0.012,0.009,0.028,0.12,0.028,0.271,3
cinepazide,0.175,0.347,0.258,0.629,0.039,0.124,2
cinnarizine,0.588,0.644,0.066,0.823,0.301,0.031,3
cinoxacin,0.032,0.049,0.498,0.859,0.768,0.006,3
ciprofloxacin,0.459,0.111,0.24,0.072,0.091,0.004,3
cisapride,0.188,0.014,0.106,0.002,0.041,0.039,3
citalopram,0.504,0.594,0.52,0.667,0.573,0.08,3
cladribine,0.422,0.464,0.296,0.008,0.012,0.002,2
clarithromycin,0.03,0.02,0.144,0.609,0.175,0.241,3
clenbuterol,0.319,0.296,0.868,0.832,0.198,0.081,2
climbazole,0.523,0.339,0.12,0.212,0.258,0.399,2
clinafloxacin,0.436,0.234,0.774,0.115,0.419,0.648,3
clindamycin,0.253,0.014,0.44,0.997,0.993,0.222,3
clinofibrate,0.137,0.164,0.37,0.224,0.238,0.177,3
clioquinol,0.01,0.49,0.889,0.225,0.219,0.004,3
clobetasol,0.0,0.0,0.0,0.0,0.0,0.0,3
clofarabine,0.174,0.269,0.017,0.0,0.0,0.0,3
clofazimine,0.417,0.449,0.42,0.176,0.903,0.041,3
clofibric-acid,0.051,0.19,0.042,0.211,0.102,0.11,3
clofoctol,0.134,0.068,0.016,0.144,0.085,0.268,4
clomethiazole,0.168,0.292,0.309,0.012,0.122,0.023,3
clomifene,0.025,0.011,0.094,0.648,0.05,0.002,3
clonazepam,0.22,0.628,0.13,0.499,0.228,0.084,3
clonidine,0.617,0.103,0.215,0.118,0.041,0.283,2
clotrimazole,0.037,0.564,0.361,0.569,0.053,0.006,3
clozapine,0.984,0.882,0.042,0.072,0.008,0.051,3
co-102862,0.267,0.004,0.019,0.008,0.014,0.002,3
cobimetinib,0.009,0.003,0.0,0.0,0.0,0.0,4
colchicine,0.003,0.009,0.005,0.0,0.002,0.0,3
colforsin-daproate,0.105,0.192,0.935,0.244,0.129,0.404,3
combretastatin-a-4,0.989,0.003,0.0,0.0,0.0,0.0,3
conivaptan,0.492,0.128,0.018,0.059,0.011,0.876,3
cordycepin,0.042,0.396,0.445,0.757,0.803,0.567,2
"cp-945,598",0.133,0.153,0.004,0.044,0.054,0.007,3
cpi-1189,0.11,0.084,0.032,0.01,0.471,0.191,3
cpi-613,0.718,0.001,0.195,0.284,0.07,0.226,2
cromoglicic-acid,0.105,0.017,0.119,0.121,0.221,0.967,3
ct-7758,0.153,0.157,0.176,0.194,0.438,0.08,3
cts-1027,0.298,0.29,0.576,0.848,0.935,0.068,3
curcumin,0.325,0.137,0.307,0.021,0.041,0.134,3
cx-4945,0.547,0.44,0.327,0.062,0.009,0.0,3
cx-5461,0.678,0.645,0.078,0.004,0.0,0.0,3
cx516,0.973,0.182,0.524,0.068,0.289,0.251,3
cyanocobalamin,0.088,0.257,0.236,0.412,0.499,0.23,2
cyclizine,0.108,0.206,0.103,0.451,0.535,0.832,2
cyclobenzaprine,0.829,0.379,0.296,0.134,0.6,0.022,3
cyclosporin-a,0.886,0.06,0.004,0.0,0.0,0.0,3
cyproheptadine,0.253,0.003,0.16,0.202,0.564,0.188,3
cyproterone-acetate,0.307,0.209,0.53,0.203,0.121,0.528,2
cytarabine,0.01,0.181,0.006,0.018,0.539,0.796,3
cytisine,0.003,0.047,0.12,0.365,0.024,0.019,3
d-serine,0.024,0.39,0.018,0.471,0.497,0.752,3
dabigatran-etexilate,0.935,0.382,0.081,0.627,0.053,0.031,3
dabrafenib,0.069,0.016,0.0,0.001,0.003,0.004,3
dacarbazine,0.47,0.861,0.333,0.43,0.044,0.124,2
dacinostat,0.0,0.0,0.0,0.0,0.0,0.0,3
dacomitinib,0.042,0.085,0.023,0.42,0.028,0.0,3
danazol,0.058,0.19,0.102,0.068,0.232,0.025,3
danegaptide,0.837,0.233,0.617,0.907,0.935,0.505,3
dantrolene,0.382,0.232,0.452,0.685,0.358,0.049,3
danusertib,0.003,0.014,0.0,0.001,0.0,0.0,3
dapagliflozin,0.942,0.365,0.128,0.756,0.06,0.332,3
dapivirine,0.641,0.227,0.424,0.109,0.004,0.006,3
dapsone,0.375,0.06,0.989,0.369,0.529,0.506,3
darifenacin,0.273,0.041,0.514,0.15,0.066,0.001,3
darunavir,0.387,0.1,0.341,0.931,0.167,0.027,3
dasabuvir,0.199,0.654,0.191,0.676,0.23,0.017,3
dasatinib,0.351,0.196,0.002,0.005,0.004,0.009,2
dazoxiben,0.063,0.154,0.128,0.213,0.576,0.102,3
decitabine,0.007,0.012,0.04,0.004,0.009,0.0,3
defactinib,0.218,0.182,0.068,0.029,0.18,0.099,3
deferasirox,0.246,0.48,0.36,0.354,0.106,0.013,3
deferiprone,0.375,0.066,0.352,0.924,0.464,0.138,3
deforolimus,0.0,0.0,0.0,0.0,0.0,0.0,3
dehydroepiandrosterone,0.391,0.403,0.022,0.798,0.84,0.399,2
delanzomib,0.069,0.0,0.0,0.0,0.0,0.0,3
delivert,0.794,0.367,0.679,0.735,0.215,0.068,2
deoxycholic-acid,0.198,0.15,0.628,0.0,0.134,0.153,3
dequalinium,0.837,0.632,0.307,0.003,0.002,0.0,3
desmopressin-acetate,0.333,0.692,0.43,0.848,0.121,0.495,2
desoxypeganine,0.048,0.986,0.319,0.539,0.303,0.216,2
dexamethasone,0.0,0.002,0.0,0.0,0.0,0.0,6
dexfenfluramine,0.011,0.41,0.244,0.544,0.067,0.634,3
dexloxiglumide,0.141,0.178,0.153,0.057,0.206,0.002,3
dexniguldipine,0.9,0.013,0.06,0.029,0.488,0.018,3
dextromethorphan,0.132,0.403,0.118,0.001,0.061,0.285,3
diacerein,0.157,0.474,0.716,0.04,0.415,0.193,3
diazepam,0.567,0.017,0.137,0.479,0.45,0.378,2
diazoxide,0.005,0.028,0.004,0.086,0.026,0.025,3
diclofenac,0.055,0.014,0.925,0.416,0.009,0.235,3
diclofensine,0.572,0.092,0.309,0.083,0.394,0.516,3
dicloxacillin,0.195,0.585,0.692,0.313,0.068,0.042,3
dicoumarol,0.082,0.233,0.166,0.244,0.303,0.088,3
dideoxyadenosine,0.343,0.001,0.0,0.692,0.061,0.042,3
dienogest,0.65,0.138,0.139,0.261,0.837,0.383,3
diethylcarbamazine,0.791,0.068,0.655,0.068,0.753,0.033,3
diethylstilbestrol,0.611,0.639,0.255,0.865,0.702,0.506,2
diflunisal,0.009,0.084,0.02,0.032,0.207,0.04,3
dihydroergocristine,0.32,0.112,0.566,0.377,0.504,0.261,2
dihydroergotamine,0.547,0.501,0.673,0.57,0.318,0.97,3
dilazep,0.972,0.777,0.693,0.24,0.787,0.188,3
diltiazem,0.046,0.067,0.004,0.007,0.002,0.0,3
dimesna,0.271,0.354,0.098,0.32,0.361,0.726,2
dimethyl-fumarate,0.302,0.059,0.067,0.024,0.071,0.117,3
diminazene-aceturate,0.744,0.155,0.345,0.548,0.251,0.078,2
dinaciclib,0.001,0.0,0.0,0.0,0.0,0.0,3
dinoprost,0.669,0.152,0.127,0.27,0.043,0.023,3
diosmin,0.657,0.621,0.024,0.08,0.105,0.542,3
diphenidol,0.035,0.289,0.361,0.207,0.355,0.905,3
