moa,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,moa_size
glucosidase inhibitor,0.023,0.186,0.048,0.02,0.082,0.279,5
glutamate receptor agonist,0.84,0.733,0.676,0.608,0.727,0.592,4
glutamate receptor antagonist,0.243,0.223,0.806,0.879,0.36,0.931,7
glutamate receptor modulator,0.485,0.309,0.856,0.823,0.043,0.107,4
gonadotropin releasing factor hormone receptor agonist,0.366,0.144,0.249,0.902,0.715,0.991,2
growth hormone secretagogue receptor agonist,0.441,0.44,0.218,0.166,0.687,0.653,2
hcv inhibitor,0.53,0.504,0.133,0.266,0.225,0.381,8
hdac inhibitor,0.424,0.173,0.085,0.011,0.002,0.015,13
hepatocyte growth factor receptor inhibitor,0.348,0.613,0.352,0.419,0.312,0.566,2
histamine receptor agonist,0.02,0.019,0.0,0.022,0.0,0.456,3
histamine receptor antagonist,0.272,0.036,0.077,0.049,0.321,0.486,26
histamine receptor modulator,0.459,0.876,0.285,0.428,0.504,0.435,2
hiv integrase inhibitor,0.32,0.172,0.647,0.589,0.099,0.105,4
hiv protease inhibitor,0.214,0.121,0.447,0.822,0.253,0.291,7
hmgcr inhibitor,0.634,0.753,0.079,0.192,0.387,0.281,6
hsp inhibitor,0.462,0.21,0.0,0.0,0.0,0.0,6
hypoxia inducible factor inhibitor,0.344,0.452,0.105,0.021,0.056,0.078,2
immunostimulant,0.251,0.173,0.32,0.182,0.204,0.228,2
immunosuppressant,0.738,0.493,0.527,0.87,0.485,0.751,2
inosine monophosphate dehydrogenase inhibitor,0.768,0.716,0.935,0.03,0.016,0.002,2
insulin secretagogue,0.66,0.478,0.286,0.135,0.738,0.57,5
insulin sensitizer,0.209,0.559,0.76,0.724,0.101,0.045,2
integrin antagonist,0.693,0.523,0.323,0.467,0.456,0.177,5
isocitrate dehydrogenase inhibitor,0.632,0.808,0.263,0.698,0.686,0.455,2
jak inhibitor,0.509,0.41,0.098,0.404,0.099,0.008,7
jnk inhibitor,0.859,0.808,0.812,0.531,0.226,0.391,2
leukotriene inhibitor,0.906,0.632,0.579,0.438,0.133,0.435,2
leukotriene receptor antagonist,0.334,0.131,0.189,0.101,0.341,0.629,5
lipase inhibitor,0.579,0.492,0.196,0.605,0.504,0.385,2
lipid peroxidase inhibitor,0.23,0.28,0.322,0.311,0.711,0.587,2
lipoxygenase inhibitor,0.448,0.123,0.213,0.516,0.611,0.985,3
matrix metalloprotease inhibitor,0.781,0.995,0.796,0.956,0.228,0.039,3
mdm inhibitor,0.3,0.336,0.059,0.05,0.0,0.001,3
mek inhibitor,0.021,0.0,0.0,0.0,0.0,0.0,9
membrane integrity inhibitor,0.006,0.021,0.021,0.013,0.003,0.015,2
membrane permeability inhibitor,0.676,0.78,0.952,0.714,0.697,0.63,2
microtubule inhibitor,0.439,0.75,0.508,0.166,0.098,0.085,4
mineralocorticoid receptor antagonist,0.362,0.279,0.459,0.136,0.086,0.317,3
monoamine oxidase inhibitor,0.272,0.032,0.038,0.003,0.021,0.142,6
mtor inhibitor,0.004,0.0,0.0,0.0,0.0,0.0,8
mtor inhibitor|pi3k inhibitor,0.229,0.017,0.0,0.0,0.0,0.0,6
mucolytic agent,0.435,0.769,0.793,0.797,0.673,0.959,3
neprilysin inhibitor,0.612,0.582,0.149,0.503,0.624,0.444,2
neurotrophic agent,0.044,0.109,0.243,0.185,0.244,0.225,3
nfkb pathway inhibitor,0.078,0.298,0.305,0.468,0.5,0.793,5
nitric oxide donor,0.953,0.81,0.543,0.515,0.633,0.344,2
nitric oxide stimulant,0.871,0.838,0.891,0.959,0.865,0.881,2
nitric oxide synthase inhibitor,0.634,0.86,0.345,0.685,0.315,0.494,5
non-nucleoside reverse transcriptase inhibitor,0.965,0.965,0.471,0.766,0.703,0.071,4
norepinephrine reputake inhibitor|tricyclic antidepressant,0.004,0.024,0.126,0.478,0.367,0.425,2
nucleoside reverse transcriptase inhibitor,0.383,0.233,0.663,0.294,0.44,0.691,4
o6-alkylguanine-dna alkyltransferase inhibitor,0.372,0.322,0.183,0.545,0.191,0.376,2
opioid receptor agonist,0.009,0.01,0.004,0.039,0.026,0.105,4
opioid receptor agonist|opioid receptor antagonist,0.31,0.284,0.643,0.47,0.266,0.203,2
opioid receptor antagonist,0.837,0.499,0.378,0.15,0.82,0.484,4
orexin receptor antagonist,0.483,0.348,0.02,0.082,0.008,0.886,2
oxidative stress inducer,0.929,0.949,0.976,0.927,0.747,0.79,2
p38 mapk inhibitor,0.001,0.001,0.0,0.0,0.006,0.199,7
parp inhibitor,0.257,0.388,0.642,0.571,0.429,0.549,5
pdgfr tyrosine kinase receptor inhibitor|vegfr inhibitor,0.566,0.119,0.269,0.511,0.299,0.498,2
phosphodiesterase inhibitor,0.517,0.137,0.348,0.118,0.026,0.417,35
pi3k inhibitor,0.249,0.136,0.257,0.044,0.063,0.062,9
pim kinase inhibitor,0.566,0.873,0.193,0.171,0.267,0.109,2
pkc activator,0.0,0.0,0.0,0.0,0.0,0.001,2
pkc inhibitor,0.394,0.17,0.195,0.064,0.119,0.048,5
platelet activating factor receptor antagonist,0.709,0.162,0.288,0.569,0.797,0.293,2
plk inhibitor,0.0,0.0,0.0,0.0,0.0,0.0,4
potassium channel activator,0.771,0.985,0.992,0.812,0.836,0.868,6
potassium channel blocker,0.53,0.764,0.112,0.077,0.948,0.715,8
ppar receptor agonist,0.555,0.93,0.919,0.138,0.864,0.314,5
ppar receptor agonist|insulin sensitizer,0.353,0.16,0.466,0.294,0.093,0.08,3
progesterone receptor agonist,0.237,0.332,0.744,0.214,0.007,0.001,7
progesterone receptor antagonist,0.12,0.268,0.7,0.87,0.933,0.43,2
progestogen hormone,0.157,0.166,0.301,0.171,0.659,0.247,2
prostanoid receptor agonist,0.953,0.799,0.845,0.883,0.714,0.999,5
prostanoid receptor antagonist,0.027,0.015,0.005,0.087,0.651,0.687,4
protein synthesis inhibitor,0.537,0.185,0.061,0.278,0.248,0.475,6
protein synthesis stimulant,0.216,0.172,0.415,0.429,0.654,0.711,3
protein tyrosine kinase inhibitor,0.235,0.395,0.656,0.56,0.083,0.255,2
purine antagonist,0.717,0.478,0.049,0.0,0.0,0.003,2
purinergic receptor antagonist,0.216,0.123,0.515,0.451,0.711,0.849,3
raf inhibitor,0.227,0.392,0.231,0.693,0.639,0.365,6
retinoid receptor agonist,0.103,0.018,0.268,0.045,0.072,0.034,7
reverse transcriptase inhibitor,0.738,0.827,0.309,0.679,0.04,0.006,3
rho associated kinase inhibitor,0.333,0.432,0.331,0.375,0.395,0.133,6
ribonucleoside reductase inhibitor,0.674,0.968,0.958,0.664,0.823,0.112,2
ribonucleotide reductase inhibitor,0.472,0.825,0.836,0.65,0.453,0.729,2
rna polymerase inhibitor,0.023,0.03,0.299,0.518,0.06,0.163,8
rna synthesis inhibitor,0.047,0.621,0.9,0.891,0.95,0.933,2
selective serotonin reuptake inhibitor (ssri),0.661,0.676,0.295,0.121,0.116,0.2,4
serotonin receptor agonist,0.499,0.388,0.338,0.303,0.848,0.827,12
serotonin receptor agonist|serotonin receptor antagonist,0.029,0.104,0.125,0.029,0.178,0.241,3
serotonin receptor antagonist,0.131,0.027,0.188,0.114,0.055,0.207,15
serotonin reuptake inhibitor,0.659,0.383,0.239,0.337,0.112,0.565,5
serotonin transporter (sert) inhibitor,0.975,0.651,0.258,0.114,0.163,0.458,2
sigma receptor agonist,0.722,0.174,0.462,0.327,0.791,0.84,2
sigma receptor antagonist,0.234,0.191,0.553,0.382,0.902,0.82,4
sodium channel blocker,0.74,0.25,0.291,0.076,0.663,0.916,13
sodium/glucose cotransporter inhibitor,0.253,0.089,0.064,0.012,0.043,0.02,3
sodium/potassium/chloride transporter inhibitor,0.815,0.482,0.649,0.878,0.675,0.791,3
sterol demethylase inhibitor,0.278,0.261,0.147,0.158,0.832,0.622,7
sulfonylurea,0.275,0.166,0.258,0.328,0.452,0.357,2
t-type calcium channel blocker,0.584,0.815,0.593,0.358,0.552,0.47,3
tachykinin antagonist,0.938,0.239,0.397,0.723,0.482,0.062,6
tgf beta receptor inhibitor,0.138,0.046,0.152,0.05,0.106,0.098,3
thrombin inhibitor,0.209,0.239,0.197,0.284,0.153,0.532,2
thromboxane receptor antagonist,0.602,0.613,0.92,0.265,0.74,0.659,3
thromboxane synthase inhibitor,0.001,0.0,0.0,0.0,0.005,0.001,3
thymidylate synthase inhibitor,0.193,0.733,0.579,0.641,0.671,0.244,2
thyrotropin releasing hormone receptor agonist,0.199,0.449,0.078,0.118,0.199,0.37,2
topoisomerase inhibitor,0.204,0.906,0.885,0.196,0.0,0.0,17
tricyclic antidepressant,0.55,0.387,0.394,0.32,0.442,0.072,2
trpv antagonist,0.551,0.786,0.482,0.295,0.24,0.041,2
tubulin inhibitor,0.65,0.729,0.298,0.01,0.0,0.0,8
tumor necrosis factor release inhibitor,0.359,0.122,0.352,0.754,0.369,0.807,2
tyrosinase inhibitor,0.108,0.103,0.082,0.143,0.151,0.13,2
tyrosine kinase inhibitor,0.006,0.003,0.577,0.923,0.967,0.661,5
vasopressin receptor antagonist,0.31,0.634,0.843,0.854,0.134,0.094,4
vegfr inhibitor,0.292,0.154,0.173,0.386,0.39,0.149,4
vesicular monoamine transporter inhibitor,0.792,0.382,0.444,0.641,0.897,0.913,2
vitamin d receptor agonist,0.5,0.105,0.208,0.086,0.031,0.021,6
vitamin k antagonist,0.018,0.033,0.097,0.051,0.048,0.056,3
voltage-gated sodium channel blocker,0.928,0.641,0.311,0.967,0.989,1.0,3
xanthine oxidase inhibitor,0.086,0.076,0.07,0.105,0.147,0.356,4
xiap inhibitor,0.32,0.046,0.073,0.059,0.077,0.18,3
