moa,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,moa_size
c-met inhibitor,0.367,0.157,0.169,0.019,0.849,0.485,2
calcineurin inhibitor,0.334,0.559,0.075,0.765,0.354,0.016,3
calcitonin antagonist,0.074,0.762,0.238,0.172,0.152,0.209,3
calcium channel activator,0.51,0.081,0.335,0.302,0.129,0.182,2
calcium channel blocker,0.203,0.909,0.958,0.51,0.246,0.107,15
calmodulin antagonist,0.425,0.908,0.75,0.854,0.486,0.262,2
cannabinoid receptor agonist,0.95,0.976,0.991,0.969,0.194,0.997,3
cannabinoid receptor antagonist,0.882,0.433,0.75,0.295,0.002,0.808,2
cannabinoid receptor inverse agonist,0.691,0.983,0.881,0.733,0.266,0.508,2
carbonic anhydrase inhibitor,0.308,0.718,0.85,0.961,0.363,0.574,5
carnitine palmitoyltransferase inhibitor,0.037,0.098,0.576,0.1,0.124,0.297,2
cathepsin inhibitor,0.005,0.003,0.283,0.896,0.985,0.958,2
cc chemokine receptor antagonist,0.341,0.409,0.694,0.748,0.286,0.693,7
cck receptor antagonist,0.846,0.764,0.308,0.697,0.705,0.696,4
cdk inhibitor,0.835,0.954,0.139,0.0,0.0,0.001,7
cftr channel agonist,0.403,0.195,0.488,0.536,0.904,0.607,2
chelating agent,0.165,0.255,0.604,0.617,0.123,0.881,4
cholesterol inhibitor,0.79,0.408,0.333,0.721,0.432,0.344,3
coagulation factor inhibitor,0.203,0.016,0.267,0.986,0.241,0.99,4
cyclooxygenase inhibitor,0.779,0.546,0.578,0.26,0.916,0.694,27
cyclooxygenase inhibitor|prostanoid receptor antagonist,0.381,0.599,0.229,0.44,0.514,0.955,4
cytochrome p450 inhibitor,0.906,0.958,0.934,0.968,0.725,0.371,2
diacylglycerol o acyltransferase inhibitor,0.005,0.002,0.101,0.114,0.008,0.02,2
dihydrofolate reductase inhibitor,0.134,0.74,0.533,0.047,0.413,0.916,2
dihydroorotate dehydrogenase inhibitor,0.201,0.03,0.75,0.648,0.155,0.448,2
dipeptidyl peptidase inhibitor,0.735,0.528,0.209,0.547,0.175,0.338,3
diuretic,0.883,0.463,0.079,0.392,0.651,0.824,2
dna alkylating agent,0.815,0.91,0.466,0.156,0.802,0.27,2
dna alkylating drug,0.052,0.115,0.664,0.761,0.496,0.487,2
dna directed dna polymerase inhibitor,0.602,0.495,0.179,0.483,0.323,0.643,2
dna inhibitor,0.906,0.593,0.918,0.93,0.608,0.573,5
dna methyltransferase inhibitor,0.276,0.358,0.094,0.171,0.272,0.098,3
dna polymerase inhibitor,0.722,0.864,0.67,0.932,0.339,0.163,3
dna synthesis inhibitor,0.339,0.355,0.276,0.505,0.659,0.89,7
dopamine receptor agonist,0.408,0.405,0.186,0.166,0.104,0.229,9
dopamine receptor antagonist,0.08,0.044,0.299,0.018,0.056,0.02,19
dopamine receptor antagonist|serotonin receptor antagonist,0.837,0.174,0.953,0.907,0.462,0.415,9
dopamine reuptake inhibitor,0.56,0.487,0.482,0.113,0.509,0.144,2
dopamine uptake inhibitor,0.798,0.27,0.129,0.442,0.239,0.359,2
egfr inhibitor,0.353,0.001,0.0,0.0,0.0,0.0,13
elastase inhibitor,0.455,0.98,0.106,0.078,0.581,0.657,2
endothelin receptor antagonist,0.203,0.31,0.313,0.397,0.199,0.182,4
estrogen receptor agonist,0.3,0.456,0.763,0.715,0.955,0.666,6
estrogen receptor antagonist,0.228,0.159,0.019,0.017,0.022,0.07,2
estrogen receptor antagonist|selective estrogen receptor modulator (serm),0.51,0.198,0.164,0.333,0.562,0.087,2
farnesyltransferase inhibitor,0.625,0.99,0.689,0.21,0.315,0.371,3
fatty acid synthase inhibitor,0.12,0.039,0.069,0.115,0.284,0.339,2
fgfr inhibitor|vegfr inhibitor,0.236,0.219,0.997,0.244,0.441,0.868,3
focal adhesion kinase inhibitor,0.659,0.685,0.502,0.225,0.307,0.987,2
free radical scavenger,0.104,0.552,0.228,0.008,0.12,0.043,4
fungal squalene epoxidase inhibitor,0.272,0.753,0.388,0.933,0.965,0.146,3
gaba receptor agonist,0.489,0.279,0.247,0.007,0.812,0.254,3
gaba receptor antagonist,0.299,0.232,0.517,0.274,0.476,0.1,2
gaba receptor modulator,0.938,0.877,0.933,0.261,0.637,0.513,4
gamma secretase inhibitor,0.411,0.659,0.014,0.058,0.024,0.028,7
glucocorticoid receptor agonist,0.0,0.0,0.0,0.0,0.0,0.0,14
"glucose-dependent insulinotropic receptor (gdir, gpr119) agonists",0.374,0.207,0.396,0.331,0.506,0.517,2
glucosidase inhibitor,0.184,0.419,0.478,0.471,0.74,0.808,3
glutamate receptor agonist,0.54,0.782,0.05,0.041,0.952,0.408,4
glutamate receptor antagonist,0.23,0.341,0.397,0.793,0.614,0.856,5
glutamate receptor modulator,0.834,0.606,0.092,0.524,0.749,0.633,3
gonadotropin releasing factor hormone receptor agonist,0.31,0.133,0.129,0.639,0.06,0.288,2
growth hormone secretagogue receptor agonist,0.993,0.85,0.547,0.07,0.327,0.36,2
hcv inhibitor,0.21,0.025,0.42,0.508,0.926,0.008,7
hdac inhibitor,0.171,0.004,0.0,0.0,0.0,0.0,13
histamine receptor agonist,0.431,0.014,0.133,0.295,0.103,0.339,2
histamine receptor antagonist,0.379,0.147,0.107,0.299,0.353,0.154,24
histamine receptor modulator,0.257,0.477,0.561,0.881,0.703,0.893,2
hiv integrase inhibitor,0.017,0.633,0.884,0.827,0.749,0.084,3
hiv protease inhibitor,0.967,0.673,0.461,0.936,0.48,0.393,5
hmgcr inhibitor,0.637,0.76,0.712,0.171,0.8,0.342,5
hsp inhibitor,0.02,0.416,0.0,0.0,0.0,0.0,5
immunostimulant,0.228,0.316,0.069,0.102,0.241,0.505,2
immunosuppressant,0.235,0.937,0.731,0.667,0.04,0.381,2
inosine monophosphate dehydrogenase inhibitor,0.727,0.88,0.101,0.572,0.545,0.001,2
insulin secretagogue,0.341,0.219,0.077,0.088,0.304,0.587,4
insulin sensitizer,0.084,0.744,0.308,0.647,0.07,0.274,2
integrin antagonist,0.428,0.259,0.745,0.766,0.919,0.525,5
isocitrate dehydrogenase inhibitor,0.572,0.528,0.069,0.835,0.701,0.767,2
jak inhibitor,0.957,0.865,0.6,0.167,0.335,0.59,5
jnk inhibitor,0.517,0.286,0.032,0.189,0.998,0.162,2
leukotriene receptor antagonist,0.149,0.615,0.456,0.373,0.558,0.399,4
lipase inhibitor,0.403,0.207,0.751,0.442,0.673,0.256,2
lipoxygenase inhibitor,0.443,0.272,0.457,0.275,0.67,0.633,3
matrix metalloprotease inhibitor,0.863,0.87,0.488,0.89,0.434,0.092,3
mdm inhibitor,0.93,0.638,0.497,0.005,0.0,0.0,3
mek inhibitor,0.0,0.0,0.0,0.0,0.0,0.0,8
membrane permeability inhibitor,0.182,0.689,0.296,0.321,0.2,0.689,2
microtubule inhibitor,0.118,0.07,0.219,0.146,0.59,0.122,3
mineralocorticoid receptor antagonist,0.93,0.919,0.857,0.638,0.802,0.244,3
monoamine oxidase inhibitor,0.674,0.142,0.097,0.351,0.453,0.25,6
mtor inhibitor,0.0,0.0,0.0,0.0,0.0,0.0,6
mtor inhibitor|pi3k inhibitor,0.243,0.061,0.025,0.0,0.0,0.0,4
mucolytic agent,0.734,0.988,0.416,0.261,0.598,0.506,3
neurotrophic agent,0.602,0.911,0.948,0.521,0.749,0.783,2
nfkb pathway inhibitor,0.275,0.559,0.675,0.609,0.724,0.328,4
nitric oxide donor,0.552,0.975,0.958,0.345,0.496,0.691,2
nitric oxide stimulant,0.997,0.952,0.868,0.791,0.218,0.581,2
nitric oxide synthase inhibitor,0.442,0.848,0.523,0.879,0.439,0.087,4
non-nucleoside reverse transcriptase inhibitor,0.7,0.669,0.87,0.139,0.794,0.172,4
norepinephrine reputake inhibitor|tricyclic antidepressant,0.007,0.287,0.012,0.007,0.985,0.023,2
nucleoside reverse transcriptase inhibitor,0.142,0.99,0.236,0.117,0.839,0.908,4
o6-alkylguanine-dna alkyltransferase inhibitor,0.519,0.392,0.179,0.592,0.904,0.274,2
opioid receptor agonist,0.592,0.24,0.025,0.654,0.74,0.16,3
opioid receptor agonist|opioid receptor antagonist,0.935,0.845,0.324,0.968,0.308,0.385,2
opioid receptor antagonist,0.118,0.137,0.218,0.805,0.416,0.431,4
orexin receptor antagonist,0.518,0.503,0.302,0.114,0.486,0.9,2
oxidative stress inducer,0.851,0.393,0.486,0.333,0.603,0.319,2
p38 mapk inhibitor,0.114,0.018,0.036,0.012,0.008,0.015,6
parp inhibitor,0.609,0.098,0.649,0.771,0.693,0.894,5
pdgfr tyrosine kinase receptor inhibitor|vegfr inhibitor,0.59,0.275,0.284,0.332,0.075,0.538,2
phosphodiesterase inhibitor,0.211,0.35,0.467,0.394,0.658,0.538,28
pi3k inhibitor,0.496,0.329,0.128,0.226,0.869,0.067,7
pim kinase inhibitor,0.31,0.542,0.729,0.913,0.703,0.674,2
pkc inhibitor,0.916,0.077,0.863,0.853,0.612,0.2,4
platelet activating factor receptor antagonist,0.981,0.872,0.046,0.507,0.928,0.111,2
plk inhibitor,0.001,0.0,0.0,0.0,0.0,0.001,4
potassium channel activator,0.887,0.823,0.641,0.47,0.786,0.502,6
potassium channel blocker,0.003,0.494,0.175,0.979,0.559,0.284,4
ppar receptor agonist,0.111,0.723,0.475,0.012,0.625,0.312,3
ppar receptor agonist|insulin sensitizer,0.743,0.661,0.871,0.151,0.32,0.08,3
progesterone receptor agonist,0.577,0.631,0.461,0.12,0.269,0.037,7
progesterone receptor antagonist,0.426,0.612,0.676,0.721,0.323,0.057,2
progestogen hormone,0.072,0.003,0.199,0.074,0.138,0.208,2
prostanoid receptor agonist,0.68,0.208,0.42,0.098,0.145,0.031,3
prostanoid receptor antagonist,0.01,0.219,0.563,0.287,0.136,0.733,3
proteasome inhibitor,0.192,0.145,0.0,0.0,0.0,0.0,4
protein synthesis inhibitor,0.359,0.106,0.964,0.977,0.766,0.893,6
protein synthesis stimulant,0.322,0.667,0.17,0.568,0.605,0.507,3
purine antagonist,0.7,0.366,0.47,0.078,0.003,0.0,2
purinergic receptor antagonist,0.692,0.482,0.018,0.658,0.894,0.432,3
raf inhibitor,0.154,0.186,0.261,0.353,0.444,0.521,5
retinoid receptor agonist,0.118,0.73,0.093,0.031,0.079,0.015,6
reverse transcriptase inhibitor,0.318,0.169,0.705,0.535,0.7,0.495,3
rho associated kinase inhibitor,0.927,0.851,0.548,0.214,0.434,0.235,6
ribonucleoside reductase inhibitor,0.877,0.843,0.512,0.739,0.492,0.877,2
ribonucleotide reductase inhibitor,0.931,0.415,0.831,0.849,0.834,0.888,2
rna polymerase inhibitor,0.275,0.242,0.176,0.472,0.628,0.69,7
rna synthesis inhibitor,0.905,0.257,0.695,0.804,0.246,0.882,2
selective serotonin reuptake inhibitor (ssri),0.955,0.873,0.724,0.534,0.835,0.147,4
serotonin receptor agonist,0.909,0.981,0.16,0.472,0.486,0.973,12
serotonin receptor agonist|serotonin receptor antagonist,0.083,0.223,0.861,0.04,0.099,0.341,3
serotonin receptor antagonist,0.055,0.28,0.05,0.063,0.058,0.141,12
serotonin reuptake inhibitor,0.192,0.963,0.089,0.852,0.541,0.103,4
sigma receptor antagonist,0.999,0.848,0.559,0.137,0.998,0.444,3
sodium channel blocker,0.06,0.587,0.081,0.003,0.098,0.348,11
sodium/glucose cotransporter inhibitor,0.937,0.223,0.048,0.084,0.489,0.717,2
sodium/potassium/chloride transporter inhibitor,0.286,0.08,0.739,0.227,0.885,0.154,2
sterol demethylase inhibitor,0.161,0.7,0.365,0.339,0.093,0.282,7
sulfonylurea,0.92,0.392,0.276,0.04,0.121,0.053,2
t-type calcium channel blocker,0.734,0.937,0.305,0.563,0.1,0.108,3
tachykinin antagonist,0.556,0.707,0.042,0.374,0.099,0.319,6
tgf beta receptor inhibitor,0.359,0.802,0.542,0.499,0.747,0.762,2
thrombin inhibitor,0.71,0.578,0.937,0.576,0.924,0.304,2
thromboxane receptor antagonist,0.515,0.693,0.677,0.463,0.923,0.958,2
thromboxane synthase inhibitor,0.968,0.229,0.495,0.282,0.151,0.016,2
thymidylate synthase inhibitor,0.201,0.519,0.311,0.736,0.743,0.581,2
thyrotropin releasing hormone receptor agonist,0.859,0.619,0.328,0.66,0.241,0.214,2
topoisomerase inhibitor,0.911,0.754,0.143,0.057,0.001,0.0,15
tricyclic antidepressant,0.672,0.685,0.254,0.229,0.552,0.285,2
trpv antagonist,0.49,0.872,0.836,0.535,0.455,0.645,2
tubulin inhibitor,0.019,0.514,0.957,0.161,0.0,0.0,8
tumor necrosis factor release inhibitor,0.834,0.488,0.198,0.754,0.629,0.463,2
tyrosinase inhibitor,0.288,0.42,0.296,0.053,0.241,0.257,2
tyrosine kinase inhibitor,0.315,0.634,0.178,0.915,0.978,0.867,4
vasopressin receptor antagonist,0.357,0.589,0.365,0.464,0.165,0.581,4
vegfr inhibitor,0.781,0.74,0.539,0.853,0.086,0.001,4
vesicular monoamine transporter inhibitor,0.16,0.655,0.133,0.229,0.358,0.431,2
vitamin d receptor agonist,0.418,0.15,0.085,0.006,0.017,0.051,5
xanthine oxidase inhibitor,0.954,0.912,0.674,0.468,0.59,0.495,3
xiap inhibitor,0.293,0.298,0.01,0.003,0.013,0.018,3
