moa,moa_cpds_dose_1,moa_cpds_dose_2,moa_cpds_dose_3,moa_cpds_dose_4,moa_cpds_dose_5,moa_cpds_dose_6,moa_size
adrenergic receptor antagonist,timolol;acebutolol;levobunolol;sotalol;yohimbine;setiptiline;propranolol;imiloxan;carvedilol;doxazosin;metoprolol;nebivolol;dronedarone;esmolol;bopindolol;labetalol;naftopidil;atipamezole;reboxetine;vinburnine;org-9768;prazosin;urapidil;moxisylyte;naftidrofuryl;atenolol;tamsulosin;nicergoline;indoramin;pindolol;phentolamine;bisoprolol;talinolol,acebutolol;timolol;levobunolol;sotalol;yohimbine;setiptiline;propranolol;imiloxan;carvedilol;doxazosin;metoprolol;nebivolol;dronedarone;esmolol;bopindolol;labetalol;naftopidil;atipamezole;reboxetine;vinburnine;org-9768;prazosin;urapidil;moxisylyte;naftidrofuryl;atenolol;tamsulosin;nicergoline;indoramin;pindolol;phentolamine;bisoprolol;talinolol,acebutolol;timolol;levobunolol;sotalol;yohimbine;setiptiline;propranolol;imiloxan;carvedilol;doxazosin;metoprolol;nebivolol;dronedarone;esmolol;bopindolol;labetalol;naftopidil;atipamezole;reboxetine;vinburnine;org-9768;prazosin;urapidil;moxisylyte;naftidrofuryl;atenolol;tamsulosin;nicergoline;indoramin;pindolol;phentolamine;bisoprolol;talinolol,timolol;acebutolol;levobunolol;sotalol;yohimbine;setiptiline;propranolol;imiloxan;carvedilol;doxazosin;metoprolol;nebivolol;dronedarone;esmolol;bopindolol;labetalol;naftopidil;atipamezole;reboxetine;vinburnine;org-9768;prazosin;urapidil;moxisylyte;naftidrofuryl;atenolol;tamsulosin;nicergoline;indoramin;pindolol;phentolamine;bisoprolol;talinolol,acebutolol;timolol;levobunolol;sotalol;yohimbine;setiptiline;propranolol;imiloxan;carvedilol;doxazosin;metoprolol;nebivolol;dronedarone;esmolol;bopindolol;labetalol;naftopidil;atipamezole;reboxetine;vinburnine;org-9768;prazosin;urapidil;moxisylyte;naftidrofuryl;atenolol;tamsulosin;nicergoline;indoramin;pindolol;phentolamine;bisoprolol;talinolol,acebutolol;timolol;levobunolol;sotalol;setiptiline;yohimbine;propranolol;imiloxan;carvedilol;doxazosin;metoprolol;nebivolol;dronedarone;esmolol;bopindolol;labetalol;naftopidil;atipamezole;reboxetine;vinburnine;org-9768;prazosin;urapidil;moxisylyte;naftidrofuryl;atenolol;tamsulosin;nicergoline;indoramin;pindolol;phentolamine;bisoprolol;talinolol,33
akt inhibitor,gsk2110183;akt-inhibitor-1-2;gdc-0068;mk-2206;honokiol;azd5363,gsk2110183;akt-inhibitor-1-2;gdc-0068;mk-2206;honokiol;azd5363,gsk2110183;akt-inhibitor-1-2;gdc-0068;mk-2206;honokiol;azd5363,gsk2110183;akt-inhibitor-1-2;gdc-0068;mk-2206;honokiol;azd5363,gsk2110183;akt-inhibitor-1-2;gdc-0068;mk-2206;honokiol;azd5363,gsk2110183;akt-inhibitor-1-2;gdc-0068;mk-2206;honokiol;azd5363,6
alcohol dehydrogenase inhibitor,fomepizole;n6022,fomepizole;n6022,fomepizole;n6022,fomepizole;n6022,fomepizole;n6022,fomepizole;n6022,2
aldose reductase inhibitor,fidarestat;sorbinil,fidarestat;sorbinil,fidarestat;sorbinil,fidarestat;sorbinil,fidarestat;sorbinil,fidarestat;sorbinil,2
alk tyrosine kinase receptor inhibitor,alectinib;ap26113;cep-37440;crizotinib,alectinib;ap26113;cep-37440;crizotinib,alectinib;ap26113;cep-37440,alectinib;ap26113;cep-37440;crizotinib,alectinib;ap26113;cep-37440;crizotinib,alectinib;ap26113;cep-37440;crizotinib,4
ampk activator,phenformin;aica-ribonucleotide,phenformin;aica-ribonucleotide,phenformin;aica-ribonucleotide,phenformin;aica-ribonucleotide,phenformin;aica-ribonucleotide,phenformin;aica-ribonucleotide,2
androgen receptor agonist,epitiostanol;testosterone;oxandrolone,epitiostanol;testosterone;oxandrolone,epitiostanol;testosterone;oxandrolone,epitiostanol;testosterone;oxandrolone,epitiostanol;testosterone;oxandrolone,epitiostanol;testosterone;oxandrolone,3
androgen receptor antagonist,flutamide;bicalutamide;eugenol;enzalutamide;ru-58841;arn-509,flutamide;bicalutamide;eugenol;enzalutamide;ru-58841;arn-509,flutamide;bicalutamide;eugenol;enzalutamide;ru-58841;arn-509,flutamide;bicalutamide;eugenol;enzalutamide;ru-58841;arn-509,flutamide;bicalutamide;eugenol;enzalutamide;ru-58841;arn-509,flutamide;bicalutamide;eugenol;enzalutamide;ru-58841;arn-509,6
androgen receptor modulator,ostarine;galeterone;mk-0773;ps178990,ostarine;galeterone;mk-0773;ps178990,ostarine;galeterone;mk-0773;ps178990,ostarine;galeterone;mk-0773;ps178990,ostarine;galeterone;mk-0773;ps178990,ostarine;galeterone;mk-0773,4
angiogenesis inhibitor,asa-404;tranilast;tiabendazole,asa-404;tranilast;tiabendazole,asa-404;tranilast;tiabendazole,asa-404;tranilast;tiabendazole,asa-404;tranilast;tiabendazole,asa-404;tranilast;tiabendazole,3
angiotensin converting enzyme inhibitor,methiopril;enalapril;ore1001;benazepril;zofenopril-calcium;quinapril;lisinopril;ramipril,methiopril;enalapril;ore1001;zofenopril-calcium;benazepril;quinapril;lisinopril;ramipril,methiopril;enalapril;ore1001;benazepril;zofenopril-calcium;quinapril;lisinopril;ramipril,methiopril;enalapril;ore1001;benazepril;zofenopril-calcium;quinapril;lisinopril;ramipril,methiopril;enalapril;ore1001;zofenopril-calcium;benazepril;quinapril;lisinopril;ramipril,methiopril;enalapril;ore1001;zofenopril-calcium;benazepril;quinapril;lisinopril;ramipril,8
angiotensin receptor antagonist,valsartan;candesartan;losartan;olmesartan;telmisartan,valsartan;candesartan;losartan;olmesartan;telmisartan,valsartan;candesartan;losartan;olmesartan;telmisartan,valsartan;candesartan;losartan;olmesartan;telmisartan,valsartan;candesartan;losartan;olmesartan;telmisartan,valsartan;candesartan;losartan;olmesartan;telmisartan,5
antithyroid agent,methimazole;carbimazole,methimazole;carbimazole,methimazole;carbimazole,methimazole;carbimazole,methimazole;carbimazole,methimazole;carbimazole,2
antiviral,vidarabine;ribavirin,vidarabine;ribavirin,vidarabine;ribavirin,vidarabine;ribavirin,vidarabine;ribavirin,vidarabine;ribavirin,2
aromatase inhibitor,fadrozole;formestane;exemestane,fadrozole;formestane;exemestane,fadrozole;formestane;exemestane,fadrozole;formestane;exemestane,fadrozole;formestane;exemestane,fadrozole;formestane;exemestane,3
atp channel blocker,tolazamide;tolbutamide;chlorpropamide,tolazamide;tolbutamide;chlorpropamide,tolazamide;tolbutamide;chlorpropamide,tolazamide;tolbutamide;chlorpropamide,tolazamide;tolbutamide;chlorpropamide,tolazamide;tolbutamide;chlorpropamide,3
atpase inhibitor,omeprazole;sch-28080;digoxin;istaroxime,omeprazole;sch-28080;digoxin;istaroxime,omeprazole;sch-28080;digoxin;istaroxime,omeprazole;sch-28080;digoxin;istaroxime,omeprazole;sch-28080;digoxin;istaroxime,omeprazole;sch-28080;istaroxime;digoxin,4
aurora kinase inhibitor,pf-03814735;alisertib,pf-03814735;alisertib,pf-03814735;alisertib,pf-03814735;alisertib,pf-03814735;alisertib,pf-03814735;alisertib,2
bacterial 30s ribosomal subunit inhibitor,amikacin;doxycycline-hyclate;fusidic-acid;eperezolid;tobramycin,amikacin;doxycycline-hyclate;fusidic-acid;eperezolid;tobramycin,amikacin;doxycycline-hyclate;fusidic-acid;eperezolid;tobramycin,amikacin;doxycycline-hyclate;fusidic-acid;eperezolid;tobramycin,amikacin;doxycycline-hyclate;fusidic-acid;eperezolid;tobramycin,amikacin;doxycycline-hyclate;fusidic-acid;eperezolid;tobramycin,5
bacterial 50s ribosomal subunit inhibitor,josamycin;clarithromycin;roxithromycin;tedizolid;linezolid;azithromycin,josamycin;clarithromycin;roxithromycin;tedizolid;linezolid;azithromycin,josamycin;clarithromycin;roxithromycin;tedizolid;linezolid;azithromycin,josamycin;clarithromycin;roxithromycin;tedizolid;linezolid;azithromycin,josamycin;clarithromycin;roxithromycin;tedizolid;linezolid;azithromycin,josamycin;clarithromycin;roxithromycin;tedizolid;linezolid;azithromycin,6
bacterial antifolate,sulfafurazole;dapsone,sulfafurazole;dapsone,sulfafurazole;dapsone,sulfafurazole;dapsone,sulfafurazole;dapsone,sulfafurazole;dapsone,2
bacterial cell wall synthesis inhibitor,cefdinir;butoconazole;fenticonazole;cefepime;dicloxacillin;tebipenem;cefoperazone;penicillin-v-potassium;oxiconazole;fosfomycin;cefozopran;miconazole;cefotetan;etanidazole,cefdinir;butoconazole;fenticonazole;cefepime;dicloxacillin;tebipenem;cefoperazone;penicillin-v-potassium;oxiconazole;fosfomycin;cefozopran;miconazole;cefotetan;etanidazole,cefdinir;butoconazole;fenticonazole;cefepime;dicloxacillin;tebipenem;cefoperazone;penicillin-v-potassium;oxiconazole;fosfomycin;cefozopran;miconazole;cefotetan;etanidazole,cefdinir;butoconazole;fenticonazole;cefepime;dicloxacillin;tebipenem;cefoperazone;penicillin-v-potassium;oxiconazole;fosfomycin;cefozopran;miconazole;cefotetan;etanidazole,cefdinir;butoconazole;fenticonazole;cefepime;dicloxacillin;tebipenem;cefoperazone;penicillin-v-potassium;oxiconazole;fosfomycin;cefozopran;miconazole;cefotetan;etanidazole,cefdinir;butoconazole;fenticonazole;cefepime;dicloxacillin;tebipenem;cefoperazone;penicillin-v-potassium;oxiconazole;fosfomycin;cefozopran;miconazole;cefotetan;etanidazole,14
bacterial dna gyrase inhibitor,ofloxacin;sparfloxacin;levofloxacin;norfloxacin;ciprofloxacin;trovafloxacin;gemifloxacin;moxifloxacin;novobiocin;gatifloxacin;clinafloxacin,ofloxacin;sparfloxacin;levofloxacin;norfloxacin;ciprofloxacin;trovafloxacin;gemifloxacin;moxifloxacin;novobiocin;gatifloxacin;clinafloxacin,ofloxacin;sparfloxacin;levofloxacin;norfloxacin;ciprofloxacin;trovafloxacin;gemifloxacin;moxifloxacin;novobiocin;gatifloxacin;clinafloxacin,ofloxacin;sparfloxacin;levofloxacin;norfloxacin;ciprofloxacin;trovafloxacin;gemifloxacin;moxifloxacin;novobiocin;gatifloxacin;clinafloxacin,ofloxacin;sparfloxacin;levofloxacin;norfloxacin;ciprofloxacin;trovafloxacin;gemifloxacin;moxifloxacin;novobiocin;gatifloxacin;clinafloxacin,ofloxacin;sparfloxacin;levofloxacin;norfloxacin;ciprofloxacin;trovafloxacin;gemifloxacin;moxifloxacin;novobiocin;gatifloxacin;clinafloxacin,11
bcl inhibitor,abt-737;gdc-0199;navitoclax,abt-737;gdc-0199;navitoclax,abt-737;gdc-0199;navitoclax,abt-737;gdc-0199;navitoclax,abt-737;gdc-0199;navitoclax,abt-737;gdc-0199;navitoclax,3
bcr-abl kinase inhibitor,metatinib;flumatinib,metatinib;flumatinib,metatinib;flumatinib,metatinib;flumatinib,metatinib;flumatinib,metatinib;flumatinib,2
benzodiazepine receptor agonist,diazepam;zk-93423;lorazepam;zolpidem;cgs-20625;etizolam;zaleplon,diazepam;zk-93423;lorazepam;zolpidem;cgs-20625;etizolam;zaleplon,diazepam;zk-93423;lorazepam;zolpidem;cgs-20625;etizolam;zaleplon,diazepam;zk-93423;lorazepam;zolpidem;cgs-20625;etizolam;zaleplon,diazepam;zk-93423;lorazepam;zolpidem;cgs-20625;etizolam;zaleplon,diazepam;zk-93423;lorazepam;zolpidem;cgs-20625;etizolam;zaleplon,7
benzodiazepine receptor antagonist,pk-11195;zk-93426;flumazenil,pk-11195;zk-93426;flumazenil,pk-11195;zk-93426;flumazenil,pk-11195;zk-93426;flumazenil,pk-11195;zk-93426;flumazenil,pk-11195;zk-93426;flumazenil,3
beta lactamase inhibitor,tazobactam;sulbactam,tazobactam;sulbactam,tazobactam;sulbactam,tazobactam;sulbactam,tazobactam;sulbactam,tazobactam;sulbactam,2
beta-secretase inhibitor,ly2886721;ly2811376,ly2886721;ly2811376,ly2886721;ly2811376,ly2886721;ly2811376,ly2886721;ly2811376,ly2886721;ly2811376,2
bruton's tyrosine kinase (btk) inhibitor,gdc-0834;avl-292,gdc-0834;avl-292,gdc-0834;avl-292,gdc-0834;avl-292,gdc-0834;avl-292,gdc-0834;avl-292,2
c-met inhibitor,mk-8033;pf-04217903,mk-8033;pf-04217903,mk-8033;pf-04217903,mk-8033;pf-04217903,mk-8033;pf-04217903,mk-8033;pf-04217903,2
calcineurin inhibitor,cyclosporin-a;pimecrolimus;tacrolimus,cyclosporin-a;pimecrolimus;tacrolimus,cyclosporin-a;pimecrolimus;tacrolimus,cyclosporin-a;pimecrolimus;tacrolimus,cyclosporin-a;pimecrolimus;tacrolimus,cyclosporin-a;pimecrolimus;tacrolimus,3
calcitonin antagonist,bms-927711;mk-3207;telcagepant,bms-927711;mk-3207;telcagepant,bms-927711;mk-3207;telcagepant,bms-927711;mk-3207;telcagepant,bms-927711;mk-3207;telcagepant,bms-927711;mk-3207;telcagepant,3
calcium channel activator,cinepazide;bay-k8644,cinepazide;bay-k8644,cinepazide;bay-k8644,cinepazide;bay-k8644,cinepazide;bay-k8644,cinepazide;bay-k8644,2
calcium channel blocker,nicardipine;nitrendipine;amlodipine;verapamil;felodipine;cinnarizine;sr-33805;nimodipine;lomerizine;lidoflazine;gabapentin;levetiracetam;dantrolene;diltiazem;isradipine,nicardipine;nitrendipine;amlodipine;verapamil;felodipine;cinnarizine;sr-33805;nimodipine;lomerizine;lidoflazine;gabapentin;levetiracetam;dantrolene;diltiazem;isradipine,nicardipine;nitrendipine;amlodipine;verapamil;felodipine;cinnarizine;sr-33805;nimodipine;lomerizine;lidoflazine;gabapentin;levetiracetam;dantrolene;diltiazem;isradipine,nicardipine;nitrendipine;amlodipine;verapamil;felodipine;cinnarizine;sr-33805;nimodipine;lomerizine;lidoflazine;gabapentin;levetiracetam;dantrolene;diltiazem;isradipine,nicardipine;nitrendipine;amlodipine;verapamil;felodipine;cinnarizine;sr-33805;nimodipine;lomerizine;lidoflazine;gabapentin;levetiracetam;dantrolene;diltiazem;isradipine,nicardipine;nitrendipine;amlodipine;verapamil;felodipine;cinnarizine;sr-33805;nimodipine;lomerizine;lidoflazine;gabapentin;levetiracetam;dantrolene;diltiazem;isradipine,15
calmodulin antagonist,zaldaride;dexniguldipine,zaldaride;dexniguldipine,zaldaride;dexniguldipine,zaldaride;dexniguldipine,zaldaride;dexniguldipine,zaldaride;dexniguldipine,2
cannabinoid receptor agonist,gw842166;anandamide;palmitoylethanolamide,gw842166;anandamide;palmitoylethanolamide,gw842166;anandamide;palmitoylethanolamide,gw842166;anandamide;palmitoylethanolamide,gw842166;anandamide;palmitoylethanolamide,gw842166;anandamide;palmitoylethanolamide,3
cannabinoid receptor antagonist,"cp-945,598;rimonabant","cp-945,598;rimonabant","cp-945,598;rimonabant","cp-945,598;rimonabant","cp-945,598;rimonabant","cp-945,598;rimonabant",2
cannabinoid receptor inverse agonist,taranabant;jte-907,taranabant;jte-907,taranabant;jte-907,taranabant;jte-907,taranabant;jte-907,taranabant;jte-907,2
carbonic anhydrase inhibitor,benzthiazide;methazolamide;acetazolamide;metolazone;dorzolamide,benzthiazide;methazolamide;acetazolamide;metolazone;dorzolamide,benzthiazide;methazolamide;acetazolamide;metolazone;dorzolamide,benzthiazide;methazolamide;acetazolamide;metolazone;dorzolamide,benzthiazide;methazolamide;acetazolamide;metolazone;dorzolamide,benzthiazide;methazolamide;acetazolamide;metolazone;dorzolamide,5
carnitine palmitoyltransferase inhibitor,etomoxir;perhexiline,etomoxir;perhexiline,etomoxir;perhexiline,etomoxir;perhexiline,etomoxir;perhexiline,etomoxir;perhexiline,2
cathepsin inhibitor,odanacatib;balicatib,odanacatib;balicatib,odanacatib;balicatib,odanacatib;balicatib,odanacatib;balicatib,odanacatib;balicatib,2
cc chemokine receptor antagonist,mk-0812;maraviroc;amd11070;reparixin;vicriviroc;zk811752;pf-04136309,mk-0812;maraviroc;amd11070;reparixin;vicriviroc;zk811752;pf-04136309,mk-0812;maraviroc;amd11070;reparixin;vicriviroc;zk811752;pf-04136309,mk-0812;maraviroc;amd11070;reparixin;vicriviroc;zk811752;pf-04136309,mk-0812;maraviroc;amd11070;reparixin;vicriviroc;zk811752;pf-04136309,mk-0812;maraviroc;amd11070;reparixin;vicriviroc;zk811752;pf-04136309,7
cck receptor antagonist,sr-27897;lorglumide;dexloxiglumide;proglumide,sr-27897;lorglumide;dexloxiglumide;proglumide,sr-27897;lorglumide;dexloxiglumide;proglumide,sr-27897;lorglumide;dexloxiglumide;proglumide,sr-27897;lorglumide;dexloxiglumide;proglumide,sr-27897;lorglumide;dexloxiglumide;proglumide,4
cdk inhibitor,dinaciclib;roscovitine;palbociclib;r547;pha-793887;azd-5438;alvocidib,dinaciclib;roscovitine;palbociclib;r547;pha-793887;azd-5438;alvocidib,dinaciclib;roscovitine;palbociclib;r547;pha-793887;azd-5438;alvocidib,dinaciclib;roscovitine;palbociclib;r547;pha-793887;azd-5438;alvocidib,dinaciclib;roscovitine;palbociclib;r547;pha-793887;azd-5438;alvocidib,dinaciclib;roscovitine;palbociclib;r547;pha-793887;azd-5438;alvocidib,7
cftr channel agonist,vx-809;vx-661,vx-809;vx-661,vx-809;vx-661,vx-809;vx-661,vx-809;vx-661,vx-809;vx-661,2
chelating agent,clioquinol;deferiprone;picolinic-acid;deferasirox,clioquinol;deferiprone;picolinic-acid;deferasirox,clioquinol;deferiprone;picolinic-acid;deferasirox,clioquinol;deferiprone;picolinic-acid;deferasirox,clioquinol;deferiprone;picolinic-acid;deferasirox,clioquinol;deferiprone;picolinic-acid;deferasirox,4
cholesterol inhibitor,acifran;acipimox;ursodeoxycholyltaurine,acifran;acipimox;ursodeoxycholyltaurine,acifran;acipimox;ursodeoxycholyltaurine,acifran;acipimox;ursodeoxycholyltaurine,acifran;acipimox;ursodeoxycholyltaurine,acifran;acipimox;ursodeoxycholyltaurine,3
coagulation factor inhibitor,edoxaban;apixaban;otamixaban;rivaroxaban,edoxaban;apixaban;otamixaban;rivaroxaban,edoxaban;apixaban;otamixaban;rivaroxaban,edoxaban;apixaban;otamixaban;rivaroxaban,edoxaban;apixaban;otamixaban;rivaroxaban,edoxaban;apixaban;otamixaban;rivaroxaban,4
cyclooxygenase inhibitor,oxaprozin;fentiazac;carprofen;ibuprofen;suprofen;diclofenac;aspirin;valdecoxib;nepafenac;celecoxib;epirizole;ketorolac;balsalazide;paracetamol;piroxicam;naproxen;indometacin;etoricoxib;meloxicam;phenazone;aminosalicylic-acid;piketoprofen;amtolmetin-guacil;etofenamate;nimesulide;etodolac;nefopam;tenidap;felbinac;ketoprofen,oxaprozin;fentiazac;carprofen;ibuprofen;suprofen;diclofenac;aspirin;valdecoxib;nepafenac;celecoxib;epirizole;ketorolac;balsalazide;paracetamol;naproxen;piroxicam;etoricoxib;meloxicam;phenazone;aminosalicylic-acid;piketoprofen;amtolmetin-guacil;etofenamate;nimesulide;etodolac;nefopam;tenidap;felbinac;ketoprofen,oxaprozin;fentiazac;carprofen;ibuprofen;suprofen;diclofenac;aspirin;valdecoxib;nepafenac;celecoxib;epirizole;ketorolac;balsalazide;paracetamol;indometacin;piroxicam;naproxen;etoricoxib;meloxicam;phenazone;aminosalicylic-acid;piketoprofen;amtolmetin-guacil;etofenamate;nimesulide;etodolac;nefopam;tenidap;felbinac;ketoprofen,oxaprozin;fentiazac;carprofen;ibuprofen;suprofen;diclofenac;aspirin;valdecoxib;nepafenac;celecoxib;epirizole;ketorolac;balsalazide;paracetamol;indometacin;piroxicam;naproxen;etoricoxib;meloxicam;phenazone;aminosalicylic-acid;piketoprofen;amtolmetin-guacil;etofenamate;nimesulide;etodolac;nefopam;tenidap;felbinac;ketoprofen,oxaprozin;fentiazac;carprofen;ibuprofen;suprofen;diclofenac;aspirin;valdecoxib;nepafenac;celecoxib;epirizole;ketorolac;balsalazide;paracetamol;indometacin;piroxicam;naproxen;etoricoxib;meloxicam;phenazone;aminosalicylic-acid;piketoprofen;amtolmetin-guacil;etofenamate;nimesulide;etodolac;nefopam;tenidap;felbinac;ketoprofen,oxaprozin;fentiazac;carprofen;ibuprofen;suprofen;diclofenac;aspirin;valdecoxib;nepafenac;celecoxib;epirizole;ketorolac;balsalazide;paracetamol;indometacin;piroxicam;naproxen;etoricoxib;meloxicam;phenazone;aminosalicylic-acid;piketoprofen;amtolmetin-guacil;etofenamate;nimesulide;etodolac;nefopam;tenidap;felbinac;ketoprofen,30
cyclooxygenase inhibitor|prostanoid receptor antagonist,phenylbutazone;loxoprofen;indoprofen;meclofenamic-acid,phenylbutazone;loxoprofen;indoprofen;meclofenamic-acid,phenylbutazone;loxoprofen;indoprofen;meclofenamic-acid,phenylbutazone;loxoprofen;indoprofen;meclofenamic-acid,phenylbutazone;loxoprofen;indoprofen;meclofenamic-acid,phenylbutazone;loxoprofen;indoprofen;meclofenamic-acid,4
cytochrome p450 inhibitor,voriconazole;vt-464,voriconazole;vt-464,voriconazole;vt-464,voriconazole;vt-464,voriconazole;vt-464,voriconazole;vt-464,2
diacylglycerol o acyltransferase inhibitor,pf-04620110;azd7687,pf-04620110;azd7687,pf-04620110;azd7687,pf-04620110;azd7687,pf-04620110;azd7687,pf-04620110;azd7687,2
dihydrofolate reductase inhibitor,proguanil;trimethoprim;pralatrexate;pyrimethamine,proguanil;trimethoprim;pralatrexate;pyrimethamine,proguanil;trimethoprim;pralatrexate;pyrimethamine,proguanil;trimethoprim;pralatrexate;pyrimethamine,proguanil;trimethoprim;pralatrexate;pyrimethamine,proguanil;trimethoprim;pralatrexate;pyrimethamine,4
dihydroorotate dehydrogenase inhibitor,sc-12267;brequinar,sc-12267;brequinar,sc-12267;brequinar,sc-12267;brequinar,sc-12267;brequinar,sc-12267;brequinar,2
dipeptidyl peptidase inhibitor,linagliptin;teneligliptin;saxagliptin;nvp-dpp728,linagliptin;teneligliptin;saxagliptin;nvp-dpp728,linagliptin;teneligliptin;saxagliptin;nvp-dpp728,linagliptin;teneligliptin;saxagliptin;nvp-dpp728,linagliptin;teneligliptin;saxagliptin;nvp-dpp728,linagliptin;teneligliptin;saxagliptin;nvp-dpp728,4
diuretic,chlortalidone;pyrazinoylguanidine;furosemide,chlortalidone;pyrazinoylguanidine;furosemide,chlortalidone;pyrazinoylguanidine;furosemide,chlortalidone;pyrazinoylguanidine;furosemide,chlortalidone;pyrazinoylguanidine;furosemide,chlortalidone;pyrazinoylguanidine,3
