compound	no_of_compounds	well	dose_recode	median_score	p_value
cefepime	3	A18	1	0.1162284248701994	0.022
cefoperazone	4	I24	1	-0.0030560551872898	0.645
cefotetan	2	N24	1	0.0463897418980574	0.263
cefozopran	3	L24	1	-0.0190527977007648	0.719
celecoxib	4	L18	1	-0.0204823061311414	0.757
cep-37440	3	O12	1	0.0571294242741553	0.089
cepharanthine	3	D24	1	-0.0431851621888457	0.923
cgp12177	3	H06	1	-0.0129078290308258	0.561
chlorambucil	3	D24	1	0.1340763565400751	0.01
chlormezanone	3	O24	1	-0.0044033234872945	0.555
chloroxine	3	I12	1	0.0887742351570971	0.045
chlorphenamine	3	D06	1	-0.0583058496896467	0.925
chlorpromazine	3	G12	1	0.0873501156296387	0.022
chlorpropamide	3	A18	1	0.0580786970152717	0.116
chlortalidone	3	O12	1	-0.0336735843092026	0.83
cholic-acid	2	M18	1	0.0881408672053565	0.098
choline-alfoscerate	3	J24	1	0.0735168166476306	0.092
cianidanol	3	J12	1	-0.024222553657593	0.672
ciclesonide	3	M06	1	0.0614078194395951	0.055
ciglitazone	3	D18	1	0.0598548811469661	0.054
cilengitide	3	C18	1	-0.002531316381528	0.421
cilomilast	3	F06	1	-0.0182409294144152	0.573
cilostazol	3	L18	1	0.0352444086909363	0.153
cimetidine	3	O18	1	0.0235702108570379	0.27
cinaciguat	3	P24	1	0.0193455300804883	0.491
cinepazide	3	L18	1	-0.0646258476406639	0.968
cinnarizine	3	N06	1	-0.0522928111574191	0.9
cinoxacin	3	K18	1	0.1233406023217704	0.008
ciprofloxacin	3	C18	1	-0.0369036785887456	0.762
cisapride	3	F06	1	0.0723578649637415	0.056
citalopram	3	C18	1	-0.0085618854853893	0.477
cladribine	3	K06	1	0.0639591680471152	0.052
clarithromycin	3	H12	1	0.066443270888187	0.045
clenbuterol	2	H06	1	0.0344350558286773	0.248
climbazole	3	A12	1	0.0167786466049375	0.336
clinafloxacin	3	G12	1	-0.0525077445559899	0.92
clindamycin	3	F06	1	0.0988459494665614	0.027
clinofibrate	3	G24	1	-0.0267405229063978	0.806
clioquinol	3	H06	1	-0.04319729901278	0.873
clobetasol	3	D18	1	0.2723251527745777	0.0
clofarabine	3	I24	1	0.0997827528405572	0.04
clofazimine	3	D06	1	0.0012770477475531	0.4
clofibric-acid	3	A24	1	0.0453208167655308	0.227
clofoctol	4	L24	1	0.0276636848589124	0.265
clomethiazole	3	O12	1	0.0834641263153825	0.025
clomifene	3	E24	1	0.0542639402750455	0.145
clonazepam	3	D24	1	0.0493441686350724	0.2
clonidine	3	B24	1	-0.0298984472619603	0.806
clotrimazole	3	B24	1	0.0010416497308669	0.513
clozapine	3	A12	1	-0.0543547682956521	0.891
co-102862	3	H18	1	-0.0371642258315722	0.8
cobimetinib	4	O24	1	0.0277954664563423	0.242
colchicine	2	A24	1	-0.0152824799599838	0.655
colforsin-daproate	3	D06	1	-0.0225106533387005	0.655
combretastatin-a-4	3	O12	1	-0.0593765589577669	0.952
conivaptan	3	A18	1	0.026479074220569	0.254
cordycepin	2	L12	1	0.2024330049953611	0.005
cp-945,598	3	F24	1	0.0008007074033046	0.557
cpi-1189	3	N18	1	0.1351899163271248	0.006
cpi-613	3	K18	1	0.011632569242302	0.274
cromoglicic-acid	3	L18	1	0.0349347516715088	0.153
ct-7758	3	P12	1	0.0376349450982385	0.195
cts-1027	3	P24	1	0.0735356998726464	0.133
curcumin	3	N18	1	0.0231361220338224	0.248
cx-4945	3	C12	1	-0.0131027759667362	0.582
cx-5461	3	D18	1	0.1122037204972471	0.008
cx516	3	B12	1	0.043285745495548	0.139
cyanocobalamin	3	P24	1	0.0569341223048036	0.198
cyclizine	2	P12	1	0.04029993803573	0.268
cyclobenzaprine	3	L12	1	0.0633441808848415	0.07
cyclosporin-a	3	N06	1	-0.0204705615674656	0.648
cyproheptadine	3	H18	1	-0.0204010260805246	0.68
cyproterone-acetate	3	H12	1	0.0188809244508624	0.219
cytarabine	3	M12	1	0.0807142744758982	0.032
cytisine	3	A12	1	0.0413757000697731	0.181
d-serine	3	M12	1	0.0076370678326149	0.339
dabigatran-etexilate	3	F18	1	-0.0151697595274319	0.533
dabrafenib	3	I24	1	0.0415639203415672	0.219
dacarbazine	3	N06	1	0.0533593673080002	0.08
dacinostat	3	E18	1	0.1652106752876464	0.003
dacomitinib	3	F24	1	0.0537338931673269	0.182
danazol	3	A24	1	0.0441627521201597	0.235
danegaptide	3	N12	1	-0.0117769734704316	0.558
dantrolene	3	C06	1	0.0485149348599457	0.115
danusertib	3	A12	1	0.0603605704523397	0.092
dapagliflozin	3	F18	1	0.0189796861217347	0.259
dapivirine	3	E06	1	0.0278658731803914	0.166
dapsone	3	F06	1	-0.047277294832678	0.837
darifenacin	3	F24	1	0.115698687716447	0.034
darunavir	3	D18	1	0.0149710217404367	0.276
dasabuvir	4	M06	1	-0.0192781213372618	0.629
dasatinib	3	L18	1	0.0156497925904779	0.306
dazoxiben	3	G06	1	0.0524593990771886	0.077
decitabine	3	B24	1	0.0753619216450792	0.068
defactinib	3	N24	1	0.0365264613043733	0.226
deferasirox	3	M24	1	0.0153029168571938	0.337
deferiprone	3	K06	1	-0.0248541418877765	0.649
deforolimus	3	E24	1	0.2933469669850302	0.0
dehydroepiandrosterone	3	E12	1	-0.050517463789732	0.895
delanzomib	3	L06	1	0.0577877689864347	0.088
delivert	3	D18	1	0.0420782010307496	0.108
deoxycholic-acid	3	P06	1	0.1384733585006559	0.027
dequalinium	3	M06	1	-0.0149111996423987	0.53
desmopressin-acetate	3	L24	1	0.0019544464630583	0.516
dexamethasone	3	N06	1	0.2129588701869987	0.0
dexamethasone	3	F06	1	0.2129588701869987	0.001
dexfenfluramine	3	I12	1	0.0325668381032669	0.216
dexloxiglumide	3	P06	1	0.0369613553553355	0.366
dexniguldipine	3	O24	1	-0.0368111323351962	0.835
dextromethorphan	3	G12	1	0.0498229221898081	0.098
diacerein	3	F24	1	0.062620791417566	0.136
diazepam	2	E18	1	0.0017371212724024	0.461
diazoxide	3	P24	1	0.1828079370310465	0.008
diclofenac	3	C12	1	-0.0021862009987299	0.475
diclofensine	3	M18	1	-0.0234817735089185	0.652
dicloxacillin	3	H06	1	-0.0480788454409096	0.908
dicoumarol	3	G24	1	0.0052723415936608	0.538
dideoxyadenosine	3	K18	1	-0.0054294900031869	0.431
dienogest	3	J06	1	-0.0176146860338992	0.589
diethylcarbamazine	3	C12	1	0.0036535920479524	0.427
diethylstilbestrol	3	C18	1	0.1077137348910952	0.017
diflunisal	3	G12	1	0.0719477360369243	0.04
dihydroergocristine	2	O18	1	0.0141087217354453	0.396
dihydroergotamine	3	N24	1	0.0178392796477487	0.37
dilazep	3	N24	1	-0.0695700590071389	0.972
diltiazem	3	F18	1	-0.0311081884331657	0.716
dimesna	3	O12	1	0.0833625655976317	0.025
dimethyl-fumarate	3	A12	1	-0.0112453081906817	0.577
diminazene-aceturate	3	C12	1	-0.0055367819754402	0.499
dinaciclib	3	J06	1	0.2331644285927947	0.001
dinoprost	3	A12	1	-0.1964410854689166	1.0
diosmin	3	E18	1	0.0629793919379937	0.073
diphenidol	4	H12	1	-0.0216919092278511	0.732
dipraglurant	3	I18	1	-0.0106365557775314	0.584
dipyridamole	3	P18	1	0.1043759305642078	0.049
disopyramide	3	M24	1	0.033904818453659	0.21
disulfiram	3	E24	1	0.1119680903171923	0.019
dmp-777	3	L12	1	0.0123618230370347	0.336
docetaxel	3	H18	1	0.1645455820953091	0.0
dofequidar	3	N06	1	0.1090367685971577	0.011
dolutegravir	2	P12	1	0.0383095893129039	0.28
donepezil	2	L12	1	0.0662359435609905	0.14
donitriptan	3	I18	1	0.0622202159467582	0.06
dopamine	3	O12	1	0.0150269348815809	0.356
doramapimod	2	C06	1	0.028804307367158	0.291
dorzolamide	3	K18	1	0.0505295712667944	0.1
doxapram	3	F06	1	0.0820274969100632	0.047
doxazosin	3	H12	1	0.1553159455050212	0.004
doxepin	3	N06	1	-0.0593563524489882	0.935
doxifluridine	3	H24	1	0.0623447670672485	0.17
doxofylline	3	J12	1	0.1536058701386205	0.006
doxorubicin	3	L24	1	0.3511853846095809	0.0
doxycycline-hyclate	3	D12	1	-0.0430503043954493	0.829
dpcpx	4	I06	1	-0.0101030726173221	0.495
dpi-201106	3	H24	1	0.0322372775390608	0.349
dronedarone	3	G06	1	0.0319701826472968	0.159
droperidol	3	J06	1	-0.0324838302718523	0.773
drospirenone	4	E12	1	-0.0174001155804806	0.651
du-728	3	E12	1	0.0058088508490055	0.349
duloxetine	3	L18	1	0.0392769987568033	0.127
dutasteride	3	L06	1	0.1058147587613091	0.018
e-2012	3	O18	1	0.210990901882686	0.0
ebselen	3	L24	1	0.112511764906095	0.037
econazole	3	D18	1	0.1430610216084366	0.005
edoxaban	3	K24	1	0.0475089974988367	0.152
edoxudine	3	E24	1	-0.0520636777997925	0.915
efaproxiral	3	B12	1	0.0609822154341608	0.085
efavirenz	3	G24	1	0.216175449073594	0.001
eflornithine	3	L24	1	0.0254144913287684	0.313
elesclomol	3	O18	1	0.0718124215463148	0.052
ellagic-acid	3	P18	1	0.0775445426168798	0.097
emd-1214063	3	P12	1	0.0328637146627338	0.225
emd-53998	3	L06	1	0.0101655350955143	0.33
emedastine	2	M18	1	0.1518106600269712	0.038
emtricitabine	3	O24	1	-0.0014784547410352	0.523
enalapril	3	H06	1	0.0062100387647334	0.347
enoxacin	2	L24	1	0.1146455126322243	0.106
entecavir	3	C06	1	0.1472544163925147	0.007
entinostat	3	A24	1	0.0098177405962993	0.475
enzalutamide	3	I24	1	-0.0127576933426469	0.676
enzastaurin	2	P06	1	0.0821090146924376	0.216
eperezolid	3	H12	1	0.0593689960283175	0.054
epinastine	3	M12	1	0.0474416433641905	0.112
epinephrine	3	E06	1	-0.0287571416597456	0.67
epirizole	3	E24	1	0.0942574910267471	0.046
epirubicin	3	E12	1	0.1461946886463068	0.0
epitiostanol	4	J24	1	0.0392999964501049	0.165
epothilone-b	3	C12	1	0.2623548375442216	0.0
equol	3	L06	1	0.0988361732343294	0.024
ercalcitriol	3	J24	1	0.0541507699570106	0.159
erlotinib	3	G06	1	0.0117720255008018	0.283
erteberel	3	B24	1	0.0216195505549462	0.337
erythromycin	3	C12	1	0.0017306838264353	0.444
erythromycin	3	G12	1	0.0017306838264353	0.438
escitalopram	3	H24	1	0.062220241921749	0.17
esmolol	3	M18	1	0.013967188172376	0.278
estramustine	3	H12	1	0.0321660356385817	0.146
estramustine-phosphate	4	A12	1	-0.0097545370956087	0.611
estriol	3	P18	1	0.0107728734733526	0.5
estrone	3	C18	1	-0.0056500725566131	0.444
etacrynic-acid	3	H12	1	0.0979480359202027	0.017
etanidazole	3	K18	1	0.0481966150590587	0.105
etazolate	3	J06	1	0.0066592166351999	0.329
ethinyl-estradiol	4	K06	1	-0.0579303604379941	0.976
ethylenediaminetetraacetic-acid	3	B12	1	0.0465417334058558	0.128
etizolam	3	D12	1	0.054637274249683	0.087
etodolac	3	J06	1	0.0133454565021137	0.277
etofylline-clofibrate	3	N18	1	0.0749032700386583	0.048
etomidate	3	O18	1	0.0725444948154795	0.049
etomoxir	3	E18	1	0.0064299675539349	0.353
etoposide	3	P24	1	-0.0044890262964264	0.73
etoricoxib	3	K06	1	0.1197710484753874	0.009
etravirine	3	I12	1	0.0345512341136291	0.208
eugenol	3	M06	1	0.0947001576364494	0.02
everolimus	3	H06	1	0.2230116606962217	0.0
evp-6124	3	M06	1	0.1368800283106092	0.003
exalamide	3	C12	1	-0.0332177264983182	0.751
exemestane	2	A24	1	0.0707792317697181	0.212
exherin	3	H18	1	0.0202077106558322	0.285
fadrozole	3	N18	1	0.0036455818148892	0.434
famciclovir	3	B24	1	0.0512791681296324	0.145
famotidine	4	D24	1	-0.0005897410448106	0.649
faropenem	3	M06	1	0.0324297384949383	0.174
fasudil	3	L06	1	-0.0280568095939229	0.76
favipiravir	3	B24	1	-0.0073279053581364	0.608
fdcyd	3	P06	1	0.3207989998144709	0.001
febuxostat	3	I18	1	0.0091033257820476	0.344
felbinac	3	P18	1	0.0220939013418425	0.377
felodipine	3	G12	1	0.0306790610609967	0.184
fenobam	2	O18	1	0.2373098798696373	0.008
fenoterol	3	I06	1	-0.0443968168984708	0.838
fenticonazole	3	N24	1	0.08153502218268	0.055
fexofenadine	3	L12	1	-0.0370069072997833	0.821
fiacitabine	3	L24	1	-0.0427196997905536	0.901
fidarestat	3	G12	1	-0.0344222720589667	0.793
fidaxomicin	3	D18	1	-0.0223773241057125	0.687
filgotinib	3	H18	1	-0.0375094380783627	0.806
finasteride	3	A18	1	0.0208104142051846	0.285
fipronil	3	O24	1	0.0648481083560034	0.101
firategrast	3	L06	1	0.0104717531135957	0.327
flavoxate	2	H18	1	0.0321457363668525	0.309
flecainide	3	I06	1	-0.0120486946224819	0.451
floxuridine	3	P18	1	0.3515960917033337	0.0
fluconazole	3	G24	1	-0.030204517420514	0.838
fludarabine-phosphate	3	K24	1	0.083306636802593	0.054
fludroxycortide	3	N12	1	0.1826833932664254	0.0
flumatinib	3	F06	1	0.0290031526572212	0.2
flumazenil	3	M06	1	-0.0436171323866992	0.808
fluocinonide	3	P12	1	0.4268776100660975	0.0
fluorometholone	2	G06	1	0.3486879262913838	0.0
fluorouracil	3	J24	1	0.0131442934570122	0.457
fluoxetine	3	A18	1	0.0564026207459391	0.12
fluphenazine	3	K24	1	-0.1156161254292333	0.996
fluspirilene	2	L12	1	0.1099111598830665	0.064
flutamide	2	A24	1	0.1121980325686768	0.117
fluticasone	3	B24	1	0.3315236914165322	0.0
flutrimazole	4	B18	1	0.0071642867265305	0.373
fluvoxamine	3	H18	1	0.063779315300997	0.062
folic-acid	3	O24	1	0.0186482756233651	0.336
fomepizole	3	F06	1	0.0485668178315276	0.124
fomocaine	3	B18	1	-0.0502259151807562	0.906
foretinib	4	P24	1	0.0611357585111044	0.134
formestane	3	O18	1	0.0811235883800942	0.043
formoterol	2	I18	1	-0.0119109054608808	0.578
forskolin	3	J12	1	0.0209763399289928	0.237
fosfomycin	3	I24	1	-0.00028727327763	0.581
fostamatinib	3	D24	1	0.0151772039013136	0.42
fpl-62064	3	M12	1	-0.0003647754743203	0.408
ftorafur	3	O12	1	0.013712464849272	0.369
fulvestrant	4	O12	1	0.0040052822946456	0.48
fusidic-acid	3	L18	1	0.0010740256033007	0.439
gabapentin	3	M24	1	0.0675822837491376	0.085
galeterone	3	A18	1	-0.0260905742553725	0.699
ganaxolone	3	H24	1	0.1690687539947668	0.011
gatifloxacin	3	B12	1	-0.0142923317478295	0.569
gdc-0068	3	I12	1	-0.0051186245285429	0.507
gdc-0152	3	M06	1	0.0462348115255326	0.096
gdc-0199	3	G06	1	-0.0340410517237584	0.729
gdc-0834	3	H12	1	0.0019313431104665	0.373
gefitinib	3	H18	1	0.0014730449247873	0.454
gemcitabine	3	N18	1	0.4416245067542608	0.0
gemfibrozil	3	M24	1	0.0291217171424456	0.23
gemifloxacin	3	H24	1	0.0415922289923928	0.275
genz-644282	3	E06	1	0.4147305745356659	0.0
gestrinone	3	P18	1	-0.0198790667918572	0.769
gimeracil	3	N18	1	-0.0519066337821535	0.906
ginkgolide-b	3	F18	1	-0.0004426976378519	0.402
glasdegib	3	L06	1	0.065017309682741	0.066
gliclazide	3	P06	1	0.0053353223490012	0.584
glimepiride	3	K24	1	0.0323299007735011	0.239
glipizide	3	B18	1	0.1730707277051342	0.002
gliquidone	3	B18	1	0.0252761014419753	0.255
glycitein	3	M18	1	-0.0254258933078024	0.668
glycopyrrolate	3	N24	1	-0.0083213667759483	0.613
golvatinib	3	F18	1	0.1254749829877458	0.011
goserelin-acetate	3	L24	1	0.0879038223293944	0.059
granisetron	3	M12	1	0.0032613399196745	0.376
