compound	no_of_compounds	well	dose_recode	median_score	p_value
carbenoxolone	3	F06	1	0.0917791369573633	0.079
carbimazole	3	E06	1	0.113808719825425	0.044
carglumic-acid	3	N24	1	0.0489567795432957	0.269
cariprazine	3	J24	1	0.0958290111919175	0.064
carisoprodol	3	N24	1	0.0656034700698704	0.163
carprofen	3	I18	1	0.0434591715718609	0.311
carvedilol	3	N12	1	0.0871966810138603	0.071
cb-10-277-(free-acid)	3	N12	1	0.0151803864656915	0.546
cc-401	3	D24	1	0.1447541789567778	0.004
cc-930	3	J06	1	0.125133091812186	0.036
cediranib	3	F24	1	0.0608079424795141	0.235
cefdinir	3	B18	1	0.0487989711232432	0.22
cefepime	3	A18	1	-0.000697260734654	0.749
cefoperazone	4	I24	1	-0.0027583408077001	0.914
cefotetan	2	N24	1	0.1125053243796869	0.107
cefozopran	3	L24	1	0.0297528674827129	0.376
celecoxib	4	L18	1	0.0281400955391394	0.337
cep-37440	3	O12	1	0.0103187531652213	0.658
cepharanthine	3	D24	1	0.0453220749667977	0.265
cgp12177	3	H06	1	-0.0161418195749396	0.924
chlorambucil	3	D24	1	0.0727460317012423	0.087
chlormezanone	3	O24	1	0.0498185992621054	0.27
chloroxine	3	I12	1	0.1354931328103519	0.082
chlorphenamine	3	D06	1	-0.0360842377265563	0.973
chlorpromazine	3	G12	1	0.1316453521519696	0.017
chlorpropamide	3	A18	1	0.1255481546510956	0.036
chlortalidone	3	O12	1	-0.0132684292955988	0.895
cholic-acid	2	M18	1	0.0292754688950592	0.436
choline-alfoscerate	3	J24	1	0.1255161275024131	0.026
cianidanol	3	J12	1	0.0054306003029524	0.759
ciclesonide	3	M06	1	0.085634252903753	0.108
ciglitazone	3	D18	1	0.1132873923576856	0.035
cilengitide	3	C18	1	0.0534365610402023	0.24
cilomilast	3	F06	1	0.0226087052979817	0.453
cilostazol	3	L18	1	0.0711274098990165	0.091
cimetidine	3	O18	1	0.0116744056373709	0.588
cinaciguat	3	P24	1	0.0606765091875732	0.244
cinepazide	3	L18	1	0.0008545246549245	0.75
cinnarizine	3	N06	1	-0.0074568628130569	0.82
cinoxacin	3	K18	1	0.080632459855086	0.136
ciprofloxacin	3	C18	1	0.0033051740745265	0.705
cisapride	3	F06	1	0.0154917605637594	0.556
citalopram	3	C18	1	0.0080269279814381	0.638
cladribine	3	K06	1	0.1254924646001728	0.041
clarithromycin	3	H12	1	0.1676278600213595	0.011
clenbuterol	2	H06	1	0.076763087798525	0.165
climbazole	3	A12	1	0.0169386047216533	0.576
clinafloxacin	3	G12	1	0.0292221855803199	0.426
clindamycin	3	F06	1	0.0015205193094257	0.765
clinofibrate	3	G24	1	0.0027893118377597	0.74
clioquinol	3	H06	1	0.0094456992307785	0.65
clobetasol	3	D18	1	0.276437377040505	0.0
clofarabine	3	I24	1	0.0990739260014222	0.066
clofazimine	3	D06	1	0.0520760357808008	0.183
clofibric-acid	3	A24	1	0.1495082678118866	0.024
clofoctol	4	L24	1	0.0734036847625071	0.065
clomethiazole	3	O12	1	0.1420066200849048	0.012
clomifene	3	E24	1	0.0438652480299116	0.321
clonazepam	3	D24	1	0.0211787511937236	0.513
clonidine	3	B24	1	-0.0099775448627623	0.834
clotrimazole	3	B24	1	0.0534620487136971	0.22
clozapine	3	A12	1	-0.0693510459045456	0.996
co-102862	3	H18	1	0.0151400720343642	0.592
cobimetinib	4	O24	1	0.080231486772495	0.059
colchicine	2	A24	1	0.0423950983343651	0.455
colforsin-daproate	3	D06	1	0.0173945672699453	0.488
combretastatin-a-4	3	O12	1	-0.0479389012895745	0.994
conivaptan	3	A18	1	-0.0031854250663391	0.77
cordycepin	2	L12	1	0.2139915497427643	0.015
cp-945,598	3	F24	1	0.001018351470037	0.796
cpi-1189	3	N18	1	0.1360636028290731	0.028
cpi-613	3	K18	1	0.0224351094085767	0.636
cromoglicic-acid	3	L18	1	0.0791550808436602	0.073
ct-7758	3	P12	1	0.0719260714231796	0.13
cts-1027	3	P24	1	0.1015948253751524	0.06
curcumin	3	N18	1	-0.0216129249382351	0.923
cx-4945	3	C12	1	0.0177734187539569	0.469
cx-5461	3	D18	1	0.0403320302742751	0.287
cx516	3	B12	1	0.0850847519866603	0.124
cyanocobalamin	3	P24	1	0.0531015582032361	0.307
cyclizine	2	P12	1	0.0848280457899459	0.161
cyclobenzaprine	3	L12	1	0.0361695393234524	0.406
cyclosporin-a	3	N06	1	0.023020146751617	0.433
cyproheptadine	3	H18	1	0.0187866161896629	0.552
cyproterone-acetate	3	H12	1	0.0772823841704928	0.173
cytarabine	3	M12	1	0.0622577971822745	0.197
cytisine	3	A12	1	0.0921556696954833	0.07
d-serine	3	M12	1	0.0232045747621448	0.512
dabigatran-etexilate	3	F18	1	-0.027753923534206	0.96
dabrafenib	3	I24	1	0.0269700485661155	0.483
dacarbazine	3	N06	1	0.0850236666111926	0.086
dacinostat	3	E18	1	0.1950910954994405	0.004
dacomitinib	3	F24	1	0.0279353739746006	0.518
danazol	3	A24	1	0.064744729316428	0.225
danegaptide	3	N12	1	0.0029802976496364	0.721
dantrolene	3	C06	1	0.110224539706273	0.034
danusertib	3	A12	1	0.0521133291005263	0.229
dapagliflozin	3	F18	1	0.0787453693388336	0.128
dapivirine	3	E06	1	0.0035764972621775	0.707
dapsone	3	F06	1	0.0047140251079277	0.725
darifenacin	3	F24	1	0.1702309384575625	0.007
darunavir	3	D18	1	0.0313070265813726	0.353
dasabuvir	4	M06	1	0.0140130161082331	0.623
dasatinib	3	L18	1	0.0866304272309999	0.062
dazoxiben	3	G06	1	0.1165267875720789	0.054
decitabine	3	B24	1	0.0644705475042768	0.151
defactinib	3	N24	1	0.0095650924887499	0.688
deferasirox	3	M24	1	0.0345571874770027	0.351
deferiprone	3	K06	1	-0.0129767514679543	0.881
deforolimus	3	E24	1	0.285221093358057	0.0
dehydroepiandrosterone	3	E12	1	-0.0103935902302639	0.893
delanzomib	3	L06	1	0.0827419262687814	0.095
delivert	3	D18	1	0.1064460240792545	0.04
deoxycholic-acid	3	P06	1	0.2232861897846386	0.005
dequalinium	3	M06	1	0.0633876701035721	0.189
desmopressin-acetate	3	L24	1	0.0262532540553781	0.418
dexamethasone	3	N06	1	0.234313154111148	0.0
dexamethasone	3	F06	1	0.234313154111148	0.001
dexfenfluramine	3	I12	1	0.0576243439978584	0.342
dexloxiglumide	3	P06	1	0.0166104070362595	0.723
dexniguldipine	3	O24	1	-0.0508261354659782	0.976
dextromethorphan	3	G12	1	0.0755009018716902	0.113
diacerein	3	F24	1	0.0174140908435853	0.628
diazepam	2	E18	1	0.0128629008526959	0.552
diazoxide	3	P24	1	0.0947489409843565	0.083
diclofenac	3	C12	1	-0.0164655531383902	0.876
diclofensine	3	M18	1	0.0188063126835812	0.506
dicloxacillin	3	H06	1	-0.0005477615868267	0.796
dicoumarol	3	G24	1	0.0433561028257424	0.332
dideoxyadenosine	3	K18	1	0.0411173848908185	0.388
dienogest	3	J06	1	0.0280838261283956	0.497
diethylcarbamazine	3	C12	1	0.0158884059661113	0.489
diethylstilbestrol	3	C18	1	0.1664998861671465	0.008
diflunisal	3	G12	1	0.1246711351434417	0.022
dihydroergocristine	2	O18	1	0.0763508779148529	0.216
dihydroergotamine	3	N24	1	0.0061981363647814	0.706
dilazep	3	N24	1	0.0015309901368643	0.738
diltiazem	3	F18	1	0.0515793386362864	0.249
dimesna	3	O12	1	0.1020694874145251	0.056
dimethyl-fumarate	3	A12	1	0.0371980574322143	0.335
diminazene-aceturate	3	C12	1	0.0146485457475907	0.506
dinaciclib	3	J06	1	0.1471071809001223	0.018
dinoprost	3	A12	1	-0.0439538087018252	0.972
diosmin	3	E18	1	0.1365783968513254	0.016
diphenidol	4	H12	1	-0.0031517348884303	0.925
dipraglurant	3	I18	1	0.0123397737528196	0.707
dipyridamole	3	P18	1	0.0262778400902786	0.642
disopyramide	3	M24	1	0.0613956065085914	0.168
disulfiram	3	E24	1	0.0897712327830024	0.089
dmp-777	3	L12	1	0.0240030675913397	0.517
docetaxel	3	H18	1	0.1671638603160551	0.003
dofequidar	3	N06	1	0.0490663511058476	0.21
dolutegravir	2	P12	1	0.0650841024118431	0.229
donepezil	2	L12	1	0.1316342705136647	0.081
donitriptan	3	I18	1	0.0477442182521147	0.272
dopamine	3	O12	1	-0.0085920169214925	0.859
doramapimod	2	C06	1	0.0683199574642886	0.195
dorzolamide	3	K18	1	0.0285371803193953	0.558
doxapram	3	F06	1	0.1548557665218988	0.014
doxazosin	3	H12	1	0.1063387747223453	0.079
doxepin	3	N06	1	0.0083171051761051	0.623
doxifluridine	3	H24	1	0.0744762899384651	0.225
doxofylline	3	J12	1	0.0548028919977188	0.253
doxorubicin	3	L24	1	0.3672128963817075	0.0
doxycycline-hyclate	3	D12	1	0.0129455850155754	0.618
dpcpx	4	I06	1	0.040035210509198	0.354
dpi-201106	3	H24	1	0.0738023317340515	0.227
dronedarone	3	G06	1	-0.0080835784486183	0.834
droperidol	3	J06	1	0.0455972899945451	0.303
drospirenone	4	E12	1	0.0375770271037842	0.325
du-728	3	E12	1	0.046427255108423	0.267
duloxetine	3	L18	1	-0.0021396004929032	0.781
dutasteride	3	L06	1	0.1144251802728112	0.046
e-2012	3	O18	1	0.2674811894947656	0.0
ebselen	3	L24	1	0.094834211829146	0.044
econazole	3	D18	1	0.0532863913521115	0.197
edoxaban	3	K24	1	0.0799812135555713	0.12
edoxudine	3	E24	1	0.0020532399092689	0.741
efaproxiral	3	B12	1	0.0225678350332744	0.545
efavirenz	3	G24	1	0.231835604852846	0.001
eflornithine	3	L24	1	0.0673054113362723	0.121
elesclomol	3	O18	1	0.1029691682438746	0.062
ellagic-acid	3	P18	1	0.0904300849884723	0.123
emd-1214063	3	P12	1	0.0732357412064913	0.129
emd-53998	3	L06	1	0.0407516723536421	0.321
emedastine	2	M18	1	-0.0355466205210519	0.917
emtricitabine	3	O24	1	0.064420003246293	0.18
enalapril	3	H06	1	0.0051808119373806	0.72
enoxacin	2	L24	1	0.1797570762739267	0.032
entecavir	3	C06	1	0.1642441609551505	0.007
entinostat	3	A24	1	0.0341903119363602	0.525
enzalutamide	3	I24	1	0.1464723943579731	0.012
enzastaurin	2	P06	1	0.1093021047165497	0.211
eperezolid	3	H12	1	0.1215973806300322	0.052
epinastine	3	M12	1	0.1015212485260115	0.058
epinephrine	3	E06	1	0.0011560630552921	0.738
epirizole	3	E24	1	0.1126368430451987	0.047
epirubicin	3	E12	1	0.1579748618839498	0.009
epitiostanol	4	J24	1	0.091603696976565	0.029
epothilone-b	3	C12	1	0.2713062189980562	0.0
equol	3	L06	1	0.0171167413965605	0.565
ercalcitriol	3	J24	1	0.1072402684842133	0.042
erlotinib	3	G06	1	0.044307818605997	0.267
erteberel	3	B24	1	0.0377027379198238	0.319
erythromycin	3	C12	1	0.0077967224940757	0.592
erythromycin	3	G12	1	0.0077967224940757	0.708
escitalopram	3	H24	1	0.0483958322253819	0.39
esmolol	3	M18	1	0.036619118589203	0.328
estramustine	3	H12	1	0.079611024048078	0.165
estramustine-phosphate	4	A12	1	0.0305348710306159	0.43
estriol	3	P18	1	0.0450920192322587	0.427
estrone	3	C18	1	0.0006243607934018	0.75
etacrynic-acid	3	H12	1	0.1222540270740732	0.05
etanidazole	3	K18	1	0.1338211902512977	0.034
etazolate	3	J06	1	0.0096437126520819	0.701
ethinyl-estradiol	4	K06	1	-0.0042041277093482	0.876
ethylenediaminetetraacetic-acid	3	B12	1	0.1116236455770646	0.065
etizolam	3	D12	1	0.1385319039151243	0.026
etodolac	3	J06	1	0.069865239766367	0.176
etofylline-clofibrate	3	N18	1	0.1075551090702525	0.071
etomidate	3	O18	1	-0.0046729071649707	0.78
etomoxir	3	E18	1	0.028647723937114	0.377
etoposide	3	P24	1	0.0251882354320228	0.619
etoricoxib	3	K06	1	0.005148990543895	0.725
etravirine	3	I12	1	0.1097345970182575	0.135
eugenol	3	M06	1	0.0573715169234428	0.22
everolimus	3	H06	1	0.2333557571035509	0.001
evp-6124	3	M06	1	0.0246162341700606	0.453
exalamide	3	C12	1	-0.0034421500517076	0.745
exemestane	2	A24	1	0.149763577308249	0.079
exherin	3	H18	1	0.0387314416456016	0.308
fadrozole	3	N18	1	0.0535154067768424	0.255
famciclovir	3	B24	1	0.088265664757465	0.078
famotidine	4	D24	1	0.035367923495239	0.314
faropenem	3	M06	1	0.0770686841919867	0.131
fasudil	3	L06	1	-0.0080730934436872	0.866
favipiravir	3	B24	1	0.04752548629448	0.252
fdcyd	3	P06	1	0.3210017864740458	0.001
febuxostat	3	I18	1	0.0668450522581208	0.155
felbinac	3	P18	1	0.0626432199928659	0.276
felodipine	3	G12	1	0.0465713878288516	0.265
fenobam	2	O18	1	0.256643350280192	0.007
fenoterol	3	I06	1	0.0138295417307933	0.621
fenticonazole	3	N24	1	0.0523490241766212	0.236
fexofenadine	3	L12	1	0.0016599752812843	0.757
fiacitabine	3	L24	1	0.0052070520262797	0.669
fidarestat	3	G12	1	0.0053061693875558	0.733
fidaxomicin	3	D18	1	0.0687246851291713	0.129
filgotinib	3	H18	1	0.0238417261314198	0.484
finasteride	3	A18	1	0.063340936888061	0.204
fipronil	3	O24	1	0.1385307637459103	0.024
firategrast	3	L06	1	0.0320176774694991	0.398
flavoxate	2	H18	1	0.1022324034904878	0.117
flecainide	3	I06	1	0.0346287582765587	0.412
floxuridine	3	P18	1	0.3509910026670976	0.0
fluconazole	3	G24	1	-0.0011588267382549	0.771
fludarabine-phosphate	3	K24	1	0.063378168680589	0.204
fludroxycortide	3	N12	1	0.2289059878540576	0.0
flumatinib	3	F06	1	-0.0030303068209459	0.81
flumazenil	3	M06	1	0.0622583232902795	0.193
fluocinonide	3	P12	1	0.4075073488252666	0.0
fluorometholone	2	G06	1	0.3162176782876118	0.001
fluorouracil	3	J24	1	0.013454269841831	0.642
fluoxetine	3	A18	1	0.0853669293404518	0.105
fluphenazine	3	K24	1	-0.2068236933825103	1.0
fluspirilene	2	L12	1	0.1709083598623884	0.04
flutamide	2	A24	1	0.0456243432968542	0.433
fluticasone	3	B24	1	0.3399579190349606	0.0
flutrimazole	4	B18	1	0.0136344455659844	0.62
fluvoxamine	3	H18	1	0.0293527602859808	0.407
folic-acid	3	O24	1	0.0434098067056998	0.325
fomepizole	3	F06	1	0.0254537057858914	0.413
fomocaine	3	B18	1	0.0341952081554911	0.339
foretinib	4	P24	1	0.0791506282731634	0.084
formestane	3	O18	1	0.1090348446621951	0.051
formoterol	2	I18	1	-0.0238542592924202	0.941
forskolin	3	J12	1	0.0857222710722465	0.11
fosfomycin	3	I24	1	0.0549418493527909	0.226
fostamatinib	3	D24	1	0.0080405674874595	0.676
fpl-62064	3	M12	1	0.0023909333976151	0.769
ftorafur	3	O12	1	0.0976696213006153	0.067
fulvestrant	4	O12	1	0.0239446891644701	0.551
fusidic-acid	3	L18	1	-0.0162745119306446	0.922
gabapentin	3	M24	1	0.0876245061268648	0.07
galeterone	3	A18	1	-0.0098249402863865	0.829
ganaxolone	3	H24	1	0.2207831555858272	0.009
gatifloxacin	3	B12	1	0.0470205312456507	0.3
gdc-0068	3	I12	1	0.0146837896486949	0.728
gdc-0152	3	M06	1	0.0890225720304671	0.098
gdc-0199	3	G06	1	-0.0006659046124847	0.767
gdc-0834	3	H12	1	0.0032967782645695	0.825
gefitinib	3	H18	1	0.0648158285510218	0.138
gemcitabine	3	N18	1	0.4320261315600281	0.0
gemfibrozil	3	M24	1	0.048341232493712	0.247
gemifloxacin	3	H24	1	0.0326694206009483	0.512
genz-644282	3	E06	1	0.4311414546164258	0.0
gestrinone	3	P18	1	0.0624733161780394	0.281
gimeracil	3	N18	1	-0.0034832445265362	0.796
ginkgolide-b	3	F18	1	0.0533237044011474	0.243
glasdegib	3	L06	1	0.0784334663902707	0.129
gliclazide	3	P06	1	0.053756875549267	0.391
glimepiride	3	K24	1	0.0827543728025015	0.112
glipizide	3	B18	1	0.0699419919744071	0.13
gliquidone	3	B18	1	0.0753004679603716	0.117
glycitein	3	M18	1	0.021441613201412	0.48
glycopyrrolate	3	N24	1	0.0140071094790522	0.616
golvatinib	3	F18	1	0.0442058475901606	0.288
goserelin-acetate	3	L24	1	0.1500672807430983	0.01
granisetron	3	M12	1	0.0372256364180145	0.386
grazoprevir	3	N12	1	0.0335111707675663	0.34
griseofulvin	3	C06	1	0.0931139799277202	0.056
gsk1292263	3	G24	1	0.003039772207095	0.739
gsk2110183	3	A12	1	-0.0006049391216477	0.764
